股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
亚马逊,AMZN,2000-01-03,4.08,4.47,4.48,3.95,16117600,0.0,13.91,17.32,0.66,4.67
亚马逊,AMZN,2000-01-04,4.27,4.1,4.58,4.09,17487400,0.0,10.96,-8.28,-0.37,5.07
亚马逊,AMZN,2000-01-05,3.53,3.49,3.76,3.4,38457400,0.0,8.78,-14.88,-0.61,11.14
亚马逊,AMZN,2000-01-06,3.57,3.28,3.63,3.2,18752000,0.0,12.32,-6.02,-0.21,5.43
亚马逊,AMZN,2000-01-07,3.35,3.48,3.53,3.31,10505400,0.0,6.71,6.1,0.2,3.04
亚马逊,AMZN,2000-01-10,3.63,3.46,3.63,3.28,14757900,0.0,10.06,-0.57,-0.02,4.28
亚马逊,AMZN,2000-01-11,3.34,3.34,3.5,3.25,10532700,0.0,7.23,-3.47,-0.12,3.05
亚马逊,AMZN,2000-01-12,3.39,3.18,3.4,3.15,10804500,0.0,7.49,-4.79,-0.16,3.13
亚马逊,AMZN,2000-01-13,3.25,3.3,3.36,3.16,10448100,0.0,6.29,3.77,0.12,3.03
亚马逊,AMZN,2000-01-14,3.34,3.21,3.43,3.2,6853600,0.0,6.97,-2.73,-0.09,1.99
亚马逊,AMZN,2000-01-18,3.17,3.21,3.26,3.15,5384900,0.0,3.43,0.0,0.0,1.56
亚马逊,AMZN,2000-01-19,3.21,3.34,3.38,3.15,8245500,0.0,7.17,4.05,0.13,2.39
亚马逊,AMZN,2000-01-20,3.35,3.24,3.35,3.2,5978000,0.0,4.49,-2.99,-0.1,1.73
亚马逊,AMZN,2000-01-21,3.23,3.1,3.23,3.0,11461900,0.0,7.1,-4.32,-0.14,3.32
亚马逊,AMZN,2000-01-24,3.38,3.51,3.67,3.38,29170200,0.0,9.35,13.23,0.41,8.45
亚马逊,AMZN,2000-01-25,3.5,3.46,3.56,3.3,9434100,0.0,7.41,-1.42,-0.05,2.73
亚马逊,AMZN,2000-01-26,3.43,3.24,3.5,3.24,6558000,0.0,7.51,-6.36,-0.22,1.9
亚马逊,AMZN,2000-01-27,3.26,3.35,3.39,3.23,6784000,0.0,4.94,3.4,0.11,1.97
亚马逊,AMZN,2000-01-28,3.25,3.08,3.32,3.0,13777900,0.0,9.55,-8.06,-0.27,3.99
亚马逊,AMZN,2000-01-31,3.02,3.23,3.24,2.92,10697900,0.0,10.39,4.87,0.15,3.1
亚马逊,AMZN,2000-02-01,3.38,3.37,3.53,3.22,13404600,0.0,9.6,4.33,0.14,3.88
亚马逊,AMZN,2000-02-02,3.4,3.47,3.61,3.39,14025900,0.0,6.53,2.97,0.1,4.06
亚马逊,AMZN,2000-02-03,4.06,4.21,4.3,3.87,43750000,0.0,12.39,21.33,0.74,12.68
亚马逊,AMZN,2000-02-04,4.14,3.93,4.14,3.89,11023000,0.0,5.94,-6.65,-0.28,3.19
亚马逊,AMZN,2000-02-07,3.81,3.75,3.84,3.66,10129000,0.0,4.58,-4.58,-0.18,2.93
亚马逊,AMZN,2000-02-08,3.7,4.16,4.2,3.67,19472800,0.0,14.13,10.93,0.41,5.64
亚马逊,AMZN,2000-02-09,4.03,4.01,4.19,4.0,9580400,0.0,4.57,-3.61,-0.15,2.78
亚马逊,AMZN,2000-02-10,3.93,3.81,3.99,3.78,9979600,0.0,5.24,-4.99,-0.2,2.89
亚马逊,AMZN,2000-02-11,3.86,3.81,3.96,3.78,8309000,0.0,4.72,0.0,0.0,2.41
亚马逊,AMZN,2000-02-14,3.78,3.72,3.79,3.68,5169700,0.0,2.89,-2.36,-0.09,1.5
亚马逊,AMZN,2000-02-15,3.67,3.69,3.81,3.53,6424500,0.0,7.53,-0.81,-0.03,1.86
亚马逊,AMZN,2000-02-16,3.64,3.53,3.67,3.53,4260200,0.0,3.79,-4.34,-0.16,1.23
亚马逊,AMZN,2000-02-17,3.56,3.45,3.57,3.4,6129600,0.0,4.82,-2.27,-0.08,1.78
亚马逊,AMZN,2000-02-18,3.42,3.24,3.45,3.19,8726400,0.0,7.54,-6.09,-0.21,2.53
亚马逊,AMZN,2000-02-22,3.25,3.18,3.33,3.15,5685800,0.0,5.56,-1.85,-0.06,1.65
亚马逊,AMZN,2000-02-24,3.53,3.42,3.57,3.28,5869300,0.0,9.12,7.55,0.24,1.7
亚马逊,AMZN,2000-02-25,3.37,3.46,3.47,3.26,4870500,0.0,6.14,1.17,0.04,1.41
亚马逊,AMZN,2000-02-28,3.33,3.29,3.36,3.21,5057700,0.0,4.34,-4.91,-0.17,1.47
亚马逊,AMZN,2000-02-29,3.3,3.44,3.45,3.29,7148500,0.0,4.86,4.56,0.15,2.05
亚马逊,AMZN,2000-03-01,3.38,3.29,3.43,3.25,5576700,0.0,5.23,-4.36,-0.15,1.6
亚马逊,AMZN,2000-03-02,3.25,3.13,3.25,3.11,7980100,0.0,4.26,-4.86,-0.16,2.28
