股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
CSX运输,CSX,2015-12-22,5.78,5.91,5.94,5.74,6003309,0.0,0.0,0.0,0.0,0.61
CSX运输,CSX,2015-12-23,5.91,6.04,6.12,5.85,5727723,0.0,4.57,2.2,0.13,0.58
CSX运输,CSX,2015-12-24,6.04,6.04,6.13,6.01,1594078,0.0,1.99,0.0,0.0,0.16
CSX运输,CSX,2015-12-28,6.04,5.97,6.07,5.94,3084829,0.0,2.15,-1.16,-0.07,0.32
CSX运输,CSX,2015-12-29,6.02,6.12,6.13,6.0,4108629,0.0,2.18,2.51,0.15,0.43
CSX运输,CSX,2015-12-30,6.03,5.96,6.06,5.95,4582906,0.0,1.8,-2.61,-0.16,0.47
CSX运输,CSX,2015-12-31,5.83,5.97,6.04,5.83,4742225,0.0,3.52,0.17,0.01,0.49
CSX运输,CSX,2016-01-04,5.78,5.92,5.93,5.69,9550390,0.0,4.02,-0.84,-0.05,0.99
CSX运输,CSX,2016-01-05,5.93,5.84,5.99,5.73,5216276,0.0,4.39,-1.35,-0.08,0.54
CSX运输,CSX,2016-01-06,5.68,5.45,5.73,5.38,8383575,0.0,5.99,-6.68,-0.39,0.87
CSX运输,CSX,2016-01-07,5.27,5.2,5.43,5.19,9808270,0.0,4.4,-4.59,-0.25,1.02
CSX运输,CSX,2016-01-08,5.26,5.15,5.28,5.14,9660705,0.0,2.69,-0.96,-0.05,1.0
CSX运输,CSX,2016-01-11,5.12,5.17,5.26,5.05,11045561,0.0,4.08,0.39,0.02,1.14
CSX运输,CSX,2016-01-12,5.19,5.23,5.37,5.06,11821737,0.0,6.0,1.16,0.06,1.22
CSX运输,CSX,2016-01-13,5.17,4.77,5.3,4.58,22008280,0.0,13.77,-8.8,-0.46,2.28
CSX运输,CSX,2016-01-14,4.88,5.08,5.26,4.85,16553798,0.0,8.6,6.5,0.31,1.71
