股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
易趣,EBAY,2000-01-03,12.47,13.86,13.92,10.87,48902400,0.0,25.74,16.96,2.01,37.68
易趣,EBAY,2000-01-04,13.14,12.2,13.71,12.08,33803200,0.0,11.76,-11.98,-1.66,26.05
易趣,EBAY,2000-01-05,11.36,13.27,13.58,11.23,44146400,0.0,19.26,8.77,1.07,34.02
易趣,EBAY,2000-01-06,12.94,13.06,14.62,12.51,44147200,0.0,15.9,-1.58,-0.21,34.02
易趣,EBAY,2000-01-07,12.95,13.04,13.54,12.35,21574400,0.0,9.11,-0.15,-0.02,16.62
易趣,EBAY,2000-01-10,13.83,13.98,14.42,13.7,25056000,0.0,5.52,7.21,0.94,19.31
易趣,EBAY,2000-01-11,13.95,13.6,14.33,13.01,22664000,0.0,9.44,-2.72,-0.38,17.46
易趣,EBAY,2000-01-12,13.4,12.5,13.59,12.4,21400800,0.0,8.75,-8.09,-1.1,16.49
易趣,EBAY,2000-01-13,12.89,13.43,13.5,12.7,19286400,0.0,6.4,7.44,0.93,14.86
易趣,EBAY,2000-01-14,13.72,12.93,14.19,12.77,23342400,0.0,10.57,-3.72,-0.5,17.99
易趣,EBAY,2000-01-18,12.59,13.64,13.74,12.58,18090400,0.0,8.97,5.49,0.71,13.94
易趣,EBAY,2000-01-19,13.59,14.17,14.26,13.33,18072000,0.0,6.82,3.89,0.53,13.92
易趣,EBAY,2000-01-20,14.31,15.56,15.66,14.19,41674400,0.0,10.37,9.81,1.39,32.11
易趣,EBAY,2000-01-21,15.36,15.01,16.04,14.84,22868000,0.0,7.71,-3.53,-0.55,17.62
易趣,EBAY,2000-01-24,15.06,13.25,15.08,12.87,27421600,0.0,14.72,-11.73,-1.76,21.13
易趣,EBAY,2000-01-25,13.59,13.39,14.33,12.92,36339200,0.0,10.64,1.06,0.14,28.0
易趣,EBAY,2000-01-26,14.53,15.4,15.92,13.95,79543200,0.0,14.71,15.01,2.01,61.29
易趣,EBAY,2000-01-27,15.01,15.44,15.53,14.75,25854400,0.0,5.06,0.26,0.04,19.92
易趣,EBAY,2000-01-28,15.08,14.65,15.33,14.33,19554400,0.0,6.48,-5.12,-0.79,15.07
易趣,EBAY,2000-01-31,14.45,14.96,15.28,14.33,16341600,0.0,6.48,2.12,0.31,12.59
易趣,EBAY,2000-02-01,14.76,15.07,15.39,14.73,11479200,0.0,4.41,0.74,0.11,8.84
易趣,EBAY,2000-02-02,15.19,15.08,15.75,14.85,12187200,0.0,5.97,0.07,0.01,9.39
易趣,EBAY,2000-02-03,15.61,16.83,17.0,15.45,34567200,0.0,10.28,11.6,1.75,26.63
易趣,EBAY,2000-02-04,16.2,17.21,17.61,16.14,31057600,0.0,8.73,2.26,0.38,23.93
易趣,EBAY,2000-02-07,16.87,17.4,17.64,16.68,13480000,0.0,5.58,1.1,0.19,10.39
易趣,EBAY,2000-02-08,17.75,17.42,18.08,17.14,19933600,0.0,5.4,0.11,0.02,15.36
易趣,EBAY,2000-02-09,17.33,16.7,17.33,16.36,14168800,0.0,5.57,-4.13,-0.72,10.92
易趣,EBAY,2000-02-10,16.64,16.5,16.86,15.98,13677600,0.0,5.27,-1.2,-0.2,10.54
易趣,EBAY,2000-02-11,16.54,15.37,16.58,15.17,9640800,0.0,8.55,-6.85,-1.13,7.43
易趣,EBAY,2000-02-14,15.48,15.47,16.15,15.16,12744800,0.0,6.44,0.65,0.1,9.82
易趣,EBAY,2000-02-15,15.28,14.76,15.51,14.21,20805600,0.0,8.4,-4.59,-0.71,16.03
易趣,EBAY,2000-02-16,14.75,13.79,14.75,13.7,13818400,0.0,7.11,-6.57,-0.97,10.65
易趣,EBAY,2000-02-17,13.87,14.36,14.37,13.78,18240000,0.0,4.28,4.13,0.57,14.05
易趣,EBAY,2000-02-18,14.4,13.36,14.45,13.33,11142400,0.0,7.8,-6.96,-1.0,8.59
易趣,EBAY,2000-02-22,13.6,13.01,13.87,12.78,15824800,0.0,8.16,-2.62,-0.35,12.19
易趣,EBAY,2000-02-23,13.67,15.57,15.95,13.61,34001600,0.0,17.99,19.68,2.56,26.2
易趣,EBAY,2000-02-24,15.45,16.7,16.7,15.0,25887200,0.0,10.92,7.26,1.13,19.95
易趣,EBAY,2000-02-25,16.48,15.05,16.61,14.95,13781600,0.0,9.94,-9.88,-1.65,10.62
易趣,EBAY,2000-02-28,14.69,14.33,15.02,14.06,19189600,0.0,6.38,-4.78,-0.72,14.79
易趣,EBAY,2000-02-29,14.47,14.12,14.79,13.51,12923200,0.0,8.93,-1.47,-0.21,9.96
易趣,EBAY,2000-03-01,14.69,14.86,15.63,14.39,24360800,0.0,8.78,5.24,0.74,18.71
易趣,EBAY,2000-03-02,14.61,14.97,15.39,14.3,9863200,0.0,7.34,0.74,0.11,7.58
易趣,EBAY,2000-03-03,15.0,14.89,15.4,14.2,8544800,0.0,8.02,-0.53,-0.08,6.56
易趣,EBAY,2000-03-06,14.92,16.4,16.83,14.87,22505600,0.0,13.16,10.14,1.51,17.29
易趣,EBAY,2000-03-07,16.97,16.55,17.23,16.28,19342400,0.0,5.79,0.91,0.15,14.86
易趣,EBAY,2000-03-08,16.69,19.2,19.33,16.08,37271200,0.0,19.64,16.01,2.65,28.63
易趣,EBAY,2000-03-09,18.81,19.01,19.19,18.08,27928000,0.0,5.78,-0.99,-0.19,21.45
易趣,EBAY,2000-03-10,18.62,20.36,21.65,18.42,40575200,0.0,16.99,7.1,1.35,31.17
易趣,EBAY,2000-03-13,19.21,22.42,23.95,18.81,50033600,0.0,25.25,10.12,2.06,38.43
易趣,EBAY,2000-03-14,23.29,22.58,24.26,22.33,28394400,0.0,8.61,0.71,0.16,21.81
易趣,EBAY,2000-03-15,23.36,19.89,23.36,19.39,34744800,0.0,17.58,-11.91,-2.69,26.69
易趣,EBAY,2000-03-16,20.11,23.64,23.7,19.23,39121600,0.0,22.47,18.85,3.75,30.05
易趣,EBAY,2000-03-17,23.4,23.57,24.19,22.58,18028800,0.0,6.81,-0.3,-0.07,13.85
易趣,EBAY,2000-03-20,23.65,20.72,23.65,20.58,22643200,0.0,13.03,-12.09,-2.85,17.39
易趣,EBAY,2000-03-21,20.71,23.01,23.2,19.95,21808800,0.0,15.69,11.05,2.29,16.75
易趣,EBAY,2000-03-22,22.7,25.28,26.23,22.33,31408800,0.0,16.95,9.87,2.27,24.13
易趣,EBAY,2000-03-23,24.94,24.15,26.08,24.11,23714400,0.0,7.79,-4.47,-1.13,18.22
易趣,EBAY,2000-03-24,24.97,26.67,27.42,24.61,33188000,0.0,11.64,10.43,2.52,25.49
易趣,EBAY,2000-03-27,26.21,26.18,28.08,25.68,20569600,0.0,9.0,-1.84,-0.49,15.8
易趣,EBAY,2000-03-28,26.45,24.18,27.08,24.08,19942400,0.0,11.46,-7.64,-2.0,15.32
易趣,EBAY,2000-03-29,24.03,21.08,24.17,20.95,30346400,0.0,13.32,-12.82,-3.1,23.31
易趣,EBAY,2000-03-30,20.58,22.09,22.38,20.2,27150400,0.0,10.34,4.79,1.01,20.86
易趣,EBAY,2000-03-31,21.32,18.2,21.45,18.06,55297600,0.0,15.35,-17.61,-3.89,42.48
易趣,EBAY,2000-04-03,18.59,14.11,19.04,13.98,50952000,0.0,27.8,-22.47,-4.09,39.14
易趣,EBAY,2000-04-04,14.75,17.08,17.58,12.61,66735200,0.0,35.22,21.05,2.97,51.26
易趣,EBAY,2000-04-05,16.4,16.94,19.67,15.69,33244000,0.0,23.3,-0.82,-0.14,25.54
易趣,EBAY,2000-04-06,17.6,18.95,19.01,17.37,45574400,0.0,9.68,11.87,2.01,35.01
易趣,EBAY,2000-04-07,18.58,18.81,19.26,18.11,25172000,0.0,6.07,-0.74,-0.14,19.34
易趣,EBAY,2000-04-10,18.56,15.66,18.56,15.58,30363200,0.0,15.84,-16.75,-3.15,23.32
易趣,EBAY,2000-04-11,15.51,15.65,16.83,15.33,33940000,0.0,9.58,-0.06,-0.01,26.07
易趣,EBAY,2000-04-12,15.83,14.12,16.17,14.0,30170400,0.0,13.87,-9.78,-1.53,23.18
易趣,EBAY,2000-04-13,14.92,13.55,15.86,13.45,37368000,0.0,17.07,-4.04,-0.57,28.7
易趣,EBAY,2000-04-14,13.54,13.65,14.36,12.9,57908800,0.0,10.77,0.74,0.1,44.48
易趣,EBAY,2000-04-17,12.73,14.11,14.58,12.7,43920800,0.0,13.77,3.37,0.46,33.74
易趣,EBAY,2000-04-18,14.04,16.57,16.58,14.03,26295200,0.0,18.07,17.43,2.46,20.2
易趣,EBAY,2000-04-19,16.2,14.99,16.7,14.95,22249600,0.0,10.56,-9.54,-1.58,17.09
易趣,EBAY,2000-04-20,15.44,14.98,15.69,14.0,15666400,0.0,11.27,-0.07,-0.01,12.03
易趣,EBAY,2000-04-24,14.57,13.94,14.64,11.91,22651200,0.0,18.22,-6.94,-1.04,17.4
易趣,EBAY,2000-04-25,14.09,15.4,15.69,13.78,39524000,0.0,13.7,10.47,1.46,30.36
易趣,EBAY,2000-04-26,16.34,14.86,16.36,14.7,50909600,0.0,10.78,-3.51,-0.54,39.11
易趣,EBAY,2000-04-27,14.34,16.44,16.68,14.09,30564000,0.0,17.43,10.63,1.58,23.48
