股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
粉笔,02469,2023-01-09,10.5,11.1,12.1,10.26,11805000,130391488.0,18.59,12.12,1.2,0.56
粉笔,02469,2023-01-10,11.12,11.06,11.36,10.54,1815000,20024000.0,7.39,-0.36,-0.04,0.09
粉笔,02469,2023-01-11,11.06,10.34,11.2,10.34,1651500,17587320.0,7.78,-6.51,-0.72,0.08
粉笔,02469,2023-01-12,10.34,10.48,10.78,10.3,648000,6771630.0,4.64,1.35,0.14,0.03
粉笔,02469,2023-01-13,10.36,10.88,11.22,10.36,2390000,25883590.0,8.21,3.82,0.4,0.11
粉笔,02469,2023-01-16,10.9,10.4,10.9,9.91,1425500,14598165.0,9.1,-4.41,-0.48,0.07
粉笔,02469,2023-01-17,10.28,10.2,10.4,10.0,217000,2220070.0,3.85,-1.92,-0.2,0.01
粉笔,02469,2023-01-18,10.2,10.28,10.5,10.2,132500,1367770.0,2.94,0.78,0.08,0.01
粉笔,02469,2023-01-19,10.28,10.2,10.28,9.76,2070500,20623190.0,5.06,-0.78,-0.08,0.1
粉笔,02469,2023-01-20,10.2,10.2,10.2,9.89,3371500,33605465.0,3.04,0.0,0.0,0.16
粉笔,02469,2023-01-26,10.2,10.08,10.28,9.88,2577000,25638875.0,3.92,-1.18,-0.12,0.12
粉笔,02469,2023-01-27,10.08,10.1,10.2,10.0,318500,3212130.0,1.98,0.2,0.02,0.02
粉笔,02469,2023-01-30,10.1,10.36,10.5,10.0,231500,2369670.0,4.95,2.57,0.26,0.01
粉笔,02469,2023-01-31,10.36,10.32,10.44,10.1,150500,1555380.0,3.28,-0.39,-0.04,0.01
粉笔,02469,2023-02-01,10.38,10.82,11.1,10.38,653500,7050850.0,6.98,4.84,0.5,0.03
粉笔,02469,2023-02-02,10.9,12.0,12.26,10.9,1227000,14344750.0,12.57,10.91,1.18,0.06
粉笔,02469,2023-02-03,12.06,11.6,12.1,11.32,363500,4214700.0,6.5,-3.33,-0.4,0.02
粉笔,02469,2023-02-06,11.6,12.2,12.8,11.16,514500,6212440.0,14.14,5.17,0.6,0.02
粉笔,02469,2023-02-07,12.3,11.7,12.88,11.5,789500,9623670.0,11.31,-4.1,-0.5,0.04
