股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
IDEXX实验室,IDXX,2001-01-02,2.81,2.78,2.94,2.74,301800,0.0,0.0,0.0,0.0,0.91
IDEXX实验室,IDXX,2001-01-03,2.78,3.08,3.1,2.7,368600,0.0,14.39,10.79,0.3,1.11
IDEXX实验室,IDXX,2001-01-04,3.06,2.78,3.06,2.74,506400,0.0,10.39,-9.74,-0.3,1.52
IDEXX实验室,IDXX,2001-01-05,2.77,2.65,2.8,2.64,618600,0.0,5.76,-4.68,-0.13,1.86
IDEXX实验室,IDXX,2001-01-08,2.65,2.66,2.72,2.63,403000,0.0,3.4,0.38,0.01,1.21
IDEXX实验室,IDXX,2001-01-09,2.67,2.71,2.85,2.67,234200,0.0,6.77,1.88,0.05,0.7
IDEXX实验室,IDXX,2001-01-10,2.7,2.85,2.88,2.7,471000,0.0,6.64,5.17,0.14,1.42
IDEXX实验室,IDXX,2001-01-11,2.81,2.83,2.92,2.8,250800,0.0,4.21,-0.7,-0.02,0.75
IDEXX实验室,IDXX,2001-01-12,2.81,2.88,2.94,2.76,207400,0.0,6.36,1.77,0.05,0.62
IDEXX实验室,IDXX,2001-01-16,2.91,2.98,3.08,2.81,536000,0.0,9.38,3.47,0.1,1.61
IDEXX实验室,IDXX,2001-01-17,2.97,2.88,3.08,2.88,218600,0.0,6.71,-3.36,-0.1,0.66
IDEXX实验室,IDXX,2001-01-18,2.89,2.96,3.01,2.83,128800,0.0,6.25,2.78,0.08,0.39
IDEXX实验室,IDXX,2001-01-19,2.93,3.11,3.19,2.92,731000,0.0,9.12,5.07,0.15,2.2
IDEXX实验室,IDXX,2001-01-22,3.12,3.01,3.19,3.0,260600,0.0,6.11,-3.22,-0.1,0.78
IDEXX实验室,IDXX,2001-01-23,3.0,3.06,3.06,2.96,255800,0.0,3.32,1.66,0.05,0.77
IDEXX实验室,IDXX,2001-01-24,3.03,2.81,3.13,2.79,581000,0.0,11.11,-8.17,-0.25,1.75
IDEXX实验室,IDXX,2001-01-25,2.85,2.85,2.87,2.8,336400,0.0,2.49,1.42,0.04,1.01
IDEXX实验室,IDXX,2001-01-26,2.85,2.65,2.88,2.56,1187600,0.0,11.23,-7.02,-0.2,3.57
IDEXX实验室,IDXX,2001-01-29,2.7,2.72,2.75,2.55,462400,0.0,7.55,2.64,0.07,1.39
IDEXX实验室,IDXX,2001-01-30,2.71,2.8,2.81,2.7,338800,0.0,4.04,2.94,0.08,1.02
IDEXX实验室,IDXX,2001-01-31,2.83,2.77,2.85,2.74,349600,0.0,3.93,-1.07,-0.03,1.05
IDEXX实验室,IDXX,2001-02-01,2.75,2.85,2.88,2.74,358400,0.0,5.05,2.89,0.08,1.08
IDEXX实验室,IDXX,2001-02-02,2.85,2.81,2.88,2.78,451400,0.0,3.51,-1.4,-0.04,1.36
IDEXX实验室,IDXX,2001-02-05,2.81,2.77,2.81,2.72,383200,0.0,3.2,-1.42,-0.04,1.15
IDEXX实验室,IDXX,2001-02-06,2.8,2.76,2.82,2.72,361000,0.0,3.61,-0.36,-0.01,1.09
IDEXX实验室,IDXX,2001-02-07,2.75,2.84,2.85,2.75,720800,0.0,3.62,2.9,0.08,2.17
IDEXX实验室,IDXX,2001-02-08,2.83,2.85,2.87,2.81,472600,0.0,2.11,0.35,0.01,1.42
IDEXX实验室,IDXX,2001-02-09,2.84,2.85,2.86,2.83,874000,0.0,1.05,0.0,0.0,2.63
IDEXX实验室,IDXX,2001-02-12,2.83,2.85,2.89,2.82,279200,0.0,2.46,0.0,0.0,0.84
IDEXX实验室,IDXX,2001-02-13,2.89,2.99,3.02,2.85,811400,0.0,5.96,4.91,0.14,2.44
IDEXX实验室,IDXX,2001-02-14,2.99,2.95,2.99,2.92,492400,0.0,2.34,-1.34,-0.04,1.48
IDEXX实验室,IDXX,2001-02-15,2.94,3.0,3.02,2.94,476600,0.0,2.71,1.69,0.05,1.43
IDEXX实验室,IDXX,2001-02-16,2.99,2.96,2.99,2.95,348600,0.0,1.33,-1.33,-0.04,1.05
