股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
财捷,INTU,2000-01-03,8.65,8.97,9.03,5.84,5070600,0.0,36.21,1.82,0.16,2.68
财捷,INTU,2000-01-04,7.41,9.28,9.9,7.19,6766400,0.0,30.21,3.46,0.31,3.57
财捷,INTU,2000-01-05,9.81,18.06,18.81,9.59,22553000,0.0,99.35,94.61,8.78,11.91
财捷,INTU,2000-01-06,15.56,13.84,16.81,13.84,8734000,0.0,16.45,-23.37,-4.22,4.61
财捷,INTU,2000-01-07,13.65,15.62,16.22,10.69,8537800,0.0,39.96,12.86,1.78,4.51
财捷,INTU,2000-01-10,16.34,21.4,23.84,15.47,8397400,0.0,53.59,37.0,5.78,4.43
财捷,INTU,2000-01-11,20.31,20.03,21.03,18.47,5694200,0.0,11.96,-6.4,-1.37,3.01
财捷,INTU,2000-01-12,19.72,14.4,19.75,12.03,8344000,0.0,38.54,-28.11,-5.63,4.41
财捷,INTU,2000-01-13,15.65,18.84,19.72,15.5,7782200,0.0,29.31,30.83,4.44,4.11
财捷,INTU,2000-01-14,20.25,19.53,21.78,17.65,5880800,0.0,21.92,3.66,0.69,3.11
财捷,INTU,2000-01-18,19.5,17.22,19.5,16.59,3520400,0.0,14.9,-11.83,-2.31,1.86
财捷,INTU,2000-01-19,17.34,16.09,17.9,15.81,3553600,0.0,12.14,-6.56,-1.13,1.88
财捷,INTU,2000-01-20,16.59,17.03,18.0,15.84,4420800,0.0,13.42,5.84,0.94,2.33
财捷,INTU,2000-01-21,18.34,16.65,18.47,15.9,6374400,0.0,15.09,-2.23,-0.38,3.37
财捷,INTU,2000-01-24,16.62,12.62,16.65,12.53,4457400,0.0,24.74,-24.2,-4.03,2.35
财捷,INTU,2000-01-25,13.84,14.0,14.97,12.9,5063400,0.0,16.4,10.94,1.38,2.67
财捷,INTU,2000-01-26,14.47,11.72,15.34,11.62,2935600,0.0,26.57,-16.29,-2.28,1.55
财捷,INTU,2000-01-27,12.37,10.84,14.31,9.06,6132200,0.0,44.8,-7.51,-0.88,3.24
财捷,INTU,2000-01-28,10.37,7.72,11.53,7.15,7144600,0.0,40.41,-28.78,-3.12,3.77
财捷,INTU,2000-01-31,7.28,9.0,9.37,6.59,6092400,0.0,36.01,16.58,1.28,3.22
财捷,INTU,2000-02-01,9.94,11.25,11.28,8.47,4481400,0.0,31.22,25.0,2.25,2.37
财捷,INTU,2000-02-02,11.69,12.78,14.34,11.59,6300200,0.0,24.44,13.6,1.53,3.33
财捷,INTU,2000-02-03,13.44,13.65,14.0,11.59,5153000,0.0,18.86,6.81,0.87,2.72
财捷,INTU,2000-02-04,14.33,13.47,14.97,12.97,3843000,0.0,14.65,-1.32,-0.18,2.03
财捷,INTU,2000-02-07,13.53,12.62,13.53,12.25,2878800,0.0,9.5,-6.31,-0.85,1.52
财捷,INTU,2000-02-08,13.81,13.34,14.84,13.15,4420200,0.0,13.39,5.71,0.72,2.33
财捷,INTU,2000-02-09,13.5,11.47,13.99,11.31,5163000,0.0,20.09,-14.02,-1.87,2.73
财捷,INTU,2000-02-10,11.03,10.72,11.19,9.34,6262200,0.0,16.13,-6.54,-0.75,3.31
财捷,INTU,2000-02-11,10.37,9.34,10.78,8.78,5457800,0.0,18.66,-12.87,-1.38,2.88
财捷,INTU,2000-02-14,9.53,8.72,9.53,8.34,3166200,0.0,12.74,-6.64,-0.62,1.67
财捷,INTU,2000-02-15,8.53,7.56,9.34,6.34,8945000,0.0,34.4,-13.3,-1.16,4.72
财捷,INTU,2000-02-16,8.34,9.37,10.34,7.97,7932800,0.0,31.35,23.94,1.81,4.19
