股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
卡夫亨氏,KHC,2015-07-06,54.0,56.0,57.29,54.0,3807196,0.0,0.0,0.0,0.0,0.31
卡夫亨氏,KHC,2015-07-07,56.73,57.62,57.71,55.96,5790305,0.0,3.13,2.89,1.62,0.47
卡夫亨氏,KHC,2015-07-08,57.3,58.43,58.5,57.04,4254591,0.0,2.53,1.41,0.81,0.35
卡夫亨氏,KHC,2015-07-09,59.47,57.8,60.06,57.5,3829804,0.0,4.38,-1.08,-0.63,0.31
卡夫亨氏,KHC,2015-07-10,58.05,60.34,60.8,58.0,4963167,0.0,4.84,4.39,2.54,0.4
卡夫亨氏,KHC,2015-07-13,62.5,61.82,62.7,60.91,8088773,0.0,2.97,2.45,1.48,0.66
卡夫亨氏,KHC,2015-07-14,62.45,61.0,62.5,60.65,18731965,0.0,2.99,-1.33,-0.82,1.53
卡夫亨氏,KHC,2015-07-15,60.65,59.71,61.17,59.4,5637136,0.0,2.9,-2.11,-1.29,0.46
卡夫亨氏,KHC,2015-07-16,59.97,61.75,61.84,59.95,5622298,0.0,3.17,3.42,2.04,0.46
卡夫亨氏,KHC,2015-07-17,62.43,62.63,62.69,60.26,6072542,0.0,3.94,1.43,0.88,0.5
卡夫亨氏,KHC,2015-07-20,62.95,63.11,64.2,62.13,9311578,0.0,3.31,0.77,0.48,0.76
卡夫亨氏,KHC,2015-07-21,62.97,63.22,63.68,62.4,6086155,0.0,2.03,0.17,0.11,0.5
卡夫亨氏,KHC,2015-07-22,63.83,61.64,63.9,61.58,5154331,0.0,3.67,-2.5,-1.58,0.42
卡夫亨氏,KHC,2015-07-23,61.97,60.29,62.12,60.19,2973342,0.0,3.13,-2.19,-1.35,0.24
卡夫亨氏,KHC,2015-07-24,60.47,59.96,60.98,59.5,2869932,0.0,2.45,-0.55,-0.33,0.23
卡夫亨氏,KHC,2015-07-27,60.18,60.94,61.53,59.84,5760754,0.0,2.82,1.63,0.98,0.47
卡夫亨氏,KHC,2015-07-28,61.99,61.88,62.2,61.05,1862787,0.0,1.89,1.54,0.94,0.15
卡夫亨氏,KHC,2015-07-29,61.81,61.46,61.85,60.55,2216940,0.0,2.1,-0.68,-0.42,0.18
卡夫亨氏,KHC,2015-07-30,61.76,62.76,63.24,61.15,3194744,0.0,3.4,2.12,1.3,0.26
卡夫亨氏,KHC,2015-07-31,63.49,63.02,63.49,62.41,2623855,0.0,1.72,0.41,0.26,0.21
卡夫亨氏,KHC,2015-08-03,63.55,63.92,64.58,63.46,2672660,0.0,1.78,1.43,0.9,0.22
卡夫亨氏,KHC,2015-08-04,64.12,63.36,64.55,63.22,2400574,0.0,2.08,-0.88,-0.56,0.2
卡夫亨氏,KHC,2015-08-05,63.56,64.01,64.55,63.4,4300379,0.0,1.82,1.03,0.65,0.35
卡夫亨氏,KHC,2015-08-06,64.6,63.31,64.74,63.06,3663448,0.0,2.62,-1.09,-0.7,0.3
卡夫亨氏,KHC,2015-08-07,62.69,62.09,62.93,60.84,3251727,0.0,3.3,-1.93,-1.22,0.27
卡夫亨氏,KHC,2015-08-10,62.98,62.36,63.35,62.12,3200309,0.0,1.98,0.43,0.27,0.26
卡夫亨氏,KHC,2015-08-11,61.18,61.52,64.03,60.62,3673700,0.0,5.47,-1.35,-0.84,0.3
