股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
科磊,KLAC,2000-01-03,0.16,-1.72,0.16,-4.28,3769400,0.0,-1585.71,-514.29,-1.44,4.25
科磊,KLAC,2000-01-04,-2.69,-4.03,-0.75,-4.16,3129800,0.0,-198.26,-134.3,-2.31,3.53
科磊,KLAC,2000-01-05,-5.03,-6.63,-4.97,-7.66,5478600,0.0,-66.75,-64.52,-2.6,6.18
科磊,KLAC,2000-01-06,-7.38,-6.25,-5.22,-7.47,8351000,0.0,-33.94,5.73,0.38,9.42
科磊,KLAC,2000-01-07,-6.07,-3.32,-3.22,-7.22,6038200,0.0,-64.0,46.88,2.93,6.81
科磊,KLAC,2000-01-10,-1.91,2.31,3.16,-2.0,5177000,0.0,-155.42,169.58,5.63,5.84
科磊,KLAC,2000-01-11,0.78,1.81,4.03,0.66,4988200,0.0,145.89,-21.65,-0.5,5.62
科磊,KLAC,2000-01-12,1.97,3.63,4.72,-0.16,6113000,0.0,269.61,100.55,1.82,6.89
科磊,KLAC,2000-01-13,2.78,3.91,5.03,0.94,7030000,0.0,112.67,7.71,0.28,7.93
科磊,KLAC,2000-01-14,6.56,13.03,13.91,6.47,10145600,0.0,190.28,233.25,9.12,11.44
科磊,KLAC,2000-01-18,12.16,9.34,12.65,8.59,6755400,0.0,31.16,-28.32,-3.69,7.62
科磊,KLAC,2000-01-19,8.59,8.34,11.15,6.53,2796600,0.0,49.46,-10.71,-1.0,1.55
科磊,KLAC,2000-01-20,9.09,7.28,10.16,3.53,4974600,0.0,79.5,-12.71,-1.06,2.77
科磊,KLAC,2000-01-21,7.65,8.28,9.15,5.91,3352900,0.0,44.51,13.74,1.0,1.86
科磊,KLAC,2000-01-24,9.03,3.84,10.03,3.03,3038100,0.0,84.54,-53.62,-4.44,1.69
科磊,KLAC,2000-01-25,4.72,5.97,6.15,0.78,2354200,0.0,139.84,55.47,2.13,1.31
科磊,KLAC,2000-01-26,6.28,2.4,6.53,2.4,2487700,0.0,69.18,-59.8,-3.57,1.38
科磊,KLAC,2000-01-27,3.34,0.97,6.03,-1.59,3446300,0.0,317.5,-59.58,-1.43,1.92
科磊,KLAC,2000-01-28,-0.97,0.34,1.91,-1.47,3466400,0.0,348.45,-64.95,-0.63,1.93
科磊,KLAC,2000-01-31,-0.6,2.66,4.34,-1.09,4471300,0.0,1597.06,682.35,2.32,2.49
科磊,KLAC,2000-02-01,2.47,4.65,6.28,1.28,3138800,0.0,187.97,74.81,1.99,1.74
科磊,KLAC,2000-02-02,3.28,8.59,9.15,3.28,5396500,0.0,126.24,84.73,3.94,3.0
