股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
万豪国际,MAR,2013-11-12,35.85,35.25,35.98,35.1,3222906,0.0,0.0,0.0,0.0,1.08
万豪国际,MAR,2013-11-13,35.11,35.49,35.53,34.99,2632386,0.0,1.53,0.68,0.24,0.88
万豪国际,MAR,2013-11-14,35.42,35.76,35.8,35.28,2263821,0.0,1.47,0.76,0.27,0.76
万豪国际,MAR,2013-11-15,35.77,35.84,36.4,35.77,15286117,0.0,1.76,0.22,0.08,5.1
万豪国际,MAR,2013-11-18,35.89,35.8,36.12,35.6,2941853,0.0,1.45,-0.11,-0.04,0.98
万豪国际,MAR,2013-11-19,35.83,35.32,35.88,35.01,2390791,0.0,2.43,-1.34,-0.48,0.8
万豪国际,MAR,2013-11-20,35.51,35.25,35.74,35.02,1941445,0.0,2.04,-0.2,-0.07,0.65
万豪国际,MAR,2013-11-21,35.48,35.9,36.12,35.26,1934514,0.0,2.44,1.84,0.65,0.65
万豪国际,MAR,2013-11-22,36.02,35.91,36.16,35.8,2374096,0.0,1.0,0.03,0.01,0.79
万豪国际,MAR,2013-11-25,35.82,35.62,36.04,35.52,1984548,0.0,1.45,-0.81,-0.29,0.66
万豪国际,MAR,2013-11-26,35.45,36.17,36.33,35.45,2087235,0.0,2.47,1.54,0.55,0.7
万豪国际,MAR,2013-11-27,36.19,35.92,36.28,35.87,1611982,0.0,1.13,-0.69,-0.25,0.54
万豪国际,MAR,2013-11-29,36.11,36.01,36.16,35.84,1346071,0.0,0.89,0.25,0.09,0.45
万豪国际,MAR,2013-12-02,35.99,35.49,36.01,35.36,2129648,0.0,1.81,-1.44,-0.52,0.71
万豪国际,MAR,2013-12-03,35.07,35.01,35.49,34.84,3430578,0.0,1.83,-1.35,-0.48,1.15
万豪国际,MAR,2013-12-04,34.43,34.9,35.17,34.24,2119024,0.0,2.66,-0.31,-0.11,0.71
万豪国际,MAR,2013-12-05,34.91,34.61,35.06,34.56,1912786,0.0,1.43,-0.83,-0.29,0.64
万豪国际,MAR,2013-12-06,35.63,35.22,35.69,34.95,1940198,0.0,2.14,1.76,0.61,0.65
万豪国际,MAR,2013-12-09,35.45,35.55,35.88,35.41,1532958,0.0,1.33,0.94,0.33,0.51
万豪国际,MAR,2013-12-10,35.59,35.56,35.72,35.44,1851939,0.0,0.79,0.03,0.01,0.62
万豪国际,MAR,2013-12-11,35.49,35.0,35.55,34.84,2470611,0.0,2.0,-1.57,-0.56,0.82
万豪国际,MAR,2013-12-12,34.91,35.01,35.33,34.82,1856369,0.0,1.46,0.03,0.01,0.62
万豪国际,MAR,2013-12-13,35.34,35.56,35.68,34.99,1958526,0.0,1.97,1.57,0.55,0.65
万豪国际,MAR,2013-12-16,35.72,36.07,36.44,35.6,2613464,0.0,2.36,1.43,0.51,0.87
万豪国际,MAR,2013-12-17,35.94,35.83,36.14,35.41,1777583,0.0,2.02,-0.67,-0.24,0.59
万豪国际,MAR,2013-12-18,35.87,36.86,36.89,35.51,1922524,0.0,3.85,2.87,1.03,0.64
万豪国际,MAR,2013-12-19,36.59,36.71,36.86,36.3,1547090,0.0,1.52,-0.41,-0.15,0.52
万豪国际,MAR,2013-12-20,36.96,37.14,37.31,36.86,3099741,0.0,1.23,1.17,0.43,1.03
万豪国际,MAR,2013-12-23,37.08,37.27,37.81,37.05,1084700,0.0,2.05,0.35,0.13,0.36
万豪国际,MAR,2013-12-24,37.04,37.66,37.68,37.04,692498,0.0,1.72,1.05,0.39,0.23
万豪国际,MAR,2013-12-26,38.7,37.9,38.83,37.58,1133299,0.0,3.32,0.64,0.24,0.38
万豪国际,MAR,2013-12-27,37.98,37.77,38.01,37.67,873258,0.0,0.9,-0.34,-0.13,0.29
万豪国际,MAR,2013-12-30,38.07,38.0,38.11,37.59,1199512,0.0,1.38,0.61,0.23,0.4
万豪国际,MAR,2013-12-31,37.99,38.34,38.42,37.99,1474830,0.0,1.13,0.89,0.34,0.49
万豪国际,MAR,2014-01-02,38.02,37.95,38.25,37.56,2115246,0.0,1.8,-1.02,-0.39,0.71
万豪国际,MAR,2014-01-03,37.99,37.64,38.16,37.63,1246876,0.0,1.4,-0.82,-0.31,0.42
万豪国际,MAR,2014-01-06,37.82,37.44,37.89,37.24,2110581,0.0,1.73,-0.53,-0.2,0.71
万豪国际,MAR,2014-01-07,37.64,37.65,38.12,37.47,1761414,0.0,1.74,0.56,0.21,0.59
万豪国际,MAR,2014-01-08,37.75,38.12,38.17,37.72,1960873,0.0,1.2,1.25,0.47,0.66
万豪国际,MAR,2014-01-09,38.12,37.98,38.2,37.8,1263867,0.0,1.05,-0.37,-0.14,0.42
万豪国际,MAR,2014-01-10,38.13,38.27,38.28,37.73,923820,0.0,1.45,0.76,0.29,0.31
万豪国际,MAR,2014-01-13,38.62,37.74,38.62,37.58,2818412,0.0,2.72,-1.38,-0.53,0.95
万豪国际,MAR,2014-01-14,37.77,38.33,38.42,37.55,1805736,0.0,2.31,1.56,0.59,0.61
万豪国际,MAR,2014-01-15,38.35,38.81,38.88,37.84,1942479,0.0,2.71,1.25,0.48,0.65
万豪国际,MAR,2014-01-16,38.88,39.55,39.59,38.51,4602765,0.0,2.78,1.91,0.74,1.54
