股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
微芯科技,MCHP,2000-01-03,-4.03,-4.12,-3.9,-4.57,1299400,0.0,-16.58,-1.98,-0.08,2.53
微芯科技,MCHP,2000-01-04,-3.93,-4.84,-3.9,-4.85,1372300,0.0,-23.06,-17.48,-0.72,2.68
微芯科技,MCHP,2000-01-05,-4.74,-4.77,-4.61,-5.15,955800,0.0,-11.16,1.45,0.07,1.86
微芯科技,MCHP,2000-01-06,-4.92,-5.02,-4.76,-5.24,1094200,0.0,-10.06,-5.24,-0.25,2.13
微芯科技,MCHP,2000-01-07,-4.95,-5.26,-4.95,-5.48,1531200,0.0,-10.56,-4.78,-0.24,2.99
微芯科技,MCHP,2000-01-10,-5.02,-4.61,-4.48,-5.07,1835700,0.0,-11.22,12.36,0.65,3.58
微芯科技,MCHP,2000-01-11,-4.68,-4.95,-4.45,-5.06,1174800,0.0,-13.23,-7.38,-0.34,2.29
微芯科技,MCHP,2000-01-12,-4.83,-4.21,-4.04,-4.92,2038200,0.0,-17.78,14.95,0.74,3.98
微芯科技,MCHP,2000-01-13,-3.9,-3.63,-3.59,-4.22,1667600,0.0,-14.96,13.78,0.58,3.25
微芯科技,MCHP,2000-01-14,-3.48,-4.3,-3.41,-4.33,4285900,0.0,-25.34,-18.46,-0.67,8.36
微芯科技,MCHP,2000-01-18,-4.18,-4.41,-4.06,-4.48,1425300,0.0,-9.77,-2.56,-0.11,2.78
微芯科技,MCHP,2000-01-19,-4.28,-4.19,-3.96,-4.41,866000,0.0,-10.2,4.99,0.22,1.69
微芯科技,MCHP,2000-01-20,-4.0,-3.78,-3.78,-4.11,915000,0.0,-7.88,9.79,0.41,1.78
微芯科技,MCHP,2000-01-21,-3.77,-4.37,-3.77,-4.42,1371900,0.0,-17.2,-15.61,-0.59,2.68
微芯科技,MCHP,2000-01-24,-4.38,-4.59,-3.85,-4.7,578500,0.0,-19.45,-5.03,-0.22,1.13
微芯科技,MCHP,2000-01-25,-4.54,-4.18,-4.18,-4.8,729300,0.0,-13.51,8.93,0.41,1.42
微芯科技,MCHP,2000-01-26,-4.17,-4.65,-4.02,-4.78,641900,0.0,-18.18,-11.24,-0.47,1.25
微芯科技,MCHP,2000-01-27,-4.58,-4.98,-4.16,-5.13,1217400,0.0,-20.86,-7.1,-0.33,2.37
微芯科技,MCHP,2000-01-28,-5.0,-5.56,-4.98,-5.81,1288200,0.0,-16.67,-11.65,-0.58,2.51
微芯科技,MCHP,2000-01-31,-5.57,-4.87,-4.87,-5.85,1330100,0.0,-17.63,12.41,0.69,2.59
微芯科技,MCHP,2000-02-01,-4.97,-4.86,-4.67,-5.29,809300,0.0,-12.73,0.21,0.01,1.58
微芯科技,MCHP,2000-02-02,-4.81,-4.66,-4.48,-5.06,548400,0.0,-11.93,4.12,0.2,1.07
微芯科技,MCHP,2000-02-03,-4.52,-3.89,-3.81,-4.52,1282500,0.0,-15.24,16.52,0.77,2.5
微芯科技,MCHP,2000-02-04,-4.04,-4.13,-3.8,-4.26,1546400,0.0,-11.83,-6.17,-0.24,3.02
微芯科技,MCHP,2000-02-07,-4.22,-3.89,-3.8,-4.27,473800,0.0,-11.38,5.81,0.24,0.92
微芯科技,MCHP,2000-02-08,-3.74,-3.66,-3.09,-3.82,1221300,0.0,-18.77,5.91,0.23,2.38
微芯科技,MCHP,2000-02-09,-3.52,-3.61,-3.32,-3.99,725400,0.0,-18.31,1.37,0.05,1.41
微芯科技,MCHP,2000-02-10,-3.53,-3.13,-3.07,-3.61,827300,0.0,-14.96,13.3,0.48,1.61
微芯科技,MCHP,2000-02-11,-3.1,-3.57,-2.99,-3.71,792700,0.0,-23.0,-14.06,-0.44,1.55
微芯科技,MCHP,2000-02-14,-3.6,-3.24,-2.89,-3.63,559800,0.0,-20.73,9.24,0.33,1.09
微芯科技,MCHP,2000-02-15,-3.32,-3.53,-3.18,-3.74,939800,0.0,-17.28,-8.95,-0.29,1.83
微芯科技,MCHP,2000-02-16,-3.29,-3.49,-3.07,-3.52,828000,0.0,-12.75,1.13,0.04,1.61
微芯科技,MCHP,2000-02-17,-3.13,-3.13,-3.07,-3.63,566300,0.0,-16.05,10.32,0.36,1.1
微芯科技,MCHP,2000-02-18,-3.15,-3.6,-3.14,-3.74,627100,0.0,-19.17,-15.02,-0.47,1.22
微芯科技,MCHP,2000-02-22,-3.6,-3.71,-3.41,-4.1,635200,0.0,-19.17,-3.06,-0.11,1.24
微芯科技,MCHP,2000-02-24,-3.19,-2.23,-2.15,-3.2,1165300,0.0,-28.3,39.89,1.48,2.27
微芯科技,MCHP,2000-02-25,-2.07,-2.84,-1.89,-2.84,871400,0.0,-42.6,-27.35,-0.61,1.7
微芯科技,MCHP,2000-02-28,-2.81,-2.34,-2.18,-3.21,1017700,0.0,-36.27,17.61,0.5,1.98
微芯科技,MCHP,2000-02-29,-1.91,-0.31,-0.06,-1.91,2398700,0.0,-79.06,86.75,2.03,4.68
微芯科技,MCHP,2000-03-01,-0.34,-0.43,-0.13,-0.88,1999100,0.0,-241.94,-38.71,-0.12,3.9
微芯科技,MCHP,2000-03-02,-0.33,-0.45,0.37,-1.05,1347800,0.0,-330.23,-4.65,-0.02,2.63
微芯科技,MCHP,2000-03-03,-0.18,0.77,0.82,-0.21,1188900,0.0,-228.89,271.11,1.22,2.32
微芯科技,MCHP,2000-03-06,0.87,1.4,2.48,0.82,1298000,0.0,215.58,81.82,0.63,2.53
微芯科技,MCHP,2000-03-07,1.9,1.87,3.01,0.71,1372700,0.0,164.29,33.57,0.47,2.68
微芯科技,MCHP,2000-03-08,2.48,1.26,2.93,0.93,1405100,0.0,106.95,-32.62,-0.61,2.74
微芯科技,MCHP,2000-03-09,1.37,1.07,1.57,0.41,1120000,0.0,92.06,-15.08,-0.19,2.18
微芯科技,MCHP,2000-03-10,1.15,1.19,1.59,1.08,1407800,0.0,47.66,11.21,0.12,2.75
微芯科技,MCHP,2000-03-13,0.59,0.18,0.95,-0.07,512100,0.0,85.71,-84.87,-1.01,1.0
微芯科技,MCHP,2000-03-14,0.65,-0.77,1.51,-0.85,1546000,0.0,1311.11,-527.78,-0.95,3.02
微芯科技,MCHP,2000-03-15,-0.88,-0.99,-0.41,-1.46,1637600,0.0,-136.36,-28.57,-0.22,3.19
微芯科技,MCHP,2000-03-16,-0.79,-0.67,-0.52,-2.24,1165500,0.0,-173.74,32.32,0.32,2.27
