股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
奈飞,NFLX,2002-05-23,0.58,0.6,0.62,0.57,14548200,0.0,4.67,-43.93,-0.47,70.46
奈飞,NFLX,2002-05-24,0.61,0.61,0.61,0.6,1578600,0.0,1.67,1.67,0.01,7.65
奈飞,NFLX,2002-05-28,0.61,0.58,0.62,0.58,943800,0.0,6.56,-4.92,-0.03,4.57
奈飞,NFLX,2002-05-29,0.58,0.55,0.58,0.54,965400,0.0,6.9,-5.17,-0.03,4.68
奈飞,NFLX,2002-05-30,0.55,0.54,0.55,0.54,1450600,0.0,1.82,-1.82,-0.01,7.03
奈飞,NFLX,2002-05-31,0.54,0.54,0.54,0.54,1209200,0.0,0.0,0.0,0.0,5.86
奈飞,NFLX,2002-06-03,0.54,0.56,0.57,0.54,450200,0.0,5.56,3.7,0.02,2.18
奈飞,NFLX,2002-06-04,0.57,0.56,0.57,0.56,443600,0.0,1.79,0.0,0.0,2.15
奈飞,NFLX,2002-06-05,0.56,0.57,0.58,0.55,218800,0.0,5.36,1.79,0.01,1.06
奈飞,NFLX,2002-06-06,0.58,0.59,0.62,0.57,329400,0.0,8.77,3.51,0.02,1.6
奈飞,NFLX,2002-06-07,0.59,0.56,0.59,0.55,195600,0.0,6.78,-5.08,-0.03,0.95
奈飞,NFLX,2002-06-10,0.57,0.58,0.59,0.57,69200,0.0,3.57,3.57,0.02,0.34
奈飞,NFLX,2002-06-11,0.58,0.58,0.59,0.56,143400,0.0,5.17,0.0,0.0,0.69
奈飞,NFLX,2002-06-12,0.58,0.55,0.59,0.55,257000,0.0,6.9,-5.17,-0.03,1.24
奈飞,NFLX,2002-06-13,0.55,0.54,0.56,0.54,366800,0.0,3.64,-1.82,-0.01,1.78
奈飞,NFLX,2002-06-14,0.54,0.49,0.54,0.49,683400,0.0,9.26,-9.26,-0.05,3.31
奈飞,NFLX,2002-06-17,0.51,0.46,0.53,0.46,693600,0.0,14.29,-6.12,-0.03,3.36
奈飞,NFLX,2002-06-18,0.47,0.46,0.47,0.42,1544000,0.0,10.87,0.0,0.0,7.48
奈飞,NFLX,2002-06-19,0.46,0.48,0.5,0.45,783200,0.0,10.87,4.35,0.02,3.79
奈飞,NFLX,2002-06-20,0.49,0.48,0.52,0.48,873000,0.0,8.33,0.0,0.0,4.23
奈飞,NFLX,2002-06-21,0.49,0.49,0.49,0.47,335200,0.0,4.17,2.08,0.01,1.62
奈飞,NFLX,2002-06-24,0.49,0.49,0.51,0.48,366800,0.0,6.12,0.0,0.0,1.78
奈飞,NFLX,2002-06-25,0.49,0.48,0.5,0.47,563000,0.0,6.12,-2.04,-0.01,2.73
奈飞,NFLX,2002-06-26,0.48,0.49,0.5,0.46,417800,0.0,8.33,2.08,0.01,2.02
奈飞,NFLX,2002-06-27,0.5,0.47,0.51,0.47,545400,0.0,8.16,-4.08,-0.02,2.64
奈飞,NFLX,2002-06-28,0.48,0.5,0.51,0.48,1319200,0.0,6.38,6.38,0.03,6.39
奈飞,NFLX,2002-07-01,0.5,0.51,0.52,0.5,655000,0.0,4.0,2.0,0.01,3.17
奈飞,NFLX,2002-07-02,0.53,0.59,0.6,0.52,1288600,0.0,15.69,15.69,0.08,6.24
奈飞,NFLX,2002-07-03,0.59,0.61,0.61,0.56,708200,0.0,8.47,3.39,0.02,3.43
奈飞,NFLX,2002-07-05,0.61,0.64,0.65,0.61,286200,0.0,6.56,4.92,0.03,1.39
奈飞,NFLX,2002-07-08,0.63,0.59,0.63,0.58,279000,0.0,7.81,-7.81,-0.05,1.35
奈飞,NFLX,2002-07-09,0.59,0.58,0.6,0.56,419400,0.0,6.78,-1.69,-0.01,2.03
奈飞,NFLX,2002-07-10,0.58,0.58,0.59,0.57,222000,0.0,3.45,0.0,0.0,1.08
奈飞,NFLX,2002-07-11,0.58,0.63,0.64,0.57,361400,0.0,12.07,8.62,0.05,1.75
奈飞,NFLX,2002-07-12,0.64,0.6,0.64,0.6,405400,0.0,6.35,-4.76,-0.03,1.96
奈飞,NFLX,2002-07-15,0.62,0.57,0.62,0.54,605600,0.0,13.33,-5.0,-0.03,2.93
奈飞,NFLX,2002-07-16,0.58,0.56,0.58,0.55,277400,0.0,5.26,-1.75,-0.01,1.34
奈飞,NFLX,2002-07-17,0.57,0.54,0.58,0.54,180200,0.0,7.14,-3.57,-0.02,0.87
奈飞,NFLX,2002-07-18,0.56,0.57,0.58,0.56,414200,0.0,3.7,5.56,0.03,2.01
奈飞,NFLX,2002-07-19,0.58,0.58,0.58,0.56,256000,0.0,3.51,1.75,0.01,1.24
奈飞,NFLX,2002-07-22,0.57,0.59,0.59,0.56,284800,0.0,5.17,1.72,0.01,1.38
奈飞,NFLX,2002-07-23,0.59,0.57,0.61,0.57,225400,0.0,6.78,-3.39,-0.02,1.09
奈飞,NFLX,2002-07-24,0.57,0.56,0.58,0.54,479400,0.0,7.02,-1.75,-0.01,2.32
奈飞,NFLX,2002-07-25,0.56,0.52,0.56,0.52,679400,0.0,7.14,-7.14,-0.04,3.29
奈飞,NFLX,2002-07-26,0.53,0.44,0.53,0.43,1006600,0.0,19.23,-15.38,-0.08,4.88
奈飞,NFLX,2002-07-29,0.45,0.44,0.46,0.43,465800,0.0,6.82,0.0,0.0,2.26
奈飞,NFLX,2002-07-30,0.45,0.46,0.47,0.45,539600,0.0,4.55,4.55,0.02,2.61
奈飞,NFLX,2002-07-31,0.46,0.48,0.48,0.45,476200,0.0,6.52,4.35,0.02,2.31
奈飞,NFLX,2002-08-01,0.48,0.45,0.48,0.44,647000,0.0,8.33,-6.25,-0.03,3.13
奈飞,NFLX,2002-08-02,0.44,0.39,0.44,0.35,950800,0.0,20.0,-13.33,-0.06,4.6
奈飞,NFLX,2002-08-05,0.39,0.39,0.41,0.38,544000,0.0,7.69,0.0,0.0,2.63
奈飞,NFLX,2002-08-06,0.4,0.38,0.4,0.37,459600,0.0,7.69,-2.56,-0.01,2.23
奈飞,NFLX,2002-08-07,0.38,0.4,0.4,0.37,394000,0.0,7.89,5.26,0.02,1.91
奈飞,NFLX,2002-08-08,0.4,0.4,0.4,0.38,326200,0.0,5.0,0.0,0.0,1.58
奈飞,NFLX,2002-08-09,0.4,0.39,0.41,0.39,214400,0.0,5.0,-2.5,-0.01,1.04
奈飞,NFLX,2002-08-12,0.4,0.38,0.4,0.38,304400,0.0,5.13,-2.56,-0.01,1.47
奈飞,NFLX,2002-08-13,0.38,0.39,0.4,0.38,239600,0.0,5.26,2.63,0.01,1.16
奈飞,NFLX,2002-08-14,0.39,0.42,0.42,0.39,578200,0.0,7.69,7.69,0.03,2.8
奈飞,NFLX,2002-08-15,0.42,0.44,0.46,0.42,466200,0.0,9.52,4.76,0.02,2.26
奈飞,NFLX,2002-08-16,0.45,0.46,0.46,0.43,261200,0.0,6.82,4.55,0.02,1.27
