股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
百事,PEP,2000-01-03,-19.67,-18.17,-17.67,-20.05,5298400,0.0,-12.02,8.23,1.63,0.36
百事,PEP,2000-01-04,-18.49,-19.11,-17.49,-19.3,4555700,0.0,-9.96,-5.17,-0.94,0.31
百事,PEP,2000-01-05,-19.24,-19.99,-18.74,-20.17,5701900,0.0,-7.48,-4.6,-0.88,0.39
百事,PEP,2000-01-06,-20.3,-18.43,-18.17,-20.55,6863100,0.0,-11.91,7.8,1.56,0.47
百事,PEP,2000-01-07,-18.17,-17.43,-16.43,-18.36,10527800,0.0,-10.47,5.43,1.0,0.72
百事,PEP,2000-01-10,-16.93,-18.17,-16.86,-18.43,6402500,0.0,-9.01,-4.25,-0.74,0.44
百事,PEP,2000-01-11,-17.8,-18.3,-17.43,-18.43,5607800,0.0,-5.5,-0.72,-0.13,0.39
百事,PEP,2000-01-12,-18.3,-18.74,-17.8,-18.74,4267300,0.0,-5.14,-2.4,-0.44,0.29
百事,PEP,2000-01-13,-18.74,-19.11,-18.43,-19.11,3144200,0.0,-3.63,-1.97,-0.37,0.22
百事,PEP,2000-01-14,-18.99,-18.86,-18.24,-19.11,5413700,0.0,-4.55,1.31,0.25,0.37
百事,PEP,2000-01-18,-19.11,-18.8,-18.05,-19.49,4821600,0.0,-7.64,0.32,0.06,0.33
百事,PEP,2000-01-19,-18.17,-18.61,-18.17,-19.11,3999700,0.0,-5.0,1.01,0.19,0.27
百事,PEP,2000-01-20,-18.61,-18.93,-18.61,-19.05,3106100,0.0,-2.36,-1.72,-0.32,0.21
百事,PEP,2000-01-21,-18.86,-18.93,-18.61,-19.3,4454400,0.0,-3.65,0.0,0.0,0.31
百事,PEP,2000-01-24,-18.86,-19.74,-18.67,-20.24,3785000,0.0,-8.29,-4.28,-0.81,0.26
百事,PEP,2000-01-25,-19.74,-20.74,-19.67,-21.17,4356500,0.0,-7.6,-5.07,-1.0,0.3
百事,PEP,2000-01-26,-20.74,-21.11,-20.11,-21.3,3174100,0.0,-5.74,-1.78,-0.37,0.22
百事,PEP,2000-01-27,-21.05,-21.24,-20.74,-21.8,2610100,0.0,-5.02,-0.62,-0.13,0.18
百事,PEP,2000-01-28,-21.49,-21.8,-21.05,-21.86,4090800,0.0,-3.81,-2.64,-0.56,0.28
百事,PEP,2000-01-31,-21.55,-20.93,-20.67,-21.8,2989600,0.0,-5.18,3.99,0.87,0.21
百事,PEP,2000-02-01,-21.05,-21.05,-20.74,-21.36,3602600,0.0,-2.96,-0.57,-0.12,0.25
百事,PEP,2000-02-02,-21.3,-22.05,-21.11,-22.11,3289100,0.0,-4.75,-4.75,-1.0,0.23
百事,PEP,2000-02-03,-22.05,-21.99,-21.67,-22.43,3662900,0.0,-3.45,0.27,0.06,0.25
百事,PEP,2000-02-04,-21.43,-22.3,-20.93,-22.43,3885600,0.0,-6.82,-1.41,-0.31,0.27
百事,PEP,2000-02-07,-22.17,-22.67,-21.86,-22.8,3999700,0.0,-4.22,-1.66,-0.37,0.27
百事,PEP,2000-02-08,-21.74,-21.74,-21.3,-22.05,5010500,0.0,-3.31,4.1,0.93,0.34
百事,PEP,2000-02-09,-20.05,-21.05,-19.93,-21.3,8432500,0.0,-6.3,3.17,0.69,0.58
