股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
星巴克,SBUX,2000-01-03,-11.9,-11.8,-11.8,-11.98,12136400,0.0,-1.52,0.42,0.05,1.07
星巴克,SBUX,2000-01-04,-11.88,-11.9,-11.78,-11.92,10795200,0.0,-1.19,-0.85,-0.1,0.95
星巴克,SBUX,2000-01-05,-11.89,-11.86,-11.81,-11.92,14116400,0.0,-0.92,0.34,0.04,1.24
星巴克,SBUX,2000-01-06,-11.89,-11.75,-11.68,-11.89,15420000,0.0,-1.77,0.93,0.11,1.36
星巴克,SBUX,2000-01-07,-11.79,-11.77,-11.76,-11.85,13035200,0.0,-0.77,-0.17,-0.02,1.15
星巴克,SBUX,2000-01-10,-11.65,-11.64,-11.54,-11.66,14535600,0.0,-1.02,1.1,0.13,1.28
星巴克,SBUX,2000-01-11,-11.64,-11.73,-11.63,-11.74,9818000,0.0,-0.95,-0.77,-0.09,0.86
星巴克,SBUX,2000-01-12,-11.71,-11.72,-11.67,-11.79,8891200,0.0,-1.02,0.09,0.01,0.78
星巴克,SBUX,2000-01-13,-11.71,-11.5,-11.48,-11.71,10788000,0.0,-1.96,1.88,0.22,0.95
星巴克,SBUX,2000-01-14,-11.49,-11.58,-11.44,-11.6,11108800,0.0,-1.39,-0.7,-0.08,0.98
星巴克,SBUX,2000-01-18,-11.61,-11.63,-11.56,-11.72,5266400,0.0,-1.38,-0.43,-0.05,0.46
星巴克,SBUX,2000-01-19,-11.63,-11.7,-11.56,-11.71,7912000,0.0,-1.29,-0.6,-0.07,0.7
星巴克,SBUX,2000-01-20,-11.69,-11.75,-11.67,-11.82,9085600,0.0,-1.28,-0.43,-0.05,0.8
星巴克,SBUX,2000-01-21,-11.72,-11.76,-11.71,-11.79,5603600,0.0,-0.68,-0.09,-0.01,0.49
星巴克,SBUX,2000-01-24,-11.76,-11.82,-11.69,-12.0,15575600,0.0,-2.64,-0.51,-0.06,1.37
星巴克,SBUX,2000-01-25,-11.85,-11.64,-11.51,-11.91,23839200,0.0,-3.38,1.52,0.18,2.1
星巴克,SBUX,2000-01-26,-11.52,-11.26,-11.21,-11.54,37938000,0.0,-2.84,3.26,0.38,3.34
星巴克,SBUX,2000-01-27,-11.28,-11.28,-11.25,-11.35,18780800,0.0,-0.89,-0.18,-0.02,1.65
星巴克,SBUX,2000-01-28,-11.26,-11.16,-11.11,-11.27,30088000,0.0,-1.42,1.06,0.12,2.65
星巴克,SBUX,2000-01-31,-11.14,-10.89,-10.89,-11.15,25531200,0.0,-2.33,2.42,0.27,2.25
星巴克,SBUX,2000-02-01,-10.92,-10.85,-10.84,-10.96,15305200,0.0,-1.1,0.37,0.04,1.35
星巴克,SBUX,2000-02-02,-10.85,-10.91,-10.82,-11.03,10210800,0.0,-1.94,-0.55,-0.06,0.9
星巴克,SBUX,2000-02-03,-10.9,-10.96,-10.89,-11.09,10266400,0.0,-1.83,-0.46,-0.05,0.9
星巴克,SBUX,2000-02-04,-10.82,-10.59,-10.54,-10.95,25662400,0.0,-3.74,3.38,0.37,2.26
星巴克,SBUX,2000-02-07,-10.6,-10.6,-10.57,-10.71,9727600,0.0,-1.32,-0.09,-0.01,0.86
