股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
天狼星XM,SIRI,2001-01-02,28.49,25.74,28.99,25.3,493300,0.0,0.0,0.0,0.0,1.17
天狼星XM,SIRI,2001-01-03,25.36,31.18,32.24,25.12,1293200,0.0,27.66,21.13,5.44,3.07
天狼星XM,SIRI,2001-01-04,30.24,31.8,32.99,30.12,541200,0.0,9.2,1.99,0.62,1.29
天狼星XM,SIRI,2001-01-05,32.18,29.36,32.24,29.12,1176000,0.0,9.81,-7.67,-2.44,2.79
天狼星XM,SIRI,2001-01-08,29.33,28.8,29.74,27.3,1003200,0.0,8.31,-1.91,-0.56,2.38
天狼星XM,SIRI,2001-01-09,28.74,30.68,31.86,28.62,1348300,0.0,11.25,6.53,1.88,3.2
天狼星XM,SIRI,2001-01-10,30.8,31.74,32.86,30.55,1036900,0.0,7.53,3.46,1.06,2.46
天狼星XM,SIRI,2001-01-11,31.99,33.79,34.55,31.74,1326000,0.0,8.85,6.46,2.05,3.15
天狼星XM,SIRI,2001-01-12,33.74,31.12,33.86,30.3,4012300,0.0,10.54,-7.9,-2.67,9.53
天狼星XM,SIRI,2001-01-16,29.36,30.8,32.62,29.36,2584200,0.0,10.48,-1.03,-0.32,6.14
天狼星XM,SIRI,2001-01-17,31.24,34.12,34.24,30.65,1720700,0.0,11.66,10.78,3.32,4.09
天狼星XM,SIRI,2001-01-18,34.12,33.36,34.43,32.18,497300,0.0,6.59,-2.23,-0.76,1.18
天狼星XM,SIRI,2001-01-19,34.02,34.24,34.74,31.74,431600,0.0,8.99,2.64,0.88,1.02
天狼星XM,SIRI,2001-01-22,34.36,33.12,34.36,31.93,474900,0.0,7.1,-3.27,-1.12,1.13
天狼星XM,SIRI,2001-01-23,33.55,33.74,34.49,33.3,971800,0.0,3.59,1.87,0.62,2.31
天狼星XM,SIRI,2001-01-24,33.99,32.43,34.68,31.86,536800,0.0,8.36,-3.88,-1.31,1.27
天狼星XM,SIRI,2001-01-25,32.99,31.68,33.24,30.93,537000,0.0,7.12,-2.31,-0.75,1.28
天狼星XM,SIRI,2001-01-26,31.55,31.18,31.62,30.24,370300,0.0,4.36,-1.58,-0.5,0.88
