股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
新思科技,SNPS,2001-01-02,11.76,11.05,11.77,10.99,1134200,0.0,0.0,0.0,0.0,3.37
新思科技,SNPS,2001-01-03,11.01,12.56,12.58,10.92,5436800,0.0,15.02,13.67,1.51,16.15
新思科技,SNPS,2001-01-04,12.11,11.89,12.41,11.85,2888800,0.0,4.46,-5.33,-0.67,8.58
新思科技,SNPS,2001-01-05,11.91,12.0,12.25,11.61,1056800,0.0,5.38,0.93,0.11,3.14
新思科技,SNPS,2001-01-08,12.02,12.03,12.06,11.75,1274600,0.0,2.58,0.25,0.03,3.79
新思科技,SNPS,2001-01-09,12.03,12.31,12.81,12.03,5897800,0.0,6.48,2.33,0.28,17.52
新思科技,SNPS,2001-01-10,12.28,12.52,12.8,12.28,4511600,0.0,4.22,1.71,0.21,13.4
新思科技,SNPS,2001-01-11,12.52,12.86,13.02,12.52,9250800,0.0,3.99,2.72,0.34,27.48
新思科技,SNPS,2001-01-12,12.81,12.89,13.22,12.63,4874600,0.0,4.59,0.23,0.03,14.48
新思科技,SNPS,2001-01-16,12.75,12.56,12.91,12.36,2469800,0.0,4.27,-2.56,-0.33,7.34
新思科技,SNPS,2001-01-17,12.58,12.71,12.97,12.58,3295200,0.0,3.11,1.19,0.15,9.79
新思科技,SNPS,2001-01-18,12.66,12.49,13.0,12.44,2624000,0.0,4.41,-1.73,-0.22,7.79
新思科技,SNPS,2001-01-19,12.49,13.3,13.44,12.49,5459800,0.0,7.61,6.49,0.81,16.22
新思科技,SNPS,2001-01-22,13.28,13.77,13.78,13.28,3233000,0.0,3.76,3.53,0.47,9.6
新思科技,SNPS,2001-01-23,13.54,13.78,14.13,13.52,2425200,0.0,4.43,0.07,0.01,7.2
新思科技,SNPS,2001-01-24,13.78,13.44,13.78,13.1,1673000,0.0,4.93,-2.47,-0.34,4.97
新思科技,SNPS,2001-01-25,13.35,13.02,13.5,12.94,1403800,0.0,4.17,-3.13,-0.42,4.17
新思科技,SNPS,2001-01-26,13.02,12.94,13.11,12.86,1471200,0.0,1.92,-0.61,-0.08,4.37
新思科技,SNPS,2001-01-29,12.96,13.36,13.49,12.81,895000,0.0,5.26,3.25,0.42,2.66
新思科技,SNPS,2001-01-30,13.3,13.72,13.94,13.3,2233400,0.0,4.79,2.69,0.36,6.63
新思科技,SNPS,2001-01-31,13.67,13.0,13.69,12.66,2754200,0.0,7.51,-5.25,-0.72,8.18
新思科技,SNPS,2001-02-01,13.67,13.85,13.97,13.42,5239800,0.0,4.23,6.54,0.85,15.56
新思科技,SNPS,2001-02-02,13.78,13.49,13.85,13.35,1563000,0.0,3.61,-2.6,-0.36,4.64
新思科技,SNPS,2001-02-05,13.5,13.06,13.58,12.94,1547400,0.0,4.74,-3.19,-0.43,4.6
新思科技,SNPS,2001-02-06,13.09,13.35,13.49,13.0,1986400,0.0,3.75,2.22,0.29,5.9
新思科技,SNPS,2001-02-07,13.33,12.83,13.35,12.41,2364800,0.0,7.04,-3.9,-0.52,7.02
新思科技,SNPS,2001-02-08,12.86,12.67,12.89,12.35,1477000,0.0,4.21,-1.25,-0.16,4.39
新思科技,SNPS,2001-02-09,12.5,12.38,12.53,12.03,1461200,0.0,3.95,-2.29,-0.29,4.34
新思科技,SNPS,2001-02-12,12.28,12.47,12.8,12.24,1630200,0.0,4.52,0.73,0.09,4.84
新思科技,SNPS,2001-02-13,12.58,12.69,13.0,12.56,1774800,0.0,3.53,1.76,0.22,5.27
新思科技,SNPS,2001-02-14,12.86,12.59,12.94,12.47,945400,0.0,3.7,-0.79,-0.1,2.81
新思科技,SNPS,2001-02-15,12.77,12.97,13.5,12.75,1750600,0.0,5.96,3.02,0.38,5.2
新思科技,SNPS,2001-02-16,12.79,13.13,13.28,12.41,574400,0.0,6.71,1.23,0.16,1.71
新思科技,SNPS,2001-02-20,13.14,12.64,13.24,12.53,941800,0.0,5.41,-3.73,-0.49,2.8
新思科技,SNPS,2001-02-21,12.55,12.25,12.55,12.1,1794200,0.0,3.56,-3.09,-0.39,5.33
新思科技,SNPS,2001-02-22,12.85,13.22,13.53,12.85,6242000,0.0,5.55,7.92,0.97,18.54
新思科技,SNPS,2001-02-23,13.03,13.22,13.41,12.35,2555000,0.0,8.02,0.0,0.0,7.59
