股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Workday Inc-A,WDAY,2017-09-20,106.82,106.28,107.25,105.82,1436379,225078247.0,5.11,279.57,78.28,0.69
Workday Inc-A,WDAY,2017-09-21,104.57,103.83,104.83,102.6,1595692,165528375.0,2.1,-2.31,-2.45,0.77
Workday Inc-A,WDAY,2017-09-22,103.38,103.89,104.52,103.27,1256883,130527462.0,1.2,0.06,0.06,0.6
Workday Inc-A,WDAY,2017-09-25,103.96,100.27,104.24,99.8,3021966,303849200.0,4.27,-3.48,-3.62,1.45
Workday Inc-A,WDAY,2017-09-26,100.92,99.8,101.47,98.46,2358609,235088714.0,3.0,-0.47,-0.47,1.13
Workday Inc-A,WDAY,2017-09-27,100.27,100.72,101.4,99.7,2087542,209918693.0,1.7,0.92,0.92,1.0
Workday Inc-A,WDAY,2017-09-28,100.47,101.85,101.97,99.95,1429416,144978289.0,2.01,1.12,1.13,0.69
Workday Inc-A,WDAY,2017-09-29,102.19,105.39,105.66,102.09,2193267,229247877.0,3.51,3.48,3.54,1.05
Workday Inc-A,WDAY,2017-10-02,105.3,103.29,105.85,102.78,1631406,169572222.0,2.91,-1.99,-2.1,0.78
Workday Inc-A,WDAY,2017-10-03,103.19,104.52,105.28,103.16,1096195,114601399.0,2.05,1.19,1.23,0.53
Workday Inc-A,WDAY,2017-10-04,104.95,105.26,105.59,103.69,861593,90325963.0,1.82,0.71,0.74,0.41
Workday Inc-A,WDAY,2017-10-05,105.91,107.03,107.53,105.0,1492290,159077979.0,2.4,1.68,1.77,0.72
Workday Inc-A,WDAY,2017-10-06,106.7,110.23,110.59,106.23,2247003,246306200.0,4.07,2.99,3.2,1.08
Workday Inc-A,WDAY,2017-10-09,110.23,108.69,110.23,108.06,1395787,151710643.0,1.97,-1.4,-1.54,0.67
Workday Inc-A,WDAY,2017-10-10,109.63,108.31,110.17,107.56,1373560,149155292.0,2.4,-0.35,-0.38,0.66
Workday Inc-A,WDAY,2017-10-11,108.18,108.51,109.53,106.28,1895642,204508929.0,3.0,0.18,0.2,0.91
Workday Inc-A,WDAY,2017-10-12,108.46,108.64,109.04,107.19,1410797,153236707.0,1.7,0.12,0.13,0.68
Workday Inc-A,WDAY,2017-10-13,108.65,109.36,109.74,108.09,1620193,176727314.0,1.52,0.66,0.72,0.78
Workday Inc-A,WDAY,2017-10-16,109.36,107.23,110.29,106.87,1724557,185631608.0,3.13,-1.95,-2.13,0.83
Workday Inc-A,WDAY,2017-10-17,106.8,107.62,107.81,106.23,1633036,175383738.0,1.47,0.36,0.39,0.79
Workday Inc-A,WDAY,2017-10-18,107.51,107.18,107.78,105.89,1125463,120339838.0,1.76,-0.41,-0.44,0.54
Workday Inc-A,WDAY,2017-10-19,106.79,106.77,107.58,105.4,1372706,146145720.0,2.03,-0.38,-0.41,0.66
Workday Inc-A,WDAY,2017-10-20,107.01,108.56,109.43,106.82,1076623,116748804.0,2.44,1.68,1.79,0.52
Workday Inc-A,WDAY,2017-10-23,109.22,107.75,109.22,107.33,1740830,187818044.0,1.74,-0.75,-0.81,0.84
Workday Inc-A,WDAY,2017-10-24,108.1,107.18,108.27,106.79,1036835,111449767.0,1.37,-0.53,-0.57,0.5
Workday Inc-A,WDAY,2017-10-25,107.19,105.8,107.91,104.51,1636015,173342267.0,3.17,-1.29,-1.38,0.79
Workday Inc-A,WDAY,2017-10-26,104.74,107.12,107.68,104.56,744262,79586272.0,2.95,1.25,1.32,0.36
Workday Inc-A,WDAY,2017-10-27,108.02,108.51,109.55,107.11,979168,106260447.0,2.28,1.3,1.39,0.47
Workday Inc-A,WDAY,2017-10-30,108.6,108.42,109.26,107.69,1039982,112806088.0,1.45,-0.08,-0.09,0.5
Workday Inc-A,WDAY,2017-10-31,108.12,110.99,111.83,107.9,1852686,205379951.0,3.62,2.37,2.57,0.88
Workday Inc-A,WDAY,2017-11-01,111.94,110.27,111.94,108.55,1096808,120343605.0,3.05,-0.65,-0.72,0.52
Workday Inc-A,WDAY,2017-11-02,109.92,110.6,111.66,109.18,763424,84493210.0,2.25,0.3,0.33,0.36
Workday Inc-A,WDAY,2017-11-03,110.42,109.76,110.93,107.44,1098739,119722974.0,3.16,-0.76,-0.84,0.52
Workday Inc-A,WDAY,2017-11-06,110.0,108.42,110.6,108.3,1073195,116763888.0,2.1,-1.22,-1.34,0.51
Workday Inc-A,WDAY,2017-11-07,108.25,108.53,108.98,107.57,751190,81465299.0,1.3,0.1,0.11,0.36
Workday Inc-A,WDAY,2017-11-08,108.14,110.88,111.87,107.77,1263335,139587190.0,3.78,2.17,2.35,0.6
Workday Inc-A,WDAY,2017-11-09,108.42,106.15,109.36,104.5,2128347,226456642.0,4.38,-4.27,-4.73,1.01
Workday Inc-A,WDAY,2017-11-10,105.79,107.31,107.5,104.85,1181682,126175764.0,2.5,1.09,1.16,0.56
Workday Inc-A,WDAY,2017-11-13,106.58,106.17,106.99,105.51,1135194,120393795.0,1.38,-1.06,-1.14,0.54
Workday Inc-A,WDAY,2017-11-14,106.04,107.47,107.55,105.55,919285,98428539.0,1.88,1.22,1.3,0.44
Workday Inc-A,WDAY,2017-11-15,106.59,106.61,107.35,105.26,679672,72326035.0,1.94,-0.8,-0.86,0.32
Workday Inc-A,WDAY,2017-11-16,107.04,109.34,109.79,106.98,1009877,110214199.0,2.64,2.56,2.73,0.48
Workday Inc-A,WDAY,2017-11-17,110.0,111.68,112.8,109.84,1854073,206509790.0,2.71,2.14,2.34,0.88
Workday Inc-A,WDAY,2017-11-20,111.89,113.8,114.12,111.43,1898778,215416677.0,2.41,1.9,2.12,0.9
Workday Inc-A,WDAY,2017-11-21,113.96,115.29,116.32,113.6,1539106,177559794.0,2.39,1.31,1.49,0.73
Workday Inc-A,WDAY,2017-11-22,115.4,115.15,116.1,114.25,835492,96213955.0,1.6,-0.12,-0.14,0.4
Workday Inc-A,WDAY,2017-11-24,115.43,116.14,116.62,115.42,501561,58243552.0,1.04,0.86,0.99,0.24
Workday Inc-A,WDAY,2017-11-27,116.37,114.94,116.89,114.44,1487936,172026462.0,2.11,-1.03,-1.2,0.71
Workday Inc-A,WDAY,2017-11-28,115.31,114.76,115.59,113.36,1171948,134182465.0,1.94,-0.16,-0.18,0.56
Workday Inc-A,WDAY,2017-11-29,114.0,106.54,114.24,105.63,5103568,552946288.0,7.5,-7.16,-8.22,2.43
Workday Inc-A,WDAY,2017-11-30,105.49,103.0,107.7,102.11,6629159,688006208.0,5.25,-3.32,-3.54,3.16
Workday Inc-A,WDAY,2017-12-01,102.63,100.52,103.88,98.57,3664142,367879936.0,5.16,-2.41,-2.48,1.74
Workday Inc-A,WDAY,2017-12-04,101.38,96.58,101.7,96.5,3308885,323820288.0,5.17,-3.92,-3.94,1.58
Workday Inc-A,WDAY,2017-12-05,96.48,99.2,99.68,95.35,3579311,351601872.0,4.48,2.71,2.62,1.7
Workday Inc-A,WDAY,2017-12-06,98.67,102.35,102.53,98.18,3654638,367888576.0,4.39,3.18,3.15,1.74
Workday Inc-A,WDAY,2017-12-07,102.75,104.2,104.81,102.36,4003920,415795280.0,2.39,1.81,1.85,1.91
Workday Inc-A,WDAY,2017-12-08,105.0,104.85,106.35,103.85,2260368,236885730.0,2.4,0.62,0.65,1.08
Workday Inc-A,WDAY,2017-12-11,105.16,104.81,106.83,103.3,3002086,314744128.0,3.37,-0.04,-0.04,1.43
Workday Inc-A,WDAY,2017-12-12,104.56,102.49,105.43,102.26,3164401,327664848.0,3.02,-2.21,-2.32,1.51
Workday Inc-A,WDAY,2017-12-13,103.34,101.47,103.71,100.85,1855335,189231570.0,2.79,-1.0,-1.02,0.88
Workday Inc-A,WDAY,2017-12-14,102.04,103.35,103.72,101.47,2276792,234745212.0,2.22,1.85,1.88,1.08
Workday Inc-A,WDAY,2017-12-15,103.55,103.47,104.05,101.67,6458430,667890624.0,2.3,0.12,0.12,3.08
Workday Inc-A,WDAY,2017-12-18,104.04,103.65,104.19,102.17,2604563,268555792.0,1.95,0.17,0.18,1.24
Workday Inc-A,WDAY,2017-12-19,103.5,102.93,104.3,102.37,1894243,195393817.0,1.86,-0.69,-0.72,0.9
Workday Inc-A,WDAY,2017-12-20,103.01,102.0,103.59,101.04,1162484,118246140.0,2.48,-0.9,-0.93,0.55
Workday Inc-A,WDAY,2017-12-21,102.2,102.89,103.09,101.54,1153073,118242643.0,1.52,0.87,0.89,0.55
Workday Inc-A,WDAY,2017-12-22,102.22,102.32,102.87,100.79,972875,99015082.0,2.02,-0.55,-0.57,0.46
Workday Inc-A,WDAY,2017-12-26,102.14,102.93,103.36,101.5,867009,89209573.0,1.82,0.6,0.61,0.41
Workday Inc-A,WDAY,2017-12-27,102.63,103.06,103.8,102.0,986027,101493553.0,1.75,0.13,0.13,0.47
Workday Inc-A,WDAY,2017-12-28,103.32,102.2,103.32,101.73,917124,93653337.0,1.54,-0.83,-0.86,0.44
Workday Inc-A,WDAY,2017-12-29,102.02,101.74,102.65,101.15,764109,77956043.0,1.47,-0.45,-0.46,0.36
Workday Inc-A,WDAY,2018-01-02,102.05,103.4,103.6,100.24,1599992,164549161.0,3.3,1.63,1.66,0.76
Workday Inc-A,WDAY,2018-01-03,103.88,105.17,105.9,102.02,2047863,214765577.0,3.75,1.71,1.77,0.98
Workday Inc-A,WDAY,2018-01-04,107.54,109.25,110.19,107.31,2774041,302670336.0,2.74,3.88,4.08,1.32
Workday Inc-A,WDAY,2018-01-05,109.94,109.32,109.94,108.3,1025352,111993908.0,1.5,0.06,0.07,0.49
Workday Inc-A,WDAY,2018-01-08,108.72,109.94,110.06,108.11,1626896,177722672.0,1.78,0.57,0.62,0.77
Workday Inc-A,WDAY,2018-01-09,109.95,109.7,109.98,108.64,1228173,134320417.0,1.22,-0.22,-0.24,0.58
Workday Inc-A,WDAY,2018-01-10,111.9,114.14,114.48,111.76,3098126,351557904.0,2.48,4.05,4.44,1.48
Workday Inc-A,WDAY,2018-01-11,113.58,114.24,114.77,112.55,1397960,159504901.0,1.94,0.09,0.1,0.67
Workday Inc-A,WDAY,2018-01-12,114.3,112.9,114.88,112.71,1183500,134376826.0,1.9,-1.17,-1.34,0.56
Workday Inc-A,WDAY,2018-01-16,112.93,110.09,114.4,108.86,2160506,240183754.0,4.91,-2.49,-2.81,1.03
Workday Inc-A,WDAY,2018-01-17,110.1,112.26,113.13,109.74,1419661,158583416.0,3.08,1.97,2.17,0.68
Workday Inc-A,WDAY,2018-01-18,111.61,113.28,113.72,111.36,1198338,135372349.0,2.1,0.91,1.02,0.57
Workday Inc-A,WDAY,2018-01-19,113.3,114.11,114.11,113.03,978781,111261951.0,0.95,0.73,0.83,0.47
Workday Inc-A,WDAY,2018-01-22,114.0,115.3,115.32,113.09,1023635,117407392.0,1.95,1.04,1.19,0.49
Workday Inc-A,WDAY,2018-01-23,115.3,117.21,117.6,114.8,1521781,178052531.0,2.43,1.66,1.91,0.72
Workday Inc-A,WDAY,2018-01-24,117.0,115.81,117.49,114.44,1453729,168479239.0,2.6,-1.19,-1.4,0.69
Workday Inc-A,WDAY,2018-01-25,117.01,115.32,117.35,115.14,885381,102675031.0,1.91,-0.42,-0.49,0.42
Workday Inc-A,WDAY,2018-01-26,115.84,118.81,118.87,115.32,968438,114109926.0,3.08,3.03,3.49,0.46
Workday Inc-A,WDAY,2018-01-29,117.76,116.52,118.72,116.36,1062806,124519721.0,1.99,-1.93,-2.29,0.51
Workday Inc-A,WDAY,2018-01-30,118.66,120.26,121.73,116.48,3275596,393093664.0,4.51,3.21,3.74,1.56
Workday Inc-A,WDAY,2018-01-31,120.7,119.89,121.98,119.16,1356113,162915509.0,2.34,-0.31,-0.37,0.64
Workday Inc-A,WDAY,2018-02-01,119.03,119.03,121.42,118.26,1073184,128311478.0,2.64,-0.72,-0.86,0.51
