股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Check Point Software Technologi,CHKP,2000-01-03,34.17,36.42,36.42,32.0,3205200,0.0,13.34,9.93,3.29,4.22
Check Point Software Technologi,CHKP,2000-01-04,35.46,33.13,36.31,32.33,3248400,0.0,10.93,-9.03,-3.29,4.28
Check Point Software Technologi,CHKP,2000-01-05,32.83,32.79,33.48,31.0,4746000,0.0,7.49,-1.03,-0.34,6.25
Check Point Software Technologi,CHKP,2000-01-06,31.92,30.54,32.58,29.08,3370200,0.0,10.67,-6.86,-2.25,4.44
Check Point Software Technologi,CHKP,2000-01-07,30.47,31.98,32.83,29.33,3787200,0.0,11.46,4.72,1.44,4.99
Check Point Software Technologi,CHKP,2000-01-10,33.0,35.29,35.5,33.0,3307800,0.0,7.82,10.35,3.31,4.35
Check Point Software Technologi,CHKP,2000-01-11,34.0,33.75,36.42,33.5,2711400,0.0,8.27,-4.36,-1.54,3.57
Check Point Software Technologi,CHKP,2000-01-12,34.36,31.75,34.48,31.58,2424600,0.0,8.59,-5.93,-2.0,3.19
Check Point Software Technologi,CHKP,2000-01-13,32.59,32.98,33.0,31.76,2145000,0.0,3.91,3.87,1.23,2.82
Check Point Software Technologi,CHKP,2000-01-14,35.0,39.33,39.83,34.94,5578200,0.0,14.83,19.25,6.35,7.34
Check Point Software Technologi,CHKP,2000-01-18,39.04,40.39,41.5,37.86,2574000,0.0,9.26,2.7,1.06,3.39
Check Point Software Technologi,CHKP,2000-01-19,41.76,40.17,42.42,39.96,3267600,0.0,6.09,-0.54,-0.22,4.3
Check Point Software Technologi,CHKP,2000-01-20,40.83,40.25,41.37,39.5,2489400,0.0,4.66,0.2,0.08,3.28
Check Point Software Technologi,CHKP,2000-01-21,40.17,41.14,41.67,39.83,3331800,0.0,4.57,2.21,0.89,4.39
Check Point Software Technologi,CHKP,2000-01-24,41.88,42.6,45.5,41.29,4829400,0.0,10.23,3.55,1.46,6.36
Check Point Software Technologi,CHKP,2000-01-25,42.0,46.56,47.3,41.5,3981000,0.0,13.62,9.3,3.96,5.24
Check Point Software Technologi,CHKP,2000-01-26,46.33,43.67,47.33,43.02,2418000,0.0,9.26,-6.21,-2.89,3.18
Check Point Software Technologi,CHKP,2000-01-27,44.5,41.75,44.58,40.17,2476200,0.0,10.1,-4.4,-1.92,3.26
Check Point Software Technologi,CHKP,2000-01-28,40.58,38.33,45.17,38.08,4764600,0.0,16.98,-8.19,-3.42,6.27
Check Point Software Technologi,CHKP,2000-01-31,39.33,36.72,39.33,35.0,3248400,0.0,11.3,-4.2,-1.61,4.28
Check Point Software Technologi,CHKP,2000-02-01,38.29,42.33,42.5,36.83,3270000,0.0,15.44,15.28,5.61,4.3
Check Point Software Technologi,CHKP,2000-02-02,43.65,43.88,45.0,42.29,2705400,0.0,6.4,3.66,1.55,3.56
Check Point Software Technologi,CHKP,2000-02-03,45.83,48.83,49.67,45.0,3851700,0.0,10.64,11.28,4.95,5.07
Check Point Software Technologi,CHKP,2000-02-04,51.04,46.42,51.71,45.83,4238400,0.0,12.04,-4.94,-2.41,5.58
Check Point Software Technologi,CHKP,2000-02-07,47.81,46.67,48.0,45.71,2080200,0.0,4.93,0.54,0.25,2.74
Check Point Software Technologi,CHKP,2000-02-08,47.08,46.69,48.83,46.5,5766900,0.0,4.99,0.04,0.02,7.59
Check Point Software Technologi,CHKP,2000-02-09,48.1,49.33,50.58,46.46,6761100,0.0,8.82,5.65,2.64,8.9
Check Point Software Technologi,CHKP,2000-02-10,52.0,60.08,61.67,51.42,7095600,0.0,20.78,21.79,10.75,9.34
Check Point Software Technologi,CHKP,2000-02-11,60.08,57.69,60.17,56.58,5361000,0.0,5.98,-3.98,-2.39,7.06
Check Point Software Technologi,CHKP,2000-02-14,58.92,57.31,58.92,53.33,3834300,0.0,9.69,-0.66,-0.38,5.05
Check Point Software Technologi,CHKP,2000-02-15,58.29,61.42,63.42,58.17,5763600,0.0,9.16,7.17,4.11,7.59
Check Point Software Technologi,CHKP,2000-02-16,63.13,62.38,66.0,60.67,3727500,0.0,8.68,1.56,0.96,4.91
Check Point Software Technologi,CHKP,2000-02-17,63.38,63.33,65.08,60.88,4991700,0.0,6.73,1.52,0.95,6.57
Check Point Software Technologi,CHKP,2000-02-18,65.67,66.06,66.67,64.67,2969400,0.0,3.16,4.31,2.73,3.91
Check Point Software Technologi,CHKP,2000-02-22,66.15,63.67,66.42,60.27,4871700,0.0,9.31,-3.62,-2.39,6.41
Check Point Software Technologi,CHKP,2000-02-23,64.0,65.35,66.65,61.63,1978800,0.0,7.88,2.64,1.68,2.6
Check Point Software Technologi,CHKP,2000-02-24,66.67,63.67,66.67,62.67,1782000,0.0,6.12,-2.57,-1.68,2.35
Check Point Software Technologi,CHKP,2000-02-25,63.98,68.54,69.5,63.65,5036400,0.0,9.19,7.65,4.87,6.63
Check Point Software Technologi,CHKP,2000-02-28,68.0,67.17,69.19,63.17,3575400,0.0,8.78,-2.0,-1.37,4.71
Check Point Software Technologi,CHKP,2000-02-29,67.58,67.98,68.33,66.33,2430600,0.0,2.98,1.21,0.81,3.2
Check Point Software Technologi,CHKP,2000-03-01,68.33,70.58,72.67,67.83,2786700,0.0,7.12,3.82,2.6,3.67
Check Point Software Technologi,CHKP,2000-03-02,72.67,73.5,75.45,70.92,2964300,0.0,6.42,4.14,2.92,3.9
Check Point Software Technologi,CHKP,2000-03-03,74.04,76.58,79.0,72.67,1617900,0.0,8.61,4.19,3.08,2.13
Check Point Software Technologi,CHKP,2000-03-06,78.67,78.83,82.58,76.67,2409000,0.0,7.72,2.94,2.25,3.17
Check Point Software Technologi,CHKP,2000-03-07,80.67,84.35,86.33,80.67,3718800,0.0,7.18,7.0,5.52,4.9
Check Point Software Technologi,CHKP,2000-03-08,91.38,90.5,96.0,86.0,4969500,0.0,11.86,7.29,6.15,6.54
Check Point Software Technologi,CHKP,2000-03-09,92.0,90.13,92.21,89.63,2378700,0.0,2.85,-0.41,-0.37,3.13
Check Point Software Technologi,CHKP,2000-03-10,90.77,93.29,98.33,88.13,2111400,0.0,11.32,3.51,3.16,2.78
Check Point Software Technologi,CHKP,2000-03-13,92.33,89.4,92.74,88.33,2025900,0.0,4.73,-4.17,-3.89,2.67
Check Point Software Technologi,CHKP,2000-03-14,89.69,82.29,92.17,76.33,4713600,0.0,17.72,-7.95,-7.11,6.2
Check Point Software Technologi,CHKP,2000-03-15,80.5,69.56,80.71,68.0,7469100,0.0,15.45,-15.47,-12.73,9.83
Check Point Software Technologi,CHKP,2000-03-16,70.63,73.04,73.33,63.0,10577400,0.0,14.85,5.0,3.48,13.92
Check Point Software Technologi,CHKP,2000-03-17,77.04,78.5,80.67,74.33,4846200,0.0,8.68,7.48,5.46,6.38
Check Point Software Technologi,CHKP,2000-03-20,82.92,66.1,83.33,66.0,7385100,0.0,22.08,-15.8,-12.4,9.72
Check Point Software Technologi,CHKP,2000-03-21,67.33,74.5,75.33,63.33,6760800,0.0,18.15,12.71,8.4,8.9
Check Point Software Technologi,CHKP,2000-03-22,75.79,72.52,76.1,70.0,3104100,0.0,8.19,-2.66,-1.98,4.09
Check Point Software Technologi,CHKP,2000-03-23,72.79,73.0,76.0,71.25,1580700,0.0,6.55,0.66,0.48,2.08
Check Point Software Technologi,CHKP,2000-03-24,71.33,72.83,77.0,70.38,3246600,0.0,9.07,-0.23,-0.17,4.27
Check Point Software Technologi,CHKP,2000-03-27,74.52,68.31,74.67,68.21,2771400,0.0,8.87,-6.21,-4.52,3.65
Check Point Software Technologi,CHKP,2000-03-28,69.69,66.08,72.67,65.54,3225000,0.0,10.44,-3.26,-2.23,4.25
Check Point Software Technologi,CHKP,2000-03-29,67.0,52.5,67.33,51.67,8280300,0.0,23.7,-20.55,-13.58,10.9
Check Point Software Technologi,CHKP,2000-03-30,52.75,56.5,59.33,51.83,11266800,0.0,14.29,7.62,4.0,14.83
Check Point Software Technologi,CHKP,2000-03-31,60.25,57.02,61.83,55.25,8682300,0.0,11.65,0.92,0.52,11.43
Check Point Software Technologi,CHKP,2000-04-03,56.67,44.96,56.67,43.67,8285400,0.0,22.8,-21.15,-12.06,10.91
Check Point Software Technologi,CHKP,2000-04-04,47.33,53.45,53.67,38.65,13183200,0.0,33.41,18.88,8.49,17.35
Check Point Software Technologi,CHKP,2000-04-05,48.67,52.83,57.13,48.67,9561300,0.0,15.83,-1.16,-0.62,12.59
Check Point Software Technologi,CHKP,2000-04-06,55.42,58.92,59.17,55.0,4062900,0.0,7.89,11.53,6.09,5.35
Check Point Software Technologi,CHKP,2000-04-07,61.33,65.49,65.58,60.67,4791600,0.0,8.33,11.15,6.57,6.31
Check Point Software Technologi,CHKP,2000-04-10,65.79,60.15,66.67,58.5,4652100,0.0,12.48,-8.15,-5.34,6.12
Check Point Software Technologi,CHKP,2000-04-11,56.98,56.5,59.67,55.0,6350700,0.0,7.76,-6.07,-3.65,8.36
Check Point Software Technologi,CHKP,2000-04-12,58.65,55.85,62.33,53.5,11100900,0.0,15.63,-1.15,-0.65,14.61
Check Point Software Technologi,CHKP,2000-04-13,57.38,55.67,60.33,53.67,7910700,0.0,11.92,-0.32,-0.18,10.41
Check Point Software Technologi,CHKP,2000-04-14,53.33,49.88,55.46,47.58,8379600,0.0,14.15,-10.4,-5.79,11.03
Check Point Software Technologi,CHKP,2000-04-17,44.17,50.67,50.71,42.88,8718900,0.0,15.7,1.58,0.79,11.48
Check Point Software Technologi,CHKP,2000-04-18,51.5,57.99,58.67,51.0,6899100,0.0,15.14,14.45,7.32,9.08
Check Point Software Technologi,CHKP,2000-04-19,58.34,53.67,61.0,53.33,5450400,0.0,13.23,-7.45,-4.32,7.17
Check Point Software Technologi,CHKP,2000-04-20,55.54,53.9,55.58,52.67,2862600,0.0,5.42,0.43,0.23,3.77
Check Point Software Technologi,CHKP,2000-04-24,50.33,47.98,53.04,44.92,3615300,0.0,15.06,-10.98,-5.92,4.76
Check Point Software Technologi,CHKP,2000-04-25,50.0,57.0,57.5,50.0,6313500,0.0,15.63,18.8,9.02,8.31
Check Point Software Technologi,CHKP,2000-04-26,59.33,57.0,61.67,55.67,6194700,0.0,10.53,0.0,0.0,8.15
Check Point Software Technologi,CHKP,2000-04-27,51.59,59.67,60.67,51.5,5722800,0.0,16.09,4.68,2.67,7.53
Check Point Software Technologi,CHKP,2000-04-28,60.9,57.67,61.5,57.58,2589300,0.0,6.57,-3.35,-2.0,3.41
Check Point Software Technologi,CHKP,2000-05-01,59.75,60.42,61.15,57.85,3603300,0.0,5.72,4.77,2.75,4.74
Check Point Software Technologi,CHKP,2000-05-02,59.0,60.85,63.12,58.58,4249200,0.0,7.51,0.71,0.43,5.59
Check Point Software Technologi,CHKP,2000-05-03,59.67,58.48,60.58,54.71,7763400,0.0,9.65,-3.89,-2.37,10.22
Check Point Software Technologi,CHKP,2000-05-04,58.63,62.88,63.88,58.29,5170800,0.0,9.56,7.52,4.4,6.81
Check Point Software Technologi,CHKP,2000-05-05,61.46,62.31,63.33,60.67,3108600,0.0,4.23,-0.91,-0.57,4.09
Check Point Software Technologi,CHKP,2000-05-08,59.83,58.55,61.67,58.5,1576200,0.0,5.09,-6.03,-3.76,2.07
Check Point Software Technologi,CHKP,2000-05-09,58.94,53.4,58.94,53.0,4469400,0.0,10.15,-8.8,-5.15,5.88
Check Point Software Technologi,CHKP,2000-05-10,52.04,51.25,54.0,48.42,5412000,0.0,10.45,-4.03,-2.15,7.12
Check Point Software Technologi,CHKP,2000-05-11,52.67,55.02,56.81,52.33,4093800,0.0,8.74,7.36,3.77,5.39
Check Point Software Technologi,CHKP,2000-05-12,56.67,54.5,57.25,54.46,2796600,0.0,5.07,-0.95,-0.52,3.68
Check Point Software Technologi,CHKP,2000-05-15,53.83,57.71,58.17,52.48,2802300,0.0,10.44,5.89,3.21,3.69
Check Point Software Technologi,CHKP,2000-05-16,58.17,59.29,61.65,58.0,3555000,0.0,6.32,2.74,1.58,4.68
Check Point Software Technologi,CHKP,2000-05-17,57.54,60.92,61.67,57.33,2403000,0.0,7.32,2.75,1.63,3.16
Check Point Software Technologi,CHKP,2000-05-18,60.83,57.69,62.5,57.67,3294600,0.0,7.93,-5.3,-3.23,4.34
Check Point Software Technologi,CHKP,2000-05-19,57.08,53.79,57.5,53.67,4197300,0.0,6.64,-6.76,-3.9,5.52
Check Point Software Technologi,CHKP,2000-05-22,53.5,54.29,55.17,48.35,6600300,0.0,12.68,0.93,0.5,8.69
Check Point Software Technologi,CHKP,2000-05-23,53.83,51.5,55.96,51.33,3479400,0.0,8.53,-5.14,-2.79,4.58
Check Point Software Technologi,CHKP,2000-05-24,50.25,51.21,52.67,48.67,7706400,0.0,7.77,-0.56,-0.29,10.14
Check Point Software Technologi,CHKP,2000-05-25,52.0,53.42,55.83,51.9,7662000,0.0,7.67,4.32,2.21,10.09
Check Point Software Technologi,CHKP,2000-05-26,53.18,54.17,55.0,51.77,2295900,0.0,6.05,1.4,0.75,3.02
Check Point Software Technologi,CHKP,2000-05-30,55.33,62.92,62.96,55.25,5767800,0.0,14.23,16.15,8.75,7.59
Check Point Software Technologi,CHKP,2000-05-31,61.33,62.63,65.04,60.33,7485900,0.0,7.49,-0.46,-0.29,9.85
Check Point Software Technologi,CHKP,2000-06-01,63.67,65.58,66.85,63.56,4043400,0.0,5.25,4.71,2.95,5.32
Check Point Software Technologi,CHKP,2000-06-02,69.42,77.21,78.67,69.25,9346500,0.0,14.36,17.73,11.63,12.3
Check Point Software Technologi,CHKP,2000-06-05,74.58,72.0,76.5,71.17,6272100,0.0,6.9,-6.75,-5.21,8.26
Check Point Software Technologi,CHKP,2000-06-06,73.67,68.65,73.75,67.08,4941300,0.0,9.26,-4.65,-3.35,6.5
Check Point Software Technologi,CHKP,2000-06-07,67.0,73.67,75.17,66.91,6503700,0.0,12.03,7.31,5.02,8.56
Check Point Software Technologi,CHKP,2000-06-08,75.17,75.42,76.33,72.33,5635800,0.0,5.43,2.38,1.75,7.42
Check Point Software Technologi,CHKP,2000-06-09,77.21,75.17,78.58,74.0,2863800,0.0,6.07,-0.33,-0.25,3.77
Check Point Software Technologi,CHKP,2000-06-12,74.71,70.06,75.42,69.79,2999400,0.0,7.49,-6.8,-5.11,3.95
Check Point Software Technologi,CHKP,2000-06-13,69.92,76.2,76.58,69.13,4922700,0.0,10.63,8.76,6.14,6.48
Check Point Software Technologi,CHKP,2000-06-14,75.75,72.46,76.92,71.46,3971700,0.0,7.17,-4.91,-3.74,5.23
Check Point Software Technologi,CHKP,2000-06-15,72.31,70.33,73.0,68.58,4013100,0.0,6.1,-2.94,-2.13,5.28
Check Point Software Technologi,CHKP,2000-06-16,73.1,71.25,73.1,70.58,1899300,0.0,3.58,1.31,0.92,2.5
Check Point Software Technologi,CHKP,2000-06-19,70.96,75.63,76.5,68.4,4038300,0.0,11.37,6.15,4.38,5.32
Check Point Software Technologi,CHKP,2000-06-20,75.58,73.58,78.42,72.13,4379100,0.0,8.32,-2.71,-2.05,5.76
Check Point Software Technologi,CHKP,2000-06-21,72.42,76.0,76.67,71.92,3411900,0.0,6.46,3.29,2.42,4.49
Check Point Software Technologi,CHKP,2000-06-22,77.1,72.31,81.83,72.0,8635800,0.0,12.93,-4.86,-3.69,11.37
Check Point Software Technologi,CHKP,2000-06-23,73.17,71.21,74.31,70.0,6788100,0.0,5.96,-1.52,-1.1,8.94
Check Point Software Technologi,CHKP,2000-06-26,71.19,72.9,73.17,69.33,5061000,0.0,5.39,2.37,1.69,6.66
Check Point Software Technologi,CHKP,2000-06-27,73.58,73.23,75.5,72.31,3295200,0.0,4.38,0.45,0.33,4.34
Check Point Software Technologi,CHKP,2000-06-28,73.33,71.93,76.25,71.0,3251100,0.0,7.17,-1.78,-1.3,4.28
Check Point Software Technologi,CHKP,2000-06-29,70.46,70.02,72.6,68.42,4187400,0.0,5.81,-2.66,-1.91,5.51
Check Point Software Technologi,CHKP,2000-06-30,72.6,70.58,75.67,69.83,6618600,0.0,8.34,0.8,0.56,8.71
Check Point Software Technologi,CHKP,2000-07-03,70.69,73.54,73.58,70.67,2402100,0.0,4.12,4.19,2.96,3.16
Check Point Software Technologi,CHKP,2000-07-05,72.67,70.19,73.13,70.0,3462600,0.0,4.26,-4.56,-3.35,4.56
Check Point Software Technologi,CHKP,2000-07-06,71.05,72.0,72.33,68.42,3228600,0.0,5.57,2.58,1.81,4.25
Check Point Software Technologi,CHKP,2000-07-07,72.31,75.0,75.42,70.71,4317600,0.0,6.54,4.17,3.0,5.68
Check Point Software Technologi,CHKP,2000-07-10,75.04,73.54,75.58,73.08,3036900,0.0,3.33,-1.95,-1.46,4.0
Check Point Software Technologi,CHKP,2000-07-11,73.5,71.46,75.17,70.75,2683500,0.0,6.01,-2.83,-2.08,3.53
Check Point Software Technologi,CHKP,2000-07-12,72.98,77.23,78.19,72.46,5346900,0.0,8.02,8.07,5.77,7.04
Check Point Software Technologi,CHKP,2000-07-13,78.65,78.31,79.96,75.77,5426700,0.0,5.43,1.4,1.08,7.14
Check Point Software Technologi,CHKP,2000-07-14,79.54,78.08,79.88,76.6,2662800,0.0,4.19,-0.29,-0.23,3.51
Check Point Software Technologi,CHKP,2000-07-17,77.92,86.94,88.06,77.71,10295400,0.0,13.26,11.35,8.86,13.55
Check Point Software Technologi,CHKP,2000-07-18,85.13,83.52,88.0,81.33,9983700,0.0,7.67,-3.93,-3.42,13.14
Check Point Software Technologi,CHKP,2000-07-19,82.54,74.96,83.33,72.21,13686000,0.0,13.31,-10.25,-8.56,18.01
Check Point Software Technologi,CHKP,2000-07-20,79.46,81.08,83.5,78.54,10450800,0.0,6.62,8.16,6.12,13.76
Check Point Software Technologi,CHKP,2000-07-21,81.0,83.67,84.29,78.94,5381700,0.0,6.6,3.19,2.59,7.08
Check Point Software Technologi,CHKP,2000-07-24,83.35,80.0,86.21,79.17,5549400,0.0,8.41,-4.39,-3.67,7.3
Check Point Software Technologi,CHKP,2000-07-25,80.31,78.25,80.33,75.67,4702500,0.0,5.83,-2.19,-1.75,6.19
Check Point Software Technologi,CHKP,2000-07-26,79.13,81.17,81.46,74.0,3779700,0.0,9.53,3.73,2.92,4.98
Check Point Software Technologi,CHKP,2000-07-27,80.5,79.79,81.63,78.0,2466200,0.0,4.47,-1.7,-1.38,3.25
