股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
高知特,CTSH,2000-01-03,-3.83,-4.13,-3.82,-4.4,660000,0.0,-15.06,-7.27,-0.28,7.14
高知特,CTSH,2000-01-04,-4.17,-4.2,-4.09,-4.27,494400,0.0,-4.36,-1.69,-0.07,5.35
高知特,CTSH,2000-01-05,-4.26,-4.09,-4.09,-4.44,472800,0.0,-8.33,2.62,0.11,5.11
高知特,CTSH,2000-01-06,-4.1,-4.2,-4.09,-4.2,192000,0.0,-2.69,-2.69,-0.11,2.08
高知特,CTSH,2000-01-07,-4.21,-4.17,-4.17,-4.34,220800,0.0,-4.05,0.71,0.03,2.39
高知特,CTSH,2000-01-10,-4.07,-4.13,-3.91,-4.15,465600,0.0,-5.76,0.96,0.04,5.04
高知特,CTSH,2000-01-11,-4.13,-4.15,-4.03,-4.18,343200,0.0,-3.63,-0.48,-0.02,3.71
高知特,CTSH,2000-01-12,-4.16,-4.24,-4.15,-4.29,115200,0.0,-3.37,-2.17,-0.09,1.25
高知特,CTSH,2000-01-13,-4.23,-4.17,-4.17,-4.25,151200,0.0,-1.89,1.65,0.07,1.64
高知特,CTSH,2000-01-14,-4.09,-4.23,-4.06,-4.26,232800,0.0,-4.8,-1.44,-0.06,2.52
高知特,CTSH,2000-01-18,-4.24,-4.43,-4.16,-4.46,384000,0.0,-7.09,-4.73,-0.2,4.15
高知特,CTSH,2000-01-19,-4.43,-4.3,-4.24,-4.45,235200,0.0,-4.74,2.93,0.13,2.54
高知特,CTSH,2000-01-20,-4.26,-4.36,-4.17,-4.39,381600,0.0,-5.12,-1.4,-0.06,4.13
高知特,CTSH,2000-01-21,-4.38,-4.42,-4.35,-4.47,338400,0.0,-2.75,-1.38,-0.06,3.66
高知特,CTSH,2000-01-24,-4.45,-4.3,-4.26,-4.45,472800,0.0,-4.3,2.71,0.12,5.11
高知特,CTSH,2000-01-25,-4.3,-4.26,-4.26,-4.34,153600,0.0,-1.86,0.93,0.04,1.66
高知特,CTSH,2000-01-26,-4.26,-4.23,-4.01,-4.26,429600,0.0,-5.87,0.7,0.03,4.65
高知特,CTSH,2000-01-27,-4.18,-4.23,-4.1,-4.23,151200,0.0,-3.07,0.0,0.0,1.64
高知特,CTSH,2000-01-28,-4.16,-4.26,-4.16,-4.27,50400,0.0,-2.6,-0.71,-0.03,0.55
高知特,CTSH,2000-01-31,-4.3,-4.56,-4.19,-4.61,914400,0.0,-9.86,-7.04,-0.3,9.89
高知特,CTSH,2000-02-01,-4.48,-4.3,-4.26,-4.55,508800,0.0,-6.36,5.7,0.26,5.5
高知特,CTSH,2000-02-02,-4.23,-4.21,-4.17,-4.29,208800,0.0,-2.79,2.09,0.09,2.26
高知特,CTSH,2000-02-03,-4.21,-4.19,-4.15,-4.29,331200,0.0,-3.33,0.48,0.02,3.58
高知特,CTSH,2000-02-04,-4.09,-4.11,-4.09,-4.19,182400,0.0,-2.39,1.91,0.08,1.97
高知特,CTSH,2000-02-07,-4.12,-3.87,-3.86,-4.12,835200,0.0,-6.33,5.84,0.24,9.03
高知特,CTSH,2000-02-08,-3.67,-3.55,-3.45,-3.79,1701600,0.0,-8.79,8.27,0.32,18.4
高知特,CTSH,2000-02-09,-3.51,-3.58,-3.51,-3.71,631200,0.0,-5.63,-0.85,-0.03,6.83
高知特,CTSH,2000-02-10,-3.61,-3.55,-3.53,-3.71,408000,0.0,-5.03,0.84,0.03,4.41
高知特,CTSH,2000-02-11,-3.55,-3.42,-3.39,-3.66,1663200,0.0,-7.61,3.66,0.13,17.99
高知特,CTSH,2000-02-14,-3.32,-3.44,-3.32,-3.55,837600,0.0,-6.73,-0.58,-0.02,9.06
高知特,CTSH,2000-02-15,-3.4,-3.47,-3.4,-3.55,211200,0.0,-4.36,-0.87,-0.03,2.28
高知特,CTSH,2000-02-16,-3.49,-3.55,-3.46,-3.55,285600,0.0,-2.59,-2.31,-0.08,3.09
高知特,CTSH,2000-02-17,-3.53,-3.57,-3.47,-3.63,950400,0.0,-4.51,-0.56,-0.02,10.28
高知特,CTSH,2000-02-18,-3.57,-3.72,-3.57,-3.72,412800,0.0,-4.2,-4.2,-0.15,4.46
高知特,CTSH,2000-02-22,-3.72,-3.73,-3.69,-3.82,415200,0.0,-3.49,-0.27,-0.01,4.49
高知特,CTSH,2000-02-24,-3.76,-3.86,-3.74,-3.86,439200,0.0,-3.22,-3.49,-0.13,4.75
高知特,CTSH,2000-02-25,-3.84,-3.78,-3.74,-3.85,417600,0.0,-2.85,2.07,0.08,4.52
高知特,CTSH,2000-02-28,-3.76,-3.88,-3.72,-3.88,343200,0.0,-4.23,-2.65,-0.1,3.71
高知特,CTSH,2000-02-29,-3.82,-3.86,-3.81,-3.92,240000,0.0,-2.84,0.52,0.02,2.6
高知特,CTSH,2000-03-01,-3.84,-3.87,-3.84,-3.92,292800,0.0,-2.07,-0.26,-0.01,3.17
高知特,CTSH,2000-03-02,-3.79,-3.66,-3.59,-3.81,1598400,0.0,-5.68,5.43,0.21,17.28
高知特,CTSH,2000-03-03,-3.65,-3.61,-3.53,-3.65,938400,0.0,-3.28,1.37,0.05,10.15
高知特,CTSH,2000-03-06,-3.46,-3.5,-3.44,-3.57,1015200,0.0,-3.6,3.05,0.11,10.98
高知特,CTSH,2000-03-07,-3.46,-3.58,-3.41,-3.58,285600,0.0,-4.86,-2.29,-0.08,3.09
高知特,CTSH,2000-03-08,-3.54,-3.57,-3.54,-3.73,319200,0.0,-5.31,0.28,0.01,3.45
高知特,CTSH,2000-03-09,-3.61,-3.4,-3.34,-3.67,336000,0.0,-9.24,4.76,0.17,3.63
高知特,CTSH,2000-03-10,-3.37,-3.57,-3.34,-3.64,352800,0.0,-8.82,-5.0,-0.17,3.81
高知特,CTSH,2000-03-13,-3.64,-3.63,-3.41,-3.68,352800,0.0,-7.56,-1.68,-0.06,3.81
高知特,CTSH,2000-03-14,-3.48,-3.8,-3.48,-3.87,672000,0.0,-10.74,-4.68,-0.17,7.27
高知特,CTSH,2000-03-15,-3.77,-4.03,-3.77,-4.25,1010400,0.0,-12.63,-6.05,-0.23,10.93
高知特,CTSH,2000-03-16,-4.07,-4.09,-3.99,-4.14,967200,0.0,-3.72,-1.49,-0.06,10.46
高知特,CTSH,2000-03-17,-4.09,-3.79,-3.73,-4.1,626400,0.0,-9.05,7.33,0.3,3.39
高知特,CTSH,2000-03-20,-3.78,-3.76,-3.55,-3.82,422400,0.0,-7.12,0.79,0.03,2.28
高知特,CTSH,2000-03-21,-3.84,-3.64,-3.63,-3.89,514800,0.0,-6.91,3.19,0.12,2.78
高知特,CTSH,2000-03-22,-3.59,-3.55,-3.53,-3.63,268800,0.0,-2.75,2.47,0.09,1.45
高知特,CTSH,2000-03-23,-3.43,-3.43,-3.22,-3.51,1038000,0.0,-8.17,3.38,0.12,5.61
高知特,CTSH,2000-03-24,-3.41,-3.36,-3.21,-3.43,408000,0.0,-6.41,2.04,0.07,2.21
高知特,CTSH,2000-03-27,-3.24,-3.27,-3.12,-3.38,325200,0.0,-7.74,2.68,0.09,1.76
高知特,CTSH,2000-03-28,-3.18,-3.22,-3.13,-3.3,337200,0.0,-5.2,1.53,0.05,1.82
高知特,CTSH,2000-03-29,-3.2,-3.38,-3.2,-3.78,772800,0.0,-18.01,-4.97,-0.16,4.18
高知特,CTSH,2000-03-30,-3.48,-3.65,-3.42,-3.71,358800,0.0,-8.58,-7.99,-0.27,1.94
高知特,CTSH,2000-03-31,-3.59,-3.53,-3.49,-3.74,249600,0.0,-6.85,3.29,0.12,1.35
高知特,CTSH,2000-04-03,-3.58,-3.88,-3.53,-3.92,285600,0.0,-11.05,-9.92,-0.35,1.54
高知特,CTSH,2000-04-04,-3.88,-3.78,-3.73,-4.46,571200,0.0,-18.81,2.58,0.1,3.09
高知特,CTSH,2000-04-05,-4.06,-3.96,-3.92,-4.09,291600,0.0,-4.5,-4.76,-0.18,1.58
