股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
沛齐,PAYX,2000-01-03,-8.13,-8.13,-8.05,-9.88,3020100,0.0,-22.51,0.0,0.0,1.23
沛齐,PAYX,2000-01-04,-9.43,-10.13,-7.8,-10.63,2971600,0.0,-34.81,-24.6,-2.0,1.21
沛齐,PAYX,2000-01-05,-10.05,-8.67,-8.3,-10.13,4064600,0.0,-18.07,14.41,1.46,1.65
沛齐,PAYX,2000-01-06,-8.8,-7.71,-7.43,-9.13,2605400,0.0,-19.61,11.07,0.96,1.06
沛齐,PAYX,2000-01-07,-7.76,-7.17,-7.17,-8.55,1900400,0.0,-17.9,7.0,0.54,0.77
沛齐,PAYX,2000-01-10,-6.8,-6.71,-6.38,-7.55,2198700,0.0,-16.32,6.42,0.46,0.89
沛齐,PAYX,2000-01-11,-7.3,-7.63,-6.55,-7.93,2094200,0.0,-20.57,-13.71,-0.92,0.85
沛齐,PAYX,2000-01-12,-7.71,-8.01,-6.97,-8.38,1560900,0.0,-18.48,-4.98,-0.38,0.63
沛齐,PAYX,2000-01-13,-7.97,-6.55,-6.47,-8.01,2146600,0.0,-19.23,18.23,1.46,0.87
沛齐,PAYX,2000-01-14,-6.3,-4.55,-3.47,-6.34,4529100,0.0,-43.82,30.53,2.0,1.84
沛齐,PAYX,2000-01-18,-4.88,-4.8,-3.93,-5.3,3035100,0.0,-30.11,-5.49,-0.25,1.23
沛齐,PAYX,2000-01-19,-4.76,-4.38,-4.26,-5.8,1936200,0.0,-32.08,8.75,0.42,0.79
沛齐,PAYX,2000-01-20,-4.13,-3.93,-2.88,-4.93,2337400,0.0,-46.8,10.27,0.45,0.95
沛齐,PAYX,2000-01-21,-3.55,-4.26,-3.55,-4.55,2760800,0.0,-25.45,-8.4,-0.33,1.12
沛齐,PAYX,2000-01-24,-4.34,-7.76,-4.3,-7.84,3124500,0.0,-83.1,-82.16,-3.5,1.27
沛齐,PAYX,2000-01-25,-7.47,-6.13,-6.05,-8.71,9584200,0.0,-34.28,21.01,1.63,3.89
沛齐,PAYX,2000-01-26,-6.09,-6.17,-5.13,-6.3,3163800,0.0,-19.09,-0.65,-0.04,1.28
沛齐,PAYX,2000-01-27,-6.05,-6.09,-6.01,-7.38,2698400,0.0,-22.2,1.3,0.08,1.1
沛齐,PAYX,2000-01-28,-6.24,-6.74,-5.32,-6.99,1885500,0.0,-27.42,-10.67,-0.65,0.77
沛齐,PAYX,2000-01-31,-6.7,-5.37,-5.37,-6.74,2036600,0.0,-20.33,20.33,1.37,0.83
沛齐,PAYX,2000-02-01,-5.41,-5.41,-4.82,-6.24,2162600,0.0,-26.44,-0.74,-0.04,0.88
沛齐,PAYX,2000-02-02,-5.41,-5.57,-5.28,-6.41,1423800,0.0,-20.89,-2.96,-0.16,0.58
沛齐,PAYX,2000-02-03,-5.61,-5.99,-5.37,-6.74,2058800,0.0,-24.6,-7.54,-0.42,0.84
沛齐,PAYX,2000-02-04,-5.65,-6.41,-5.32,-6.65,1595400,0.0,-22.2,-7.01,-0.42,0.65
沛齐,PAYX,2000-02-07,-6.49,-6.24,-6.03,-6.87,1019600,0.0,-13.1,2.65,0.17,0.41
沛齐,PAYX,2000-02-08,-5.95,-6.32,-5.78,-6.65,1670800,0.0,-13.94,-1.28,-0.08,0.68
沛齐,PAYX,2000-02-09,-6.57,-7.07,-6.32,-7.07,1833400,0.0,-11.87,-11.87,-0.75,0.74
沛齐,PAYX,2000-02-10,-6.99,-5.24,-4.87,-7.11,1982000,0.0,-31.68,25.88,1.83,0.8
沛齐,PAYX,2000-02-11,-5.28,-6.32,-4.11,-6.57,2628300,0.0,-46.95,-20.61,-1.08,1.07
沛齐,PAYX,2000-02-14,-6.07,-3.74,-3.32,-6.32,2311200,0.0,-47.47,40.82,2.58,0.94
沛齐,PAYX,2000-02-15,-4.03,-3.82,-3.74,-5.61,3150000,0.0,-50.0,-2.14,-0.08,1.28
沛齐,PAYX,2000-02-16,-3.91,-4.24,-3.78,-4.74,1570800,0.0,-25.13,-10.99,-0.42,0.64
沛齐,PAYX,2000-02-17,-3.78,-2.41,-2.32,-4.74,2105100,0.0,-57.08,43.16,1.83,0.85
沛齐,PAYX,2000-02-18,-2.7,-4.32,-2.65,-4.41,2322600,0.0,-73.03,-79.25,-1.91,0.94
沛齐,PAYX,2000-02-22,-4.28,-3.82,-3.28,-5.61,1941200,0.0,-53.94,11.57,0.5,0.79
沛齐,PAYX,2000-02-23,-3.91,-1.82,-1.37,-3.99,2599000,0.0,-68.59,52.36,2.0,1.05
沛齐,PAYX,2000-02-24,-1.82,-0.61,-0.49,-4.74,3601200,0.0,-233.52,66.48,1.21,1.46
沛齐,PAYX,2000-02-25,-0.91,-3.03,-0.91,-3.61,2642600,0.0,-442.62,-396.72,-2.42,1.07
