股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
拼多多,PDD,2018-07-26,26.5,26.7,27.45,25.0,43213196,1131658016.0,12.89,40.53,7.7,3.9
拼多多,PDD,2018-07-27,27.54,24.6,27.54,23.21,19930507,508006960.0,16.22,-7.87,-2.1,1.8
拼多多,PDD,2018-07-30,23.31,22.5,23.9,21.88,13967711,317512816.0,8.21,-8.54,-2.1,1.26
拼多多,PDD,2018-07-31,22.2,22.59,22.71,19.62,13709586,285681360.0,13.73,0.4,0.09,1.24
拼多多,PDD,2018-08-01,19.38,20.31,21.4,18.62,19339027,383152752.0,12.31,-10.09,-2.28,1.75
拼多多,PDD,2018-08-02,19.27,19.66,20.18,19.03,9268462,181408687.0,5.66,-3.2,-0.65,0.84
拼多多,PDD,2018-08-03,20.0,19.07,20.27,18.91,6996436,135394644.0,6.92,-3.0,-0.59,0.63
拼多多,PDD,2018-08-06,19.22,20.16,21.09,18.92,8338605,166816361.0,11.38,5.72,1.09,0.75
拼多多,PDD,2018-08-07,21.08,20.89,21.9,20.67,7573044,161010435.0,6.1,3.62,0.73,0.68
拼多多,PDD,2018-08-08,21.42,20.27,21.46,19.86,3721896,76223760.0,7.66,-2.97,-0.62,0.34
拼多多,PDD,2018-08-09,20.39,20.0,20.56,19.46,4839383,96474493.0,5.43,-1.33,-0.27,0.44
拼多多,PDD,2018-08-10,19.85,19.51,20.03,19.49,2572517,50689568.0,2.7,-2.45,-0.49,0.23
拼多多,PDD,2018-08-13,19.21,19.44,20.1,19.2,2219753,43452193.0,4.61,-0.36,-0.07,0.2
拼多多,PDD,2018-08-14,19.46,19.0,19.52,18.88,8037782,153012290.0,3.29,-2.26,-0.44,0.73
拼多多,PDD,2018-08-15,17.9,17.7,18.5,17.58,11714053,208462822.0,4.84,-6.84,-1.3,1.06
拼多多,PDD,2018-08-16,18.27,19.04,19.1,18.16,5951170,111514305.0,5.31,7.57,1.34,0.54
拼多多,PDD,2018-08-17,18.65,19.0,19.03,18.38,2720471,50816805.0,3.41,-0.21,-0.04,0.25
拼多多,PDD,2018-08-20,18.82,18.95,19.34,18.8,3004493,56994792.0,2.84,-0.26,-0.05,0.27
拼多多,PDD,2018-08-21,19.14,18.75,19.5,18.45,3252046,61282571.0,5.54,-1.06,-0.2,0.29
拼多多,PDD,2018-08-22,18.67,18.4,18.95,18.01,4433744,81242897.0,5.01,-1.87,-0.35,0.4
拼多多,PDD,2018-08-23,18.38,18.31,18.8,18.12,6116054,112480358.0,3.7,-0.49,-0.09,0.55
拼多多,PDD,2018-08-24,18.25,17.22,18.5,17.2,7078443,124854029.0,7.1,-5.95,-1.09,0.64
拼多多,PDD,2018-08-27,17.7,19.17,19.21,17.5,5672482,105420436.0,9.93,11.32,1.95,0.51
拼多多,PDD,2018-08-28,19.49,19.54,19.96,18.82,4853896,94350496.0,5.95,1.93,0.37,0.44
拼多多,PDD,2018-08-29,19.54,21.15,21.24,18.91,5152986,102439279.0,11.92,8.24,1.61,0.47
拼多多,PDD,2018-08-30,20.68,17.99,20.85,17.88,9283451,178969121.0,14.04,-14.94,-3.16,0.84
拼多多,PDD,2018-08-31,18.87,19.35,19.67,17.55,10318405,192983898.0,11.78,7.56,1.36,0.93
拼多多,PDD,2018-09-04,18.66,20.75,21.18,18.6,10007463,203976497.0,13.33,7.24,1.4,0.9
拼多多,PDD,2018-09-05,20.44,18.8,20.45,18.8,7036915,136990690.0,7.95,-9.4,-1.95,0.64
拼多多,PDD,2018-09-06,19.28,19.11,19.78,18.91,3377685,65032386.0,4.63,1.65,0.31,0.3
拼多多,PDD,2018-09-07,19.03,19.57,20.25,19.0,4413298,87518535.0,6.54,2.41,0.46,0.4
拼多多,PDD,2018-09-10,19.68,19.74,20.05,19.48,2649273,52434444.0,2.91,0.87,0.17,0.24
拼多多,PDD,2018-09-11,19.55,23.57,23.77,19.31,10914552,235106109.0,22.59,19.4,3.83,0.99
拼多多,PDD,2018-09-12,22.77,23.04,23.75,22.02,8982960,206611855.0,7.34,-2.25,-0.53,0.81
拼多多,PDD,2018-09-13,24.5,29.96,30.48,24.42,17080830,467258176.0,26.3,30.03,6.92,1.54
拼多多,PDD,2018-09-14,28.89,26.34,30.0,26.28,16722784,467002848.0,12.42,-12.08,-3.62,1.51
拼多多,PDD,2018-09-17,25.98,24.36,27.88,24.2,7534353,195766728.0,13.97,-7.52,-1.98,0.68
拼多多,PDD,2018-09-18,24.66,22.64,25.66,22.31,6798250,163177910.0,13.75,-7.06,-1.72,0.61
拼多多,PDD,2018-09-19,23.28,23.0,24.36,22.48,4487955,104683022.0,8.3,1.59,0.36,0.41
拼多多,PDD,2018-09-20,23.36,24.65,25.25,23.06,5147645,125859040.0,9.52,7.17,1.65,0.46
拼多多,PDD,2018-09-21,25.51,25.6,26.59,24.43,6063532,154761000.0,8.76,3.85,0.95,0.55
拼多多,PDD,2018-09-24,24.76,26.49,27.13,24.22,4746799,121494619.0,11.37,3.48,0.89,0.43
拼多多,PDD,2018-09-25,26.15,26.94,27.8,26.1,4184582,113402452.0,6.42,1.7,0.45,0.38
拼多多,PDD,2018-09-26,26.98,26.06,27.11,25.5,4111404,108323999.0,5.98,-3.27,-0.88,0.37
拼多多,PDD,2018-09-27,26.36,26.33,26.59,25.34,3154660,82170791.0,4.8,1.04,0.27,0.28
拼多多,PDD,2018-09-28,26.0,26.29,26.3,25.52,2564709,66365069.0,2.96,-0.15,-0.04,0.23
拼多多,PDD,2018-10-01,26.23,27.69,28.18,26.06,4350983,119902179.0,8.06,5.33,1.4,0.39
