股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
携程,TCOM,2003-12-09,0.08,0.16,0.19,0.08,44820000,0.0,10.78,-84.31,-0.86,294.82
携程,TCOM,2003-12-10,0.16,0.15,0.16,0.13,13708800,0.0,18.75,-6.25,-0.01,90.17
携程,TCOM,2003-12-11,0.15,0.16,0.16,0.14,6148800,0.0,13.33,6.67,0.01,40.45
携程,TCOM,2003-12-12,0.16,0.2,0.21,0.15,10596800,0.0,37.5,25.0,0.04,69.7
携程,TCOM,2003-12-15,0.22,0.16,0.23,0.16,10846400,0.0,35.0,-20.0,-0.04,71.35
携程,TCOM,2003-12-16,0.16,0.15,0.16,0.14,7082400,0.0,12.5,-6.25,-0.01,46.59
携程,TCOM,2003-12-17,0.16,0.14,0.16,0.14,4771200,0.0,13.33,-6.67,-0.01,31.38
携程,TCOM,2003-12-18,0.14,0.13,0.15,0.13,3296000,0.0,14.29,-7.14,-0.01,21.68
携程,TCOM,2003-12-19,0.13,0.12,0.13,0.11,5712000,0.0,15.38,-7.69,-0.01,37.57
携程,TCOM,2003-12-22,0.12,0.15,0.15,0.12,4012000,0.0,25.0,25.0,0.03,26.39
携程,TCOM,2003-12-23,0.14,0.15,0.17,0.14,4179200,0.0,20.0,0.0,0.0,27.49
携程,TCOM,2003-12-24,0.15,0.15,0.16,0.14,816000,0.0,13.33,0.0,0.0,5.37
携程,TCOM,2003-12-26,0.15,0.16,0.17,0.15,1868000,0.0,13.33,6.67,0.01,12.29
携程,TCOM,2003-12-29,0.16,0.15,0.16,0.14,4341600,0.0,12.5,-6.25,-0.01,28.56
携程,TCOM,2003-12-30,0.15,0.15,0.16,0.14,1964800,0.0,13.33,0.0,0.0,12.92
携程,TCOM,2003-12-31,0.15,0.16,0.16,0.15,1152800,0.0,6.67,6.67,0.01,7.64
携程,TCOM,2004-01-02,0.16,0.19,0.2,0.16,4360000,0.0,25.0,18.75,0.03,28.9
携程,TCOM,2004-01-05,0.19,0.2,0.22,0.19,2616000,0.0,15.79,5.26,0.01,17.34
携程,TCOM,2004-01-06,0.2,0.19,0.21,0.18,1943200,0.0,15.0,-5.0,-0.01,12.88
携程,TCOM,2004-01-07,0.19,0.19,0.19,0.18,919200,0.0,5.26,0.0,0.0,6.09
携程,TCOM,2004-01-08,0.19,0.18,0.19,0.17,1809600,0.0,10.53,-5.26,-0.01,11.99
携程,TCOM,2004-01-09,0.18,0.17,0.18,0.17,1024000,0.0,5.56,-5.56,-0.01,6.79
携程,TCOM,2004-01-12,0.17,0.16,0.18,0.16,1366400,0.0,11.76,-5.88,-0.01,9.06
携程,TCOM,2004-01-13,0.17,0.16,0.17,0.15,2044800,0.0,12.5,0.0,0.0,13.55
携程,TCOM,2004-01-14,0.17,0.17,0.18,0.17,1497600,0.0,6.25,6.25,0.01,9.93
携程,TCOM,2004-01-15,0.17,0.17,0.18,0.16,784800,0.0,11.76,0.0,0.0,5.2
携程,TCOM,2004-01-16,0.17,0.16,0.17,0.15,549600,0.0,11.76,-5.88,-0.01,3.64
携程,TCOM,2004-01-20,0.17,0.17,0.18,0.16,2063200,0.0,12.5,6.25,0.01,13.67
携程,TCOM,2004-01-21,0.17,0.15,0.17,0.15,3358400,0.0,11.76,-11.76,-0.02,22.26
携程,TCOM,2004-01-22,0.16,0.15,0.16,0.14,1472000,0.0,13.33,0.0,0.0,9.76
携程,TCOM,2004-01-23,0.15,0.15,0.16,0.14,545600,0.0,13.33,0.0,0.0,3.62
携程,TCOM,2004-01-26,0.15,0.15,0.16,0.14,803200,0.0,13.33,0.0,0.0,5.32
携程,TCOM,2004-01-27,0.16,0.14,0.16,0.14,765600,0.0,13.33,-6.67,-0.01,5.07
携程,TCOM,2004-01-28,0.14,0.12,0.14,0.12,3423200,0.0,14.29,-14.29,-0.02,22.69
携程,TCOM,2004-01-29,0.12,0.12,0.13,0.11,1316800,0.0,16.67,0.0,0.0,8.73
携程,TCOM,2004-01-30,0.12,0.12,0.12,0.11,723200,0.0,8.33,0.0,0.0,4.79
携程,TCOM,2004-02-02,0.12,0.12,0.12,0.11,782400,0.0,8.33,0.0,0.0,5.19
携程,TCOM,2004-02-03,0.12,0.12,0.12,0.11,1380800,0.0,8.33,0.0,0.0,9.15
携程,TCOM,2004-02-04,0.12,0.11,0.12,0.11,763200,0.0,8.33,-8.33,-0.01,5.06
携程,TCOM,2004-02-05,0.11,0.1,0.11,0.09,5036000,0.0,18.18,-9.09,-0.01,33.38
携程,TCOM,2004-02-06,0.1,0.1,0.1,0.09,3357600,0.0,10.0,0.0,0.0,22.25
携程,TCOM,2004-02-09,0.1,0.12,0.13,0.1,3660000,0.0,30.0,20.0,0.02,24.26
携程,TCOM,2004-02-10,0.12,0.12,0.12,0.11,880000,0.0,8.33,0.0,0.0,5.83
携程,TCOM,2004-02-11,0.12,0.12,0.12,0.12,520800,0.0,0.0,0.0,0.0,3.45
携程,TCOM,2004-02-12,0.12,0.12,0.12,0.11,400800,0.0,8.33,0.0,0.0,2.66
携程,TCOM,2004-02-13,0.12,0.12,0.12,0.12,708000,0.0,0.0,0.0,0.0,4.69
携程,TCOM,2004-02-17,0.12,0.12,0.12,0.11,560000,0.0,8.33,0.0,0.0,3.71
携程,TCOM,2004-02-18,0.12,0.15,0.15,0.12,2524800,0.0,25.0,25.0,0.03,16.73
携程,TCOM,2004-02-19,0.15,0.15,0.16,0.15,1586400,0.0,6.67,0.0,0.0,10.51
携程,TCOM,2004-02-20,0.15,0.14,0.15,0.13,1379200,0.0,13.33,-6.67,-0.01,9.14
携程,TCOM,2004-02-23,0.14,0.15,0.15,0.14,1311200,0.0,7.14,7.14,0.01,8.69
携程,TCOM,2004-02-24,0.11,0.12,0.13,0.11,5015200,0.0,13.33,-20.0,-0.03,33.24
携程,TCOM,2004-02-25,0.11,0.11,0.12,0.11,1320800,0.0,8.33,-8.33,-0.01,8.75
携程,TCOM,2004-02-26,0.11,0.12,0.12,0.11,640000,0.0,9.09,9.09,0.01,4.24
携程,TCOM,2004-02-27,0.12,0.12,0.12,0.12,494400,0.0,0.0,0.0,0.0,3.28
携程,TCOM,2004-03-01,0.12,0.12,0.12,0.11,973600,0.0,8.33,0.0,0.0,6.45
携程,TCOM,2004-03-02,0.12,0.13,0.13,0.12,790400,0.0,8.33,8.33,0.01,5.24
携程,TCOM,2004-03-03,0.13,0.13,0.13,0.12,181600,0.0,7.69,0.0,0.0,1.2
携程,TCOM,2004-03-04,0.12,0.13,0.13,0.12,266400,0.0,7.69,0.0,0.0,1.77
携程,TCOM,2004-03-05,0.13,0.14,0.14,0.12,531200,0.0,15.38,7.69,0.01,3.52
携程,TCOM,2004-03-08,0.14,0.14,0.14,0.14,389600,0.0,0.0,0.0,0.0,2.58
携程,TCOM,2004-03-09,0.14,0.14,0.14,0.13,278400,0.0,7.14,0.0,0.0,1.85
携程,TCOM,2004-03-10,0.13,0.13,0.14,0.13,1224000,0.0,7.14,-7.14,-0.01,8.11
携程,TCOM,2004-03-11,0.13,0.12,0.13,0.12,429600,0.0,7.69,-7.69,-0.01,2.85
携程,TCOM,2004-03-12,0.13,0.13,0.15,0.12,593600,0.0,25.0,8.33,0.01,3.93
携程,TCOM,2004-03-15,0.13,0.13,0.14,0.12,188000,0.0,15.38,0.0,0.0,1.25
携程,TCOM,2004-03-16,0.13,0.12,0.13,0.12,487200,0.0,7.69,-7.69,-0.01,3.23
携程,TCOM,2004-03-17,0.13,0.13,0.13,0.12,187200,0.0,8.33,8.33,0.01,1.24
