股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
亚德诺,ADI,2012-07-25,36.84,37.95,38.15,36.79,3346679,0.0,0.0,0.0,0.0,1.12
亚德诺,ADI,2012-07-26,38.41,38.33,38.82,38.13,2493821,0.0,1.82,1.0,0.38,0.84
亚德诺,ADI,2012-07-27,38.65,39.37,39.51,38.49,2488181,0.0,2.66,2.71,1.04,0.83
亚德诺,ADI,2012-07-30,39.4,39.22,39.6,38.85,1759217,0.0,1.91,-0.38,-0.15,0.59
亚德诺,ADI,2012-07-31,39.3,39.08,39.7,39.07,2587569,0.0,1.61,-0.36,-0.14,0.87
亚德诺,ADI,2012-08-01,39.43,39.35,39.58,38.89,3026029,0.0,1.77,0.69,0.27,1.01
亚德诺,ADI,2012-08-02,38.9,39.08,39.53,38.72,2247955,0.0,2.06,-0.69,-0.27,0.75
亚德诺,ADI,2012-08-03,39.5,39.8,39.94,39.3,2315419,0.0,1.64,1.84,0.72,0.78
亚德诺,ADI,2012-08-06,39.96,39.84,40.04,39.79,1802637,0.0,0.63,0.1,0.04,0.6
亚德诺,ADI,2012-08-07,39.86,40.01,40.5,39.86,2489194,0.0,1.61,0.43,0.17,0.83
亚德诺,ADI,2012-08-08,40.06,40.18,40.3,39.81,1667096,0.0,1.22,0.42,0.17,0.56
亚德诺,ADI,2012-08-09,40.04,40.36,40.49,40.01,1501655,0.0,1.19,0.45,0.18,0.5
亚德诺,ADI,2012-08-10,40.3,40.43,40.5,40.06,2017189,0.0,1.09,0.17,0.07,0.67
亚德诺,ADI,2012-08-13,40.35,40.53,40.53,40.04,1653515,0.0,1.21,0.25,0.1,0.55
亚德诺,ADI,2012-08-14,40.59,40.28,40.72,40.12,1675033,0.0,1.48,-0.62,-0.25,0.56
亚德诺,ADI,2012-08-15,40.26,40.43,40.72,40.21,1337691,0.0,1.27,0.37,0.15,0.45
亚德诺,ADI,2012-08-16,40.43,40.85,40.91,40.4,1007239,0.0,1.26,1.04,0.42,0.34
亚德诺,ADI,2012-08-17,40.87,40.76,40.89,40.45,517108,0.0,1.08,-0.22,-0.09,0.17
亚德诺,ADI,2012-08-20,40.87,40.76,40.89,40.45,517108,0.0,1.08,0.0,0.0,0.17
亚德诺,ADI,2012-08-21,40.87,40.76,40.89,40.45,517108,0.0,1.08,0.0,0.0,0.17
亚德诺,ADI,2012-08-22,40.0,39.7,40.2,39.42,3982852,0.0,1.91,-2.6,-1.06,1.33
亚德诺,ADI,2012-08-23,39.68,39.57,39.75,39.25,1786356,0.0,1.26,-0.33,-0.13,0.6
亚德诺,ADI,2012-08-24,39.49,39.74,39.92,39.32,1918794,0.0,1.52,0.43,0.17,0.64
亚德诺,ADI,2012-08-27,39.83,39.6,39.84,39.35,1323466,0.0,1.23,-0.35,-0.14,0.44
亚德诺,ADI,2012-08-28,39.54,39.55,39.76,39.42,1374486,0.0,0.86,-0.13,-0.05,0.46
亚德诺,ADI,2012-08-29,39.01,39.52,39.6,39.01,1353319,0.0,1.49,-0.08,-0.03,0.45
亚德诺,ADI,2012-08-30,39.46,39.39,39.69,39.14,1539632,0.0,1.39,-0.33,-0.13,0.52
亚德诺,ADI,2012-08-31,39.5,39.74,39.78,39.17,1671895,0.0,1.55,0.89,0.35,0.56
亚德诺,ADI,2012-09-04,39.6,39.36,39.91,39.07,1617399,0.0,2.11,-0.96,-0.38,0.54
亚德诺,ADI,2012-09-05,39.34,39.3,39.48,39.01,1697018,0.0,1.19,-0.15,-0.06,0.57
亚德诺,ADI,2012-09-06,39.56,40.34,40.54,39.0,1912583,0.0,3.92,2.65,1.04,0.64
亚德诺,ADI,2012-09-07,40.2,40.45,40.48,40.05,1727587,0.0,1.07,0.27,0.11,0.58
亚德诺,ADI,2012-09-10,40.29,40.07,40.5,40.04,2383650,0.0,1.14,-0.94,-0.38,0.8
亚德诺,ADI,2012-09-11,40.25,40.23,40.5,40.0,1990575,0.0,1.25,0.4,0.16,0.67
亚德诺,ADI,2012-09-12,40.42,40.26,40.47,40.03,1507083,0.0,1.09,0.07,0.03,0.5
亚德诺,ADI,2012-09-13,39.76,40.89,41.02,39.76,2337533,0.0,3.13,1.56,0.63,0.78
亚德诺,ADI,2012-09-14,41.02,41.68,41.79,40.78,3302810,0.0,2.47,1.93,0.79,1.1
亚德诺,ADI,2012-09-17,41.46,41.16,41.5,40.84,3848408,0.0,1.58,-1.25,-0.52,1.29
亚德诺,ADI,2012-09-18,40.44,40.77,40.99,40.41,2693988,0.0,1.41,-0.95,-0.39,0.9
亚德诺,ADI,2012-09-19,41.07,40.92,41.07,40.52,1870459,0.0,1.35,0.37,0.15,0.63
亚德诺,ADI,2012-09-20,40.83,40.51,40.92,40.35,2108620,0.0,1.39,-1.0,-0.41,0.71
亚德诺,ADI,2012-09-21,40.73,40.32,40.96,40.28,2210720,0.0,1.68,-0.47,-0.19,0.74
亚德诺,ADI,2012-09-24,40.6,39.83,40.76,39.76,1984245,0.0,2.48,-1.22,-0.49,0.66
亚德诺,ADI,2012-09-25,40.14,39.01,40.17,38.99,3815889,0.0,2.96,-2.06,-0.82,1.28
亚德诺,ADI,2012-09-26,39.01,38.76,39.1,38.44,3101295,0.0,1.69,-0.64,-0.25,1.04
亚德诺,ADI,2012-09-27,39.0,39.59,39.73,38.91,1938908,0.0,2.12,2.14,0.83,0.65
亚德诺,ADI,2012-09-28,39.25,39.17,39.49,39.02,2235209,0.0,1.19,-1.06,-0.42,0.75
亚德诺,ADI,2012-10-01,39.35,39.5,39.98,39.3,3033158,0.0,1.74,0.84,0.33,1.01
亚德诺,ADI,2012-10-02,39.64,39.64,39.78,39.33,1403500,0.0,1.14,0.35,0.14,0.47
亚德诺,ADI,2012-10-03,39.64,39.55,39.77,39.35,1267697,0.0,1.06,-0.23,-0.09,0.42
亚德诺,ADI,2012-10-04,39.6,39.58,39.68,39.24,1415113,0.0,1.11,0.08,0.03,0.47
亚德诺,ADI,2012-10-05,39.8,39.72,40.13,39.6,1220874,0.0,1.34,0.35,0.14,0.41
亚德诺,ADI,2012-10-08,39.21,39.29,39.5,39.0,1270520,0.0,1.26,-1.08,-0.43,0.43
