股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
安进,AMGN,1984-09-07,5.0,5.0,5.13,5.0,62400,0.0,0.0,0.0,0.0,0.01
安进,AMGN,1984-09-10,5.13,5.13,5.13,5.13,172800,0.0,0.0,2.6,0.13,0.03
安进,AMGN,1984-09-11,5.13,5.0,5.13,5.0,177600,0.0,2.53,-2.53,-0.13,0.03
安进,AMGN,1984-09-12,5.0,5.0,5.13,5.0,139200,0.0,2.6,0.0,0.0,0.03
安进,AMGN,1984-09-13,5.0,5.0,5.13,5.0,830400,0.0,2.6,0.0,0.0,0.15
安进,AMGN,1984-09-14,5.0,5.0,5.13,5.0,508800,0.0,2.6,0.0,0.0,0.09
安进,AMGN,1984-09-17,5.13,5.13,5.13,5.13,5040000,0.0,0.0,2.6,0.13,0.94
安进,AMGN,1984-09-18,5.13,5.13,5.13,5.13,2904000,0.0,0.0,0.0,0.0,0.54
安进,AMGN,1984-09-19,5.13,5.0,5.13,5.0,508800,0.0,2.53,-2.53,-0.13,0.09
安进,AMGN,1984-09-20,5.0,4.88,5.13,4.88,192000,0.0,5.0,-2.4,-0.12,0.04
安进,AMGN,1984-09-21,4.88,5.0,5.0,4.88,326400,0.0,2.46,2.46,0.12,0.06
安进,AMGN,1984-09-24,4.88,4.88,4.88,4.88,105600,0.0,0.0,-2.4,-0.12,0.02
安进,AMGN,1984-09-25,4.88,4.88,5.0,4.88,1540800,0.0,2.46,0.0,0.0,0.29
安进,AMGN,1984-09-26,4.88,4.88,5.0,4.88,705600,0.0,2.46,0.0,0.0,0.13
安进,AMGN,1984-09-27,4.88,4.88,5.0,4.88,153600,0.0,2.46,0.0,0.0,0.03
安进,AMGN,1984-09-28,4.88,5.0,5.0,4.88,43200,0.0,2.46,2.46,0.12,0.01
安进,AMGN,1984-10-01,5.0,4.88,5.0,4.88,2275200,0.0,2.4,-2.4,-0.12,0.42
安进,AMGN,1984-10-02,4.75,4.75,4.75,4.75,120000,0.0,0.0,-2.66,-0.13,0.02
安进,AMGN,1984-10-03,4.75,4.75,4.75,4.75,1209600,0.0,0.0,0.0,0.0,0.23
安进,AMGN,1984-10-04,4.75,4.63,4.75,4.63,796800,0.0,2.53,-2.53,-0.12,0.15
安进,AMGN,1984-10-05,4.63,4.5,4.63,4.5,600000,0.0,2.81,-2.81,-0.13,0.11
安进,AMGN,1984-10-08,4.63,4.63,4.63,4.63,139200,0.0,0.0,2.89,0.13,0.03
安进,AMGN,1984-10-09,4.5,4.38,4.5,4.38,1401600,0.0,2.59,-5.4,-0.25,0.26
安进,AMGN,1984-10-10,4.38,4.38,4.5,4.38,1497600,0.0,2.74,0.0,0.0,0.28
安进,AMGN,1984-10-11,4.5,4.5,4.63,4.5,1176000,0.0,2.97,2.74,0.12,0.22
安进,AMGN,1984-10-12,4.5,4.63,4.63,4.5,451200,0.0,2.89,2.89,0.13,0.08
安进,AMGN,1984-10-15,5.0,5.0,5.0,5.0,2712000,0.0,0.0,7.99,0.37,0.51
安进,AMGN,1984-10-16,5.0,4.75,5.0,4.75,100800,0.0,5.0,-5.0,-0.25,0.02
安进,AMGN,1984-10-17,4.75,4.63,5.0,4.63,139200,0.0,7.79,-2.53,-0.12,0.03
安进,AMGN,1984-10-18,4.63,4.63,4.88,4.63,518400,0.0,5.4,0.0,0.0,0.1
安进,AMGN,1984-10-19,4.63,4.63,4.88,4.63,307200,0.0,5.4,0.0,0.0,0.06
安进,AMGN,1984-10-22,4.88,4.88,4.88,4.88,115200,0.0,0.0,5.4,0.25,0.02
安进,AMGN,1984-10-23,4.88,4.88,4.88,4.88,43200,0.0,0.0,0.0,0.0,0.01
安进,AMGN,1984-10-24,4.75,4.63,4.75,4.63,844800,0.0,2.46,-5.12,-0.25,0.16
安进,AMGN,1984-10-25,4.88,4.88,4.88,4.88,384000,0.0,0.0,5.4,0.25,0.07
安进,AMGN,1984-10-26,4.88,4.88,4.88,4.63,1296000,0.0,5.12,0.0,0.0,0.24
安进,AMGN,1984-10-29,4.88,4.75,4.88,4.75,288000,0.0,2.66,-2.66,-0.13,0.05
安进,AMGN,1984-10-30,4.75,4.75,4.75,4.75,249600,0.0,0.0,0.0,0.0,0.05
安进,AMGN,1984-10-31,4.75,4.5,5.13,4.5,696000,0.0,13.26,-5.26,-0.25,0.13
安进,AMGN,1984-11-01,4.63,4.63,4.75,4.63,446400,0.0,2.67,2.89,0.13,0.08
安进,AMGN,1984-11-02,4.63,4.5,4.75,4.5,340800,0.0,5.4,-2.81,-0.13,0.06
安进,AMGN,1984-11-05,4.5,4.5,4.63,4.5,331200,0.0,2.89,0.0,0.0,0.06
安进,AMGN,1984-11-06,4.5,4.5,4.63,4.5,273600,0.0,2.89,0.0,0.0,0.05
安进,AMGN,1984-11-07,4.5,4.5,4.5,4.5,556800,0.0,0.0,0.0,0.0,0.1
