股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
康卡斯特,CMCSA,1988-07-07,16.36,16.36,16.48,16.01,1042800,0.0,0.0,0.0,0.0,0.03
康卡斯特,CMCSA,1988-07-08,16.48,16.24,16.6,15.54,806700,0.0,6.48,-0.73,-0.12,0.02
康卡斯特,CMCSA,1988-07-11,16.48,16.36,16.6,16.24,946400,0.0,2.22,0.74,0.12,0.02
康卡斯特,CMCSA,1988-07-12,16.6,16.13,16.6,16.13,1055700,0.0,2.87,-1.41,-0.23,0.03
康卡斯特,CMCSA,1988-07-13,16.36,16.6,16.6,16.24,784400,0.0,2.23,2.91,0.47,0.02
康卡斯特,CMCSA,1988-07-14,16.36,16.6,16.72,16.36,1082700,0.0,2.17,0.0,0.0,0.03
康卡斯特,CMCSA,1988-07-15,16.72,16.72,16.72,16.6,1223700,0.0,0.72,0.72,0.12,0.03
康卡斯特,CMCSA,1988-07-18,16.6,16.48,16.83,16.36,2519700,0.0,2.81,-1.44,-0.24,0.06
康卡斯特,CMCSA,1988-07-19,16.36,16.24,16.48,16.01,1624000,0.0,2.85,-1.46,-0.24,0.04
康卡斯特,CMCSA,1988-07-20,16.36,16.6,16.83,16.24,1449900,0.0,3.63,2.22,0.36,0.04
康卡斯特,CMCSA,1988-07-21,16.6,16.48,16.72,16.48,1559200,0.0,1.45,-0.72,-0.12,0.04
康卡斯特,CMCSA,1988-07-22,16.48,16.24,16.6,16.13,506200,0.0,2.85,-1.46,-0.24,0.01
康卡斯特,CMCSA,1988-07-25,16.13,15.89,16.13,15.77,286800,0.0,2.22,-2.16,-0.35,0.01
康卡斯特,CMCSA,1988-07-26,15.77,15.77,15.77,15.54,385500,0.0,1.45,-0.76,-0.12,0.01
康卡斯特,CMCSA,1988-07-27,15.77,15.07,15.77,15.07,741900,0.0,4.44,-4.44,-0.7,0.02
康卡斯特,CMCSA,1988-07-28,15.07,14.71,15.19,14.48,2135700,0.0,4.71,-2.39,-0.36,0.05
康卡斯特,CMCSA,1988-07-29,14.71,15.54,15.66,14.6,1279800,0.0,7.21,5.64,0.83,0.03
康卡斯特,CMCSA,1988-08-01,15.42,15.07,15.42,14.71,1194000,0.0,4.57,-3.02,-0.47,0.03
康卡斯特,CMCSA,1988-08-02,14.83,15.07,15.07,14.71,467700,0.0,2.39,0.0,0.0,0.01
康卡斯特,CMCSA,1988-08-03,15.07,14.95,15.3,14.95,1778700,0.0,2.32,-0.8,-0.12,0.04
康卡斯特,CMCSA,1988-08-04,14.95,15.07,15.42,14.95,2546700,0.0,3.14,0.8,0.12,0.06
康卡斯特,CMCSA,1988-08-05,15.07,14.6,15.19,14.6,1116400,0.0,3.92,-3.12,-0.47,0.03
康卡斯特,CMCSA,1988-08-08,14.95,14.6,15.07,14.6,1661800,0.0,3.22,0.0,0.0,0.04
康卡斯特,CMCSA,1988-08-09,14.71,14.36,14.83,14.24,1522800,0.0,4.04,-1.64,-0.24,0.04
康卡斯特,CMCSA,1988-08-10,14.48,14.01,14.48,14.01,1047600,0.0,3.27,-2.44,-0.35,0.03
康卡斯特,CMCSA,1988-08-11,14.24,13.89,16.01,13.65,957900,0.0,16.85,-0.86,-0.12,0.02
康卡斯特,CMCSA,1988-08-12,14.01,14.01,14.24,13.65,512400,0.0,4.25,0.86,0.12,0.01
康卡斯特,CMCSA,1988-08-15,14.24,13.42,14.24,13.18,891000,0.0,7.57,-4.21,-0.59,0.02
康卡斯特,CMCSA,1988-08-16,13.18,13.65,13.77,12.95,2694600,0.0,6.11,1.71,0.23,0.07
