股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
思科,CSCO,1990-03-26,23.75,24.25,24.25,23.5,41702400,0.0,0.0,0.0,0.0,1.03
思科,CSCO,1990-03-27,24.0,24.75,24.75,23.75,15926400,0.0,4.12,2.06,0.5,0.39
思科,CSCO,1990-03-28,24.75,24.5,24.75,24.5,9792000,0.0,1.01,-1.01,-0.25,0.24
思科,CSCO,1990-03-29,24.5,24.5,24.5,24.0,16272000,0.0,2.04,0.0,0.0,0.4
思科,CSCO,1990-03-30,24.0,23.5,24.0,23.0,28742400,0.0,4.08,-4.08,-1.0,0.71
思科,CSCO,1990-04-02,22.75,23.0,23.25,22.25,15868800,0.0,4.26,-2.13,-0.5,0.39
思科,CSCO,1990-04-03,22.75,23.25,23.5,22.75,8352000,0.0,3.26,1.09,0.25,0.21
思科,CSCO,1990-04-04,23.25,23.25,23.5,23.25,14284800,0.0,1.08,0.0,0.0,0.35
思科,CSCO,1990-04-05,23.5,23.12,23.5,23.0,8323200,0.0,2.15,-0.56,-0.13,0.21
思科,CSCO,1990-04-06,23.0,22.75,23.25,22.75,10771200,0.0,2.16,-1.6,-0.37,0.27
思科,CSCO,1990-04-09,23.0,22.5,23.0,22.5,6681600,0.0,2.2,-1.1,-0.25,0.17
思科,CSCO,1990-04-10,22.5,22.0,23.0,21.5,34790400,0.0,6.67,-2.22,-0.5,0.86
思科,CSCO,1990-04-11,22.0,22.0,22.25,21.75,24796800,0.0,2.27,0.0,0.0,0.61
思科,CSCO,1990-04-12,22.25,22.25,22.25,21.75,13161600,0.0,2.27,1.14,0.25,0.33
思科,CSCO,1990-04-16,22.25,22.25,22.5,22.0,5616000,0.0,2.25,0.0,0.0,0.14
思科,CSCO,1990-04-17,22.0,22.5,22.5,21.75,6566400,0.0,3.37,1.12,0.25,0.16
思科,CSCO,1990-04-18,22.5,22.75,23.0,22.25,24480000,0.0,3.33,1.11,0.25,0.6
思科,CSCO,1990-04-19,22.5,23.0,23.0,22.5,25142400,0.0,2.2,1.1,0.25,0.62
思科,CSCO,1990-04-20,23.0,22.25,23.0,22.25,8755200,0.0,3.26,-3.26,-0.75,0.22
思科,CSCO,1990-04-23,22.25,22.5,22.75,22.0,5356800,0.0,3.37,1.12,0.25,0.13
思科,CSCO,1990-04-24,23.0,22.87,23.0,22.75,10281600,0.0,1.11,1.64,0.37,0.25
思科,CSCO,1990-04-25,23.0,23.0,23.25,23.0,6768000,0.0,1.09,0.57,0.13,0.17
思科,CSCO,1990-04-26,23.0,23.0,23.5,23.0,10713600,0.0,2.17,0.0,0.0,0.26
思科,CSCO,1990-04-27,23.0,22.75,23.25,22.75,4204800,0.0,2.17,-1.09,-0.25,0.1
思科,CSCO,1990-04-30,23.25,23.75,24.25,23.0,34329600,0.0,5.49,4.4,1.0,0.85
思科,CSCO,1990-05-01,24.25,24.12,24.25,23.75,28771200,0.0,2.11,1.56,0.37,0.71
思科,CSCO,1990-05-02,24.0,23.75,24.25,23.75,3139200,0.0,2.07,-1.53,-0.37,0.08
思科,CSCO,1990-05-03,24.25,24.5,24.5,24.0,7228800,0.0,2.11,3.16,0.75,0.18
思科,CSCO,1990-05-04,24.25,24.75,24.75,24.25,5702400,0.0,2.04,1.02,0.25,0.14
思科,CSCO,1990-05-07,24.75,25.0,25.5,24.75,13536000,0.0,3.03,1.01,0.25,0.33
思科,CSCO,1990-05-08,25.5,25.25,25.5,24.75,14486400,0.0,3.0,1.0,0.25,0.36
思科,CSCO,1990-05-09,25.25,24.75,25.25,24.5,9676800,0.0,2.97,-1.98,-0.5,0.24
思科,CSCO,1990-05-10,25.0,24.5,25.0,24.5,2793600,0.0,2.02,-1.01,-0.25,0.07
思科,CSCO,1990-05-11,25.5,24.75,25.75,24.5,29923200,0.0,5.1,1.02,0.25,0.74
思科,CSCO,1990-05-14,25.25,24.75,25.25,24.75,15235200,0.0,2.02,0.0,0.0,0.38
思科,CSCO,1990-05-15,25.25,24.87,25.25,24.75,24134400,0.0,2.02,0.48,0.12,0.6
思科,CSCO,1990-05-16,25.25,24.75,25.25,24.5,18720000,0.0,3.02,-0.48,-0.12,0.46
思科,CSCO,1990-05-17,25.0,25.0,25.0,24.75,6595200,0.0,1.01,1.01,0.25,0.16
思科,CSCO,1990-05-18,24.75,24.5,25.0,24.25,45417600,0.0,3.0,-2.0,-0.5,1.12
思科,CSCO,1990-05-21,24.25,24.5,25.0,24.25,4032000,0.0,3.06,0.0,0.0,0.1
思科,CSCO,1990-05-22,24.5,24.5,24.75,24.5,22982400,0.0,1.02,0.0,0.0,0.57
思科,CSCO,1990-05-23,24.5,24.25,24.75,24.25,39715200,0.0,2.04,-1.02,-0.25,0.98
思科,CSCO,1990-05-24,24.75,24.75,24.75,24.25,8121600,0.0,2.06,2.06,0.5,0.2
思科,CSCO,1990-05-25,24.0,24.0,24.5,23.75,4003200,0.0,3.03,-3.03,-0.75,0.1
思科,CSCO,1990-05-29,24.0,23.75,24.5,23.5,20707200,0.0,4.17,-1.04,-0.25,0.51
思科,CSCO,1990-05-30,24.0,23.5,24.0,23.25,96278400,0.0,3.16,-1.05,-0.25,2.38
思科,CSCO,1990-05-31,23.25,24.75,25.0,23.25,102988800,0.0,7.45,5.32,1.25,2.54
思科,CSCO,1990-06-01,24.75,25.0,25.5,24.5,103132800,0.0,4.04,1.01,0.25,2.55
思科,CSCO,1990-06-04,25.25,25.75,25.75,24.75,48499200,0.0,4.0,3.0,0.75,1.2
思科,CSCO,1990-06-05,25.5,26.75,27.0,25.5,56131200,0.0,5.83,3.88,1.0,1.39
思科,CSCO,1990-06-06,26.75,26.5,26.75,26.0,23241600,0.0,2.8,-0.93,-0.25,0.57
思科,CSCO,1990-06-07,26.75,25.75,26.75,25.5,18144000,0.0,4.72,-2.83,-0.75,0.45
思科,CSCO,1990-06-08,26.0,25.25,26.0,25.0,6566400,0.0,3.88,-1.94,-0.5,0.16
思科,CSCO,1990-06-11,24.5,25.12,25.25,24.5,3686400,0.0,2.97,-0.51,-0.13,0.09
