股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
CSX运输,CSX,2015-12-22,25.35,25.75,25.84,25.25,6003309,0.0,0.0,0.0,0.0,0.61
CSX运输,CSX,2015-12-23,25.76,26.13,26.37,25.56,5727723,0.0,3.15,1.48,0.38,0.58
CSX运输,CSX,2015-12-24,26.15,26.13,26.4,26.06,1594078,0.0,1.3,0.0,0.0,0.16
CSX运输,CSX,2015-12-28,26.15,25.94,26.23,25.85,3084829,0.0,1.45,-0.73,-0.19,0.32
CSX运输,CSX,2015-12-29,26.08,26.38,26.42,26.02,4108629,0.0,1.54,1.7,0.44,0.43
CSX运输,CSX,2015-12-30,26.12,25.9,26.21,25.86,4582906,0.0,1.33,-1.82,-0.48,0.47
CSX运输,CSX,2015-12-31,25.5,25.94,26.14,25.5,4742225,0.0,2.47,0.15,0.04,0.49
CSX运输,CSX,2016-01-04,25.37,25.79,25.8,25.08,9550390,0.0,2.78,-0.58,-0.15,0.99
CSX运输,CSX,2016-01-05,25.8,25.53,25.99,25.21,5216276,0.0,3.02,-1.01,-0.26,0.54
CSX运输,CSX,2016-01-06,25.07,24.37,25.22,24.17,8383575,0.0,4.11,-4.54,-1.16,0.87
CSX运输,CSX,2016-01-07,23.82,23.63,24.3,23.59,9808270,0.0,2.91,-3.04,-0.74,1.02
CSX运输,CSX,2016-01-08,23.8,23.47,23.85,23.43,9660705,0.0,1.78,-0.68,-0.16,1.0
CSX运输,CSX,2016-01-11,23.38,23.52,23.79,23.18,11045561,0.0,2.6,0.21,0.05,1.14
CSX运输,CSX,2016-01-12,23.58,23.7,24.14,23.21,11821737,0.0,3.95,0.77,0.18,1.22
CSX运输,CSX,2016-01-13,23.52,22.34,23.91,21.75,22008280,0.0,9.11,-5.74,-1.36,2.28
CSX运输,CSX,2016-01-14,22.65,23.26,23.79,22.56,16553798,0.0,5.51,4.12,0.92,1.71
CSX运输,CSX,2016-01-15,22.25,22.73,22.83,22.15,12589589,0.0,2.92,-2.28,-0.53,1.3
CSX运输,CSX,2016-01-19,23.12,22.73,23.3,22.47,9790795,0.0,3.65,0.0,0.0,1.01
CSX运输,CSX,2016-01-20,22.29,22.29,22.58,21.32,10542558,0.0,5.54,-1.94,-0.44,1.09
CSX运输,CSX,2016-01-21,22.0,22.37,22.8,21.66,10706683,0.0,5.11,0.36,0.08,1.11
CSX运输,CSX,2016-01-22,22.92,22.42,23.22,22.12,9450764,0.0,4.92,0.22,0.05,0.98
CSX运输,CSX,2016-01-25,22.35,21.98,22.52,21.91,5609319,0.0,2.72,-1.96,-0.44,0.58
CSX运输,CSX,2016-01-26,22.14,22.27,22.35,22.01,9212378,0.0,1.55,1.32,0.29,0.96
CSX运输,CSX,2016-01-27,22.3,21.97,22.66,21.79,9711704,0.0,3.91,-1.35,-0.3,1.01
CSX运输,CSX,2016-01-28,22.27,22.37,22.52,22.03,6289742,0.0,2.23,1.82,0.4,0.65
CSX运输,CSX,2016-01-29,22.55,23.02,23.02,22.53,8511716,0.0,2.19,2.91,0.65,0.88
CSX运输,CSX,2016-02-01,22.6,22.86,22.99,22.37,8454395,0.0,2.69,-0.7,-0.16,0.88
CSX运输,CSX,2016-02-02,22.61,22.03,22.68,21.86,6986128,0.0,3.59,-3.63,-0.83,0.73
CSX运输,CSX,2016-02-03,22.34,22.36,22.53,21.64,7298184,0.0,4.04,1.5,0.33,0.76
CSX运输,CSX,2016-02-04,22.35,23.05,23.44,22.35,10387543,0.0,4.87,3.09,0.69,1.08
CSX运输,CSX,2016-02-05,23.04,22.83,23.25,22.66,6624745,0.0,2.56,-0.95,-0.22,0.69
CSX运输,CSX,2016-02-08,22.64,23.01,23.06,22.28,11301481,0.0,3.42,0.79,0.18,1.17
CSX运输,CSX,2016-02-09,22.56,23.88,23.93,22.56,16839229,0.0,5.95,3.78,0.87,1.75
CSX运输,CSX,2016-02-10,24.02,24.13,24.37,23.84,12241885,0.0,2.22,1.05,0.25,1.27
