股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美元树,DLTR,1995-03-09,16.63,16.87,17.0,16.5,1402000,0.0,0.0,0.0,0.0,0.64
美元树,DLTR,1995-03-10,17.25,17.63,18.0,16.87,1888000,0.0,6.7,4.51,0.76,0.87
美元树,DLTR,1995-03-13,18.0,17.5,18.0,17.5,654600,0.0,2.84,-0.74,-0.13,0.3
美元树,DLTR,1995-03-14,18.0,17.75,18.25,17.5,686400,0.0,4.29,1.43,0.25,0.32
美元树,DLTR,1995-03-15,17.75,18.25,18.75,17.25,3320000,0.0,8.45,2.82,0.5,1.52
美元树,DLTR,1995-03-16,18.75,17.75,19.0,17.75,600000,0.0,6.85,-2.74,-0.5,0.28
美元树,DLTR,1995-03-17,17.75,17.75,18.25,17.75,1154400,0.0,2.82,0.0,0.0,0.53
美元树,DLTR,1995-03-20,17.75,17.75,18.31,17.75,1152600,0.0,3.15,0.0,0.0,0.53
美元树,DLTR,1995-03-21,18.13,17.87,18.5,17.87,2410200,0.0,3.55,0.68,0.12,1.11
美元树,DLTR,1995-03-22,18.0,18.0,18.5,17.87,2316000,0.0,3.53,0.73,0.13,1.06
美元树,DLTR,1995-03-23,18.25,18.13,18.25,17.87,1860600,0.0,2.11,0.72,0.13,0.85
美元树,DLTR,1995-03-24,18.5,18.13,18.5,18.0,357000,0.0,2.76,0.0,0.0,0.16
美元树,DLTR,1995-03-27,18.5,19.25,19.5,18.13,514800,0.0,7.56,6.18,1.12,0.24
美元树,DLTR,1995-03-28,19.25,20.25,20.25,18.75,838200,0.0,7.79,5.19,1.0,0.38
美元树,DLTR,1995-03-29,20.25,19.5,21.0,18.75,1090400,0.0,11.11,-3.7,-0.75,0.5
美元树,DLTR,1995-03-30,19.5,20.0,20.5,19.0,724400,0.0,7.69,2.56,0.5,0.33
美元树,DLTR,1995-03-31,20.5,20.5,21.0,19.75,369000,0.0,6.25,2.5,0.5,0.17
美元树,DLTR,1995-04-03,21.0,22.0,22.75,20.75,2118600,0.0,9.76,7.32,1.5,0.97
美元树,DLTR,1995-04-04,22.0,21.0,22.5,21.0,1164800,0.0,6.82,-4.55,-1.0,0.53
美元树,DLTR,1995-04-05,21.0,21.88,22.0,21.0,852000,0.0,4.76,4.19,0.88,0.39
美元树,DLTR,1995-04-06,21.88,21.5,21.88,21.5,885200,0.0,1.74,-1.74,-0.38,0.41
美元树,DLTR,1995-04-07,21.88,21.5,21.88,20.88,498000,0.0,4.65,0.0,0.0,0.23
美元树,DLTR,1995-04-10,20.88,21.62,21.62,20.88,142800,0.0,3.44,0.56,0.12,0.07
