股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
快扣,FAST,1990-03-26,19.5,20.0,20.0,19.25,2736000,0.0,0.0,0.0,0.0,0.48
快扣,FAST,1990-03-27,20.0,20.0,20.75,19.75,1660800,0.0,5.0,0.0,0.0,0.29
快扣,FAST,1990-03-28,19.25,20.0,20.5,19.25,1424000,0.0,6.25,0.0,0.0,0.25
快扣,FAST,1990-03-29,20.5,20.0,20.5,20.0,3548800,0.0,2.5,0.0,0.0,0.62
快扣,FAST,1990-03-30,20.0,20.25,20.5,19.75,1148800,0.0,3.75,1.25,0.25,0.2
快扣,FAST,1990-04-02,20.0,20.5,20.5,19.5,451200,0.0,4.94,1.23,0.25,0.08
快扣,FAST,1990-04-03,20.5,21.0,21.0,20.0,1654400,0.0,4.88,2.44,0.5,0.29
快扣,FAST,1990-04-04,21.0,20.5,21.5,20.5,2691200,0.0,4.76,-2.38,-0.5,0.47
快扣,FAST,1990-04-05,21.0,21.0,21.0,20.5,896000,0.0,2.44,2.44,0.5,0.16
快扣,FAST,1990-04-06,21.0,20.75,21.0,20.5,160000,0.0,2.38,-1.19,-0.25,0.03
快扣,FAST,1990-04-09,21.0,21.25,21.75,20.75,1104000,0.0,4.82,2.41,0.5,0.19
快扣,FAST,1990-04-10,21.25,21.5,21.5,21.25,985600,0.0,1.18,1.18,0.25,0.17
快扣,FAST,1990-04-11,21.5,21.25,21.75,21.25,1804800,0.0,2.33,-1.16,-0.25,0.32
快扣,FAST,1990-04-12,21.5,21.5,21.5,21.25,985600,0.0,1.18,1.18,0.25,0.17
快扣,FAST,1990-04-16,21.0,22.0,22.75,21.0,1936000,0.0,8.14,2.33,0.5,0.34
快扣,FAST,1990-04-17,22.5,22.0,23.25,22.0,2656000,0.0,5.68,0.0,0.0,0.46
快扣,FAST,1990-04-18,22.0,22.25,22.5,22.0,1286400,0.0,2.27,1.14,0.25,0.22
快扣,FAST,1990-04-19,22.0,22.5,22.5,22.0,320000,0.0,2.25,1.12,0.25,0.06
快扣,FAST,1990-04-20,22.0,21.5,22.5,21.37,5670400,0.0,5.02,-4.44,-1.0,0.99
快扣,FAST,1990-04-23,21.5,21.25,21.5,20.75,761600,0.0,3.49,-1.16,-0.25,0.13
快扣,FAST,1990-04-24,21.25,21.25,21.5,21.0,1148800,0.0,2.35,0.0,0.0,0.2
快扣,FAST,1990-04-25,21.25,21.5,22.0,21.0,1689600,0.0,4.71,1.18,0.25,0.3
快扣,FAST,1990-04-26,22.0,22.0,22.0,21.5,2035200,0.0,2.33,2.33,0.5,0.36
快扣,FAST,1990-04-27,22.0,21.75,22.0,21.5,438400,0.0,2.27,-1.14,-0.25,0.08
快扣,FAST,1990-04-30,21.75,21.75,21.75,21.5,185600,0.0,1.15,0.0,0.0,0.03
快扣,FAST,1990-05-01,21.75,21.75,22.25,21.5,995200,0.0,3.45,0.0,0.0,0.17
快扣,FAST,1990-05-02,22.25,22.12,22.25,21.75,1926400,0.0,2.3,1.7,0.37,0.34
快扣,FAST,1990-05-03,22.25,22.25,22.75,22.0,976000,0.0,3.39,0.59,0.13,0.17
快扣,FAST,1990-05-04,22.25,22.75,22.75,22.25,444800,0.0,2.25,2.25,0.5,0.08
快扣,FAST,1990-05-07,22.75,23.0,23.5,22.25,2720000,0.0,5.49,1.1,0.25,0.48
快扣,FAST,1990-05-08,23.5,23.75,24.0,22.75,3891200,0.0,5.43,3.26,0.75,0.68
快扣,FAST,1990-05-09,23.25,23.75,23.75,23.0,1059200,0.0,3.16,0.0,0.0,0.19
快扣,FAST,1990-05-10,23.75,23.62,24.25,23.25,2905600,0.0,4.21,-0.55,-0.13,0.51
快扣,FAST,1990-05-11,24.0,24.75,25.5,23.5,3174400,0.0,8.47,4.78,1.13,0.55
快扣,FAST,1990-05-14,24.75,24.75,25.0,24.5,2428800,0.0,2.02,0.0,0.0,0.42
快扣,FAST,1990-05-15,25.0,25.0,25.0,24.75,534400,0.0,1.01,1.01,0.25,0.09
快扣,FAST,1990-05-16,24.75,25.0,25.0,24.75,544000,0.0,1.0,0.0,0.0,0.1
快扣,FAST,1990-05-17,24.75,25.0,25.5,24.75,470400,0.0,3.0,0.0,0.0,0.08
快扣,FAST,1990-05-18,25.5,25.25,25.5,25.0,633600,0.0,2.0,1.0,0.25,0.11
快扣,FAST,1990-05-21,25.25,24.75,25.25,24.75,873600,0.0,1.98,-1.98,-0.5,0.15
快扣,FAST,1990-05-22,24.75,25.0,25.25,24.75,211200,0.0,2.02,1.01,0.25,0.04
快扣,FAST,1990-05-23,24.75,24.5,25.0,24.5,486400,0.0,2.0,-2.0,-0.5,0.09
快扣,FAST,1990-05-24,24.5,23.75,25.0,23.75,1190400,0.0,5.1,-3.06,-0.75,0.21
快扣,FAST,1990-05-25,23.75,22.75,24.25,22.0,2713600,0.0,9.47,-4.21,-1.0,0.47
快扣,FAST,1990-05-29,22.75,23.0,23.0,22.5,2060800,0.0,2.2,1.1,0.25,0.36
快扣,FAST,1990-05-30,22.75,24.0,24.5,22.75,1936000,0.0,7.61,4.35,1.0,0.34
快扣,FAST,1990-05-31,24.5,23.0,24.5,23.0,2924800,0.0,6.25,-4.17,-1.0,0.51
快扣,FAST,1990-06-01,23.5,22.12,23.5,22.0,2665600,0.0,6.52,-3.83,-0.88,0.47
快扣,FAST,1990-06-04,22.5,21.62,22.5,21.5,3049600,0.0,4.52,-2.26,-0.5,0.53
快扣,FAST,1990-06-05,21.5,22.25,22.25,21.5,790400,0.0,3.47,2.91,0.63,0.14
快扣,FAST,1990-06-06,22.25,22.25,22.25,21.75,899200,0.0,2.25,0.0,0.0,0.16
快扣,FAST,1990-06-07,22.25,22.5,22.5,22.0,755200,0.0,2.25,1.12,0.25,0.13
快扣,FAST,1990-06-08,22.75,22.25,22.75,22.0,668800,0.0,3.33,-1.11,-0.25,0.12
快扣,FAST,1990-06-11,22.25,22.37,22.5,22.25,2249600,0.0,1.12,0.54,0.12,0.39
快扣,FAST,1990-06-12,23.0,22.75,23.0,22.25,486400,0.0,3.35,1.7,0.38,0.09
快扣,FAST,1990-06-13,22.75,22.25,22.75,22.25,1609600,0.0,2.2,-2.2,-0.5,0.28
快扣,FAST,1990-06-14,22.5,22.25,22.5,22.0,1468800,0.0,2.25,0.0,0.0,0.26
快扣,FAST,1990-06-15,22.0,21.37,22.0,21.25,809600,0.0,3.37,-3.96,-0.88,0.14
快扣,FAST,1990-06-18,21.5,20.5,21.5,20.5,784000,0.0,4.68,-4.07,-0.87,0.14
快扣,FAST,1990-06-19,20.5,20.5,21.25,20.5,1904000,0.0,3.66,0.0,0.0,0.33
快扣,FAST,1990-06-20,20.5,20.5,20.75,20.25,3628800,0.0,2.44,0.0,0.0,0.63
快扣,FAST,1990-06-21,20.5,20.5,21.0,20.5,1974400,0.0,2.44,0.0,0.0,0.35
快扣,FAST,1990-06-22,21.0,20.5,21.0,20.5,1385600,0.0,2.44,0.0,0.0,0.24
快扣,FAST,1990-06-25,20.5,20.75,20.75,20.25,1251200,0.0,2.44,1.22,0.25,0.22
快扣,FAST,1990-06-26,20.75,21.25,21.25,20.75,1993600,0.0,2.41,2.41,0.5,0.35
快扣,FAST,1990-06-27,21.25,21.75,21.75,21.0,1980800,0.0,3.53,2.35,0.5,0.35
快扣,FAST,1990-06-28,21.75,22.25,23.0,21.25,969600,0.0,8.05,2.3,0.5,0.17
快扣,FAST,1990-06-29,22.75,23.0,23.25,22.25,953600,0.0,4.49,3.37,0.75,0.17
快扣,FAST,1990-07-02,23.25,23.25,23.25,22.75,294400,0.0,2.17,1.09,0.25,0.05
快扣,FAST,1990-07-03,23.25,24.0,24.5,22.5,3344000,0.0,8.6,3.23,0.75,0.58
快扣,FAST,1990-07-05,24.0,24.0,24.25,24.0,1273600,0.0,1.04,0.0,0.0,0.22
快扣,FAST,1990-07-06,24.0,23.75,24.25,23.75,2726400,0.0,2.08,-1.04,-0.25,0.48
快扣,FAST,1990-07-09,24.25,24.25,24.25,23.75,1184000,0.0,2.11,2.11,0.5,0.21
快扣,FAST,1990-07-10,23.75,23.75,24.5,23.75,1884800,0.0,3.09,-2.06,-0.5,0.33
快扣,FAST,1990-07-11,24.5,23.75,24.5,23.75,1126400,0.0,3.16,0.0,0.0,0.2
快扣,FAST,1990-07-12,24.5,23.75,24.5,23.75,755200,0.0,3.16,0.0,0.0,0.13
快扣,FAST,1990-07-13,24.5,24.25,25.0,23.75,1715200,0.0,5.26,2.11,0.5,0.3
快扣,FAST,1990-07-16,24.25,24.5,24.75,24.25,793600,0.0,2.06,1.03,0.25,0.14
快扣,FAST,1990-07-17,24.5,24.5,25.25,24.5,784000,0.0,3.06,0.0,0.0,0.14
快扣,FAST,1990-07-18,24.5,23.5,25.0,23.25,944000,0.0,7.14,-4.08,-1.0,0.16
快扣,FAST,1990-07-19,24.0,23.0,24.0,22.75,419200,0.0,5.32,-2.13,-0.5,0.07
快扣,FAST,1990-07-20,22.75,22.75,23.25,22.5,1136000,0.0,3.26,-1.09,-0.25,0.2
快扣,FAST,1990-07-23,22.5,22.25,22.75,22.25,1091200,0.0,2.2,-2.2,-0.5,0.19
