股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
京东集团-SW,09618,2020-06-18,239.0,234.0,239.0,228.6,29789263,7000096512.0,4.6,3.54,8.0,1.12
京东集团-SW,09618,2020-06-19,234.0,233.6,235.6,233.4,7588265,1778409040.0,0.94,-0.17,-0.4,0.29
京东集团-SW,09618,2020-06-22,229.8,228.0,230.0,226.8,8716948,1992980928.0,1.37,-2.4,-5.6,0.33
京东集团-SW,09618,2020-06-23,227.0,230.0,231.6,226.0,5800950,1330228288.0,2.46,0.88,2.0,0.22
京东集团-SW,09618,2020-06-24,232.6,234.8,235.4,231.8,7307560,1713110544.0,1.57,2.09,4.8,0.27
京东集团-SW,09618,2020-06-26,234.8,234.4,236.0,233.4,3147850,739105744.0,1.11,-0.17,-0.4,0.12
京东集团-SW,09618,2020-06-29,232.0,229.8,232.2,228.2,4125307,947082848.0,1.71,-1.96,-4.6,0.16
京东集团-SW,09618,2020-06-30,231.2,231.8,232.8,228.4,2175206,501528928.0,1.91,0.87,2.0,0.08
京东集团-SW,09618,2020-07-02,232.4,235.8,235.8,231.4,4620079,1076705616.0,1.9,1.73,4.0,0.17
京东集团-SW,09618,2020-07-03,236.2,235.6,236.8,234.4,4343783,1024500448.0,1.02,-0.08,-0.2,0.16
京东集团-SW,09618,2020-07-06,237.0,244.8,245.0,236.0,5452223,1311211936.0,3.82,3.9,9.2,0.21
京东集团-SW,09618,2020-07-07,248.4,242.0,248.6,240.2,4434131,1076930624.0,3.43,-1.14,-2.8,0.17
京东集团-SW,09618,2020-07-08,237.0,247.6,247.6,236.6,4511655,1094445504.0,4.55,2.31,5.6,0.17
京东集团-SW,09618,2020-07-09,252.6,266.0,271.6,252.0,11022464,2892146496.0,7.92,7.43,18.4,0.41
京东集团-SW,09618,2020-07-10,264.0,260.4,266.0,257.0,5766817,1508915680.0,3.38,-2.11,-5.6,0.22
京东集团-SW,09618,2020-07-13,256.8,255.6,259.0,252.2,5257759,1345568688.0,2.61,-1.84,-4.8,0.2
京东集团-SW,09618,2020-07-14,243.2,241.8,244.4,238.6,9143476,2213972512.0,2.27,-5.4,-13.8,0.34
京东集团-SW,09618,2020-07-15,242.2,241.2,243.4,239.0,3617890,873272848.0,1.82,-0.25,-0.6,0.14
京东集团-SW,09618,2020-07-16,243.8,235.0,244.0,233.0,5553074,1313178896.0,4.56,-2.57,-6.2,0.21
京东集团-SW,09618,2020-07-17,239.0,240.6,244.2,238.8,3488903,844826592.0,2.3,2.38,5.6,0.13
京东集团-SW,09618,2020-07-20,242.2,241.8,243.6,238.0,2322904,561694720.0,2.33,0.5,1.2,0.09
京东集团-SW,09618,2020-07-21,251.2,254.2,254.2,248.2,4671746,1172576544.0,2.48,5.13,12.4,0.17
京东集团-SW,09618,2020-07-22,244.4,242.2,248.2,242.0,8166401,1999835136.0,2.44,-4.72,-12.0,0.3
京东集团-SW,09618,2020-07-23,241.4,241.6,243.8,238.6,4145525,999474416.0,2.15,-0.25,-0.6,0.15
京东集团-SW,09618,2020-07-24,235.0,234.8,238.6,231.8,7106385,1668395616.0,2.81,-2.81,-6.8,0.27
京东集团-SW,09618,2020-07-27,236.0,236.8,239.0,234.2,2997808,709097344.0,2.04,0.85,2.0,0.11
京东集团-SW,09618,2020-07-28,242.0,243.4,245.0,241.2,3109197,756079184.0,1.6,2.79,6.6,0.12
京东集团-SW,09618,2020-07-29,239.2,239.8,240.0,238.2,2066347,494588560.0,0.74,-1.48,-3.6,0.08
京东集团-SW,09618,2020-07-30,241.6,240.8,242.8,239.8,1537150,370941520.0,1.25,0.42,1.0,0.06
京东集团-SW,09618,2020-07-31,243.2,240.8,244.0,238.8,1722539,415055680.0,2.16,0.0,0.0,0.06
京东集团-SW,09618,2020-08-03,245.0,247.2,247.4,245.0,3302847,814089056.0,1.0,2.66,6.4,0.12
京东集团-SW,09618,2020-08-04,250.0,252.0,252.0,248.0,3337203,835993904.0,1.62,1.94,4.8,0.12
京东集团-SW,09618,2020-08-05,251.6,253.0,253.0,249.2,1656440,416242816.0,1.51,0.4,1.0,0.06
京东集团-SW,09618,2020-08-06,253.6,254.0,254.8,250.4,1840278,464693328.0,1.74,0.4,1.0,0.07
京东集团-SW,09618,2020-08-07,250.8,246.4,250.8,241.2,4084993,1007764448.0,3.78,-2.99,-7.6,0.15
京东集团-SW,09618,2020-08-10,241.8,240.4,243.4,239.0,2688482,647322848.0,1.79,-2.44,-6.0,0.1
京东集团-SW,09618,2020-08-11,240.4,242.4,244.0,240.4,2721861,659788656.0,1.5,0.83,2.0,0.1
京东集团-SW,09618,2020-08-12,239.0,241.0,241.6,236.8,3717897,888555520.0,1.98,-0.58,-1.4,0.14
