股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
科磊,KLAC,1990-03-26,8.75,8.62,9.0,8.62,242400,0.0,0.0,0.0,0.0,0.18
科磊,KLAC,1990-03-27,9.0,9.0,9.0,8.62,24800,0.0,4.41,4.41,0.38,0.02
科磊,KLAC,1990-03-28,8.75,8.87,9.0,8.75,37200,0.0,2.78,-1.44,-0.13,0.03
科磊,KLAC,1990-03-29,8.75,8.62,9.0,8.62,74800,0.0,4.28,-2.82,-0.25,0.06
科磊,KLAC,1990-03-30,8.62,8.62,9.0,8.62,14000,0.0,4.41,0.0,0.0,0.01
科磊,KLAC,1990-04-02,8.62,8.87,8.87,8.62,138800,0.0,2.9,2.9,0.25,0.1
科磊,KLAC,1990-04-03,9.0,9.75,9.88,8.75,1432800,0.0,12.74,9.92,0.88,1.06
科磊,KLAC,1990-04-04,9.75,10.0,10.25,9.75,862000,0.0,5.13,2.56,0.25,0.64
科磊,KLAC,1990-04-05,9.88,10.0,10.12,9.88,3251200,0.0,2.4,0.0,0.0,2.4
科磊,KLAC,1990-04-06,9.88,9.88,10.12,9.88,964400,0.0,2.4,-1.2,-0.12,0.71
科磊,KLAC,1990-04-09,9.88,9.88,10.12,9.88,214000,0.0,2.43,0.0,0.0,0.16
科磊,KLAC,1990-04-10,9.88,10.0,10.12,9.88,667200,0.0,2.43,1.21,0.12,0.49
科磊,KLAC,1990-04-11,9.88,10.63,10.63,9.88,2848800,0.0,7.5,6.3,0.63,2.11
科磊,KLAC,1990-04-12,10.75,10.25,10.75,10.12,406000,0.0,5.93,-3.57,-0.38,0.3
科磊,KLAC,1990-04-16,10.12,10.0,10.5,10.0,148400,0.0,4.88,-2.44,-0.25,0.11
科磊,KLAC,1990-04-17,10.0,10.0,10.25,10.0,82800,0.0,2.5,0.0,0.0,0.06
科磊,KLAC,1990-04-18,10.25,9.75,10.25,9.75,312400,0.0,5.0,-2.5,-0.25,0.23
科磊,KLAC,1990-04-19,9.75,9.5,9.75,9.38,264800,0.0,3.79,-2.56,-0.25,0.2
科磊,KLAC,1990-04-20,9.25,9.0,9.25,9.0,797600,0.0,2.63,-5.26,-0.5,0.59
科磊,KLAC,1990-04-23,9.0,8.75,9.0,8.5,680000,0.0,5.56,-2.78,-0.25,0.5
科磊,KLAC,1990-04-24,8.62,9.0,9.0,8.62,389200,0.0,4.34,2.86,0.25,0.29
科磊,KLAC,1990-04-25,8.75,9.25,9.5,8.75,181600,0.0,8.33,2.78,0.25,0.13
科磊,KLAC,1990-04-26,9.25,9.62,9.75,9.25,58800,0.0,5.41,4.0,0.37,0.04
科磊,KLAC,1990-04-27,9.25,9.13,9.38,9.0,205600,0.0,3.95,-5.09,-0.49,0.15
科磊,KLAC,1990-04-30,9.0,9.25,9.25,9.0,56400,0.0,2.74,1.31,0.12,0.04
科磊,KLAC,1990-05-01,9.13,9.13,9.13,9.0,42800,0.0,1.41,-1.3,-0.12,0.03
科磊,KLAC,1990-05-02,9.0,9.0,9.13,9.0,82400,0.0,1.42,-1.42,-0.13,0.06
科磊,KLAC,1990-05-03,9.0,9.25,9.25,9.0,45600,0.0,2.78,2.78,0.25,0.03
科磊,KLAC,1990-05-04,9.25,9.25,9.5,9.0,324400,0.0,5.41,0.0,0.0,0.24
科磊,KLAC,1990-05-07,9.38,9.5,9.5,9.38,40800,0.0,1.3,2.7,0.25,0.03
科磊,KLAC,1990-05-08,9.38,9.75,9.75,9.25,131600,0.0,5.26,2.63,0.25,0.1
科磊,KLAC,1990-05-09,9.5,9.75,9.75,9.5,100000,0.0,2.56,0.0,0.0,0.07
科磊,KLAC,1990-05-10,9.5,9.75,9.75,9.5,246400,0.0,2.56,0.0,0.0,0.18
科磊,KLAC,1990-05-11,9.75,9.5,9.75,9.5,284400,0.0,2.56,-2.56,-0.25,0.21
科磊,KLAC,1990-05-14,9.5,9.62,9.88,9.5,322800,0.0,4.0,1.26,0.12,0.24
科磊,KLAC,1990-05-15,9.75,9.75,9.75,9.5,477600,0.0,2.6,1.35,0.13,0.35
科磊,KLAC,1990-05-16,9.5,9.88,10.0,9.5,1628000,0.0,5.13,1.33,0.13,1.2
科磊,KLAC,1990-05-17,9.75,10.12,10.25,9.75,649600,0.0,5.06,2.43,0.24,0.48
科磊,KLAC,1990-05-18,10.25,10.63,10.75,10.0,627200,0.0,7.41,5.04,0.51,0.46
科磊,KLAC,1990-05-21,10.5,11.25,11.87,10.5,1808800,0.0,12.89,5.83,0.62,1.34
科磊,KLAC,1990-05-22,11.75,11.38,11.75,11.25,648800,0.0,4.44,1.16,0.13,0.48
科磊,KLAC,1990-05-23,11.25,11.0,11.25,11.0,560000,0.0,2.2,-3.34,-0.38,0.41
科磊,KLAC,1990-05-24,11.0,11.12,11.12,11.0,544400,0.0,1.09,1.09,0.12,0.4
科磊,KLAC,1990-05-25,11.0,10.88,11.25,10.75,144800,0.0,4.5,-2.16,-0.24,0.11
科磊,KLAC,1990-05-29,10.88,11.38,11.38,10.88,1823200,0.0,4.6,4.6,0.5,1.35
科磊,KLAC,1990-05-30,11.38,11.75,11.75,11.25,590400,0.0,4.39,3.25,0.37,0.44
