股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
拉姆研究,LRCX,1990-03-26,6.88,7.38,7.38,6.62,656100,0.0,0.0,0.0,0.0,0.5
拉姆研究,LRCX,1990-03-27,7.13,7.38,7.62,7.13,603900,0.0,6.64,0.0,0.0,0.46
拉姆研究,LRCX,1990-03-28,7.25,7.38,7.38,7.13,1009800,0.0,3.39,0.0,0.0,0.77
拉姆研究,LRCX,1990-03-29,7.25,7.25,7.5,7.25,313200,0.0,3.39,-1.76,-0.13,0.24
拉姆研究,LRCX,1990-03-30,7.25,7.38,7.38,7.25,453600,0.0,1.79,1.79,0.13,0.35
拉姆研究,LRCX,1990-04-02,7.25,7.0,7.25,7.0,189000,0.0,3.39,-5.15,-0.38,0.14
拉姆研究,LRCX,1990-04-03,7.25,7.25,7.25,7.0,263700,0.0,3.57,3.57,0.25,0.2
拉姆研究,LRCX,1990-04-04,7.13,7.13,7.25,7.13,177300,0.0,1.66,-1.66,-0.12,0.14
拉姆研究,LRCX,1990-04-05,7.13,7.25,7.25,7.0,442400,0.0,3.51,1.68,0.12,0.34
拉姆研究,LRCX,1990-04-06,7.13,7.13,7.38,7.13,219600,0.0,3.45,-1.66,-0.12,0.17
拉姆研究,LRCX,1990-04-09,7.25,7.25,7.25,7.13,60800,0.0,1.68,1.68,0.12,0.05
拉姆研究,LRCX,1990-04-10,7.13,7.25,7.38,7.13,376200,0.0,3.45,0.0,0.0,0.29
拉姆研究,LRCX,1990-04-11,7.38,7.25,7.62,7.25,918000,0.0,5.1,0.0,0.0,0.7
拉姆研究,LRCX,1990-04-12,7.25,7.38,7.5,7.25,539100,0.0,3.45,1.79,0.13,0.41
拉姆研究,LRCX,1990-04-16,7.5,7.38,7.5,7.25,142200,0.0,3.39,0.0,0.0,0.11
拉姆研究,LRCX,1990-04-17,7.5,7.25,7.5,7.0,333000,0.0,6.78,-1.76,-0.13,0.25
拉姆研究,LRCX,1990-04-18,7.13,7.25,7.25,7.13,147200,0.0,1.66,0.0,0.0,0.11
拉姆研究,LRCX,1990-04-19,7.13,7.25,7.25,7.0,271400,0.0,3.45,0.0,0.0,0.21
拉姆研究,LRCX,1990-04-20,7.0,6.88,7.13,6.75,95000,0.0,5.24,-5.1,-0.37,0.07
拉姆研究,LRCX,1990-04-23,6.62,6.62,6.88,6.5,228200,0.0,5.52,-3.78,-0.26,0.17
拉姆研究,LRCX,1990-04-24,6.62,6.62,7.0,6.62,793800,0.0,5.74,0.0,0.0,0.61
