股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
微芯科技,MCHP,1993-03-22,14.5,14.25,14.62,14.13,3023100,0.0,0.0,0.0,0.0,0.56
微芯科技,MCHP,1993-03-23,14.25,14.25,14.5,14.13,1845300,0.0,2.6,0.0,0.0,0.34
微芯科技,MCHP,1993-03-24,14.5,14.5,14.62,14.13,813300,0.0,3.44,1.75,0.25,0.15
微芯科技,MCHP,1993-03-25,14.75,15.12,15.25,14.62,945400,0.0,4.34,4.28,0.62,0.17
微芯科技,MCHP,1993-03-26,15.25,15.62,16.12,15.12,1847600,0.0,6.61,3.31,0.5,0.34
微芯科技,MCHP,1993-03-29,15.87,15.75,15.87,15.62,1635700,0.0,1.6,0.83,0.13,0.3
微芯科技,MCHP,1993-03-30,15.75,16.0,16.12,15.5,845200,0.0,3.94,1.59,0.25,0.16
微芯科技,MCHP,1993-03-31,16.25,16.12,16.25,15.75,738100,0.0,3.13,0.75,0.12,0.14
微芯科技,MCHP,1993-04-01,15.87,16.0,16.25,15.75,316700,0.0,3.1,-0.74,-0.12,0.06
微芯科技,MCHP,1993-04-02,16.25,16.25,16.25,15.75,423700,0.0,3.13,1.56,0.25,0.08
微芯科技,MCHP,1993-04-05,16.25,16.12,16.25,15.75,98000,0.0,3.08,-0.8,-0.13,0.02
微芯科技,MCHP,1993-04-06,16.0,15.75,16.12,15.75,193600,0.0,2.3,-2.3,-0.37,0.04
微芯科技,MCHP,1993-04-07,16.12,16.12,16.12,15.75,303000,0.0,2.35,2.35,0.37,0.06
微芯科技,MCHP,1993-04-08,16.12,16.25,16.25,15.75,211900,0.0,3.1,0.81,0.13,0.04
微芯科技,MCHP,1993-04-12,16.25,15.87,16.25,15.87,41000,0.0,2.34,-2.34,-0.38,0.01
微芯科技,MCHP,1993-04-13,16.25,16.5,17.0,16.0,448800,0.0,6.3,3.97,0.63,0.08
微芯科技,MCHP,1993-04-14,16.5,17.13,17.88,16.5,1373700,0.0,8.36,3.82,0.63,0.25
微芯科技,MCHP,1993-04-15,17.25,16.5,17.25,16.25,788200,0.0,5.84,-3.68,-0.63,0.15
微芯科技,MCHP,1993-04-16,16.75,16.75,16.88,16.5,457900,0.0,2.3,1.52,0.25,0.08
微芯科技,MCHP,1993-04-19,16.75,16.25,16.75,16.12,371300,0.0,3.76,-2.99,-0.5,0.07
微芯科技,MCHP,1993-04-20,16.25,16.25,16.25,15.75,524000,0.0,3.08,0.0,0.0,0.1
微芯科技,MCHP,1993-04-21,16.0,16.88,17.25,15.75,703900,0.0,9.23,3.88,0.63,0.13
微芯科技,MCHP,1993-04-22,17.0,17.75,18.25,16.75,662900,0.0,8.89,5.15,0.87,0.12
微芯科技,MCHP,1993-04-23,18.25,18.75,18.75,17.75,414600,0.0,5.63,5.63,1.0,0.08
微芯科技,MCHP,1993-04-26,18.5,18.87,19.25,18.0,781400,0.0,6.67,0.64,0.12,0.14
微芯科技,MCHP,1993-04-27,18.87,19.75,19.75,18.63,649300,0.0,5.94,4.66,0.88,0.12
微芯科技,MCHP,1993-04-28,19.75,21.0,21.25,19.75,1756400,0.0,7.59,6.33,1.25,0.33
微芯科技,MCHP,1993-04-29,21.0,20.0,21.25,19.0,1824800,0.0,10.71,-4.76,-1.0,0.34
微芯科技,MCHP,1993-04-30,20.5,21.25,21.25,20.0,1159600,0.0,6.25,6.25,1.25,0.21
微芯科技,MCHP,1993-05-03,21.0,21.5,21.5,21.0,398700,0.0,2.35,1.18,0.25,0.07
微芯科技,MCHP,1993-05-04,21.25,20.5,21.5,20.5,357700,0.0,4.65,-4.65,-1.0,0.07
微芯科技,MCHP,1993-05-05,20.5,20.75,21.25,20.5,227800,0.0,3.66,1.22,0.25,0.04
微芯科技,MCHP,1993-05-06,21.25,21.25,21.25,20.75,34200,0.0,2.41,2.41,0.5,0.01
微芯科技,MCHP,1993-05-07,21.25,22.25,22.5,21.25,421500,0.0,5.88,4.71,1.0,0.08
微芯科技,MCHP,1993-05-10,22.25,23.5,23.5,22.25,1309900,0.0,5.62,5.62,1.25,0.24
微芯科技,MCHP,1993-05-11,23.5,23.5,23.5,22.75,633300,0.0,3.19,0.0,0.0,0.12
微芯科技,MCHP,1993-05-12,23.5,23.5,23.5,23.0,412300,0.0,2.13,0.0,0.0,0.08
微芯科技,MCHP,1993-05-13,23.5,22.25,23.5,22.25,571800,0.0,5.32,-5.32,-1.25,0.11
微芯科技,MCHP,1993-05-14,22.25,22.5,23.0,22.25,517100,0.0,3.37,1.12,0.25,0.1
微芯科技,MCHP,1993-05-17,22.5,23.25,23.5,22.5,132100,0.0,4.44,3.33,0.75,0.02
微芯科技,MCHP,1993-05-18,23.5,24.25,24.25,23.5,430600,0.0,3.23,4.3,1.0,0.08
微芯科技,MCHP,1993-05-19,24.25,23.75,24.25,23.75,446500,0.0,2.06,-2.06,-0.5,0.08
微芯科技,MCHP,1993-05-20,24.5,24.0,24.5,23.75,218700,0.0,3.16,1.05,0.25,0.04
微芯科技,MCHP,1993-05-21,24.5,24.5,24.5,23.75,82000,0.0,3.13,2.08,0.5,0.02
微芯科技,MCHP,1993-05-24,24.25,22.88,24.25,22.5,353100,0.0,7.14,-6.61,-1.62,0.07
微芯科技,MCHP,1993-05-25,22.75,23.0,23.0,22.75,259700,0.0,1.09,0.52,0.12,0.05
微芯科技,MCHP,1993-05-26,22.75,23.5,23.5,22.75,88800,0.0,3.26,2.17,0.5,0.02
微芯科技,MCHP,1993-05-27,23.13,23.25,23.5,22.75,357700,0.0,3.19,-1.06,-0.25,0.07
微芯科技,MCHP,1993-05-28,22.75,23.25,23.25,22.75,50100,0.0,2.15,0.0,0.0,0.01
微芯科技,MCHP,1993-06-01,22.75,22.75,23.25,22.75,98000,0.0,2.15,-2.15,-0.5,0.02
微芯科技,MCHP,1993-06-02,23.25,22.75,23.25,22.75,29600,0.0,2.2,0.0,0.0,0.01
微芯科技,MCHP,1993-06-03,22.75,22.75,23.25,22.75,93400,0.0,2.2,0.0,0.0,0.02
微芯科技,MCHP,1993-06-04,22.75,21.5,23.25,21.0,603700,0.0,9.89,-5.49,-1.25,0.11
微芯科技,MCHP,1993-06-07,21.5,22.0,22.0,21.25,524000,0.0,3.49,2.33,0.5,0.1
微芯科技,MCHP,1993-06-08,21.5,20.25,21.5,19.5,1118600,0.0,9.09,-7.95,-1.75,0.21
微芯科技,MCHP,1993-06-09,21.0,21.0,21.5,20.25,503500,0.0,6.17,3.7,0.75,0.09
微芯科技,MCHP,1993-06-10,21.0,21.5,21.75,21.0,88800,0.0,3.57,2.38,0.5,0.02
微芯科技,MCHP,1993-06-11,22.25,23.5,23.5,22.0,298400,0.0,6.98,9.3,2.0,0.06
微芯科技,MCHP,1993-06-14,23.5,24.25,24.5,23.0,1594700,0.0,6.38,3.19,0.75,0.3
微芯科技,MCHP,1993-06-15,24.5,24.5,24.75,24.0,469300,0.0,3.09,1.03,0.25,0.09
微芯科技,MCHP,1993-06-16,24.75,26.5,26.75,24.5,1100300,0.0,9.18,8.16,2.0,0.2
微芯科技,MCHP,1993-06-17,26.25,26.5,26.5,26.0,1296300,0.0,1.89,0.0,0.0,0.24
微芯科技,MCHP,1993-06-18,26.0,26.37,26.5,26.0,195900,0.0,1.89,-0.49,-0.13,0.04
微芯科技,MCHP,1993-06-21,27.0,28.0,28.5,26.25,426000,0.0,8.53,6.18,1.63,0.08
微芯科技,MCHP,1993-06-22,28.5,27.75,30.5,27.5,988700,0.0,10.71,-0.89,-0.25,0.18
微芯科技,MCHP,1993-06-23,29.0,29.0,29.0,28.25,968200,0.0,2.7,4.5,1.25,0.18
微芯科技,MCHP,1993-06-24,29.0,30.0,30.75,28.0,359900,0.0,9.48,3.45,1.0,0.07
微芯科技,MCHP,1993-06-25,30.5,29.75,30.5,29.75,619600,0.0,2.5,-0.83,-0.25,0.11
微芯科技,MCHP,1993-06-28,29.88,29.75,30.25,29.75,170900,0.0,1.68,0.0,0.0,0.03
微芯科技,MCHP,1993-06-29,30.25,29.0,30.25,29.0,154900,0.0,4.2,-2.52,-0.75,0.03
微芯科技,MCHP,1993-06-30,28.5,29.25,29.25,28.5,47800,0.0,2.59,0.86,0.25,0.01
微芯科技,MCHP,1993-07-01,28.5,28.5,29.0,28.5,57000,0.0,1.71,-2.56,-0.75,0.01
微芯科技,MCHP,1993-07-02,29.25,29.0,29.25,28.25,339400,0.0,3.51,1.75,0.5,0.06
微芯科技,MCHP,1993-07-06,28.25,28.25,29.0,28.25,72900,0.0,2.59,-2.59,-0.75,0.01
微芯科技,MCHP,1993-07-07,29.0,28.0,29.0,28.0,166300,0.0,3.54,-0.88,-0.25,0.03
微芯科技,MCHP,1993-07-08,28.0,28.75,28.75,28.0,198200,0.0,2.68,2.68,0.75,0.04
微芯科技,MCHP,1993-07-09,28.75,28.5,28.75,28.0,193600,0.0,2.61,-0.87,-0.25,0.04
微芯科技,MCHP,1993-07-12,29.0,28.75,29.0,28.0,307500,0.0,3.51,0.88,0.25,0.06
微芯科技,MCHP,1993-07-13,28.75,28.0,28.75,28.0,362200,0.0,2.61,-2.61,-0.75,0.07
微芯科技,MCHP,1993-07-14,29.75,30.25,31.0,28.88,5237400,0.0,7.57,8.04,2.25,0.97
微芯科技,MCHP,1993-07-15,30.25,29.5,30.5,29.0,1132200,0.0,4.96,-2.48,-0.75,0.21
微芯科技,MCHP,1993-07-16,29.0,27.5,29.5,27.25,1239300,0.0,7.63,-6.78,-2.0,0.23
微芯科技,MCHP,1993-07-19,27.5,26.75,28.0,26.75,403200,0.0,4.55,-2.73,-0.75,0.07
微芯科技,MCHP,1993-07-20,27.5,26.5,27.5,26.5,3437700,0.0,3.74,-0.93,-0.25,0.64
微芯科技,MCHP,1993-07-21,26.5,27.5,27.5,26.5,139000,0.0,3.77,3.77,1.0,0.03
