股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
亿滋国际,MDLZ,2013-07-25,30.57,31.14,31.19,30.53,6261584,0.0,2.13,0.45,0.14,0.35
亿滋国际,MDLZ,2013-07-26,30.83,31.58,31.59,30.8,9684257,0.0,2.54,1.41,0.44,0.54
亿滋国际,MDLZ,2013-07-29,31.45,31.61,31.7,31.26,7935483,0.0,1.39,0.09,0.03,0.44
亿滋国际,MDLZ,2013-07-30,31.81,31.05,31.86,30.99,11777504,0.0,2.75,-1.77,-0.56,0.66
亿滋国际,MDLZ,2013-07-31,31.04,31.27,31.5,31.0,8421087,0.0,1.61,0.71,0.22,0.47
亿滋国际,MDLZ,2013-08-01,31.57,31.71,31.78,31.31,6575976,0.0,1.5,1.41,0.44,0.37
亿滋国际,MDLZ,2013-08-02,31.67,31.94,32.0,31.48,6154705,0.0,1.64,0.73,0.23,0.35
亿滋国际,MDLZ,2013-08-05,31.76,31.77,31.86,31.48,5360411,0.0,1.19,-0.53,-0.17,0.3
亿滋国际,MDLZ,2013-08-06,31.53,31.86,31.92,31.5,6696129,0.0,1.32,0.28,0.09,0.38
亿滋国际,MDLZ,2013-08-07,31.91,31.26,31.91,31.14,10774168,0.0,2.42,-1.88,-0.6,0.61
亿滋国际,MDLZ,2013-08-08,31.95,32.7,32.91,31.57,19184463,0.0,4.29,4.61,1.44,1.08
亿滋国际,MDLZ,2013-08-09,32.5,32.16,32.7,31.97,6977268,0.0,2.23,-1.65,-0.54,0.39
亿滋国际,MDLZ,2013-08-12,31.96,31.88,32.09,31.59,8374505,0.0,1.55,-0.87,-0.28,0.47
亿滋国际,MDLZ,2013-08-13,32.0,32.08,32.32,31.89,6960021,0.0,1.35,0.63,0.2,0.39
亿滋国际,MDLZ,2013-08-14,31.96,31.6,31.99,31.59,7536720,0.0,1.25,-1.5,-0.48,0.42
亿滋国际,MDLZ,2013-08-15,31.26,31.17,31.34,30.91,13443977,0.0,1.36,-1.36,-0.43,0.75
亿滋国际,MDLZ,2013-08-16,31.06,30.96,31.17,30.73,10802163,0.0,1.41,-0.67,-0.21,0.61
亿滋国际,MDLZ,2013-08-19,30.99,30.66,31.02,30.6,8261831,0.0,1.36,-0.97,-0.3,0.46
亿滋国际,MDLZ,2013-08-20,30.7,30.75,31.03,30.59,6759997,0.0,1.44,0.29,0.09,0.38
亿滋国际,MDLZ,2013-08-21,30.7,30.52,31.01,30.46,9596118,0.0,1.79,-0.75,-0.23,0.54
亿滋国际,MDLZ,2013-08-22,30.57,31.1,32.56,30.4,8751159,0.0,7.08,1.9,0.58,0.49
亿滋国际,MDLZ,2013-08-23,31.2,31.32,31.45,30.95,7501785,0.0,1.61,0.71,0.22,0.42
亿滋国际,MDLZ,2013-08-26,31.22,30.71,31.3,30.64,7370310,0.0,2.11,-1.95,-0.61,0.41
亿滋国际,MDLZ,2013-08-27,30.5,30.7,30.81,30.4,6610174,0.0,1.34,-0.03,-0.01,0.37
亿滋国际,MDLZ,2013-08-28,30.6,30.55,30.9,30.18,7846732,0.0,2.35,-0.49,-0.15,0.44
亿滋国际,MDLZ,2013-08-29,30.34,30.7,30.87,30.15,7853980,0.0,2.36,0.49,0.15,0.44
亿滋国际,MDLZ,2013-08-30,30.64,30.67,30.98,30.55,7074367,0.0,1.4,-0.1,-0.03,0.4
亿滋国际,MDLZ,2013-09-03,31.14,30.79,31.24,30.53,8797452,0.0,2.31,0.39,0.12,0.49
亿滋国际,MDLZ,2013-09-04,30.69,30.88,31.19,30.66,10755071,0.0,1.72,0.29,0.09,0.6
亿滋国际,MDLZ,2013-09-05,30.88,30.74,30.95,30.7,6454285,0.0,0.81,-0.45,-0.14,0.36
亿滋国际,MDLZ,2013-09-06,30.9,30.94,31.21,30.43,7505064,0.0,2.54,0.65,0.2,0.42
亿滋国际,MDLZ,2013-09-09,30.91,31.11,31.15,30.79,6149078,0.0,1.16,0.55,0.17,0.35
