股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
迈威尔科技,MRVL,2000-06-30,55.23,57.0,59.0,50.75,3518000,0.0,55.0,280.0,42.0,4.26
迈威尔科技,MRVL,2000-07-03,57.44,55.0,57.44,53.62,778800,0.0,6.7,-3.51,-2.0,0.94
迈威尔科技,MRVL,2000-07-05,54.25,51.56,55.0,50.0,2986000,0.0,9.09,-6.25,-3.44,3.62
迈威尔科技,MRVL,2000-07-06,51.62,45.5,52.0,42.25,3596000,0.0,18.91,-11.75,-6.06,4.36
迈威尔科技,MRVL,2000-07-07,45.62,47.88,48.38,43.0,1938800,0.0,11.82,5.23,2.38,2.35
迈威尔科技,MRVL,2000-07-10,47.5,49.88,54.56,45.5,2824400,0.0,18.92,4.18,2.0,3.42
迈威尔科技,MRVL,2000-07-11,49.0,48.38,54.0,46.38,2786800,0.0,15.28,-3.01,-1.5,3.38
迈威尔科技,MRVL,2000-07-13,59.75,60.38,63.75,54.06,5894400,0.0,20.03,24.8,12.0,7.15
迈威尔科技,MRVL,2000-07-14,60.5,55.25,60.5,54.5,1805200,0.0,9.94,-8.5,-5.13,2.19
迈威尔科技,MRVL,2000-07-17,55.75,59.19,60.62,52.0,1578000,0.0,15.6,7.13,3.94,1.91
迈威尔科技,MRVL,2000-07-18,58.0,62.75,64.69,56.25,2166000,0.0,14.26,6.01,3.56,2.63
迈威尔科技,MRVL,2000-07-19,63.25,66.12,68.0,60.75,3068800,0.0,11.55,5.37,3.37,3.72
迈威尔科技,MRVL,2000-07-21,68.0,61.56,69.44,61.5,1402000,0.0,12.01,-6.9,-4.56,1.7
迈威尔科技,MRVL,2000-07-24,66.06,55.0,66.06,55.0,3320800,0.0,17.97,-10.66,-6.56,4.03
迈威尔科技,MRVL,2000-07-25,56.5,56.62,58.12,52.75,1588400,0.0,9.76,2.95,1.62,1.93
迈威尔科技,MRVL,2000-07-26,56.75,52.69,56.75,50.75,1924400,0.0,10.6,-6.94,-3.93,2.33
迈威尔科技,MRVL,2000-07-27,52.25,48.31,52.25,46.5,2432000,0.0,10.91,-8.31,-4.38,2.95
迈威尔科技,MRVL,2000-07-28,49.38,49.5,49.5,45.0,1814000,0.0,9.31,2.46,1.19,2.2
迈威尔科技,MRVL,2000-07-31,49.81,45.69,50.12,45.5,1662000,0.0,9.33,-7.7,-3.81,2.01
迈威尔科技,MRVL,2000-08-01,46.5,43.19,47.0,43.0,894400,0.0,8.75,-5.47,-2.5,1.08
迈威尔科技,MRVL,2000-08-02,43.12,46.0,46.5,41.62,1896800,0.0,11.3,6.51,2.81,2.3
迈威尔科技,MRVL,2000-08-03,45.0,53.62,53.62,44.31,1499200,0.0,20.24,16.57,7.62,1.82
迈威尔科技,MRVL,2000-08-04,52.44,57.75,57.75,52.44,1474800,0.0,9.9,7.7,4.13,1.79
迈威尔科技,MRVL,2000-08-07,58.81,55.0,59.0,53.31,492400,0.0,9.85,-4.76,-2.75,0.6
迈威尔科技,MRVL,2000-08-08,55.25,54.0,56.88,54.0,323600,0.0,5.24,-1.82,-1.0,0.39
迈威尔科技,MRVL,2000-08-09,55.06,52.62,56.0,52.0,369200,0.0,7.41,-2.56,-1.38,0.45
迈威尔科技,MRVL,2000-08-10,53.31,52.0,53.31,50.0,300400,0.0,6.29,-1.18,-0.62,0.36
迈威尔科技,MRVL,2000-08-11,52.0,51.88,52.75,49.56,134000,0.0,6.13,-0.23,-0.12,0.16
迈威尔科技,MRVL,2000-08-14,51.25,49.88,52.0,49.5,593200,0.0,4.82,-3.86,-2.0,0.72
迈威尔科技,MRVL,2000-08-15,49.75,51.0,51.38,49.0,204000,0.0,4.77,2.25,1.12,0.25
迈威尔科技,MRVL,2000-08-16,51.19,54.88,55.12,51.0,740800,0.0,8.08,7.61,3.88,0.9
迈威尔科技,MRVL,2000-08-17,55.0,52.88,55.25,51.25,575200,0.0,7.29,-3.64,-2.0,0.7
迈威尔科技,MRVL,2000-08-18,52.88,52.23,54.0,51.0,198800,0.0,5.67,-1.23,-0.65,0.24
迈威尔科技,MRVL,2000-08-21,52.25,55.0,55.5,51.25,263200,0.0,8.14,5.3,2.77,0.32
迈威尔科技,MRVL,2000-08-22,54.0,55.88,57.88,54.0,379600,0.0,7.05,1.6,0.88,0.46
迈威尔科技,MRVL,2000-08-23,55.88,53.5,56.06,52.75,454400,0.0,5.92,-4.26,-2.38,0.55
迈威尔科技,MRVL,2000-08-24,53.28,55.12,56.0,53.0,1924000,0.0,5.61,3.03,1.62,2.33
迈威尔科技,MRVL,2000-08-25,55.75,55.38,57.19,53.12,1748000,0.0,7.38,0.47,0.26,2.12
迈威尔科技,MRVL,2000-08-30,66.06,70.25,74.69,66.0,1767200,0.0,15.69,26.85,14.87,2.14
迈威尔科技,MRVL,2000-08-31,70.12,71.38,73.94,69.75,850800,0.0,5.96,1.61,1.13,1.03
迈威尔科技,MRVL,2000-09-01,72.62,71.75,73.31,70.12,467600,0.0,4.47,0.52,0.37,0.57
