股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
网易,NTES,2000-06-30,15.31,12.12,17.25,10.62,19108000,0.0,42.77,-21.81,-3.38,634.7
网易,NTES,2000-07-03,12.25,13.0,13.38,12.22,1930800,0.0,9.57,7.26,0.88,64.13
网易,NTES,2000-07-05,13.25,13.12,13.75,12.75,1640400,0.0,7.69,0.92,0.12,54.49
网易,NTES,2000-07-06,13.44,14.75,14.81,13.12,1689200,0.0,12.88,12.42,1.63,56.11
网易,NTES,2000-07-07,14.88,13.88,15.12,13.75,949600,0.0,9.29,-5.9,-0.87,31.54
网易,NTES,2000-07-10,13.94,13.44,14.0,13.38,834400,0.0,4.47,-3.17,-0.44,27.72
网易,NTES,2000-07-11,13.28,12.0,13.28,11.88,1237200,0.0,10.42,-10.71,-1.44,41.1
网易,NTES,2000-07-13,12.75,11.5,12.88,11.44,1202000,0.0,12.0,-4.17,-0.5,39.93
网易,NTES,2000-07-14,11.38,10.94,11.62,10.81,1261600,0.0,7.04,-4.87,-0.56,41.91
网易,NTES,2000-07-17,10.69,9.5,10.75,9.38,1452800,0.0,12.52,-13.16,-1.44,48.26
网易,NTES,2000-07-18,9.59,8.25,10.12,8.19,1511200,0.0,20.32,-13.16,-1.25,50.2
网易,NTES,2000-07-19,8.38,8.31,8.75,8.19,577200,0.0,6.79,0.73,0.06,19.17
网易,NTES,2000-07-21,9.23,9.38,9.88,8.75,1213600,0.0,13.6,12.88,1.07,40.31
网易,NTES,2000-07-24,9.38,8.38,9.38,8.12,557200,0.0,13.43,-10.66,-1.0,18.51
网易,NTES,2000-07-25,8.12,7.72,8.19,7.62,632400,0.0,6.8,-7.88,-0.66,21.01
网易,NTES,2000-07-26,7.5,6.75,7.62,6.5,988000,0.0,14.51,-12.56,-0.97,32.82
网易,NTES,2000-07-27,6.38,5.94,6.75,5.62,712800,0.0,16.74,-12.0,-0.81,23.68
网易,NTES,2000-07-28,6.0,5.88,6.0,4.75,1780400,0.0,21.04,-1.01,-0.06,59.14
网易,NTES,2000-07-31,5.61,6.06,6.44,5.0,1295200,0.0,24.49,3.06,0.18,43.02
网易,NTES,2000-08-01,6.38,6.0,6.38,5.81,476000,0.0,9.41,-0.99,-0.06,15.81
网易,NTES,2000-08-02,5.75,5.88,6.25,5.56,508000,0.0,11.5,-2.0,-0.12,16.87
网易,NTES,2000-08-03,5.88,5.81,5.91,5.56,358000,0.0,5.95,-1.19,-0.07,11.89
网易,NTES,2000-08-04,6.0,5.81,6.0,5.62,234000,0.0,6.54,0.0,0.0,7.77
