股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
恩智浦半导体,NXPI,2010-10-08,11.8,11.98,12.11,11.72,251877,0.0,2.79,-14.43,-2.02,0.1
恩智浦半导体,NXPI,2010-10-11,11.95,12.05,12.15,11.91,63685,0.0,2.0,0.58,0.07,0.03
恩智浦半导体,NXPI,2010-10-12,12.01,12.3,12.3,11.91,59597,0.0,3.24,2.07,0.25,0.02
恩智浦半导体,NXPI,2010-10-13,12.31,12.07,12.33,12.02,222010,0.0,2.52,-1.87,-0.23,0.09
恩智浦半导体,NXPI,2010-10-14,12.07,12.15,12.23,12.0,223688,0.0,1.91,0.66,0.08,0.09
恩智浦半导体,NXPI,2010-10-15,12.35,11.94,12.35,11.86,396195,0.0,4.03,-1.73,-0.21,0.16
恩智浦半导体,NXPI,2010-10-18,11.96,12.24,12.29,11.65,53545,0.0,5.36,2.51,0.3,0.02
恩智浦半导体,NXPI,2010-10-19,12.06,12.11,12.25,12.01,130104,0.0,1.96,-1.06,-0.13,0.05
恩智浦半导体,NXPI,2010-10-20,12.17,12.2,12.45,11.52,124758,0.0,7.68,0.74,0.09,0.05
恩智浦半导体,NXPI,2010-10-21,12.11,12.25,12.4,12.11,58771,0.0,2.38,0.41,0.05,0.02
恩智浦半导体,NXPI,2010-10-22,12.2,12.33,12.61,12.18,94233,0.0,3.51,0.65,0.08,0.04
恩智浦半导体,NXPI,2010-10-25,12.2,12.37,12.59,12.2,128276,0.0,3.16,0.32,0.04,0.05
恩智浦半导体,NXPI,2010-10-26,12.25,12.28,12.49,11.91,186145,0.0,4.69,-0.73,-0.09,0.07
恩智浦半导体,NXPI,2010-10-27,12.28,12.77,12.8,12.28,263757,0.0,4.23,3.99,0.49,0.11
恩智浦半导体,NXPI,2010-10-28,12.82,13.19,13.35,12.6,409914,0.0,5.87,3.29,0.42,0.16
恩智浦半导体,NXPI,2010-10-29,13.16,13.19,13.47,12.88,434606,0.0,4.47,0.0,0.0,0.17
恩智浦半导体,NXPI,2010-11-01,13.27,12.69,13.5,12.56,432059,0.0,7.13,-3.79,-0.5,0.17
恩智浦半导体,NXPI,2010-11-02,12.9,13.27,13.43,12.47,300886,0.0,7.57,4.57,0.58,0.12
恩智浦半导体,NXPI,2010-11-03,13.21,13.64,13.8,13.11,359900,0.0,5.2,2.79,0.37,0.14
恩智浦半导体,NXPI,2010-11-04,13.74,13.97,14.0,13.53,274634,0.0,3.45,2.42,0.33,0.11
恩智浦半导体,NXPI,2010-11-05,13.9,13.97,14.0,13.64,175556,0.0,2.58,0.0,0.0,0.07
恩智浦半导体,NXPI,2010-11-08,14.0,13.77,14.0,13.61,179929,0.0,2.79,-1.43,-0.2,0.07
恩智浦半导体,NXPI,2010-11-09,13.72,13.63,13.95,13.2,269772,0.0,5.45,-1.02,-0.14,0.11
恩智浦半导体,NXPI,2010-11-10,13.6,13.32,13.73,13.05,172291,0.0,4.99,-2.27,-0.31,0.07
恩智浦半导体,NXPI,2010-11-11,13.2,12.86,13.2,12.58,317160,0.0,4.65,-3.45,-0.46,0.13
恩智浦半导体,NXPI,2010-11-12,12.69,12.82,13.08,12.64,115650,0.0,3.42,-0.31,-0.04,0.05
恩智浦半导体,NXPI,2010-11-15,12.9,12.98,13.14,12.78,51776,0.0,2.81,1.25,0.16,0.02
恩智浦半导体,NXPI,2010-11-16,12.73,12.84,13.27,12.63,206457,0.0,4.93,-1.08,-0.14,0.08
