股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
沛齐,PAYX,1990-03-26,15.75,15.75,16.25,15.75,179400,0.0,0.0,0.0,0.0,0.05
沛齐,PAYX,1990-03-27,16.25,16.25,16.25,15.75,135800,0.0,3.17,3.17,0.5,0.04
沛齐,PAYX,1990-03-28,16.25,16.25,16.25,15.75,661200,0.0,3.08,0.0,0.0,0.18
沛齐,PAYX,1990-03-29,15.75,16.25,16.5,15.75,861100,0.0,4.62,0.0,0.0,0.24
沛齐,PAYX,1990-03-30,16.5,16.5,16.5,16.0,335700,0.0,3.08,1.54,0.25,0.09
沛齐,PAYX,1990-04-02,16.5,16.5,16.5,16.0,589500,0.0,3.03,0.0,0.0,0.16
沛齐,PAYX,1990-04-03,16.25,17.0,17.0,16.12,597200,0.0,5.33,3.03,0.5,0.17
沛齐,PAYX,1990-04-04,17.0,16.5,17.0,16.5,1217400,0.0,2.94,-2.94,-0.5,0.34
沛齐,PAYX,1990-04-05,16.5,17.0,17.25,16.5,848300,0.0,4.55,3.03,0.5,0.24
沛齐,PAYX,1990-04-06,17.25,17.5,17.5,17.0,1066200,0.0,2.94,2.94,0.5,0.3
沛齐,PAYX,1990-04-09,17.5,17.5,17.75,17.0,556100,0.0,4.29,0.0,0.0,0.15
沛齐,PAYX,1990-04-10,17.75,17.75,17.75,17.0,325500,0.0,4.29,1.43,0.25,0.09
沛齐,PAYX,1990-04-11,17.25,17.25,17.75,17.25,363900,0.0,2.82,-2.82,-0.5,0.1
沛齐,PAYX,1990-04-12,17.5,18.5,18.5,17.5,2519300,0.0,5.8,7.25,1.25,0.7
沛齐,PAYX,1990-04-16,18.5,18.0,18.75,18.0,1032800,0.0,4.05,-2.7,-0.5,0.29
沛齐,PAYX,1990-04-17,17.75,17.5,18.0,17.25,627900,0.0,4.17,-2.78,-0.5,0.17
沛齐,PAYX,1990-04-18,18.0,17.5,18.0,17.5,471600,0.0,2.86,0.0,0.0,0.13
沛齐,PAYX,1990-04-19,17.75,17.5,17.75,17.5,164000,0.0,1.43,0.0,0.0,0.05
沛齐,PAYX,1990-04-20,17.5,17.75,17.75,17.5,740700,0.0,1.43,1.43,0.25,0.21
沛齐,PAYX,1990-04-23,17.5,16.87,17.75,16.5,3567500,0.0,7.04,-4.96,-0.88,0.99
沛齐,PAYX,1990-04-24,16.75,16.25,16.75,16.25,3903300,0.0,2.96,-3.68,-0.62,1.08
沛齐,PAYX,1990-04-25,16.25,16.75,16.75,15.75,10928200,0.0,6.15,3.08,0.5,3.04
沛齐,PAYX,1990-04-26,16.75,16.75,16.75,16.25,2521900,0.0,2.99,0.0,0.0,0.7
沛齐,PAYX,1990-04-27,16.75,16.25,16.75,16.25,479300,0.0,2.99,-2.99,-0.5,0.13
沛齐,PAYX,1990-04-30,16.0,16.25,16.5,16.0,802200,0.0,3.08,0.0,0.0,0.22
沛齐,PAYX,1990-05-01,16.5,16.0,16.5,15.75,2732000,0.0,4.62,-1.54,-0.25,0.76
沛齐,PAYX,1990-05-02,16.25,15.5,16.25,15.0,9551900,0.0,7.81,-3.13,-0.5,2.65
沛齐,PAYX,1990-05-03,15.25,15.75,15.75,15.25,340900,0.0,3.23,1.61,0.25,0.09
沛齐,PAYX,1990-05-04,15.75,14.5,15.75,14.5,2691000,0.0,7.94,-7.94,-1.25,0.75
沛齐,PAYX,1990-05-07,15.0,15.0,15.25,14.75,3172900,0.0,3.45,3.45,0.5,0.88
