股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
百事,PEP,1977-01-03,79.0,80.0,80.13,79.0,1085400,0.0,0.0,0.0,0.0,0.08
百事,PEP,1977-01-04,80.0,79.0,80.25,78.88,3018600,0.0,1.71,-1.25,-1.0,0.22
百事,PEP,1977-01-05,78.75,78.38,78.75,77.88,2246400,0.0,1.1,-0.78,-0.62,0.16
百事,PEP,1977-01-06,78.63,78.75,79.0,78.63,1004400,0.0,0.47,0.47,0.37,0.07
百事,PEP,1977-01-07,78.75,78.5,78.75,78.25,950400,0.0,0.63,-0.32,-0.25,0.07
百事,PEP,1977-01-10,78.5,78.75,79.0,78.5,1641600,0.0,0.64,0.32,0.25,0.12
百事,PEP,1977-01-11,78.75,77.75,79.38,77.75,1263600,0.0,2.07,-1.27,-1.0,0.09
百事,PEP,1977-01-12,77.75,77.88,77.88,77.37,1063800,0.0,0.66,0.17,0.13,0.08
百事,PEP,1977-01-13,78.13,78.75,78.75,78.13,766800,0.0,0.8,1.12,0.87,0.06
百事,PEP,1977-01-14,78.75,78.0,78.75,77.5,394200,0.0,1.59,-0.95,-0.75,0.03
百事,PEP,1977-01-17,77.88,77.12,77.88,77.12,1015200,0.0,0.97,-1.13,-0.88,0.07
百事,PEP,1977-01-18,77.12,76.5,77.25,76.25,2435400,0.0,1.3,-0.8,-0.62,0.18
百事,PEP,1977-01-19,76.37,75.87,76.37,75.75,1047600,0.0,0.81,-0.82,-0.63,0.08
百事,PEP,1977-01-20,75.87,75.0,76.0,74.75,1927800,0.0,1.65,-1.15,-0.87,0.14
百事,PEP,1977-01-21,75.0,75.0,75.5,74.62,955800,0.0,1.17,0.0,0.0,0.07
百事,PEP,1977-01-24,74.62,74.25,74.62,74.0,1150200,0.0,0.83,-1.0,-0.75,0.08
百事,PEP,1977-01-25,74.25,74.13,74.75,74.13,1247400,0.0,0.84,-0.16,-0.12,0.09
百事,PEP,1977-01-26,74.13,72.38,74.25,71.75,2889000,0.0,3.37,-2.36,-1.75,0.21
百事,PEP,1977-01-27,72.0,71.25,72.0,70.75,1366200,0.0,1.73,-1.56,-1.13,0.1
百事,PEP,1977-01-28,71.38,71.63,71.88,71.38,961200,0.0,0.7,0.53,0.38,0.07
百事,PEP,1977-01-31,71.63,71.75,71.75,71.25,1053000,0.0,0.7,0.17,0.12,0.08
百事,PEP,1977-02-01,71.75,72.38,72.5,71.5,1641600,0.0,1.39,0.88,0.63,0.12
百事,PEP,1977-02-02,72.38,72.38,73.25,72.25,745200,0.0,1.38,0.0,0.0,0.05
百事,PEP,1977-02-03,72.38,72.38,72.5,72.13,1198800,0.0,0.51,0.0,0.0,0.09
百事,PEP,1977-02-04,72.38,72.25,72.75,72.25,1533600,0.0,0.69,-0.18,-0.13,0.11
百事,PEP,1977-02-07,72.25,73.0,73.0,72.13,626400,0.0,1.2,1.04,0.75,0.05
百事,PEP,1977-02-08,73.0,72.63,73.38,72.63,442800,0.0,1.03,-0.51,-0.37,0.03
百事,PEP,1977-02-09,72.63,72.5,72.75,71.88,1965600,0.0,1.2,-0.18,-0.13,0.14
百事,PEP,1977-02-10,72.5,72.75,72.75,72.0,1420200,0.0,1.03,0.34,0.25,0.1
百事,PEP,1977-02-11,72.75,72.25,72.75,72.0,2230200,0.0,1.03,-0.69,-0.5,0.16
百事,PEP,1977-02-14,72.25,72.5,72.5,71.63,664200,0.0,1.2,0.35,0.25,0.05
百事,PEP,1977-02-15,72.5,72.88,72.88,72.38,745200,0.0,0.69,0.52,0.38,0.05
百事,PEP,1977-02-16,72.88,73.5,74.0,72.75,1755000,0.0,1.72,0.85,0.62,0.13
百事,PEP,1977-02-17,73.5,73.0,74.13,72.88,658800,0.0,1.7,-0.68,-0.5,0.05
百事,PEP,1977-02-18,73.0,73.5,73.5,72.63,1668600,0.0,1.19,0.68,0.5,0.12
百事,PEP,1977-02-22,73.5,73.5,73.5,73.25,1047600,0.0,0.34,0.0,0.0,0.08
百事,PEP,1977-02-23,73.5,73.0,73.75,72.88,621000,0.0,1.18,-0.68,-0.5,0.05
百事,PEP,1977-02-24,72.75,71.75,72.75,71.5,1917000,0.0,1.71,-1.71,-1.25,0.14
百事,PEP,1977-02-25,71.88,73.38,74.0,71.88,2867400,0.0,2.95,2.27,1.63,0.21
百事,PEP,1977-02-28,73.38,74.13,74.13,73.38,1371600,0.0,1.02,1.02,0.75,0.1
百事,PEP,1977-03-01,74.13,75.87,76.0,74.13,1684800,0.0,2.52,2.35,1.74,0.12
百事,PEP,1977-03-02,75.87,76.25,77.0,75.5,1236600,0.0,1.98,0.5,0.38,0.09
百事,PEP,1977-03-03,76.62,77.75,78.63,76.62,2327400,0.0,2.64,1.97,1.5,0.17
百事,PEP,1977-03-04,77.12,75.0,77.12,75.0,2192400,0.0,2.73,-3.54,-2.75,0.16
百事,PEP,1977-03-07,75.0,71.75,75.12,71.5,5486400,0.0,4.83,-4.33,-3.25,0.4
百事,PEP,1977-03-08,71.75,70.62,72.0,70.5,6075000,0.0,2.09,-1.57,-1.13,0.44
百事,PEP,1977-03-09,70.62,68.0,71.0,68.0,2732400,0.0,4.25,-3.71,-2.62,0.2
百事,PEP,1977-03-10,68.0,70.62,70.62,68.0,7214400,0.0,3.85,3.85,2.62,0.52
百事,PEP,1977-03-11,71.0,72.63,72.63,71.0,1873800,0.0,2.31,2.85,2.01,0.14
百事,PEP,1977-03-14,72.63,73.25,73.75,72.25,1755000,0.0,2.07,0.85,0.62,0.13
