股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
星巴克,SBUX,1992-06-26,21.0,21.5,22.25,20.5,112281600,0.0,0.0,0.0,0.0,9.92
星巴克,SBUX,1992-06-29,21.75,23.0,23.5,21.25,29504000,0.0,10.47,6.98,1.5,2.61
星巴克,SBUX,1992-06-30,23.5,22.25,23.75,22.0,17449600,0.0,7.61,-3.26,-0.75,1.54
星巴克,SBUX,1992-07-01,22.5,22.75,23.0,21.75,9270400,0.0,5.62,2.25,0.5,0.82
星巴克,SBUX,1992-07-02,23.0,22.75,23.0,22.25,7155200,0.0,3.3,0.0,0.0,0.63
星巴克,SBUX,1992-07-06,22.5,22.75,22.75,22.25,3056000,0.0,2.2,0.0,0.0,0.27
星巴克,SBUX,1992-07-07,22.75,22.75,22.75,22.25,5449600,0.0,2.2,0.0,0.0,0.48
星巴克,SBUX,1992-07-08,22.75,22.25,22.75,22.0,7788800,0.0,3.3,-2.2,-0.5,0.69
星巴克,SBUX,1992-07-09,22.5,23.0,23.0,22.25,1984000,0.0,3.37,3.37,0.75,0.18
星巴克,SBUX,1992-07-10,23.0,23.25,23.5,22.5,5564800,0.0,4.35,1.09,0.25,0.49
星巴克,SBUX,1992-07-13,23.25,23.75,23.75,23.0,3065600,0.0,3.23,2.15,0.5,0.27
星巴克,SBUX,1992-07-14,23.75,23.75,24.5,23.5,8649600,0.0,4.21,0.0,0.0,0.76
星巴克,SBUX,1992-07-15,24.0,24.5,24.5,23.75,2640000,0.0,3.16,3.16,0.75,0.23
星巴克,SBUX,1992-07-16,24.5,26.12,26.5,24.25,8649600,0.0,9.18,6.61,1.62,0.76
星巴克,SBUX,1992-07-17,26.25,27.5,28.0,25.5,7920000,0.0,9.57,5.28,1.38,0.7
星巴克,SBUX,1992-07-20,27.37,27.75,28.0,26.75,10025600,0.0,4.55,0.91,0.25,0.89
星巴克,SBUX,1992-07-21,28.0,28.0,28.5,27.5,3920000,0.0,3.6,0.9,0.25,0.35
星巴克,SBUX,1992-07-22,27.75,27.75,28.0,27.0,5449600,0.0,3.57,-0.89,-0.25,0.48
星巴克,SBUX,1992-07-23,27.75,28.25,28.25,27.25,5235200,0.0,3.6,1.8,0.5,0.46
星巴克,SBUX,1992-07-24,27.75,28.5,28.75,27.5,3529600,0.0,4.42,0.88,0.25,0.31
星巴克,SBUX,1992-07-27,28.75,29.12,29.75,28.5,5868800,0.0,4.39,2.18,0.62,0.52
星巴克,SBUX,1992-07-28,29.5,28.0,29.75,27.5,9030400,0.0,7.73,-3.85,-1.12,0.8
星巴克,SBUX,1992-07-29,28.0,26.62,28.0,26.0,15459200,0.0,7.14,-4.93,-1.38,1.37
