股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
携程,TCOM,2003-12-09,3.0,4.24,4.67,3.0,44820000,0.0,9.28,-76.44,-13.76,294.82
携程,TCOM,2003-12-10,4.28,4.06,4.31,3.72,13708800,0.0,13.92,-4.25,-0.18,90.17
携程,TCOM,2003-12-11,4.04,4.21,4.25,3.9,6148800,0.0,8.62,3.69,0.15,40.45
携程,TCOM,2003-12-12,4.21,4.91,5.01,4.09,10596800,0.0,21.85,16.63,0.7,69.7
携程,TCOM,2003-12-15,5.21,4.31,5.38,4.2,10846400,0.0,24.03,-12.22,-0.6,71.35
携程,TCOM,2003-12-16,4.32,4.13,4.32,3.9,7082400,0.0,9.74,-4.18,-0.18,46.59
携程,TCOM,2003-12-17,4.19,4.01,4.33,3.94,4771200,0.0,9.44,-2.91,-0.12,31.38
携程,TCOM,2003-12-18,4.0,3.76,4.14,3.72,3296000,0.0,10.47,-6.23,-0.25,21.68
携程,TCOM,2003-12-19,3.71,3.56,3.72,3.5,5712000,0.0,5.85,-5.32,-0.2,37.57
携程,TCOM,2003-12-22,3.59,4.05,4.09,3.59,4012000,0.0,14.04,13.76,0.49,26.39
携程,TCOM,2003-12-23,4.0,4.07,4.34,3.89,4179200,0.0,11.11,0.49,0.02,27.49
携程,TCOM,2003-12-24,4.09,4.12,4.23,4.01,816000,0.0,5.41,1.23,0.05,5.37
携程,TCOM,2003-12-26,4.14,4.24,4.36,4.12,1868000,0.0,5.83,2.91,0.12,12.29
携程,TCOM,2003-12-29,4.3,4.02,4.3,3.94,4341600,0.0,8.49,-5.19,-0.22,28.56
携程,TCOM,2003-12-30,4.05,4.12,4.23,4.0,1964800,0.0,5.72,2.49,0.1,12.92
携程,TCOM,2003-12-31,4.12,4.25,4.26,4.05,1152800,0.0,5.1,3.16,0.13,7.64
携程,TCOM,2004-01-02,4.23,4.75,4.93,4.23,4360000,0.0,16.47,11.76,0.5,28.9
携程,TCOM,2004-01-05,4.79,4.9,5.2,4.72,2616000,0.0,10.11,3.16,0.15,17.34
携程,TCOM,2004-01-06,4.95,4.68,4.98,4.5,1943200,0.0,9.8,-4.49,-0.22,12.88
携程,TCOM,2004-01-07,4.72,4.73,4.81,4.57,919200,0.0,5.13,1.07,0.05,6.09
携程,TCOM,2004-01-08,4.67,4.59,4.78,4.45,1809600,0.0,6.98,-2.96,-0.14,11.99
