股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
德州仪器,TXN,2012-07-25,26.52,26.63,27.13,26.38,7572918,0.0,0.0,0.0,0.0,0.67
德州仪器,TXN,2012-07-26,27.12,27.05,27.74,26.83,7960383,0.0,3.42,1.58,0.42,0.7
德州仪器,TXN,2012-07-27,27.18,27.34,27.49,26.79,11686216,0.0,2.59,1.07,0.29,1.03
德州仪器,TXN,2012-07-30,27.45,27.21,27.6,27.01,7941521,0.0,2.16,-0.48,-0.13,0.7
德州仪器,TXN,2012-07-31,27.22,27.24,27.45,27.11,10428343,0.0,1.25,0.11,0.03,0.92
德州仪器,TXN,2012-08-01,27.48,27.63,27.8,27.32,9343718,0.0,1.76,1.43,0.39,0.82
德州仪器,TXN,2012-08-02,27.38,27.25,27.83,27.0,9400340,0.0,3.0,-1.38,-0.38,0.83
德州仪器,TXN,2012-08-03,27.61,28.27,28.38,27.61,8558098,0.0,2.83,3.74,1.02,0.75
德州仪器,TXN,2012-08-06,28.27,28.24,28.68,28.18,9734502,0.0,1.77,-0.11,-0.03,0.86
德州仪器,TXN,2012-08-07,28.32,29.23,29.36,28.3,14511719,0.0,3.75,3.51,0.99,1.28
德州仪器,TXN,2012-08-08,29.11,29.36,29.4,29.06,7839846,0.0,1.16,0.44,0.13,0.69
德州仪器,TXN,2012-08-09,29.31,29.54,29.79,29.23,7839775,0.0,1.91,0.61,0.18,0.69
德州仪器,TXN,2012-08-10,29.52,29.75,29.75,29.33,6582605,0.0,1.42,0.71,0.21,0.58
德州仪器,TXN,2012-08-13,29.72,29.54,29.75,29.15,7786839,0.0,2.02,-0.71,-0.21,0.68
德州仪器,TXN,2012-08-14,29.74,29.48,29.85,29.35,5787571,0.0,1.69,-0.2,-0.06,0.51
德州仪器,TXN,2012-08-15,29.54,29.9,29.93,29.43,7831579,0.0,1.7,1.42,0.42,0.69
德州仪器,TXN,2012-08-16,30.0,30.27,30.38,29.82,9128188,0.0,1.87,1.24,0.37,0.8
德州仪器,TXN,2012-08-17,30.38,30.09,30.38,29.96,2902283,0.0,1.39,-0.59,-0.18,0.26
德州仪器,TXN,2012-08-20,30.38,30.09,30.38,29.96,2902283,0.0,1.4,0.0,0.0,0.26
德州仪器,TXN,2012-08-21,30.38,30.09,30.38,29.96,2902283,0.0,1.4,0.0,0.0,0.26
德州仪器,TXN,2012-08-22,29.58,29.38,29.74,29.17,6650103,0.0,1.89,-2.36,-0.71,0.58
德州仪器,TXN,2012-08-23,29.22,29.32,29.5,29.01,5703422,0.0,1.67,-0.2,-0.06,0.5
德州仪器,TXN,2012-08-24,29.21,29.56,29.68,29.12,5731139,0.0,1.91,0.82,0.24,0.5
德州仪器,TXN,2012-08-27,29.6,29.32,29.65,29.26,5945531,0.0,1.32,-0.81,-0.24,0.52
德州仪器,TXN,2012-08-28,29.21,29.24,29.56,29.16,6310386,0.0,1.36,-0.27,-0.08,0.55
德州仪器,TXN,2012-08-29,29.31,29.4,29.56,29.15,4149499,0.0,1.4,0.55,0.16,0.36
德州仪器,TXN,2012-08-30,29.17,29.01,29.38,28.93,5936661,0.0,1.53,-1.33,-0.39,0.52
德州仪器,TXN,2012-08-31,29.31,29.04,29.38,28.88,8561247,0.0,1.72,0.1,0.03,0.75
德州仪器,TXN,2012-09-04,28.92,28.78,29.01,28.5,5782196,0.0,1.76,-0.9,-0.26,0.51
德州仪器,TXN,2012-09-05,28.7,28.52,28.89,28.47,5816676,0.0,1.46,-0.9,-0.26,0.51
德州仪器,TXN,2012-09-06,28.69,29.56,29.57,28.64,8563665,0.0,3.26,3.65,1.04,0.75
德州仪器,TXN,2012-09-07,29.3,29.18,29.34,29.03,7937151,0.0,1.05,-1.29,-0.38,0.7
德州仪器,TXN,2012-09-10,29.17,28.67,29.29,28.64,7805890,0.0,2.23,-1.75,-0.51,0.69
德州仪器,TXN,2012-09-11,28.61,28.58,28.85,28.52,7856217,0.0,1.15,-0.31,-0.09,0.69
德州仪器,TXN,2012-09-12,28.47,28.59,28.81,28.24,10391744,0.0,1.99,0.03,0.01,0.91
德州仪器,TXN,2012-09-13,28.51,28.9,29.15,28.33,12965629,0.0,2.87,1.08,0.31,1.14
德州仪器,TXN,2012-09-14,29.05,29.56,29.7,29.02,10266395,0.0,2.35,2.28,0.66,0.9
德州仪器,TXN,2012-09-17,29.63,29.1,29.71,28.98,5448985,0.0,2.47,-1.56,-0.46,0.48
德州仪器,TXN,2012-09-18,28.94,28.66,28.98,28.58,9918097,0.0,1.37,-1.51,-0.44,0.87
德州仪器,TXN,2012-09-19,28.68,28.69,28.78,28.38,11309025,0.0,1.4,0.1,0.03,0.99
德州仪器,TXN,2012-09-20,28.49,28.85,28.91,28.41,7754111,0.0,1.74,0.56,0.16,0.68
德州仪器,TXN,2012-09-21,28.97,28.99,29.29,28.96,10430493,0.0,1.14,0.49,0.14,0.92
德州仪器,TXN,2012-09-24,28.64,28.68,28.73,28.48,6418071,0.0,0.86,-1.07,-0.31,0.56
德州仪器,TXN,2012-09-25,28.8,27.83,28.95,27.78,10588761,0.0,4.08,-2.96,-0.85,0.93
德州仪器,TXN,2012-09-26,27.46,27.57,27.58,26.94,16959320,0.0,2.3,-0.93,-0.26,1.49
德州仪器,TXN,2012-09-27,27.71,27.87,27.95,27.43,9112547,0.0,1.89,1.09,0.3,0.8
德州仪器,TXN,2012-09-28,27.72,27.55,27.82,27.39,9220913,0.0,1.54,-1.15,-0.32,0.81
德州仪器,TXN,2012-10-01,27.55,27.61,27.81,27.47,9645043,0.0,1.23,0.22,0.06,0.86
德州仪器,TXN,2012-10-02,27.75,27.61,27.8,27.51,8403881,0.0,1.05,0.0,0.0,0.75
德州仪器,TXN,2012-10-03,27.35,27.47,27.69,27.35,8718747,0.0,1.23,-0.51,-0.14,0.78
德州仪器,TXN,2012-10-04,27.59,27.9,27.91,27.43,5696755,0.0,1.75,1.57,0.43,0.51
德州仪器,TXN,2012-10-05,28.06,28.16,28.53,27.98,10435957,0.0,1.97,0.93,0.26,0.93
德州仪器,TXN,2012-10-08,27.94,27.99,28.23,27.78,6743207,0.0,1.6,-0.6,-0.17,0.6
德州仪器,TXN,2012-10-09,27.95,27.32,27.99,27.27,9698100,0.0,2.57,-2.39,-0.67,0.87
德州仪器,TXN,2012-10-10,27.39,27.17,27.44,27.06,9033580,0.0,1.39,-0.55,-0.15,0.81
德州仪器,TXN,2012-10-11,27.15,27.3,27.53,27.0,9957549,0.0,1.95,0.48,0.13,0.89
德州仪器,TXN,2012-10-12,27.28,27.28,27.53,27.06,7581541,0.0,1.72,-0.07,-0.02,0.68
德州仪器,TXN,2012-10-15,27.79,28.22,28.61,27.73,13663771,0.0,3.23,3.45,0.94,1.22
德州仪器,TXN,2012-10-16,28.32,28.72,28.78,28.25,7910820,0.0,1.88,1.77,0.5,0.71
德州仪器,TXN,2012-10-17,28.19,28.47,28.74,28.12,8134028,0.0,2.16,-0.87,-0.25,0.73
德州仪器,TXN,2012-10-18,28.46,28.76,28.86,28.32,10471218,0.0,1.9,1.02,0.29,0.93
德州仪器,TXN,2012-10-19,28.76,27.81,28.77,27.74,11622518,0.0,3.58,-3.3,-0.95,1.04
德州仪器,TXN,2012-10-22,27.69,27.79,28.24,27.62,8983991,0.0,2.23,-0.07,-0.02,0.8
德州仪器,TXN,2012-10-23,27.34,27.84,27.98,27.21,13093844,0.0,2.77,0.18,0.05,1.17
德州仪器,TXN,2012-10-24,27.91,27.7,27.98,27.42,8888085,0.0,2.01,-0.5,-0.14,0.79
德州仪器,TXN,2012-10-25,28.0,28.13,28.2,27.87,9221529,0.0,1.19,1.55,0.43,0.82
德州仪器,TXN,2012-10-26,28.09,28.92,28.92,28.05,12900251,0.0,3.09,2.81,0.79,1.15
德州仪器,TXN,2012-10-31,28.9,28.09,28.9,28.06,9576843,0.0,2.9,-2.87,-0.83,0.85
德州仪器,TXN,2012-11-01,28.3,29.21,29.23,28.17,9901054,0.0,3.77,3.99,1.12,0.88
德州仪器,TXN,2012-11-02,29.27,28.53,29.3,28.48,9746873,0.0,2.81,-2.33,-0.68,0.87
德州仪器,TXN,2012-11-05,28.66,29.47,29.51,28.46,9960302,0.0,3.68,3.29,0.94,0.89
德州仪器,TXN,2012-11-06,29.49,29.94,30.02,29.39,13013512,0.0,2.14,1.59,0.47,1.16
德州仪器,TXN,2012-11-07,29.62,29.29,29.73,28.97,10113793,0.0,2.54,-2.17,-0.65,0.9
德州仪器,TXN,2012-11-08,29.26,29.14,29.5,29.12,8296151,0.0,1.3,-0.51,-0.15,0.74
德州仪器,TXN,2012-11-09,29.13,29.51,29.9,29.0,11292792,0.0,3.09,1.27,0.37,1.01
德州仪器,TXN,2012-11-12,29.56,29.5,29.69,29.34,7208593,0.0,1.19,-0.03,-0.01,0.64
德州仪器,TXN,2012-11-13,29.31,29.38,29.73,29.29,9541609,0.0,1.49,-0.41,-0.12,0.85
德州仪器,TXN,2012-11-14,29.43,28.76,29.64,28.7,9970569,0.0,3.2,-2.11,-0.62,0.89
德州仪器,TXN,2012-11-15,28.75,28.79,29.08,28.65,9815620,0.0,1.5,0.1,0.03,0.88
德州仪器,TXN,2012-11-16,28.82,28.32,28.95,28.05,12682858,0.0,3.13,-1.63,-0.47,1.13
德州仪器,TXN,2012-11-19,28.7,28.9,28.94,28.45,8131460,0.0,1.73,2.05,0.58,0.73
德州仪器,TXN,2012-11-20,28.76,29.31,29.31,28.6,9064601,0.0,2.46,1.42,0.41,0.81
德州仪器,TXN,2012-11-21,29.3,29.2,29.42,29.06,5335553,0.0,1.23,-0.38,-0.11,0.48
德州仪器,TXN,2012-11-23,29.44,29.59,29.84,29.17,4249850,0.0,2.29,1.34,0.39,0.38
德州仪器,TXN,2012-11-26,29.52,29.62,29.78,29.29,6094168,0.0,1.66,0.1,0.03,0.54
德州仪器,TXN,2012-11-27,29.64,29.46,29.78,29.4,6285632,0.0,1.28,-0.54,-0.16,0.56
德州仪器,TXN,2012-11-28,29.34,29.78,29.83,29.05,8241538,0.0,2.65,1.09,0.32,0.74
德州仪器,TXN,2012-11-29,29.8,30.05,30.1,29.65,8022341,0.0,1.51,0.91,0.27,0.72
德州仪器,TXN,2012-11-30,30.06,29.47,30.2,29.44,11325840,0.0,2.53,-1.93,-0.58,1.01
德州仪器,TXN,2012-12-03,29.76,29.61,29.85,29.55,5747945,0.0,1.02,0.48,0.14,0.51
德州仪器,TXN,2012-12-04,29.64,29.6,29.78,29.39,8267995,0.0,1.32,-0.03,-0.01,0.74
德州仪器,TXN,2012-12-05,29.58,29.86,29.94,29.48,5666145,0.0,1.55,0.88,0.26,0.51
德州仪器,TXN,2012-12-06,29.82,29.81,30.06,29.64,5503209,0.0,1.41,-0.17,-0.05,0.49
德州仪器,TXN,2012-12-07,29.88,29.85,29.89,29.52,4981892,0.0,1.24,0.13,0.04,0.44
德州仪器,TXN,2012-12-10,29.82,29.82,29.94,29.71,7130598,0.0,0.77,-0.1,-0.03,0.64
德州仪器,TXN,2012-12-11,29.95,31.01,31.14,29.9,16746044,0.0,4.16,3.99,1.19,1.49
德州仪器,TXN,2012-12-12,31.07,31.06,31.27,30.71,11687393,0.0,1.81,0.16,0.05,1.04
德州仪器,TXN,2012-12-13,30.92,30.58,31.25,30.44,7385565,0.0,2.61,-1.55,-0.48,0.66
德州仪器,TXN,2012-12-14,30.45,30.79,31.1,30.36,9062316,0.0,2.42,0.69,0.21,0.81
德州仪器,TXN,2012-12-17,30.48,30.9,30.99,30.44,7359294,0.0,1.79,0.36,0.11,0.66
德州仪器,TXN,2012-12-18,31.0,31.34,31.55,30.86,9200467,0.0,2.23,1.42,0.44,0.82
德州仪器,TXN,2012-12-19,31.35,31.25,31.81,31.25,8025792,0.0,1.79,-0.29,-0.09,0.72
德州仪器,TXN,2012-12-20,31.25,31.28,31.35,30.97,6916469,0.0,1.22,0.1,0.03,0.62
德州仪器,TXN,2012-12-21,30.93,30.93,31.08,30.4,12715554,0.0,2.17,-1.12,-0.35,1.13
德州仪器,TXN,2012-12-24,30.82,30.93,30.95,30.66,1981906,0.0,0.94,0.0,0.0,0.18
德州仪器,TXN,2012-12-26,30.91,30.8,31.16,30.75,4479287,0.0,1.33,-0.42,-0.13,0.4
德州仪器,TXN,2012-12-27,30.74,30.74,30.93,30.44,6116283,0.0,1.59,-0.19,-0.06,0.55
德州仪器,TXN,2012-12-28,30.55,30.47,30.89,30.44,4769907,0.0,1.46,-0.88,-0.27,0.43
德州仪器,TXN,2012-12-31,30.48,30.89,30.98,30.3,7080605,0.0,2.23,1.38,0.42,0.64
德州仪器,TXN,2013-01-02,31.55,32.31,32.41,31.49,13278675,0.0,2.98,4.6,1.42,1.2
德州仪器,TXN,2013-01-03,32.15,31.89,32.28,31.77,8699568,0.0,1.58,-1.3,-0.42,0.79
德州仪器,TXN,2013-01-04,32.0,31.82,32.18,31.75,7578959,0.0,1.35,-0.22,-0.07,0.68
德州仪器,TXN,2013-01-07,31.77,31.92,32.19,31.77,7373367,0.0,1.32,0.31,0.1,0.67
德州仪器,TXN,2013-01-08,31.75,31.55,31.99,31.39,6830707,0.0,1.88,-1.16,-0.37,0.62
德州仪器,TXN,2013-01-09,31.58,32.0,32.01,31.57,6742548,0.0,1.39,1.43,0.45,0.61
德州仪器,TXN,2013-01-10,32.11,32.43,32.57,32.08,7976312,0.0,1.53,1.34,0.43,0.72
德州仪器,TXN,2013-01-11,32.41,32.42,32.64,32.33,5297003,0.0,0.96,-0.03,-0.01,0.48
德州仪器,TXN,2013-01-14,32.25,32.34,32.64,32.25,5491453,0.0,1.2,-0.25,-0.08,0.5
德州仪器,TXN,2013-01-15,32.14,32.28,32.37,31.97,4878598,0.0,1.24,-0.19,-0.06,0.44
德州仪器,TXN,2013-01-16,32.18,32.51,32.56,32.08,5321178,0.0,1.49,0.71,0.23,0.48
