股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Verisk分析,VRSK,2011-01-26,34.23,34.06,34.31,33.99,566041,0.0,1.45,54.82,12.06,0.33
Verisk分析,VRSK,2011-01-27,33.99,34.22,34.3,33.89,586542,0.0,1.2,0.47,0.16,0.34
Verisk分析,VRSK,2011-01-28,34.18,33.75,34.24,33.64,482520,0.0,1.75,-1.37,-0.47,0.28
Verisk分析,VRSK,2011-01-31,33.7,33.83,34.07,33.52,322952,0.0,1.63,0.24,0.08,0.19
Verisk分析,VRSK,2011-02-01,34.05,34.18,34.42,33.9,855917,0.0,1.54,1.03,0.35,0.5
Verisk分析,VRSK,2011-02-02,34.07,33.88,34.28,33.85,255957,0.0,1.26,-0.88,-0.3,0.15
Verisk分析,VRSK,2011-02-03,33.88,33.85,34.01,33.8,388159,0.0,0.62,-0.09,-0.03,0.23
Verisk分析,VRSK,2011-02-04,33.8,33.76,34.01,33.74,253112,0.0,0.8,-0.27,-0.09,0.15
Verisk分析,VRSK,2011-02-07,33.89,33.9,34.05,33.69,636964,0.0,1.07,0.41,0.14,0.37
Verisk分析,VRSK,2011-02-08,33.85,33.77,34.0,33.74,296839,0.0,0.77,-0.38,-0.13,0.17
Verisk分析,VRSK,2011-02-09,33.7,33.9,33.99,33.69,293012,0.0,0.89,0.38,0.13,0.17
Verisk分析,VRSK,2011-02-10,33.87,33.76,33.94,33.7,631987,0.0,0.71,-0.41,-0.14,0.37
Verisk分析,VRSK,2011-02-11,33.91,33.86,34.04,33.56,710572,0.0,1.42,0.3,0.1,0.42
Verisk分析,VRSK,2011-02-14,33.8,33.85,33.9,33.58,338286,0.0,0.95,-0.03,-0.01,0.2
Verisk分析,VRSK,2011-03-25,32.39,32.4,32.71,32.28,620173,0.0,1.27,-4.28,-1.45,0.36
Verisk分析,VRSK,2011-03-28,32.4,32.22,32.42,32.17,341347,0.0,0.77,-0.56,-0.18,0.2
Verisk分析,VRSK,2011-03-29,32.28,32.71,32.71,32.03,540873,0.0,2.11,1.52,0.49,0.32
Verisk分析,VRSK,2011-03-30,32.75,32.77,32.86,32.61,407312,0.0,0.76,0.18,0.06,0.24
Verisk分析,VRSK,2011-03-31,32.69,32.76,32.77,32.47,579857,0.0,0.92,-0.03,-0.01,0.35
Verisk分析,VRSK,2011-04-01,32.62,33.3,33.3,32.56,876351,0.0,2.26,1.65,0.54,0.52
Verisk分析,VRSK,2011-04-04,33.22,33.13,33.35,33.0,405999,0.0,1.05,-0.51,-0.17,0.24
Verisk分析,VRSK,2011-04-05,33.15,33.46,33.51,33.1,340255,0.0,1.24,1.0,0.33,0.2
Verisk分析,VRSK,2011-04-06,33.61,33.45,33.7,33.43,419432,0.0,0.81,-0.03,-0.01,0.25
Verisk分析,VRSK,2011-04-07,33.35,33.0,33.44,32.88,394321,0.0,1.67,-1.35,-0.45,0.23
Verisk分析,VRSK,2011-04-08,33.02,32.61,33.11,32.42,273715,0.0,2.09,-1.18,-0.39,0.16
Verisk分析,VRSK,2011-04-11,32.54,32.54,32.6,32.24,652993,0.0,1.1,-0.21,-0.07,0.39
Verisk分析,VRSK,2011-04-12,32.46,32.62,32.62,32.36,431768,0.0,0.8,0.25,0.08,0.26
Verisk分析,VRSK,2011-04-13,32.9,33.14,33.39,32.65,958806,0.0,2.27,1.59,0.52,0.57
Verisk分析,VRSK,2011-04-14,32.9,33.34,33.42,32.62,433079,0.0,2.41,0.6,0.2,0.26
Verisk分析,VRSK,2011-04-15,33.5,33.08,33.54,32.97,317014,0.0,1.71,-0.78,-0.26,0.19
Verisk分析,VRSK,2011-04-18,32.9,33.0,33.12,32.53,451337,0.0,1.78,-0.24,-0.08,0.27
Verisk分析,VRSK,2011-04-19,33.22,32.98,33.51,32.85,842612,0.0,2.0,-0.06,-0.02,0.5
Verisk分析,VRSK,2011-04-20,33.14,32.97,33.19,32.89,495793,0.0,0.91,-0.03,-0.01,0.3
Verisk分析,VRSK,2011-04-21,33.02,33.02,33.09,32.8,685141,0.0,0.88,0.15,0.05,0.41
Verisk分析,VRSK,2011-04-25,33.11,33.16,33.22,32.98,461589,0.0,0.73,0.42,0.14,0.27
Verisk分析,VRSK,2011-04-26,33.41,33.45,33.51,33.23,923697,0.0,0.84,0.87,0.29,0.55
Verisk分析,VRSK,2011-04-27,33.64,33.09,33.64,33.0,1028733,0.0,1.91,-1.08,-0.36,0.61
Verisk分析,VRSK,2011-04-28,32.93,33.0,33.16,32.86,1006524,0.0,0.91,-0.27,-0.09,0.6
Verisk分析,VRSK,2011-04-29,32.97,32.9,33.18,32.81,846378,0.0,1.12,-0.3,-0.1,0.47
Verisk分析,VRSK,2011-05-02,32.91,32.85,33.12,32.66,1198411,0.0,1.4,-0.15,-0.05,0.67
Verisk分析,VRSK,2011-05-03,32.86,33.39,33.55,32.86,1391625,0.0,2.1,1.64,0.54,0.77
Verisk分析,VRSK,2011-05-04,33.2,33.6,33.74,32.87,1348885,0.0,2.61,0.63,0.21,0.75
Verisk分析,VRSK,2011-05-05,33.54,34.16,34.17,33.25,1235002,0.0,2.74,1.67,0.56,0.69
Verisk分析,VRSK,2011-05-06,34.29,33.97,34.49,33.86,573801,0.0,1.84,-0.56,-0.19,0.32
Verisk分析,VRSK,2011-05-09,34.0,34.01,34.14,33.86,351477,0.0,0.82,0.12,0.04,0.2
