股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
威瑞信,VRSN,1998-01-30,20.75,25.5,26.25,20.5,18256800,0.0,41.07,82.14,11.5,90.6
威瑞信,VRSN,1998-02-02,27.38,31.0,37.25,26.5,10127200,0.0,42.16,21.57,5.5,50.26
威瑞信,VRSN,1998-02-03,33.0,33.0,35.12,32.0,6244800,0.0,10.06,6.45,2.0,30.99
威瑞信,VRSN,1998-02-04,32.87,31.63,33.13,30.5,2106800,0.0,7.97,-4.15,-1.37,10.45
威瑞信,VRSN,1998-02-05,32.25,30.56,33.0,30.5,890800,0.0,7.9,-3.38,-1.07,4.42
威瑞信,VRSN,1998-02-06,30.69,27.88,30.88,27.5,2846800,0.0,11.06,-8.77,-2.68,14.13
威瑞信,VRSN,1998-02-09,27.5,27.0,28.0,25.63,1944800,0.0,8.5,-3.16,-0.88,9.65
威瑞信,VRSN,1998-02-10,26.75,28.0,29.5,26.12,1001200,0.0,12.52,3.7,1.0,4.97
威瑞信,VRSN,1998-02-11,28.12,29.75,29.75,27.62,842400,0.0,7.61,6.25,1.75,4.18
威瑞信,VRSN,1998-02-12,29.62,31.12,31.63,29.12,1111600,0.0,8.44,4.61,1.37,5.52
威瑞信,VRSN,1998-02-13,31.37,31.0,32.0,30.75,544800,0.0,4.02,-0.39,-0.12,2.7
威瑞信,VRSN,1998-02-17,31.37,31.25,32.0,30.75,441600,0.0,4.03,0.81,0.25,2.19
威瑞信,VRSN,1998-02-18,31.37,31.25,31.5,30.88,246000,0.0,1.98,0.0,0.0,1.22
威瑞信,VRSN,1998-02-19,31.5,30.75,31.88,30.75,318400,0.0,3.62,-1.6,-0.5,1.58
威瑞信,VRSN,1998-02-20,30.75,31.88,32.0,30.75,349200,0.0,4.07,3.67,1.13,1.73
威瑞信,VRSN,1998-02-23,30.75,29.0,30.88,28.88,1409600,0.0,6.27,-9.03,-2.88,7.0
威瑞信,VRSN,1998-02-24,29.62,27.38,29.69,26.75,2599200,0.0,10.14,-5.59,-1.62,12.9
威瑞信,VRSN,1998-02-25,28.0,29.0,29.0,27.25,1143200,0.0,6.39,5.92,1.62,5.67
威瑞信,VRSN,1998-02-26,29.12,28.88,29.12,28.25,491200,0.0,3.0,-0.41,-0.12,2.44
威瑞信,VRSN,1998-02-27,28.5,28.63,28.88,28.5,573600,0.0,1.32,-0.87,-0.25,2.85
威瑞信,VRSN,1998-03-02,28.63,28.44,28.81,28.37,466400,0.0,1.54,-0.66,-0.19,2.31
威瑞信,VRSN,1998-03-03,28.5,28.5,28.5,28.0,642400,0.0,1.76,0.21,0.06,3.19
威瑞信,VRSN,1998-03-04,28.75,27.59,28.75,27.25,377600,0.0,5.26,-3.19,-0.91,1.87
威瑞信,VRSN,1998-03-05,26.87,26.69,27.5,26.5,836800,0.0,3.62,-3.26,-0.9,4.15
威瑞信,VRSN,1998-03-06,27.13,28.31,28.5,26.75,454000,0.0,6.56,6.07,1.62,2.25
威瑞信,VRSN,1998-03-09,27.88,30.25,31.75,27.88,1732400,0.0,13.67,6.85,1.94,8.6
威瑞信,VRSN,1998-03-10,30.75,33.06,33.13,30.25,1844000,0.0,9.52,9.29,2.81,9.15
威瑞信,VRSN,1998-03-11,33.62,35.87,36.75,33.38,2708000,0.0,10.19,8.5,2.81,13.44
威瑞信,VRSN,1998-03-12,36.38,38.5,38.62,36.0,1700000,0.0,7.3,7.33,2.63,8.44
威瑞信,VRSN,1998-03-13,38.75,37.88,39.75,36.13,1345600,0.0,9.4,-1.61,-0.62,6.68
威瑞信,VRSN,1998-03-16,38.25,44.75,45.75,37.88,3122800,0.0,20.78,18.14,6.87,15.5
威瑞信,VRSN,1998-03-17,44.5,44.34,46.88,42.44,1907200,0.0,9.92,-0.92,-0.41,9.46
威瑞信,VRSN,1998-03-18,43.5,43.06,44.5,42.62,800000,0.0,4.24,-2.89,-1.28,3.97
威瑞信,VRSN,1998-03-19,43.25,43.12,43.94,42.12,312400,0.0,4.23,0.14,0.06,1.55
威瑞信,VRSN,1998-03-20,42.62,41.19,43.5,40.56,405200,0.0,6.82,-4.48,-1.93,2.01
威瑞信,VRSN,1998-03-23,40.75,43.12,44.88,40.75,1090800,0.0,10.03,4.69,1.93,5.41
威瑞信,VRSN,1998-03-24,44.5,44.5,46.12,42.88,1063600,0.0,7.51,3.2,1.38,5.28
威瑞信,VRSN,1998-03-25,44.88,43.0,45.0,42.44,441600,0.0,5.75,-3.37,-1.5,2.19
威瑞信,VRSN,1998-03-26,43.0,42.0,43.5,41.5,473600,0.0,4.65,-2.33,-1.0,2.35
威瑞信,VRSN,1998-03-27,42.25,42.5,43.5,41.62,884400,0.0,4.48,1.19,0.5,4.39
威瑞信,VRSN,1998-03-30,42.5,43.5,44.75,42.0,868400,0.0,6.47,2.35,1.0,4.31
威瑞信,VRSN,1998-03-31,44.25,44.0,44.5,43.25,714400,0.0,2.87,1.15,0.5,3.55
威瑞信,VRSN,1998-04-01,44.38,48.0,48.5,44.0,1110000,0.0,10.23,9.09,4.0,5.51
威瑞信,VRSN,1998-04-02,47.25,44.25,49.0,44.12,1066400,0.0,10.17,-7.81,-3.75,5.29
威瑞信,VRSN,1998-04-03,45.75,42.5,46.38,42.38,1367200,0.0,9.04,-3.95,-1.75,6.78
威瑞信,VRSN,1998-04-06,43.12,40.88,43.12,40.88,656000,0.0,5.27,-3.81,-1.62,3.26
威瑞信,VRSN,1998-04-07,40.62,38.94,40.75,37.0,1047200,0.0,9.17,-4.75,-1.94,5.2
威瑞信,VRSN,1998-04-08,38.87,40.75,43.25,38.87,977200,0.0,11.25,4.65,1.81,4.85
威瑞信,VRSN,1998-04-09,43.5,44.0,44.88,42.88,922800,0.0,4.91,7.98,3.25,4.58
威瑞信,VRSN,1998-04-13,45.0,44.88,46.25,42.62,544400,0.0,8.25,2.0,0.88,2.7
威瑞信,VRSN,1998-04-14,45.5,43.88,47.5,43.62,575200,0.0,8.65,-2.23,-1.0,2.85
威瑞信,VRSN,1998-04-15,44.62,43.0,44.62,43.0,345600,0.0,3.69,-2.01,-0.88,1.72
威瑞信,VRSN,1998-04-16,43.38,43.0,43.62,42.75,302400,0.0,2.02,0.0,0.0,1.5
威瑞信,VRSN,1998-04-17,43.0,42.38,43.25,40.62,410800,0.0,6.12,-1.44,-0.62,2.04
威瑞信,VRSN,1998-04-20,42.5,41.75,42.62,41.75,493600,0.0,2.05,-1.49,-0.63,2.45
威瑞信,VRSN,1998-04-21,41.75,40.75,41.75,38.5,528000,0.0,7.78,-2.4,-1.0,2.62
威瑞信,VRSN,1998-04-22,40.88,41.0,41.62,39.0,570800,0.0,6.43,0.61,0.25,2.83
威瑞信,VRSN,1998-04-23,39.75,38.12,40.5,37.88,904800,0.0,6.39,-7.02,-2.88,4.49
威瑞信,VRSN,1998-04-24,38.62,35.25,40.0,34.0,2391200,0.0,15.74,-7.53,-2.87,11.87
威瑞信,VRSN,1998-04-27,34.75,37.12,37.25,33.13,1166800,0.0,11.69,5.3,1.87,5.79
威瑞信,VRSN,1998-04-28,38.75,36.62,38.75,35.12,932400,0.0,9.78,-1.35,-0.5,4.63
威瑞信,VRSN,1998-04-29,36.0,35.56,36.5,34.63,585600,0.0,5.11,-2.89,-1.06,2.91
威瑞信,VRSN,1998-04-30,37.12,38.38,38.87,36.62,626400,0.0,6.33,7.93,2.82,3.11
威瑞信,VRSN,1998-05-01,38.25,40.0,40.62,38.0,331600,0.0,6.83,4.22,1.62,1.65
威瑞信,VRSN,1998-05-04,40.12,38.5,41.12,38.0,523200,0.0,7.8,-3.75,-1.5,2.6
威瑞信,VRSN,1998-05-05,37.63,36.06,38.5,35.62,580800,0.0,7.48,-6.34,-2.44,2.88
威瑞信,VRSN,1998-05-06,36.62,35.69,36.88,34.75,474400,0.0,5.91,-1.03,-0.37,2.35
威瑞信,VRSN,1998-05-07,35.62,35.25,36.0,34.75,218800,0.0,3.5,-1.23,-0.44,1.09
威瑞信,VRSN,1998-05-08,35.5,35.5,36.13,35.25,242000,0.0,2.5,0.71,0.25,1.2
威瑞信,VRSN,1998-05-11,35.87,35.0,36.0,34.12,412400,0.0,5.3,-1.41,-0.5,2.05
