股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
福泰制药,VRTX,1991-07-24,9.12,9.25,9.5,9.0,200800,0.0,0.0,0.0,0.0,0.08
福泰制药,VRTX,1991-07-25,9.0,9.12,9.25,9.0,157200,0.0,2.7,-1.41,-0.13,0.06
福泰制药,VRTX,1991-07-26,9.25,9.0,9.25,9.0,1000400,0.0,2.74,-1.32,-0.12,0.39
福泰制药,VRTX,1991-07-29,9.25,9.25,9.25,9.0,37600,0.0,2.78,2.78,0.25,0.01
福泰制药,VRTX,1991-07-30,9.25,9.0,9.25,9.0,177200,0.0,2.7,-2.7,-0.25,0.07
福泰制药,VRTX,1991-07-31,9.25,9.0,9.25,9.0,186000,0.0,2.78,0.0,0.0,0.07
福泰制药,VRTX,1991-08-01,9.0,9.0,9.12,9.0,78400,0.0,1.33,0.0,0.0,0.03
福泰制药,VRTX,1991-08-02,9.25,9.12,9.25,9.12,110400,0.0,1.44,1.33,0.12,0.04
福泰制药,VRTX,1991-08-05,9.25,9.25,9.25,9.0,52000,0.0,2.74,1.43,0.13,0.02
福泰制药,VRTX,1991-08-06,9.12,9.25,9.25,9.12,62400,0.0,1.41,0.0,0.0,0.02
福泰制药,VRTX,1991-08-07,9.25,9.0,9.25,9.0,111200,0.0,2.7,-2.7,-0.25,0.04
福泰制药,VRTX,1991-08-08,9.25,9.12,9.25,9.0,48400,0.0,2.78,1.33,0.12,0.02
福泰制药,VRTX,1991-08-09,9.0,9.0,9.25,9.0,86000,0.0,2.74,-1.32,-0.12,0.03
福泰制药,VRTX,1991-08-12,9.0,9.0,9.25,9.0,20800,0.0,2.78,0.0,0.0,0.01
福泰制药,VRTX,1991-08-13,9.25,9.0,9.25,9.0,31600,0.0,2.78,0.0,0.0,0.01
福泰制药,VRTX,1991-08-14,9.25,9.25,9.25,9.12,51200,0.0,1.44,2.78,0.25,0.02
福泰制药,VRTX,1991-08-15,9.0,9.0,9.25,9.0,16000,0.0,2.7,-2.7,-0.25,0.01
福泰制药,VRTX,1991-08-16,9.25,9.0,9.25,9.0,34800,0.0,2.78,0.0,0.0,0.01
福泰制药,VRTX,1991-08-19,8.88,8.75,9.0,8.38,37600,0.0,6.89,-2.78,-0.25,0.01
福泰制药,VRTX,1991-08-20,8.75,8.75,8.88,8.5,28800,0.0,4.34,0.0,0.0,0.01
