股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
沃尔格林-联合博姿,WBA,2015-01-02,76.11,76.0,77.19,75.09,3923352,0.0,0.0,0.0,0.0,0.45
沃尔格林-联合博姿,WBA,2015-01-05,75.08,74.5,75.9,74.27,4739458,0.0,2.14,-1.97,-1.5,0.55
沃尔格林-联合博姿,WBA,2015-01-06,75.97,74.69,76.0,73.94,4853350,0.0,2.77,0.26,0.19,0.56
沃尔格林-联合博姿,WBA,2015-01-07,75.05,76.6,76.69,74.96,5610036,0.0,2.32,2.56,1.91,0.65
沃尔格林-联合博姿,WBA,2015-01-08,77.3,77.58,77.94,76.86,3997111,0.0,1.41,1.28,0.98,0.46
沃尔格林-联合博姿,WBA,2015-01-09,77.31,75.67,77.54,75.61,3692882,0.0,2.49,-2.46,-1.91,0.43
沃尔格林-联合博姿,WBA,2015-01-12,75.8,75.7,76.19,74.84,2858267,0.0,1.78,0.04,0.03,0.33
沃尔格林-联合博姿,WBA,2015-01-13,75.2,75.26,76.29,74.11,5154916,0.0,2.88,-0.58,-0.44,0.6
沃尔格林-联合博姿,WBA,2015-01-14,74.94,74.99,75.42,74.26,3256617,0.0,1.54,-0.36,-0.27,0.38
沃尔格林-联合博姿,WBA,2015-01-15,75.92,74.78,76.1,74.61,3561254,0.0,1.99,-0.28,-0.21,0.41
沃尔格林-联合博姿,WBA,2015-01-16,74.47,76.01,76.12,74.4,4861851,0.0,2.3,1.64,1.23,0.56
沃尔格林-联合博姿,WBA,2015-01-20,76.08,76.05,76.49,75.31,2648008,0.0,1.55,0.05,0.04,0.31
沃尔格林-联合博姿,WBA,2015-01-21,75.52,76.04,76.45,75.06,741220,0.0,1.83,-0.01,-0.01,0.09
沃尔格林-联合博姿,WBA,2015-01-22,75.97,76.01,76.21,75.13,3532526,0.0,1.42,-0.04,-0.03,0.41
沃尔格林-联合博姿,WBA,2015-01-23,75.95,75.59,75.95,75.2,3264025,0.0,0.99,-0.55,-0.42,0.38
沃尔格林-联合博姿,WBA,2015-01-26,75.76,75.84,76.1,75.38,2624031,0.0,0.95,0.33,0.25,0.3
沃尔格林-联合博姿,WBA,2015-01-27,75.11,74.93,75.82,74.79,2783931,0.0,1.36,-1.2,-0.91,0.32
沃尔格林-联合博姿,WBA,2015-01-28,75.55,73.77,75.55,73.59,3924353,0.0,2.62,-1.55,-1.16,0.46
沃尔格林-联合博姿,WBA,2015-01-29,74.4,74.57,74.57,73.16,3913291,0.0,1.91,1.08,0.8,0.45
沃尔格林-联合博姿,WBA,2015-01-30,73.52,73.75,74.48,73.43,5935226,0.0,1.41,-1.1,-0.82,0.69
沃尔格林-联合博姿,WBA,2015-02-02,73.06,74.89,74.98,73.0,4206325,0.0,2.68,1.55,1.14,0.49
沃尔格林-联合博姿,WBA,2015-02-03,75.12,74.79,75.24,74.31,2876477,0.0,1.24,-0.13,-0.1,0.33
沃尔格林-联合博姿,WBA,2015-02-04,75.25,74.67,75.54,74.21,3360454,0.0,1.78,-0.16,-0.12,0.39
沃尔格林-联合博姿,WBA,2015-02-05,74.94,74.79,75.09,74.48,4072128,0.0,0.82,0.16,0.12,0.47
沃尔格林-联合博姿,WBA,2015-02-06,74.81,76.15,76.75,74.43,4453328,0.0,3.1,1.82,1.36,0.52
沃尔格林-联合博姿,WBA,2015-02-09,75.64,76.4,76.47,75.62,3101120,0.0,1.12,0.33,0.25,0.36
沃尔格林-联合博姿,WBA,2015-02-10,76.31,76.69,76.73,75.63,4173115,0.0,1.44,0.38,0.29,0.48
沃尔格林-联合博姿,WBA,2015-02-11,76.8,79.53,79.94,76.71,7639444,0.0,4.21,3.7,2.84,0.89
沃尔格林-联合博姿,WBA,2015-02-12,79.17,79.96,80.62,78.94,5909353,0.0,2.11,0.54,0.43,0.69
沃尔格林-联合博姿,WBA,2015-02-13,79.65,78.73,79.89,78.57,3290375,0.0,1.65,-1.54,-1.23,0.38
沃尔格林-联合博姿,WBA,2015-02-17,78.38,78.0,78.5,77.87,3082257,0.0,0.8,-0.93,-0.73,0.36
沃尔格林-联合博姿,WBA,2015-02-18,77.59,77.79,77.93,77.04,3128086,0.0,1.14,-0.27,-0.21,0.36
沃尔格林-联合博姿,WBA,2015-02-19,77.79,77.1,78.33,77.01,2447416,0.0,1.7,-0.89,-0.69,0.28
沃尔格林-联合博姿,WBA,2015-02-20,77.09,77.13,77.22,76.36,3390337,0.0,1.12,0.04,0.03,0.39
沃尔格林-联合博姿,WBA,2015-02-23,77.37,78.59,78.87,77.28,6040509,0.0,2.06,1.89,1.46,0.7
沃尔格林-联合博姿,WBA,2015-02-24,78.33,80.39,80.79,78.24,6340025,0.0,3.24,2.29,1.8,0.74
沃尔格林-联合博姿,WBA,2015-02-25,80.25,80.01,80.41,79.64,3037162,0.0,0.96,-0.47,-0.38,0.35
沃尔格林-联合博姿,WBA,2015-02-26,79.9,81.65,81.83,79.64,6433562,0.0,2.74,2.05,1.64,0.75
沃尔格林-联合博姿,WBA,2015-02-27,81.28,83.08,83.77,81.07,8781628,0.0,3.31,1.75,1.43,1.02
沃尔格林-联合博姿,WBA,2015-03-02,83.24,83.62,84.05,82.6,6598216,0.0,1.75,0.65,0.54,0.6
沃尔格林-联合博姿,WBA,2015-03-03,83.43,83.21,83.43,82.58,5684105,0.0,1.02,-0.49,-0.41,0.52
沃尔格林-联合博姿,WBA,2015-03-04,82.79,83.02,83.26,82.3,3857356,0.0,1.15,-0.23,-0.19,0.35
沃尔格林-联合博姿,WBA,2015-03-05,83.45,83.2,83.6,82.89,3210808,0.0,0.86,0.22,0.18,0.29
沃尔格林-联合博姿,WBA,2015-03-06,82.58,82.35,83.55,82.06,4645778,0.0,1.79,-1.02,-0.85,0.43
沃尔格林-联合博姿,WBA,2015-03-09,82.19,83.5,83.55,82.12,3252241,0.0,1.74,1.4,1.15,0.3
沃尔格林-联合博姿,WBA,2015-03-10,82.7,82.72,83.28,82.32,5475538,0.0,1.15,-0.93,-0.78,0.5
沃尔格林-联合博姿,WBA,2015-03-11,82.39,82.51,83.09,81.01,3275524,0.0,2.51,-0.25,-0.21,0.3
沃尔格林-联合博姿,WBA,2015-03-12,83.13,84.25,84.4,82.78,4948816,0.0,1.96,2.11,1.74,0.45
沃尔格林-联合博姿,WBA,2015-03-13,84.25,83.72,84.33,83.29,3635074,0.0,1.23,-0.63,-0.53,0.33
沃尔格林-联合博姿,WBA,2015-03-16,85.01,86.77,86.89,85.0,9451798,0.0,2.26,3.64,3.05,0.86
沃尔格林-联合博姿,WBA,2015-03-17,86.51,86.26,86.63,85.83,5432306,0.0,0.92,-0.59,-0.51,0.5
沃尔格林-联合博姿,WBA,2015-03-18,86.14,87.18,87.49,85.48,5806367,0.0,2.33,1.07,0.92,0.53
沃尔格林-联合博姿,WBA,2015-03-19,86.98,87.36,87.98,86.77,5771584,0.0,1.39,0.21,0.18,0.53
沃尔格林-联合博姿,WBA,2015-03-20,87.48,87.94,88.81,87.42,24007519,0.0,1.59,0.66,0.58,2.2
沃尔格林-联合博姿,WBA,2015-03-23,88.22,87.92,88.64,87.65,8136680,0.0,1.13,-0.02,-0.02,0.74
沃尔格林-联合博姿,WBA,2015-03-24,88.0,88.0,88.58,87.38,3633213,0.0,1.36,0.09,0.08,0.33
沃尔格林-联合博姿,WBA,2015-03-25,87.81,85.88,88.2,85.47,4475522,0.0,3.1,-2.41,-2.12,0.41
沃尔格林-联合博姿,WBA,2015-03-26,84.51,84.44,85.88,84.36,5386073,0.0,1.77,-1.68,-1.44,0.49
沃尔格林-联合博姿,WBA,2015-03-27,84.47,85.3,85.74,84.0,3472352,0.0,2.06,1.02,0.86,0.32
沃尔格林-联合博姿,WBA,2015-03-30,85.47,85.99,86.22,84.52,4203064,0.0,1.99,0.81,0.69,0.39
沃尔格林-联合博姿,WBA,2015-03-31,85.69,84.68,86.06,84.67,3505838,0.0,1.62,-1.52,-1.31,0.32
沃尔格林-联合博姿,WBA,2015-04-01,84.72,84.25,84.9,83.66,4914698,0.0,1.46,-0.51,-0.43,0.45
沃尔格林-联合博姿,WBA,2015-04-02,84.41,85.97,86.11,84.12,2747958,0.0,2.36,2.04,1.72,0.25
沃尔格林-联合博姿,WBA,2015-04-06,85.26,88.01,88.1,85.24,6055191,0.0,3.33,2.37,2.04,0.56
沃尔格林-联合博姿,WBA,2015-04-07,87.6,87.28,88.25,87.11,3894241,0.0,1.3,-0.83,-0.73,0.36
沃尔格林-联合博姿,WBA,2015-04-08,87.04,87.68,88.43,86.89,5447838,0.0,1.76,0.46,0.4,0.5
沃尔格林-联合博姿,WBA,2015-04-09,89.5,92.62,93.42,89.4,11350679,0.0,4.58,5.63,4.94,1.04
沃尔格林-联合博姿,WBA,2015-04-10,92.14,92.02,92.5,90.25,5965572,0.0,2.43,-0.65,-0.6,0.55
沃尔格林-联合博姿,WBA,2015-04-13,91.72,91.71,92.74,91.3,4468087,0.0,1.56,-0.34,-0.31,0.41
沃尔格林-联合博姿,WBA,2015-04-14,91.4,91.98,92.57,91.09,2787366,0.0,1.61,0.29,0.27,0.26
沃尔格林-联合博姿,WBA,2015-04-15,92.0,91.54,92.66,91.25,3622295,0.0,1.53,-0.48,-0.44,0.33
沃尔格林-联合博姿,WBA,2015-04-16,90.94,89.52,91.29,89.07,7515315,0.0,2.43,-2.21,-2.02,0.69
沃尔格林-联合博姿,WBA,2015-04-17,88.46,86.96,89.59,85.86,15299939,0.0,4.17,-2.86,-2.56,1.4
沃尔格林-联合博姿,WBA,2015-04-20,87.51,87.12,88.22,86.87,6889252,0.0,1.55,0.18,0.16,0.63
沃尔格林-联合博姿,WBA,2015-04-21,87.28,87.09,88.25,86.91,5153702,0.0,1.54,-0.03,-0.03,0.47
沃尔格林-联合博姿,WBA,2015-04-22,87.04,87.02,87.21,86.6,3483830,0.0,0.7,-0.08,-0.07,0.32
