股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
奥多比,ADBE,1986-08-14,6.74,6.74,6.97,6.74,2080000,0.0,0.0,0.0,0.0,0.46
奥多比,ADBE,1986-08-15,6.74,6.62,6.74,6.62,2166400,0.0,1.78,-1.78,-0.12,0.48
奥多比,ADBE,1986-08-18,6.62,6.38,6.62,6.38,1414400,0.0,3.63,-3.63,-0.24,0.31
奥多比,ADBE,1986-08-19,6.5,6.5,6.62,6.5,1030400,0.0,1.88,1.88,0.12,0.23
奥多比,ADBE,1986-08-20,6.5,6.5,6.86,6.5,342400,0.0,5.54,0.0,0.0,0.08
奥多比,ADBE,1986-08-21,6.74,6.74,7.09,6.74,441600,0.0,5.38,3.69,0.24,0.1
奥多比,ADBE,1986-08-22,6.74,6.74,6.97,6.74,867200,0.0,3.41,0.0,0.0,0.19
奥多比,ADBE,1986-08-25,6.74,6.5,6.74,6.5,313600,0.0,3.56,-3.56,-0.24,0.07
奥多比,ADBE,1986-08-26,6.5,6.5,6.74,6.5,396800,0.0,3.69,0.0,0.0,0.09
奥多比,ADBE,1986-08-27,6.5,6.5,6.62,6.5,1270400,0.0,1.85,0.0,0.0,0.28
奥多比,ADBE,1986-08-28,6.5,6.21,6.62,6.21,777600,0.0,6.31,-4.46,-0.29,0.17
奥多比,ADBE,1986-08-29,6.21,6.21,6.62,6.21,774400,0.0,6.6,0.0,0.0,0.17
奥多比,ADBE,1986-09-02,6.74,6.74,6.97,6.74,534400,0.0,3.7,8.53,0.53,0.12
奥多比,ADBE,1986-09-03,6.74,6.74,7.09,6.74,201600,0.0,5.19,0.0,0.0,0.04
奥多比,ADBE,1986-09-04,7.57,7.57,7.8,7.57,902400,0.0,3.41,12.31,0.83,0.2
奥多比,ADBE,1986-09-05,7.57,7.45,7.8,7.45,1068800,0.0,4.62,-1.59,-0.12,0.24
奥多比,ADBE,1986-09-08,7.45,7.33,7.68,7.33,246400,0.0,4.7,-1.61,-0.12,0.05
奥多比,ADBE,1986-09-09,7.57,7.57,7.92,7.57,249600,0.0,4.77,3.27,0.24,0.06
奥多比,ADBE,1986-09-10,7.92,7.92,8.27,7.92,467200,0.0,4.62,4.62,0.35,0.1
奥多比,ADBE,1986-09-11,7.33,6.97,7.33,6.97,899200,0.0,4.55,-11.99,-0.95,0.2
奥多比,ADBE,1986-09-12,7.09,7.09,7.33,7.09,643200,0.0,3.44,1.72,0.12,0.14
奥多比,ADBE,1986-09-15,7.8,7.8,8.1,7.8,499200,0.0,4.23,10.01,0.71,0.11
奥多比,ADBE,1986-09-16,8.1,8.1,8.51,8.1,627200,0.0,5.26,3.85,0.3,0.14
奥多比,ADBE,1986-09-17,8.75,8.75,8.98,8.75,678400,0.0,2.84,8.02,0.65,0.15
奥多比,ADBE,1986-09-18,8.75,8.75,9.04,8.75,176000,0.0,3.31,0.0,0.0,0.04
奥多比,ADBE,1986-09-19,8.75,8.75,9.04,8.75,512000,0.0,3.31,0.0,0.0,0.11
奥多比,ADBE,1986-09-22,8.75,8.39,8.75,8.39,390400,0.0,4.11,-4.11,-0.36,0.09
奥多比,ADBE,1986-09-23,8.39,8.1,8.51,8.1,899200,0.0,4.89,-3.46,-0.29,0.2
奥多比,ADBE,1986-09-24,8.27,8.27,8.63,8.27,656000,0.0,4.44,2.1,0.17,0.14
奥多比,ADBE,1986-09-25,8.27,8.04,8.51,8.04,828800,0.0,5.68,-2.78,-0.23,0.18
奥多比,ADBE,1986-09-26,8.04,8.04,8.39,8.04,384000,0.0,4.35,0.0,0.0,0.08
奥多比,ADBE,1986-09-29,8.1,8.1,8.39,8.1,236800,0.0,3.61,0.75,0.06,0.05
奥多比,ADBE,1986-09-30,8.1,8.1,8.63,8.1,96000,0.0,6.54,0.0,0.0,0.02
奥多比,ADBE,1986-10-01,8.1,8.1,8.63,8.1,185600,0.0,6.54,0.0,0.0,0.04
奥多比,ADBE,1986-10-02,8.1,8.1,8.63,8.1,112000,0.0,6.54,0.0,0.0,0.02
奥多比,ADBE,1986-10-03,8.1,8.1,8.51,8.1,22400,0.0,5.06,0.0,0.0,0.0
奥多比,ADBE,1986-10-06,8.27,8.27,8.63,8.27,64000,0.0,4.44,2.1,0.17,0.01
奥多比,ADBE,1986-10-07,8.27,8.27,8.63,8.27,99200,0.0,4.35,0.0,0.0,0.02
奥多比,ADBE,1986-10-08,8.27,8.27,8.63,8.27,102400,0.0,4.35,0.0,0.0,0.02
奥多比,ADBE,1986-10-09,8.27,8.27,8.63,8.27,396800,0.0,4.35,0.0,0.0,0.09
奥多比,ADBE,1986-10-10,8.27,8.27,8.63,8.27,112000,0.0,4.35,0.0,0.0,0.02
奥多比,ADBE,1986-10-13,8.39,8.39,8.63,8.39,227200,0.0,2.9,1.45,0.12,0.05
奥多比,ADBE,1986-10-14,8.39,8.39,8.75,8.39,240000,0.0,4.29,0.0,0.0,0.05
奥多比,ADBE,1986-10-15,8.39,8.39,8.75,8.39,176000,0.0,4.29,0.0,0.0,0.04
奥多比,ADBE,1986-10-17,8.39,8.39,8.75,8.39,41600,0.0,4.29,0.0,0.0,0.01
奥多比,ADBE,1986-10-20,8.39,8.39,8.75,8.39,22400,0.0,4.29,0.0,0.0,0.0
奥多比,ADBE,1986-10-21,8.63,8.63,8.87,8.63,163200,0.0,2.86,2.86,0.24,0.04
奥多比,ADBE,1986-10-22,8.75,8.75,8.98,8.75,550400,0.0,2.67,1.39,0.12,0.12
奥多比,ADBE,1986-10-23,8.87,8.87,9.04,8.87,371200,0.0,1.94,1.37,0.12,0.08
奥多比,ADBE,1986-10-24,9.57,9.57,9.81,9.57,825600,0.0,2.71,7.89,0.7,0.18
奥多比,ADBE,1986-10-27,9.69,9.69,9.93,9.69,364800,0.0,2.51,1.25,0.12,0.08
奥多比,ADBE,1986-10-28,9.69,9.69,9.93,9.69,902400,0.0,2.48,0.0,0.0,0.2
奥多比,ADBE,1986-10-29,10.64,10.64,10.87,10.64,5833600,0.0,2.37,9.8,0.95,1.29
奥多比,ADBE,1986-10-30,11.23,11.23,11.35,11.23,1075200,0.0,1.13,5.55,0.59,0.24
奥多比,ADBE,1986-10-31,11.23,10.99,11.23,10.99,995200,0.0,2.14,-2.14,-0.24,0.22
奥多比,ADBE,1986-11-03,10.93,10.64,10.93,10.64,694400,0.0,2.64,-3.18,-0.35,0.15
奥多比,ADBE,1986-11-04,10.64,10.4,10.64,10.4,1001600,0.0,2.26,-2.26,-0.24,0.22
奥多比,ADBE,1986-11-05,10.4,10.28,10.64,10.28,547200,0.0,3.46,-1.15,-0.12,0.12
奥多比,ADBE,1986-11-06,10.52,10.52,10.76,10.52,1164800,0.0,2.33,2.33,0.24,0.26
奥多比,ADBE,1986-11-07,10.64,10.64,10.93,10.64,547200,0.0,2.76,1.14,0.12,0.12
奥多比,ADBE,1986-11-10,10.87,10.87,11.11,10.87,1264000,0.0,2.26,2.16,0.23,0.28
奥多比,ADBE,1986-11-11,10.87,10.87,10.93,10.87,438400,0.0,0.55,0.0,0.0,0.1
奥多比,ADBE,1986-11-12,10.87,10.87,11.11,10.87,220800,0.0,2.21,0.0,0.0,0.05
奥多比,ADBE,1986-11-13,10.87,10.76,10.93,10.76,275200,0.0,1.56,-1.01,-0.11,0.06
奥多比,ADBE,1986-11-14,10.87,10.87,11.11,10.87,224000,0.0,2.23,1.02,0.11,0.05
奥多比,ADBE,1986-11-17,10.87,10.76,10.93,10.76,342400,0.0,1.56,-1.01,-0.11,0.08
奥多比,ADBE,1986-11-18,10.76,10.52,10.87,10.52,531200,0.0,3.25,-2.23,-0.24,0.12
奥多比,ADBE,1986-11-19,10.52,10.52,10.76,10.52,182400,0.0,2.28,0.0,0.0,0.04
奥多比,ADBE,1986-11-20,10.52,10.52,10.76,10.52,227200,0.0,2.28,0.0,0.0,0.05
奥多比,ADBE,1986-11-21,10.52,10.52,10.76,10.52,44800,0.0,2.28,0.0,0.0,0.01
奥多比,ADBE,1986-11-24,10.52,10.52,10.76,10.52,128000,0.0,2.28,0.0,0.0,0.03
奥多比,ADBE,1986-11-25,10.52,10.52,10.76,10.52,259200,0.0,2.28,0.0,0.0,0.06
奥多比,ADBE,1986-11-26,11.17,11.17,11.35,11.17,832000,0.0,1.71,6.18,0.65,0.18
奥多比,ADBE,1986-11-28,11.58,11.58,11.82,11.58,259200,0.0,2.15,3.67,0.41,0.06
奥多比,ADBE,1986-12-01,11.58,11.47,11.82,11.47,342400,0.0,3.02,-0.95,-0.11,0.08
奥多比,ADBE,1986-12-02,11.7,11.7,11.88,11.7,454400,0.0,1.57,2.01,0.23,0.1
奥多比,ADBE,1986-12-03,11.7,11.58,11.82,11.58,211200,0.0,2.05,-1.03,-0.12,0.05
奥多比,ADBE,1986-12-04,11.7,11.7,11.88,11.7,742400,0.0,1.55,1.04,0.12,0.16
奥多比,ADBE,1986-12-05,11.88,11.88,12.18,11.88,816000,0.0,2.56,1.54,0.18,0.18
奥多比,ADBE,1986-12-08,12.53,12.53,12.77,12.53,1360000,0.0,2.02,5.47,0.65,0.3
奥多比,ADBE,1986-12-09,12.29,12.06,12.29,12.06,2281600,0.0,1.84,-3.75,-0.47,0.5
奥多比,ADBE,1986-12-10,12.06,12.06,12.29,12.06,1596800,0.0,1.91,0.0,0.0,0.35
奥多比,ADBE,1986-12-11,11.35,11.23,11.35,11.23,3667200,0.0,1.0,-6.88,-0.83,0.81
奥多比,ADBE,1986-12-12,11.35,11.35,11.7,11.35,246400,0.0,3.12,1.07,0.12,0.05
奥多比,ADBE,1986-12-15,11.35,11.23,11.58,11.23,140800,0.0,3.08,-1.06,-0.12,0.03
奥多比,ADBE,1986-12-16,11.23,11.11,11.23,11.11,2102400,0.0,1.07,-1.07,-0.12,0.46
奥多比,ADBE,1986-12-17,11.11,10.93,11.11,10.93,1558400,0.0,1.62,-1.62,-0.18,0.34
奥多比,ADBE,1986-12-18,11.11,11.11,11.23,11.11,483200,0.0,1.1,1.65,0.18,0.11
奥多比,ADBE,1986-12-19,11.11,11.11,11.35,11.11,310400,0.0,2.16,0.0,0.0,0.07
奥多比,ADBE,1986-12-22,11.11,11.11,11.47,11.11,899200,0.0,3.24,0.0,0.0,0.2
奥多比,ADBE,1986-12-23,11.58,11.58,11.82,11.58,1859200,0.0,2.16,4.23,0.47,0.41
奥多比,ADBE,1986-12-24,11.88,11.88,12.18,11.88,768000,0.0,2.59,2.59,0.3,0.17
奥多比,ADBE,1986-12-26,12.06,12.06,12.29,12.06,32000,0.0,1.94,1.52,0.18,0.01
奥多比,ADBE,1986-12-29,11.88,11.7,11.88,11.7,1174400,0.0,1.49,-2.99,-0.36,0.26
奥多比,ADBE,1986-12-30,11.82,11.82,12.06,11.82,272000,0.0,2.05,1.03,0.12,0.06
奥多比,ADBE,1986-12-31,12.06,12.06,12.41,12.06,1760000,0.0,2.96,2.03,0.24,0.39
奥多比,ADBE,1987-01-02,12.29,12.29,12.53,12.29,332800,0.0,1.99,1.91,0.23,0.07
奥多比,ADBE,1987-01-05,12.65,12.65,12.83,12.65,371200,0.0,1.46,2.93,0.36,0.08
奥多比,ADBE,1987-01-06,12.77,12.77,13.12,12.77,1552000,0.0,2.77,0.95,0.12,0.34
奥多比,ADBE,1987-01-07,12.83,12.83,13.12,12.83,1184000,0.0,2.27,0.47,0.06,0.26
奥多比,ADBE,1987-01-08,13.36,13.36,13.48,13.36,1017600,0.0,0.94,4.13,0.53,0.22
奥多比,ADBE,1987-01-09,13.36,13.36,13.71,13.36,956800,0.0,2.62,0.0,0.0,0.21
奥多比,ADBE,1987-01-12,13.95,13.95,14.18,13.95,1628800,0.0,1.72,4.42,0.59,0.36
奥多比,ADBE,1987-01-13,14.18,14.18,14.42,14.18,1136000,0.0,1.72,1.65,0.23,0.25
奥多比,ADBE,1987-01-14,14.54,14.54,14.66,14.54,1273600,0.0,0.85,2.54,0.36,0.28
奥多比,ADBE,1987-01-15,14.66,14.66,14.89,14.66,2300800,0.0,1.58,0.83,0.12,0.51
奥多比,ADBE,1987-01-16,14.72,14.72,15.01,14.72,2528000,0.0,1.98,0.41,0.06,0.56
奥多比,ADBE,1987-01-19,15.37,15.37,15.6,15.37,3760000,0.0,1.56,4.42,0.65,0.83
奥多比,ADBE,1987-01-20,16.43,16.43,16.79,16.43,3558400,0.0,2.34,6.9,1.06,0.79
奥多比,ADBE,1987-01-21,16.43,16.31,16.61,16.31,1001600,0.0,1.83,-0.73,-0.12,0.22
奥多比,ADBE,1987-01-22,16.31,16.08,16.55,16.08,1209600,0.0,2.88,-1.41,-0.23,0.27
奥多比,ADBE,1987-01-23,17.26,17.26,17.49,17.26,2998400,0.0,1.43,7.34,1.18,0.66
奥多比,ADBE,1987-01-26,17.14,16.79,17.14,16.79,1984000,0.0,2.03,-2.72,-0.47,0.44
奥多比,ADBE,1987-01-27,17.02,17.02,17.26,17.02,752000,0.0,1.43,1.37,0.23,0.17
奥多比,ADBE,1987-01-28,17.02,17.02,17.26,17.02,268800,0.0,1.41,0.0,0.0,0.06
奥多比,ADBE,1987-01-29,16.61,16.31,16.61,16.31,518400,0.0,1.76,-4.17,-0.71,0.11
奥多比,ADBE,1987-01-30,16.31,16.08,16.31,16.08,720000,0.0,1.41,-1.41,-0.23,0.16
奥多比,ADBE,1987-02-02,16.31,16.31,16.43,16.31,640000,0.0,0.75,1.43,0.23,0.14
奥多比,ADBE,1987-02-03,16.31,16.79,17.02,16.31,4179200,0.0,4.35,2.94,0.48,0.92
奥多比,ADBE,1987-02-04,16.79,17.02,17.02,16.79,2246400,0.0,1.37,1.37,0.23,0.5
奥多比,ADBE,1987-02-05,17.02,17.49,17.49,16.9,2032000,0.0,3.47,2.76,0.47,0.45
奥多比,ADBE,1987-02-06,17.49,17.49,17.49,17.26,1177600,0.0,1.32,0.0,0.0,0.26
奥多比,ADBE,1987-02-09,17.49,17.49,17.85,17.49,1158400,0.0,2.06,0.0,0.0,0.26
奥多比,ADBE,1987-02-10,17.55,17.73,17.97,17.55,1280000,0.0,2.4,1.37,0.24,0.28
奥多比,ADBE,1987-02-11,17.73,19.15,19.15,17.55,2412800,0.0,9.02,8.01,1.42,0.53
奥多比,ADBE,1987-02-12,19.27,20.21,20.21,19.27,1875200,0.0,4.91,5.54,1.06,0.41
奥多比,ADBE,1987-02-13,20.21,21.16,21.16,19.86,1203200,0.0,6.43,4.7,0.95,0.27
奥多比,ADBE,1987-02-17,21.16,21.51,21.63,21.04,1043200,0.0,2.79,1.65,0.35,0.23
奥多比,ADBE,1987-02-18,21.51,21.75,22.1,21.28,1142400,0.0,3.81,1.12,0.24,0.25
奥多比,ADBE,1987-02-19,21.75,20.92,22.1,20.33,1718400,0.0,8.14,-3.82,-0.83,0.38
奥多比,ADBE,1987-02-20,20.8,19.03,20.8,18.68,4707200,0.0,10.13,-9.03,-1.89,1.04
奥多比,ADBE,1987-02-23,19.03,19.62,20.1,18.91,3795200,0.0,6.25,3.1,0.59,0.84
奥多比,ADBE,1987-02-24,19.98,20.8,21.04,19.98,2064000,0.0,5.4,6.01,1.18,0.46
奥多比,ADBE,1987-02-25,20.8,21.04,21.51,20.8,1993600,0.0,3.41,1.15,0.24,0.44
奥多比,ADBE,1987-02-26,21.04,21.04,21.34,21.04,940800,0.0,1.43,0.0,0.0,0.21
奥多比,ADBE,1987-02-27,21.04,21.51,21.51,21.04,176000,0.0,2.23,2.23,0.47,0.04
奥多比,ADBE,1987-03-02,21.51,21.63,21.63,21.16,1689600,0.0,2.19,0.56,0.12,0.37
奥多比,ADBE,1987-03-03,21.63,24.11,24.11,21.51,9555200,0.0,12.02,11.47,2.48,2.11
奥多比,ADBE,1987-03-04,25.06,26.01,26.6,25.06,5190400,0.0,6.39,7.88,1.9,1.15
奥多比,ADBE,1987-03-05,26.01,26.24,27.54,25.77,4598400,0.0,6.81,0.88,0.23,1.02
奥多比,ADBE,1987-03-06,26.24,26.01,26.71,25.89,457600,0.0,3.13,-0.88,-0.23,0.1
奥多比,ADBE,1987-03-09,26.01,26.71,26.71,26.01,1353600,0.0,2.69,2.69,0.7,0.3
奥多比,ADBE,1987-03-10,26.71,26.95,26.95,26.01,1004800,0.0,3.52,0.9,0.24,0.22
奥多比,ADBE,1987-03-11,26.95,27.96,28.13,26.48,9001600,0.0,6.12,3.75,1.01,1.99
奥多比,ADBE,1987-03-12,27.96,29.08,29.55,27.9,6502400,0.0,5.9,4.01,1.12,1.44
奥多比,ADBE,1987-03-13,29.08,31.68,31.68,26.48,6492800,0.0,17.88,8.94,2.6,1.43
奥多比,ADBE,1987-03-16,31.68,33.1,33.33,31.44,5433600,0.0,5.97,4.48,1.42,1.2
奥多比,ADBE,1987-03-17,33.1,31.68,33.57,29.79,6214400,0.0,11.42,-4.29,-1.42,1.37
奥多比,ADBE,1987-03-18,31.68,30.38,32.15,30.26,7916800,0.0,5.97,-4.1,-1.3,1.75
奥多比,ADBE,1987-03-19,30.5,30.73,31.21,30.5,4601600,0.0,2.34,1.15,0.35,1.02
奥多比,ADBE,1987-03-20,30.73,29.55,31.21,29.32,1577600,0.0,6.15,-3.84,-1.18,0.35
奥多比,ADBE,1987-03-23,29.55,26.95,30.73,26.71,2099200,0.0,13.6,-8.8,-2.6,0.46
