股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
自动数据处理,ADP,2011-01-26,49.64,48.47,49.7,48.43,4401343,0.0,0.0,0.0,0.0,0.89
自动数据处理,ADP,2011-01-27,47.71,48.66,48.77,47.67,3294742,0.0,2.27,0.39,0.19,0.67
自动数据处理,ADP,2011-01-28,48.79,47.89,49.12,47.76,2671183,0.0,2.79,-1.58,-0.77,0.54
自动数据处理,ADP,2011-01-31,48.09,47.9,48.14,47.53,2601402,0.0,1.27,0.02,0.01,0.52
自动数据处理,ADP,2011-02-01,48.07,48.91,49.03,48.07,2055251,0.0,2.0,2.11,1.01,0.41
自动数据处理,ADP,2011-02-02,48.66,48.91,49.07,48.46,2203579,0.0,1.25,0.0,0.0,0.44
自动数据处理,ADP,2011-02-03,48.67,49.08,49.1,48.37,1698571,0.0,1.49,0.35,0.17,0.34
自动数据处理,ADP,2011-02-04,49.07,49.34,49.4,48.72,1966130,0.0,1.39,0.53,0.26,0.4
自动数据处理,ADP,2011-02-07,49.33,49.49,49.57,49.08,2234753,0.0,0.99,0.3,0.15,0.45
自动数据处理,ADP,2011-02-08,49.43,49.52,49.57,49.1,1625030,0.0,0.95,0.06,0.03,0.33
自动数据处理,ADP,2011-02-09,49.25,49.18,49.36,48.99,1568570,0.0,0.75,-0.69,-0.34,0.32
自动数据处理,ADP,2011-02-10,49.2,49.58,49.59,48.64,2155563,0.0,1.93,0.81,0.4,0.43
自动数据处理,ADP,2011-02-11,49.37,49.73,49.75,49.13,1829318,0.0,1.25,0.3,0.15,0.37
自动数据处理,ADP,2011-02-14,49.63,49.76,49.85,49.35,1787711,0.0,1.01,0.06,0.03,0.36
自动数据处理,ADP,2011-03-25,50.5,50.37,50.9,50.35,1656959,0.0,1.11,1.23,0.61,0.33
自动数据处理,ADP,2011-03-28,50.35,50.35,50.71,50.21,1625540,0.0,0.99,-0.04,-0.02,0.33
自动数据处理,ADP,2011-03-29,50.26,50.64,50.74,50.0,1448370,0.0,1.47,0.58,0.29,0.29
自动数据处理,ADP,2011-03-30,50.71,51.15,51.2,50.53,2451290,0.0,1.32,1.01,0.51,0.49
自动数据处理,ADP,2011-03-31,51.14,51.31,51.5,51.09,2447395,0.0,0.8,0.31,0.16,0.49
自动数据处理,ADP,2011-04-01,51.37,51.68,51.94,51.36,2282283,0.0,1.13,0.72,0.37,0.46
自动数据处理,ADP,2011-04-04,51.89,52.01,52.01,51.58,1932609,0.0,0.83,0.64,0.33,0.39
自动数据处理,ADP,2011-04-05,51.9,51.79,52.2,51.75,1558891,0.0,0.87,-0.42,-0.22,0.31
