股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
欧特克,ADSK,1985-07-01,11.03,11.03,11.26,11.03,3259200,0.0,0.0,0.0,0.0,1.52
欧特克,ADSK,1985-07-02,11.49,11.49,11.72,11.49,1190400,0.0,2.09,4.17,0.46,0.56
欧特克,ADSK,1985-07-03,11.49,11.49,11.72,11.49,657600,0.0,2.0,0.0,0.0,0.31
欧特克,ADSK,1985-07-05,11.72,11.72,11.95,11.72,564000,0.0,2.0,2.0,0.23,0.26
欧特克,ADSK,1985-07-08,11.49,11.26,11.49,11.26,844800,0.0,1.96,-3.92,-0.46,0.39
欧特克,ADSK,1985-07-09,11.26,11.03,11.26,11.03,489600,0.0,2.04,-2.04,-0.23,0.23
欧特克,ADSK,1985-07-10,11.26,11.26,11.49,11.26,417600,0.0,2.09,2.09,0.23,0.2
欧特克,ADSK,1985-07-11,11.49,11.49,11.72,11.49,595200,0.0,2.04,2.04,0.23,0.28
欧特克,ADSK,1985-07-12,11.49,11.49,11.72,11.49,278400,0.0,2.0,0.0,0.0,0.13
欧特克,ADSK,1985-07-15,11.49,11.49,11.95,11.49,187200,0.0,4.0,0.0,0.0,0.09
欧特克,ADSK,1985-07-16,12.41,12.41,12.64,12.41,1024800,0.0,2.0,8.01,0.92,0.48
欧特克,ADSK,1985-07-17,12.87,12.87,13.1,12.87,580800,0.0,1.85,3.71,0.46,0.27
欧特克,ADSK,1985-07-18,12.64,12.41,12.64,12.41,417600,0.0,1.79,-3.57,-0.46,0.2
欧特克,ADSK,1985-07-19,12.41,12.41,12.64,12.41,297600,0.0,1.85,0.0,0.0,0.14
欧特克,ADSK,1985-07-22,12.41,12.41,12.64,12.41,993600,0.0,1.85,0.0,0.0,0.46
欧特克,ADSK,1985-07-23,12.64,12.64,12.87,12.64,307200,0.0,1.85,1.85,0.23,0.14
欧特克,ADSK,1985-07-24,12.64,12.64,12.87,12.64,302400,0.0,1.82,0.0,0.0,0.14
欧特克,ADSK,1985-07-25,13.1,13.1,13.56,13.1,676800,0.0,3.64,3.64,0.46,0.32
欧特克,ADSK,1985-07-26,13.33,13.33,13.56,13.33,199200,0.0,1.76,1.76,0.23,0.09
欧特克,ADSK,1985-07-29,13.56,13.56,13.79,13.56,249600,0.0,1.73,1.73,0.23,0.12
欧特克,ADSK,1985-07-30,13.56,13.33,13.79,13.33,187200,0.0,3.39,-1.7,-0.23,0.09
欧特克,ADSK,1985-07-31,13.79,13.79,14.02,13.79,535200,0.0,1.73,3.45,0.46,0.25
欧特克,ADSK,1985-08-01,14.25,14.25,14.48,14.25,1233600,0.0,1.67,3.34,0.46,0.58
欧特克,ADSK,1985-08-02,14.59,14.59,15.4,14.59,1056000,0.0,5.68,2.39,0.34,0.49
欧特克,ADSK,1985-08-05,14.48,14.25,14.48,14.25,571200,0.0,1.58,-2.33,-0.34,0.27
欧特克,ADSK,1985-08-06,14.02,13.79,14.02,13.79,499200,0.0,1.61,-3.23,-0.46,0.23
欧特克,ADSK,1985-08-07,13.56,13.33,13.56,13.33,345600,0.0,1.67,-3.34,-0.46,0.16
欧特克,ADSK,1985-08-08,14.02,14.02,14.25,14.02,134400,0.0,1.73,5.18,0.69,0.06
欧特克,ADSK,1985-08-09,14.25,14.25,14.48,14.25,187200,0.0,1.64,1.64,0.23,0.09
欧特克,ADSK,1985-08-12,14.25,14.25,14.48,14.25,144000,0.0,1.61,0.0,0.0,0.07
欧特克,ADSK,1985-08-13,14.48,14.48,14.59,14.48,120000,0.0,0.77,1.61,0.23,0.06
欧特克,ADSK,1985-08-14,14.59,14.59,15.17,14.59,292800,0.0,4.01,0.76,0.11,0.14
欧特克,ADSK,1985-08-15,14.59,14.59,15.17,14.59,175200,0.0,3.98,0.0,0.0,0.08
欧特克,ADSK,1985-08-16,14.59,14.48,14.94,14.48,98400,0.0,3.15,-0.75,-0.11,0.05
欧特克,ADSK,1985-08-19,14.48,14.02,14.48,14.02,244800,0.0,3.18,-3.18,-0.46,0.11
