股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
应用材料,AMAT,1984-09-07,34.75,34.63,35.0,34.5,4006400,0.0,0.0,0.0,0.0,0.48
应用材料,AMAT,1984-09-10,34.63,34.5,35.0,34.5,7744000,0.0,1.44,-0.38,-0.13,0.93
应用材料,AMAT,1984-09-11,35.13,35.13,35.5,35.13,12659200,0.0,1.07,1.83,0.63,1.52
应用材料,AMAT,1984-09-12,35.5,35.5,35.5,35.5,21593600,0.0,0.0,1.05,0.37,2.6
应用材料,AMAT,1984-09-13,35.75,35.75,36.0,35.75,3942400,0.0,0.7,0.7,0.25,0.47
应用材料,AMAT,1984-09-14,35.75,35.13,36.0,35.13,1356800,0.0,2.43,-1.73,-0.62,0.16
应用材料,AMAT,1984-09-17,35.13,35.0,35.13,35.0,1382400,0.0,0.37,-0.37,-0.13,0.17
应用材料,AMAT,1984-09-18,35.0,34.75,35.5,34.75,11763200,0.0,2.14,-0.71,-0.25,1.42
应用材料,AMAT,1984-09-19,34.63,32.0,34.63,32.0,3200000,0.0,7.57,-7.91,-2.75,0.39
应用材料,AMAT,1984-09-20,32.0,31.75,32.25,31.75,12902400,0.0,1.56,-0.78,-0.25,1.55
应用材料,AMAT,1984-09-21,31.5,31.0,31.5,31.0,3520000,0.0,1.57,-2.36,-0.75,0.42
应用材料,AMAT,1984-09-24,31.0,30.0,31.0,30.0,2240000,0.0,3.23,-3.23,-1.0,0.27
应用材料,AMAT,1984-09-25,30.0,29.12,30.0,29.12,2944000,0.0,2.93,-2.93,-0.88,0.35
应用材料,AMAT,1984-09-26,29.12,29.12,29.12,29.12,7155200,0.0,0.0,0.0,0.0,0.86
应用材料,AMAT,1984-09-27,29.12,29.12,29.5,29.12,1958400,0.0,1.3,0.0,0.0,0.24
应用材料,AMAT,1984-09-28,29.12,29.12,29.12,29.0,1625600,0.0,0.41,0.0,0.0,0.2
应用材料,AMAT,1984-10-01,29.12,27.75,29.12,27.75,3264000,0.0,4.7,-4.7,-1.37,0.39
应用材料,AMAT,1984-10-02,27.75,27.0,28.0,27.0,2585600,0.0,3.6,-2.7,-0.75,0.31
应用材料,AMAT,1984-10-03,27.12,27.12,27.5,27.12,7795200,0.0,1.41,0.44,0.12,0.94
应用材料,AMAT,1984-10-04,27.5,27.5,28.0,27.5,3942400,0.0,1.84,1.4,0.38,0.47
应用材料,AMAT,1984-10-05,27.5,27.5,27.75,27.12,358400,0.0,2.29,0.0,0.0,0.04
应用材料,AMAT,1984-10-08,27.5,27.0,27.75,27.0,819200,0.0,2.73,-1.82,-0.5,0.1
应用材料,AMAT,1984-10-09,27.0,27.0,27.62,27.0,2905600,0.0,2.3,0.0,0.0,0.35
应用材料,AMAT,1984-10-10,27.0,26.75,27.12,26.75,20876800,0.0,1.37,-0.93,-0.25,2.51
应用材料,AMAT,1984-10-11,26.75,26.75,26.75,26.75,4134400,0.0,0.0,0.0,0.0,0.5
应用材料,AMAT,1984-10-12,27.0,27.75,27.75,27.0,6195200,0.0,2.8,3.74,1.0,0.75
应用材料,AMAT,1984-10-15,27.75,27.75,27.75,27.75,2726400,0.0,0.0,0.0,0.0,0.33
应用材料,AMAT,1984-10-16,27.75,27.5,27.75,27.5,985600,0.0,0.9,-0.9,-0.25,0.12
应用材料,AMAT,1984-10-17,27.5,27.5,27.5,27.5,1203200,0.0,0.0,0.0,0.0,0.14
应用材料,AMAT,1984-10-18,27.75,27.75,28.0,27.75,7040000,0.0,0.91,0.91,0.25,0.85
应用材料,AMAT,1984-10-19,28.0,28.5,29.0,28.0,14425600,0.0,3.6,2.7,0.75,1.74
应用材料,AMAT,1984-10-22,29.5,29.5,29.5,29.5,19302400,0.0,0.0,3.51,1.0,2.32
应用材料,AMAT,1984-10-23,29.0,29.0,29.0,29.0,2764800,0.0,0.0,-1.69,-0.5,0.33
应用材料,AMAT,1984-10-24,28.87,27.75,28.87,27.75,2854400,0.0,3.86,-4.31,-1.25,0.34
应用材料,AMAT,1984-10-25,27.5,24.75,27.5,24.75,9395200,0.0,9.91,-10.81,-3.0,1.13
应用材料,AMAT,1984-10-26,24.75,23.0,25.0,22.87,16896000,0.0,8.61,-7.07,-1.75,2.03
应用材料,AMAT,1984-10-29,23.12,23.12,23.12,23.12,6937600,0.0,0.0,0.52,0.12,0.83
应用材料,AMAT,1984-10-30,24.25,24.25,24.25,24.25,8960000,0.0,0.0,4.89,1.13,1.08
应用材料,AMAT,1984-10-31,24.25,24.0,24.5,24.0,13235200,0.0,2.06,-1.03,-0.25,1.59
应用材料,AMAT,1984-11-01,24.0,23.75,24.0,23.75,8614400,0.0,1.04,-1.04,-0.25,1.04
应用材料,AMAT,1984-11-02,23.75,22.75,23.75,22.25,14361600,0.0,6.32,-4.21,-1.0,1.73
应用材料,AMAT,1984-11-05,22.75,22.75,22.75,22.75,7065600,0.0,0.0,0.0,0.0,0.85
应用材料,AMAT,1984-11-06,23.12,23.12,23.12,23.12,21836800,0.0,0.0,1.63,0.37,2.63
应用材料,AMAT,1984-11-07,23.5,23.5,23.75,23.5,19686400,0.0,1.08,1.64,0.38,2.37
应用材料,AMAT,1984-11-08,24.5,24.5,24.75,24.5,13017600,0.0,1.06,4.26,1.0,1.57
应用材料,AMAT,1984-11-09,24.5,25.12,25.5,24.25,7078400,0.0,5.1,2.53,0.62,0.85
应用材料,AMAT,1984-11-12,25.12,25.12,25.5,25.12,2521600,0.0,1.51,0.0,0.0,0.3
应用材料,AMAT,1984-11-13,25.12,23.75,25.12,23.75,2726400,0.0,5.45,-5.45,-1.37,0.33
应用材料,AMAT,1984-11-14,24.0,24.0,24.0,24.0,1600000,0.0,0.0,1.05,0.25,0.19
应用材料,AMAT,1984-11-15,24.0,23.5,24.25,23.5,3020800,0.0,3.13,-2.08,-0.5,0.36
应用材料,AMAT,1984-11-16,23.5,22.75,24.0,22.75,3302400,0.0,5.32,-3.19,-0.75,0.4
应用材料,AMAT,1984-11-19,22.87,22.87,23.12,22.87,7206400,0.0,1.1,0.53,0.12,0.87
应用材料,AMAT,1984-11-20,22.87,22.75,23.12,22.75,8460800,0.0,1.62,-0.52,-0.12,1.02
应用材料,AMAT,1984-11-21,23.12,23.12,23.12,23.12,524800,0.0,0.0,1.63,0.37,0.06
应用材料,AMAT,1984-11-23,23.12,23.5,24.0,22.75,14515200,0.0,5.41,1.64,0.38,1.75
应用材料,AMAT,1984-11-26,23.5,23.5,24.0,23.5,9715200,0.0,2.13,0.0,0.0,1.17
应用材料,AMAT,1984-11-27,23.5,23.5,24.0,23.5,6425600,0.0,2.13,0.0,0.0,0.77
应用材料,AMAT,1984-11-28,23.75,23.75,24.0,23.75,4544000,0.0,1.06,1.06,0.25,0.55
