股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
亚马逊,AMZN,1997-05-16,23.62,20.75,23.75,20.5,14700000,0.0,18.06,15.28,2.75,61.61
亚马逊,AMZN,1997-05-19,21.13,20.5,21.25,19.5,6106800,0.0,8.43,-1.2,-0.25,25.6
亚马逊,AMZN,1997-05-20,20.75,19.63,21.0,19.63,5467200,0.0,6.68,-4.24,-0.87,22.91
亚马逊,AMZN,1997-05-21,19.63,17.12,19.75,16.5,18853200,0.0,16.56,-12.79,-2.51,79.02
亚马逊,AMZN,1997-05-22,17.25,16.75,17.38,15.75,11776800,0.0,9.52,-2.16,-0.37,49.36
亚马逊,AMZN,1997-05-23,16.88,18.0,18.25,16.0,15937200,0.0,13.43,7.46,1.25,66.8
亚马逊,AMZN,1997-05-27,18.12,19.0,19.75,17.5,8697600,0.0,12.5,5.56,1.0,36.45
亚马逊,AMZN,1997-05-28,19.5,18.38,19.63,18.38,4574400,0.0,6.58,-3.26,-0.62,19.17
亚马逊,AMZN,1997-05-29,18.5,18.06,18.5,17.75,3472800,0.0,4.08,-1.74,-0.32,14.56
亚马逊,AMZN,1997-05-30,18.0,18.0,18.12,17.75,2594400,0.0,2.05,-0.33,-0.06,10.87
亚马逊,AMZN,1997-06-02,18.12,18.12,18.38,18.0,591600,0.0,2.11,0.67,0.12,2.48
亚马逊,AMZN,1997-06-03,18.38,17.75,18.38,17.75,1183200,0.0,3.48,-2.04,-0.37,4.96
亚马逊,AMZN,1997-06-04,17.75,17.0,17.88,16.75,3080400,0.0,6.37,-4.23,-0.75,12.91
亚马逊,AMZN,1997-06-05,17.0,18.5,18.5,16.5,5672400,0.0,11.76,8.82,1.5,23.77
亚马逊,AMZN,1997-06-06,18.19,19.87,20.5,18.12,7807200,0.0,12.86,7.41,1.37,32.72
亚马逊,AMZN,1997-06-09,19.87,20.25,20.5,19.87,2352000,0.0,3.17,1.91,0.38,9.86
