股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
阿斯麦,ASML,2001-01-02,22.12,20.75,22.12,20.56,1284900,0.0,0.0,0.0,0.0,0.33
阿斯麦,ASML,2001-01-03,19.66,24.38,24.5,19.62,4402600,0.0,23.52,17.49,3.63,1.12
阿斯麦,ASML,2001-01-04,23.53,24.12,25.25,23.5,3100600,0.0,7.18,-1.07,-0.26,0.79
阿斯麦,ASML,2001-01-05,26.41,24.62,26.44,24.25,3233200,0.0,9.08,2.07,0.5,0.82
阿斯麦,ASML,2001-01-08,24.22,23.94,24.38,23.25,3714900,0.0,4.59,-2.76,-0.68,0.94
阿斯麦,ASML,2001-01-09,24.47,25.12,25.19,24.25,2105900,0.0,3.93,4.93,1.18,0.54
阿斯麦,ASML,2001-01-10,23.88,25.12,25.44,23.62,1671500,0.0,7.25,0.0,0.0,0.42
阿斯麦,ASML,2001-01-11,24.94,27.62,27.75,24.88,3393800,0.0,11.43,9.95,2.5,0.86
阿斯麦,ASML,2001-01-12,27.97,27.44,28.25,27.12,2568700,0.0,4.09,-0.65,-0.18,0.65
阿斯麦,ASML,2001-01-16,26.0,25.75,26.12,25.38,2985300,0.0,2.7,-6.16,-1.69,0.76
阿斯麦,ASML,2001-01-17,27.69,28.12,28.12,27.38,4473800,0.0,2.87,9.2,2.37,1.14
阿斯麦,ASML,2001-01-18,28.38,29.56,29.81,27.56,7821800,0.0,8.0,5.12,1.44,1.99
阿斯麦,ASML,2001-01-19,29.75,28.81,29.75,28.56,4384600,0.0,4.03,-2.54,-0.75,1.11
阿斯麦,ASML,2001-01-22,27.03,28.12,28.31,27.0,1617100,0.0,4.55,-2.4,-0.69,0.41
阿斯麦,ASML,2001-01-23,27.69,28.56,28.75,27.25,2508200,0.0,5.33,1.56,0.44,0.64
阿斯麦,ASML,2001-01-24,28.75,28.56,30.0,28.12,3656800,0.0,6.58,0.0,0.0,0.93
阿斯麦,ASML,2001-01-25,28.31,28.5,29.31,28.02,1621600,0.0,4.52,-0.21,-0.06,0.41
阿斯麦,ASML,2001-01-26,27.38,27.88,28.12,27.06,1032300,0.0,3.72,-2.18,-0.62,0.26
阿斯麦,ASML,2001-01-29,27.19,27.81,27.88,27.0,1449600,0.0,3.16,-0.25,-0.07,0.37
阿斯麦,ASML,2001-01-30,27.84,28.31,28.69,27.81,2047300,0.0,3.16,1.8,0.5,0.52
阿斯麦,ASML,2001-01-31,28.19,28.5,29.38,28.0,2601600,0.0,4.87,0.67,0.19,0.66
阿斯麦,ASML,2001-02-01,28.98,28.06,29.0,27.62,1821800,0.0,4.84,-1.54,-0.44,0.46
阿斯麦,ASML,2001-02-02,27.12,26.75,27.5,26.5,3933000,0.0,3.56,-4.67,-1.31,1.0
阿斯麦,ASML,2001-02-05,25.75,25.69,25.88,25.06,2112800,0.0,3.07,-3.96,-1.06,0.54
阿斯麦,ASML,2001-02-06,24.62,25.0,25.25,24.56,3151800,0.0,2.69,-2.69,-0.69,0.8
阿斯麦,ASML,2001-02-07,24.12,24.12,24.94,23.88,3915400,0.0,4.24,-3.52,-0.88,1.0
阿斯麦,ASML,2001-02-08,24.5,24.5,25.0,24.31,2361700,0.0,2.86,1.58,0.38,0.6
阿斯麦,ASML,2001-02-09,23.62,23.38,24.25,23.38,2765100,0.0,3.55,-4.57,-1.12,0.7
阿斯麦,ASML,2001-02-12,23.12,24.19,24.25,23.12,1522900,0.0,4.83,3.46,0.81,0.39
阿斯麦,ASML,2001-02-13,24.38,23.5,24.94,23.38,1538500,0.0,6.45,-2.85,-0.69,0.39
阿斯麦,ASML,2001-02-14,23.06,24.62,25.19,22.88,6779100,0.0,9.83,4.77,1.12,1.72
阿斯麦,ASML,2001-02-15,25.31,25.06,25.75,25.06,2705100,0.0,2.8,1.79,0.44,0.69
阿斯麦,ASML,2001-02-16,24.12,24.69,24.75,23.88,1475300,0.0,3.47,-1.48,-0.37,0.37
阿斯麦,ASML,2001-02-20,24.69,23.62,24.81,23.5,886300,0.0,5.31,-4.33,-1.07,0.23
阿斯麦,ASML,2001-02-21,22.81,22.62,23.88,22.31,3091600,0.0,6.65,-4.23,-1.0,0.79
阿斯麦,ASML,2001-02-22,22.25,22.19,22.94,21.56,1898400,0.0,6.1,-1.9,-0.43,0.48
阿斯麦,ASML,2001-02-23,21.0,23.5,23.62,20.81,5147600,0.0,12.66,5.9,1.31,1.31
阿斯麦,ASML,2001-02-26,23.06,23.19,23.5,22.33,3246400,0.0,4.98,-1.32,-0.31,0.83
阿斯麦,ASML,2001-02-27,23.0,21.94,23.12,21.88,951400,0.0,5.35,-5.39,-1.25,0.24
阿斯麦,ASML,2001-02-28,22.12,21.19,22.19,20.81,2685300,0.0,6.29,-3.42,-0.75,0.68
阿斯麦,ASML,2001-03-01,20.5,21.38,21.69,19.88,2720700,0.0,8.54,0.9,0.19,0.69
阿斯麦,ASML,2001-03-02,20.12,21.75,22.31,19.94,9152700,0.0,11.09,1.73,0.37,2.33
阿斯麦,ASML,2001-03-05,22.0,22.56,22.69,21.75,4345900,0.0,4.32,3.72,0.81,1.1
