股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
博通,AVGO,2016-02-01,133.34,137.68,138.69,132.96,4558976,0.0,0.0,0.0,0.0,1.65
博通,AVGO,2016-02-02,135.01,133.24,137.59,131.7,5897584,0.0,4.28,-3.22,-4.44,2.13
博通,AVGO,2016-02-03,137.25,131.36,137.61,130.29,5619376,0.0,5.49,-1.41,-1.88,2.03
博通,AVGO,2016-02-04,131.4,136.12,137.27,130.5,6082992,0.0,5.15,3.62,4.76,2.2
博通,AVGO,2016-02-05,137.0,128.36,137.0,126.98,7092922,0.0,7.36,-5.7,-7.76,2.57
博通,AVGO,2016-02-08,126.99,121.86,126.99,119.22,9124121,0.0,6.05,-5.06,-6.5,3.3
博通,AVGO,2016-02-09,119.83,119.71,125.72,118.77,6340018,0.0,5.7,-1.76,-2.15,2.29
博通,AVGO,2016-02-10,122.49,119.2,123.67,118.65,4547274,0.0,4.19,-0.43,-0.51,1.64
博通,AVGO,2016-02-11,116.5,116.31,117.64,114.25,6592272,0.0,2.84,-2.42,-2.89,2.38
博通,AVGO,2016-02-12,117.76,121.66,122.33,115.73,3996509,0.0,5.67,4.6,5.35,1.02
博通,AVGO,2016-02-16,123.27,126.24,126.79,122.95,3850397,0.0,3.16,3.76,4.58,0.99
博通,AVGO,2016-02-17,127.0,130.68,130.82,126.73,3264006,0.0,3.24,3.52,4.44,0.84
博通,AVGO,2016-02-18,131.76,127.07,131.99,126.08,3908455,0.0,4.52,-2.76,-3.61,1.0
博通,AVGO,2016-02-19,127.05,128.67,128.79,125.0,3109610,0.0,2.98,1.26,1.6,0.8
博通,AVGO,2016-02-22,130.0,130.64,132.43,129.49,2417121,0.0,2.28,1.53,1.97,0.62
博通,AVGO,2016-02-23,130.16,128.16,130.5,128.06,2235030,0.0,1.87,-1.9,-2.48,0.57
博通,AVGO,2016-02-24,126.51,130.34,131.25,125.41,2564767,0.0,4.56,1.7,2.18,0.66
博通,AVGO,2016-02-25,130.78,132.47,132.49,128.69,2564352,0.0,2.92,1.63,2.13,0.66
博通,AVGO,2016-02-26,134.2,133.11,134.97,132.25,2714054,0.0,2.05,0.48,0.64,0.7
博通,AVGO,2016-02-29,133.34,133.97,137.92,132.9,3590765,0.0,3.77,0.65,0.86,0.92
博通,AVGO,2016-03-01,135.37,138.43,138.64,134.62,4489855,0.0,3.0,3.33,4.46,1.15
博通,AVGO,2016-03-02,137.85,136.97,138.24,135.05,4383373,0.0,2.3,-1.05,-1.46,1.12
博通,AVGO,2016-03-03,137.75,137.33,138.85,134.3,5929264,0.0,3.32,0.26,0.36,1.52
博通,AVGO,2016-03-04,146.0,146.06,147.86,141.72,7239775,0.0,4.47,6.36,8.73,1.85
博通,AVGO,2016-03-07,144.76,143.51,146.23,140.57,4139571,0.0,3.88,-1.75,-2.55,1.06
博通,AVGO,2016-03-08,142.29,139.63,142.82,139.41,3319442,0.0,2.38,-2.7,-3.88,0.85
博通,AVGO,2016-03-09,140.75,141.96,142.53,140.47,3115229,0.0,1.48,1.67,2.33,0.8
博通,AVGO,2016-03-10,143.46,144.42,145.8,142.0,5454629,0.0,2.68,1.73,2.46,1.4
博通,AVGO,2016-03-11,145.99,148.82,150.02,145.75,5581877,0.0,2.96,3.05,4.4,1.43
博通,AVGO,2016-03-14,147.11,148.14,149.19,147.0,2844425,0.0,1.47,-0.46,-0.68,0.73
博通,AVGO,2016-03-15,148.5,148.47,149.98,146.08,3079942,0.0,2.63,0.22,0.33,0.79
博通,AVGO,2016-03-16,147.46,148.63,149.27,146.85,3490568,0.0,1.63,0.11,0.16,0.89
博通,AVGO,2016-03-17,147.37,151.55,151.72,147.37,4470522,0.0,2.93,1.96,2.92,1.14
博通,AVGO,2016-03-18,151.94,152.49,153.0,150.87,7056834,0.0,1.41,0.62,0.94,1.81
博通,AVGO,2016-03-21,152.59,152.89,153.0,150.83,2820364,0.0,1.42,0.26,0.4,0.72
博通,AVGO,2016-03-22,152.4,154.76,155.61,151.55,3394481,0.0,2.66,1.22,1.87,0.87
博通,AVGO,2016-03-23,154.82,152.99,155.32,152.34,2757715,0.0,1.93,-1.14,-1.77,0.71
博通,AVGO,2016-03-24,151.76,153.0,153.29,151.12,2564754,0.0,1.42,0.01,0.01,0.66
博通,AVGO,2016-03-28,153.28,153.1,153.5,152.07,1721920,0.0,0.93,0.07,0.1,0.44
博通,AVGO,2016-03-29,153.27,154.13,154.93,152.18,2676898,0.0,1.8,0.67,1.03,0.69
博通,AVGO,2016-03-30,155.0,156.93,157.28,154.54,2679219,0.0,1.78,1.82,2.8,0.69
博通,AVGO,2016-03-31,157.02,154.5,157.37,154.45,2496590,0.0,1.86,-1.55,-2.43,0.64
博通,AVGO,2016-04-01,154.04,157.8,157.92,151.16,2567076,0.0,4.38,2.14,3.3,0.66
博通,AVGO,2016-04-04,158.0,156.01,158.32,155.66,1776029,0.0,1.69,-1.13,-1.79,0.45
博通,AVGO,2016-04-05,154.45,155.03,157.05,154.45,5691898,0.0,1.67,-0.63,-0.98,1.46
博通,AVGO,2016-04-06,154.7,157.54,157.77,153.71,2809366,0.0,2.62,1.62,2.51,0.72
博通,AVGO,2016-04-07,157.48,154.97,157.95,154.69,2297378,0.0,2.07,-1.63,-2.57,0.59
博通,AVGO,2016-04-08,156.28,156.15,156.9,154.64,1852553,0.0,1.46,0.76,1.18,0.47
博通,AVGO,2016-04-11,157.43,155.61,157.8,155.6,1856712,0.0,1.41,-0.35,-0.54,0.48
博通,AVGO,2016-04-12,156.01,155.43,156.37,153.0,1652581,0.0,2.17,-0.12,-0.18,0.42
博通,AVGO,2016-04-13,156.47,159.48,159.65,155.61,2172417,0.0,2.6,2.61,4.05,0.56
博通,AVGO,2016-04-14,157.29,158.82,159.11,156.0,2755005,0.0,1.95,-0.41,-0.66,0.71
博通,AVGO,2016-04-15,158.13,155.49,158.34,154.52,2767842,0.0,2.41,-2.1,-3.33,0.71
博通,AVGO,2016-04-18,155.35,155.9,156.4,153.81,1529507,0.0,1.67,0.26,0.41,0.39
博通,AVGO,2016-04-19,156.45,151.07,156.76,150.79,2454575,0.0,3.83,-3.1,-4.83,0.63
博通,AVGO,2016-04-20,151.46,153.23,154.1,150.4,1943543,0.0,2.45,1.43,2.16,0.5
博通,AVGO,2016-04-21,152.9,151.35,153.28,150.44,1611202,0.0,1.85,-1.23,-1.88,0.41
博通,AVGO,2016-04-22,150.4,150.33,152.94,148.73,2569914,0.0,2.78,-0.67,-1.02,0.66
博通,AVGO,2016-04-25,150.25,149.1,150.86,148.77,1087065,0.0,1.39,-0.82,-1.23,0.28
博通,AVGO,2016-04-26,151.49,150.76,154.11,150.04,2621290,0.0,2.73,1.11,1.66,0.67
博通,AVGO,2016-04-27,147.21,151.53,153.36,146.5,3893366,0.0,4.55,0.51,0.77,1.0
博通,AVGO,2016-04-28,150.39,147.99,154.02,147.33,2551291,0.0,4.41,-2.34,-3.54,0.65
博通,AVGO,2016-04-29,146.31,145.75,147.79,143.25,3506715,0.0,3.07,-1.51,-2.24,0.9
博通,AVGO,2016-05-02,146.16,146.08,146.83,144.49,1952538,0.0,1.61,0.23,0.33,0.49
博通,AVGO,2016-05-03,145.1,143.2,145.99,142.33,2398598,0.0,2.51,-1.97,-2.88,0.61
