股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
开市客,COST,1986-07-09,42.75,44.0,44.25,42.25,1116800,0.0,0.0,0.0,0.0,0.25
开市客,COST,1986-07-10,44.25,43.75,44.5,42.75,595600,0.0,3.98,-0.57,-0.25,0.13
开市客,COST,1986-07-11,43.5,42.25,43.75,42.25,800400,0.0,3.43,-3.43,-1.5,0.18
开市客,COST,1986-07-14,42.5,41.0,42.5,40.5,738000,0.0,4.73,-2.96,-1.25,0.17
开市客,COST,1986-07-15,40.75,39.75,40.75,37.25,2059200,0.0,8.54,-3.05,-1.25,0.46
开市客,COST,1986-07-16,39.75,40.5,42.0,39.75,1160400,0.0,5.66,1.89,0.75,0.26
开市客,COST,1986-07-17,40.5,40.75,41.0,40.0,1046000,0.0,2.47,0.62,0.25,0.24
开市客,COST,1986-07-18,40.75,41.0,41.38,40.0,1420000,0.0,3.39,0.61,0.25,0.32
开市客,COST,1986-07-21,41.0,41.0,41.25,40.75,322800,0.0,1.22,0.0,0.0,0.07
开市客,COST,1986-07-22,41.0,40.75,41.13,40.75,390800,0.0,0.93,-0.61,-0.25,0.09
开市客,COST,1986-07-23,41.0,40.25,41.0,40.0,1004000,0.0,2.45,-1.23,-0.5,0.23
开市客,COST,1986-07-24,40.25,39.75,40.5,39.25,1071600,0.0,3.11,-1.24,-0.5,0.24
开市客,COST,1986-07-25,39.75,40.25,40.5,39.5,688400,0.0,2.52,1.26,0.5,0.16
开市客,COST,1986-07-28,40.25,40.5,41.0,39.88,414800,0.0,2.78,0.62,0.25,0.09
开市客,COST,1986-07-29,40.0,40.75,40.75,40.0,278400,0.0,1.85,0.62,0.25,0.06
开市客,COST,1986-07-30,40.25,40.5,40.5,39.5,459200,0.0,2.45,-0.61,-0.25,0.1
开市客,COST,1986-07-31,40.5,40.25,41.0,40.0,1213600,0.0,2.47,-0.62,-0.25,0.27
开市客,COST,1986-08-01,40.0,39.0,40.5,39.0,1118000,0.0,3.73,-3.11,-1.25,0.25
开市客,COST,1986-08-04,39.25,39.0,39.25,38.13,892400,0.0,2.87,0.0,0.0,0.2
开市客,COST,1986-08-05,39.0,38.25,39.0,38.0,868800,0.0,2.56,-1.92,-0.75,0.2
开市客,COST,1986-08-06,38.25,36.5,38.5,36.5,550400,0.0,5.23,-4.58,-1.75,0.12
开市客,COST,1986-08-07,36.0,33.5,36.25,32.5,7560000,0.0,10.27,-8.22,-3.0,1.7
开市客,COST,1986-08-08,33.75,35.5,35.75,33.5,2802000,0.0,6.72,5.97,2.0,0.63
开市客,COST,1986-08-11,36.0,36.5,36.5,35.5,1428000,0.0,2.82,2.82,1.0,0.32
开市客,COST,1986-08-12,36.5,37.5,37.75,36.5,1155200,0.0,3.42,2.74,1.0,0.26
开市客,COST,1986-08-13,37.75,38.75,40.38,37.5,865600,0.0,7.68,3.33,1.25,0.2
开市客,COST,1986-08-14,39.0,38.0,39.25,37.5,762000,0.0,4.52,-1.94,-0.75,0.17
开市客,COST,1986-08-15,38.0,37.5,38.0,36.75,654400,0.0,3.29,-1.32,-0.5,0.15
开市客,COST,1986-08-18,37.75,38.75,39.5,37.0,606800,0.0,6.67,3.33,1.25,0.14
开市客,COST,1986-08-19,39.0,38.25,39.0,38.0,2744000,0.0,2.58,-1.29,-0.5,0.62
开市客,COST,1986-08-20,38.25,38.0,38.25,37.5,500000,0.0,1.96,-0.65,-0.25,0.11
开市客,COST,1986-08-21,38.0,37.75,38.25,37.75,353200,0.0,1.32,-0.66,-0.25,0.08
开市客,COST,1986-08-22,38.0,37.5,38.25,37.5,286000,0.0,1.99,-0.66,-0.25,0.06
开市客,COST,1986-08-25,38.0,37.0,38.0,36.5,766400,0.0,4.0,-1.33,-0.5,0.17
开市客,COST,1986-08-26,36.75,37.5,37.5,36.75,408800,0.0,2.03,1.35,0.5,0.09
开市客,COST,1986-08-27,37.5,37.25,37.5,36.75,686400,0.0,2.0,-0.67,-0.25,0.15
开市客,COST,1986-08-28,37.25,36.75,37.25,36.5,286000,0.0,2.01,-1.34,-0.5,0.06
开市客,COST,1986-08-29,36.5,36.5,37.0,36.25,1128800,0.0,2.04,-0.68,-0.25,0.25
开市客,COST,1986-09-02,36.75,35.0,36.75,34.75,916800,0.0,5.48,-4.11,-1.5,0.21
开市客,COST,1986-09-03,35.0,35.75,35.75,34.75,684400,0.0,2.86,2.14,0.75,0.15
开市客,COST,1986-09-04,36.0,37.25,37.25,35.5,576800,0.0,4.9,4.2,1.5,0.13
