股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
CrowdStrike Holdings Inc-A,CRWD,2019-06-12,63.5,58.0,67.0,56.0,19449162,1186848064.0,32.35,70.59,24.0,9.89
CrowdStrike Holdings Inc-A,CRWD,2019-06-13,63.86,67.56,69.67,61.6,10923944,717813664.0,13.91,16.48,9.56,5.55
CrowdStrike Holdings Inc-A,CRWD,2019-06-14,69.78,64.16,70.79,63.02,6264212,419126192.0,11.5,-5.03,-3.4,3.18
CrowdStrike Holdings Inc-A,CRWD,2019-06-17,64.75,70.01,70.01,62.0,3247471,216363277.0,12.48,9.12,5.85,1.65
CrowdStrike Holdings Inc-A,CRWD,2019-06-18,73.0,76.5,78.7,71.5,6612626,500875824.0,10.28,9.27,6.49,3.36
CrowdStrike Holdings Inc-A,CRWD,2019-06-19,78.75,77.22,79.79,73.56,3319070,254182081.0,8.14,0.94,0.72,1.69
CrowdStrike Holdings Inc-A,CRWD,2019-06-20,78.0,74.85,78.22,70.69,3429610,252380151.0,9.75,-3.07,-2.37,1.74
CrowdStrike Holdings Inc-A,CRWD,2019-06-21,72.46,72.23,73.93,68.3,2657468,188263949.0,7.52,-3.5,-2.62,1.35
CrowdStrike Holdings Inc-A,CRWD,2019-06-24,71.05,67.97,72.39,65.08,2448037,165583773.0,10.12,-5.9,-4.26,1.24
CrowdStrike Holdings Inc-A,CRWD,2019-06-25,67.1,61.52,68.99,61.17,2482213,159528965.0,11.51,-9.49,-6.45,1.26
CrowdStrike Holdings Inc-A,CRWD,2019-06-26,63.3,62.65,64.92,62.01,1625502,103419257.0,4.73,1.84,1.13,0.83
CrowdStrike Holdings Inc-A,CRWD,2019-06-27,63.39,63.28,65.0,62.57,914612,58432499.0,3.88,1.01,0.63,0.47
CrowdStrike Holdings Inc-A,CRWD,2019-06-28,64.36,68.29,68.38,63.3,1474303,97599791.0,8.03,7.92,5.01,0.75
CrowdStrike Holdings Inc-A,CRWD,2019-07-01,69.1,63.2,69.73,61.81,2675367,171064147.0,11.6,-7.45,-5.09,1.31
CrowdStrike Holdings Inc-A,CRWD,2019-07-02,63.3,64.52,65.03,61.72,1738845,110495222.0,5.24,2.09,1.32,0.85
CrowdStrike Holdings Inc-A,CRWD,2019-07-03,64.68,67.24,67.48,64.52,1564108,103836368.0,4.59,4.22,2.72,0.76
CrowdStrike Holdings Inc-A,CRWD,2019-07-05,67.15,67.21,67.25,64.84,805222,53579252.0,3.58,-0.04,-0.03,0.39
CrowdStrike Holdings Inc-A,CRWD,2019-07-08,68.26,66.91,71.71,66.9,4567154,317013488.0,7.16,-0.45,-0.3,2.23
CrowdStrike Holdings Inc-A,CRWD,2019-07-09,67.42,68.45,69.2,66.88,1782694,121824951.0,3.47,2.3,1.54,0.87
CrowdStrike Holdings Inc-A,CRWD,2019-07-10,70.0,74.34,74.5,69.5,2719347,195756233.0,7.3,8.6,5.89,1.33
CrowdStrike Holdings Inc-A,CRWD,2019-07-11,74.5,70.88,74.98,70.5,2351834,170213856.0,6.03,-4.65,-3.46,1.15
CrowdStrike Holdings Inc-A,CRWD,2019-07-12,71.6,73.5,75.2,70.5,1838306,134564767.0,6.63,3.7,2.62,0.9
CrowdStrike Holdings Inc-A,CRWD,2019-07-15,74.0,71.6,74.3,71.4,1325082,96044030.0,3.95,-2.59,-1.9,0.65
CrowdStrike Holdings Inc-A,CRWD,2019-07-16,71.93,69.54,73.09,69.0,1582319,111962996.0,5.71,-2.88,-2.06,0.77
CrowdStrike Holdings Inc-A,CRWD,2019-07-17,70.0,71.0,71.56,69.59,1037007,73127385.0,2.83,2.1,1.46,0.51
CrowdStrike Holdings Inc-A,CRWD,2019-07-18,71.0,72.75,74.19,70.15,3389964,246984664.0,5.69,2.46,1.75,1.65
CrowdStrike Holdings Inc-A,CRWD,2019-07-19,85.16,83.52,85.85,80.75,13669036,1140166208.0,7.01,14.8,10.77,6.67
CrowdStrike Holdings Inc-A,CRWD,2019-07-22,82.27,87.68,88.5,82.08,5357744,464129056.0,7.69,4.98,4.16,2.61
CrowdStrike Holdings Inc-A,CRWD,2019-07-23,88.32,86.74,89.44,84.49,2529779,219449415.0,5.65,-1.07,-0.94,1.23
CrowdStrike Holdings Inc-A,CRWD,2019-07-24,86.79,87.46,87.85,85.5,1250712,108700462.0,2.71,0.83,0.72,0.61
CrowdStrike Holdings Inc-A,CRWD,2019-07-25,87.5,92.28,93.34,87.0,3270376,297914480.0,7.25,5.51,4.82,1.6
CrowdStrike Holdings Inc-A,CRWD,2019-07-26,93.04,92.88,95.5,91.91,2053022,192726338.0,3.89,0.65,0.6,1.0
CrowdStrike Holdings Inc-A,CRWD,2019-07-29,93.69,87.23,93.9,82.65,3317799,287865328.0,12.11,-6.08,-5.65,1.62
CrowdStrike Holdings Inc-A,CRWD,2019-07-30,86.0,94.0,96.19,84.0,3127169,288012624.0,13.97,7.76,6.77,1.53
CrowdStrike Holdings Inc-A,CRWD,2019-07-31,94.0,89.07,94.8,86.82,2475977,224090016.0,8.49,-5.24,-4.93,1.1
CrowdStrike Holdings Inc-A,CRWD,2019-08-01,90.07,91.53,94.32,89.44,2238247,206106294.0,5.48,2.76,2.46,0.99
CrowdStrike Holdings Inc-A,CRWD,2019-08-02,91.54,88.01,92.78,86.91,1801007,161808443.0,6.41,-3.85,-3.52,0.8
CrowdStrike Holdings Inc-A,CRWD,2019-08-05,83.34,85.48,86.92,82.25,2196373,187295454.0,5.31,-2.87,-2.53,0.97
CrowdStrike Holdings Inc-A,CRWD,2019-08-06,87.2,85.24,89.76,82.71,1357428,116105798.0,8.25,-0.28,-0.24,0.6
CrowdStrike Holdings Inc-A,CRWD,2019-08-07,83.69,84.22,86.45,82.8,990406,84031076.0,4.28,-1.2,-1.02,0.44
CrowdStrike Holdings Inc-A,CRWD,2019-08-08,85.49,91.65,91.86,85.49,1692269,151609798.0,7.56,8.82,7.43,0.75
CrowdStrike Holdings Inc-A,CRWD,2019-08-09,90.25,94.9,98.0,90.0,3063879,291995136.0,8.73,3.55,3.25,1.36
CrowdStrike Holdings Inc-A,CRWD,2019-08-12,94.25,93.01,98.2,91.53,1895649,180211067.0,7.03,-1.99,-1.89,0.84
CrowdStrike Holdings Inc-A,CRWD,2019-08-13,92.84,99.65,100.5,92.84,3034908,298096480.0,8.24,7.14,6.64,1.34
CrowdStrike Holdings Inc-A,CRWD,2019-08-14,96.52,94.02,97.73,91.6,2822881,266608918.0,6.15,-5.65,-5.63,1.25
