股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
福克斯-B,FOX,2019-03-19,41.4,39.55,41.4,39.05,2540234,100120266.0,0.0,0.0,0.0,0.95
福克斯-B,FOX,2019-03-20,39.85,37.6,39.85,37.46,5147908,196296820.0,6.04,-4.93,-1.95,1.93
福克斯-B,FOX,2019-03-21,38.0,38.88,38.91,37.84,8865546,341253360.0,2.85,3.4,1.28,3.33
福克斯-B,FOX,2019-03-22,38.76,37.46,38.84,36.55,4902540,183791975.0,5.89,-3.65,-1.42,1.84
福克斯-B,FOX,2019-03-25,37.57,36.45,37.81,36.35,4035118,148893869.0,3.9,-2.7,-1.01,1.52
福克斯-B,FOX,2019-03-26,36.46,36.71,37.35,36.46,3350854,123722531.0,2.44,0.71,0.26,1.26
福克斯-B,FOX,2019-03-27,36.75,36.2,37.17,36.06,2871305,104832998.0,3.02,-1.39,-0.51,1.08
福克斯-B,FOX,2019-03-28,36.14,35.67,36.47,35.55,2220583,79528593.0,2.54,-1.46,-0.53,0.83
福克斯-B,FOX,2019-03-29,35.88,35.88,36.17,35.39,2679171,95818165.0,2.19,0.59,0.21,1.01
福克斯-B,FOX,2019-04-01,36.17,36.15,36.34,35.94,4338366,157986825.0,1.11,0.75,0.27,1.63
福克斯-B,FOX,2019-04-02,36.21,35.7,36.46,35.21,1491180,53117951.0,3.46,-1.24,-0.45,0.56
福克斯-B,FOX,2019-04-03,35.78,35.5,35.89,35.3,2831551,100561893.0,1.65,-0.56,-0.2,1.06
福克斯-B,FOX,2019-04-04,35.56,36.03,36.07,35.39,2223200,79246275.0,1.92,1.49,0.53,0.84
福克斯-B,FOX,2019-04-05,35.99,36.98,37.09,35.94,2116209,77591744.0,3.19,2.64,0.95,0.8
福克斯-B,FOX,2019-04-08,36.94,36.85,36.94,36.65,1928972,70967712.0,0.78,-0.35,-0.13,0.72
福克斯-B,FOX,2019-04-09,36.81,36.89,37.07,36.59,1793850,66037729.0,1.3,0.11,0.04,0.67
福克斯-B,FOX,2019-04-10,36.91,35.93,37.05,35.86,843636,30485065.0,3.23,-2.6,-0.96,0.32
福克斯-B,FOX,2019-04-11,35.98,36.41,36.5,35.53,978211,35233603.0,2.7,1.34,0.48,0.37
福克斯-B,FOX,2019-04-12,36.47,36.95,37.08,35.92,3175196,116542699.0,3.19,1.48,0.54,1.19
福克斯-B,FOX,2019-04-15,36.91,36.98,36.99,36.47,891220,32760788.0,1.41,0.08,0.03,0.33
福克斯-B,FOX,2019-04-16,37.11,37.21,37.28,36.93,1869325,69408724.0,0.95,0.62,0.23,0.7
福克斯-B,FOX,2019-04-17,37.18,38.21,38.25,37.18,2122111,80139180.0,2.88,2.69,1.0,0.8
福克斯-B,FOX,2019-04-18,38.34,37.92,38.37,37.92,2315174,88219510.0,1.18,-0.76,-0.29,0.87
福克斯-B,FOX,2019-04-22,37.84,37.24,37.88,37.11,1665002,62187995.0,2.03,-1.79,-0.68,0.63
福克斯-B,FOX,2019-04-23,37.22,37.6,37.82,37.07,5455096,204742146.0,2.01,0.97,0.36,2.05
福克斯-B,FOX,2019-04-24,37.51,37.45,37.76,37.33,1230821,46223218.0,1.14,-0.4,-0.15,0.46
福克斯-B,FOX,2019-04-25,37.48,37.64,37.68,37.04,1422924,53316405.0,1.71,0.51,0.19,0.53
福克斯-B,FOX,2019-04-26,37.8,37.91,37.94,37.4,2505690,94696839.0,1.43,0.72,0.27,0.94
福克斯-B,FOX,2019-04-29,37.74,38.73,38.91,37.69,1716829,66216103.0,3.22,2.16,0.82,0.65
福克斯-B,FOX,2019-04-30,38.59,38.5,38.78,37.89,1809965,69412838.0,2.3,-0.59,-0.23,0.68
福克斯-B,FOX,2019-05-01,38.66,38.74,38.8,38.09,1474972,56707708.0,1.84,0.62,0.24,0.55
福克斯-B,FOX,2019-05-02,38.75,36.84,38.8,36.5,2627742,97793594.0,5.94,-4.9,-1.9,0.99
福克斯-B,FOX,2019-05-03,36.86,37.02,37.26,36.64,1229683,45558276.0,1.68,0.49,0.18,0.46
福克斯-B,FOX,2019-05-06,36.72,37.31,37.4,36.47,1534153,56974032.0,2.51,0.78,0.29,0.58
福克斯-B,FOX,2019-05-07,36.97,36.7,37.22,36.58,1412324,51942261.0,1.72,-1.63,-0.61,0.53
福克斯-B,FOX,2019-05-08,36.56,36.82,37.08,36.27,2108681,77590409.0,2.21,0.33,0.12,0.79
福克斯-B,FOX,2019-05-09,38.08,37.97,38.63,36.95,3458170,131451170.0,4.56,3.12,1.15,1.3
福克斯-B,FOX,2019-05-10,37.9,38.05,38.25,36.98,1633502,61449230.0,3.34,0.21,0.08,0.61
福克斯-B,FOX,2019-05-13,37.48,37.5,38.15,37.22,1598369,59972501.0,2.44,-1.45,-0.55,0.6
福克斯-B,FOX,2019-05-14,37.54,37.48,38.03,37.41,1663135,62514430.0,1.65,-0.05,-0.02,0.62
福克斯-B,FOX,2019-05-15,37.24,37.23,37.48,37.13,873872,32608610.0,0.93,-0.67,-0.25,0.33
福克斯-B,FOX,2019-05-16,37.28,36.32,37.6,36.28,2679971,97975738.0,3.55,-2.44,-0.91,1.01
福克斯-B,FOX,2019-05-17,36.08,36.83,37.07,36.08,1084397,39821930.0,2.73,1.4,0.51,0.41
福克斯-B,FOX,2019-05-20,36.54,36.68,37.14,36.54,996354,36806416.0,1.63,-0.41,-0.15,0.37
福克斯-B,FOX,2019-05-21,36.82,37.18,37.53,36.64,1272400,47392995.0,2.43,1.36,0.5,0.48
福克斯-B,FOX,2019-05-22,37.1,36.67,37.29,36.62,830229,30634273.0,1.8,-1.37,-0.51,0.31
福克斯-B,FOX,2019-05-23,36.39,36.51,36.63,36.18,1860127,67894083.0,1.23,-0.44,-0.16,0.7
福克斯-B,FOX,2019-05-24,36.51,36.45,36.76,36.4,828141,30258453.0,0.99,-0.16,-0.06,0.31
福克斯-B,FOX,2019-05-28,36.59,36.16,36.95,36.11,2384643,86502881.0,2.3,-0.8,-0.29,0.9
福克斯-B,FOX,2019-05-29,36.0,35.3,36.16,35.28,1437579,51133925.0,2.43,-2.38,-0.86,0.54
福克斯-B,FOX,2019-05-30,35.36,34.81,35.7,34.69,1079668,37836733.0,2.86,-1.39,-0.49,0.41
福克斯-B,FOX,2019-05-31,34.55,34.71,34.81,34.25,1736450,60111308.0,1.61,-0.29,-0.1,0.65
福克斯-B,FOX,2019-06-03,34.61,33.78,34.81,33.32,2219530,74970740.0,4.29,-2.68,-0.93,0.83
福克斯-B,FOX,2019-06-04,34.03,34.09,34.81,33.75,2276227,77782187.0,3.14,0.92,0.31,0.86
福克斯-B,FOX,2019-06-05,34.24,34.02,34.57,33.9,1346948,45842506.0,1.97,-0.21,-0.07,0.51
福克斯-B,FOX,2019-06-06,34.01,33.74,34.23,33.6,1209050,40856032.0,1.85,-0.82,-0.28,0.45
福克斯-B,FOX,2019-06-07,33.84,33.68,34.05,33.66,925130,31274875.0,1.16,-0.18,-0.06,0.35
福克斯-B,FOX,2019-06-10,33.86,33.74,34.04,33.56,1142811,38548563.0,1.43,0.18,0.06,0.43
福克斯-B,FOX,2019-06-11,33.77,33.83,34.04,33.65,1201832,40632959.0,1.16,0.27,0.09,0.45
福克斯-B,FOX,2019-06-12,33.81,34.7,34.74,33.8,2240306,77035439.0,2.78,2.57,0.87,0.84
福克斯-B,FOX,2019-06-13,34.96,34.94,35.12,34.6,1315426,45845304.0,1.5,0.69,0.24,0.49
福克斯-B,FOX,2019-06-14,34.99,34.96,35.16,34.56,2414743,84287374.0,1.72,0.06,0.02,0.91
福克斯-B,FOX,2019-06-17,35.18,35.8,35.97,35.04,2287969,81721169.0,2.66,2.4,0.84,0.86
福克斯-B,FOX,2019-06-18,36.09,35.83,36.72,35.71,2680862,96999371.0,2.82,0.08,0.03,1.01
福克斯-B,FOX,2019-06-19,35.88,35.74,36.08,35.35,2011514,71719142.0,2.04,-0.25,-0.09,0.76
福克斯-B,FOX,2019-06-20,36.15,35.35,36.15,35.31,1879719,66826394.0,2.35,-1.09,-0.39,0.71
福克斯-B,FOX,2019-06-21,35.36,35.88,37.0,35.04,4338334,154899908.0,5.54,1.5,0.53,1.63
福克斯-B,FOX,2019-06-24,35.72,35.54,35.79,35.39,1621068,57694254.0,1.11,-0.95,-0.34,0.61
福克斯-B,FOX,2019-06-25,35.45,35.19,35.52,34.9,1853675,65123876.0,1.74,-0.98,-0.35,0.7
福克斯-B,FOX,2019-06-26,35.46,35.31,35.89,35.16,2271879,80510815.0,2.07,0.34,0.12,0.85
福克斯-B,FOX,2019-06-27,35.36,35.75,36.12,35.06,2880867,102627894.0,3.0,1.25,0.44,1.08
福克斯-B,FOX,2019-06-28,35.89,36.53,36.64,35.67,4921105,179065822.0,2.71,2.18,0.78,1.85
福克斯-B,FOX,2019-07-01,36.82,35.96,36.87,35.72,2691314,96863233.0,3.15,-1.56,-0.57,1.01
福克斯-B,FOX,2019-07-02,35.96,36.53,36.57,35.96,1431153,52158554.0,1.7,1.59,0.57,0.54
福克斯-B,FOX,2019-07-03,36.7,36.35,36.77,36.31,918880,33535876.0,1.26,-0.49,-0.18,0.35
福克斯-B,FOX,2019-07-05,36.28,36.56,36.77,36.07,1190558,43544728.0,1.93,0.58,0.21,0.45
福克斯-B,FOX,2019-07-08,36.36,36.13,36.94,36.05,910742,32958174.0,2.43,-1.18,-0.43,0.34
福克斯-B,FOX,2019-07-09,35.98,36.01,36.29,35.79,1661275,60017228.0,1.38,-0.33,-0.12,0.62
福克斯-B,FOX,2019-07-10,36.11,36.14,36.41,36.03,1177618,42562338.0,1.06,0.36,0.13,0.44
福克斯-B,FOX,2019-07-11,36.13,36.31,36.37,35.85,1206502,43573528.0,1.44,0.47,0.17,0.45
福克斯-B,FOX,2019-07-12,36.32,36.96,37.01,36.32,1582893,58281897.0,1.9,1.79,0.65,0.59
福克斯-B,FOX,2019-07-15,37.12,37.04,37.21,36.61,1344926,49700906.0,1.62,0.22,0.08,0.51
福克斯-B,FOX,2019-07-16,37.08,36.69,37.11,36.61,1613120,59417607.0,1.35,-0.94,-0.35,0.61
福克斯-B,FOX,2019-07-17,36.62,36.17,36.72,36.09,1892152,68684887.0,1.72,-1.42,-0.52,0.71
福克斯-B,FOX,2019-07-18,36.1,36.61,36.76,36.0,3015699,110160446.0,2.1,1.22,0.44,1.13
福克斯-B,FOX,2019-07-19,36.71,36.45,36.76,36.2,1934281,70531740.0,1.53,-0.44,-0.16,0.73
福克斯-B,FOX,2019-07-22,36.47,36.32,36.64,36.28,1557766,56751888.0,0.99,-0.36,-0.13,0.59
福克斯-B,FOX,2019-07-23,36.35,36.51,36.75,35.99,2003214,72707116.0,2.09,0.52,0.19,0.75
福克斯-B,FOX,2019-07-24,36.46,36.89,37.08,36.44,1233524,45326071.0,1.75,1.04,0.38,0.46
福克斯-B,FOX,2019-07-25,36.91,37.43,37.54,36.9,1411803,52653972.0,1.73,1.46,0.54,0.53
福克斯-B,FOX,2019-07-26,37.37,37.49,38.03,37.33,915589,34427797.0,1.87,0.16,0.06,0.34
福克斯-B,FOX,2019-07-29,37.44,37.69,37.84,37.34,885755,33371531.0,1.33,0.53,0.2,0.33
福克斯-B,FOX,2019-07-30,37.5,37.85,38.06,37.5,1825475,69123414.0,1.49,0.42,0.16,0.69
福克斯-B,FOX,2019-07-31,37.7,37.2,37.7,36.77,1831333,68254075.0,2.46,-1.72,-0.65,0.69
福克斯-B,FOX,2019-08-01,37.16,36.84,37.45,36.69,1757944,65046669.0,2.04,-0.97,-0.36,0.66
福克斯-B,FOX,2019-08-02,36.84,36.56,36.85,36.29,1113369,40643169.0,1.52,-0.76,-0.28,0.42
福克斯-B,FOX,2019-08-05,36.28,36.0,36.48,35.75,2043727,73467656.0,2.0,-1.53,-0.56,0.77
福克斯-B,FOX,2019-08-06,35.93,36.4,36.51,35.85,1536308,55763684.0,1.83,1.11,0.4,0.58
福克斯-B,FOX,2019-08-07,36.05,36.79,36.93,35.76,1784859,64937562.0,3.21,1.07,0.39,0.67
福克斯-B,FOX,2019-08-08,37.34,35.0,37.34,34.89,3361133,118603433.0,6.66,-4.87,-1.79,1.26
福克斯-B,FOX,2019-08-09,34.95,35.37,35.56,34.88,1337114,47225618.0,1.94,1.06,0.37,0.5
福克斯-B,FOX,2019-08-12,35.28,34.81,35.28,34.67,1335099,46569826.0,1.72,-1.58,-0.56,0.5
福克斯-B,FOX,2019-08-13,34.67,35.0,35.53,34.67,1716149,60244437.0,2.47,0.55,0.19,0.64
福克斯-B,FOX,2019-08-14,34.78,33.66,34.78,33.37,1372250,46418008.0,4.03,-3.83,-1.34,0.52
福克斯-B,FOX,2019-08-15,33.65,32.81,34.03,32.71,2016945,66638753.0,3.92,-2.53,-0.85,0.76
福克斯-B,FOX,2019-08-16,33.09,33.01,33.29,32.71,1410314,46582085.0,1.77,0.61,0.2,0.53
福克斯-B,FOX,2019-08-19,33.31,33.6,33.9,33.3,1633531,54942105.0,1.82,1.79,0.59,0.61
福克斯-B,FOX,2019-08-20,33.5,33.36,33.82,33.25,1711158,57292670.0,1.7,-0.71,-0.24,0.64
福克斯-B,FOX,2019-08-21,33.47,33.15,33.51,32.87,1408738,46860062.0,1.92,-0.63,-0.21,0.53
福克斯-B,FOX,2019-08-22,33.19,32.82,33.34,32.73,1438751,47431430.0,1.84,-1.0,-0.33,0.54
福克斯-B,FOX,2019-08-23,32.66,31.44,32.72,31.33,1475591,46962895.0,4.24,-4.2,-1.38,0.55
福克斯-B,FOX,2019-08-26,31.67,31.71,31.82,31.28,1508608,47602053.0,1.72,0.86,0.27,0.57
福克斯-B,FOX,2019-08-27,31.9,31.62,32.05,31.61,1763496,55932801.0,1.39,-0.28,-0.09,0.66
福克斯-B,FOX,2019-08-28,31.67,31.56,31.94,31.33,1001986,31630596.0,1.93,-0.19,-0.06,0.38
福克斯-B,FOX,2019-08-29,31.78,32.45,32.8,31.67,1727754,55882184.0,3.58,2.82,0.89,0.65
福克斯-B,FOX,2019-08-30,33.27,32.8,33.31,32.47,1295528,42499513.0,2.59,1.08,0.35,0.49
福克斯-B,FOX,2019-09-03,32.4,32.43,32.74,32.16,986431,32036908.0,1.77,-1.13,-0.37,0.37
福克斯-B,FOX,2019-09-04,32.65,33.21,33.26,32.54,971059,31957513.0,2.22,2.41,0.78,0.36
福克斯-B,FOX,2019-09-05,33.52,33.91,34.03,33.23,965302,32582742.0,2.41,2.11,0.7,0.36
福克斯-B,FOX,2019-09-06,33.95,33.87,34.35,33.73,875145,29792492.0,1.83,-0.12,-0.04,0.33
福克斯-B,FOX,2019-09-09,33.68,33.99,34.02,33.31,792534,26814064.0,2.1,0.35,0.12,0.3
福克斯-B,FOX,2019-09-10,33.76,34.22,34.42,33.76,1421815,48586810.0,1.94,0.68,0.23,0.53
福克斯-B,FOX,2019-09-11,34.1,33.97,34.23,33.62,1073821,36491757.0,1.78,-0.73,-0.25,0.4
福克斯-B,FOX,2019-09-12,34.12,33.7,34.12,33.59,1159707,39128785.0,1.56,-0.79,-0.27,0.44
福克斯-B,FOX,2019-09-13,33.68,33.71,34.08,33.45,938782,31625473.0,1.87,0.03,0.01,0.35
福克斯-B,FOX,2019-09-16,33.52,33.49,33.66,33.35,653062,21881596.0,0.92,-0.65,-0.22,0.25
福克斯-B,FOX,2019-09-17,33.46,32.82,33.46,32.72,890641,29350180.0,2.21,-2.0,-0.67,0.33
福克斯-B,FOX,2019-09-18,32.68,32.5,32.84,32.03,1212803,39318559.0,2.47,-0.98,-0.32,0.46
福克斯-B,FOX,2019-09-19,32.57,31.97,32.66,31.9,635227,20473682.0,2.34,-1.63,-0.53,0.24
福克斯-B,FOX,2019-09-20,31.89,32.08,32.3,31.63,1598772,51179300.0,2.1,0.34,0.11,0.6
福克斯-B,FOX,2019-09-23,32.16,32.18,32.34,31.88,855046,27518095.0,1.43,0.31,0.1,0.32
福克斯-B,FOX,2019-09-24,32.32,31.53,32.35,31.4,1208646,38368622.0,2.95,-2.02,-0.65,0.45
福克斯-B,FOX,2019-09-25,31.48,32.0,32.17,31.48,1459454,46596364.0,2.19,1.49,0.47,0.55
福克斯-B,FOX,2019-09-26,32.06,31.47,32.06,31.35,1318245,41544902.0,2.22,-1.66,-0.53,0.5
