股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
吉利德科学,GILD,1992-01-22,17.25,20.25,21.75,17.25,21003200,0.0,0.0,0.0,0.0,1.69
吉利德科学,GILD,1992-01-23,21.0,22.0,22.75,20.25,4796800,0.0,12.35,8.64,1.75,0.39
吉利德科学,GILD,1992-01-24,22.25,22.25,23.25,21.5,1505600,0.0,7.95,1.14,0.25,0.12
吉利德科学,GILD,1992-01-27,23.25,24.0,24.0,22.25,1339200,0.0,7.87,7.87,1.75,0.11
吉利德科学,GILD,1992-01-28,23.75,23.5,24.25,22.75,2489600,0.0,6.25,-2.08,-0.5,0.2
吉利德科学,GILD,1992-01-29,22.75,21.75,23.5,21.75,1654400,0.0,7.45,-7.45,-1.75,0.13
吉利德科学,GILD,1992-01-30,22.0,19.5,22.25,19.5,1356800,0.0,12.64,-10.34,-2.25,0.11
吉利德科学,GILD,1992-01-31,20.0,20.75,20.75,19.5,312000,0.0,6.41,6.41,1.25,0.03
吉利德科学,GILD,1992-02-03,21.0,20.5,21.0,20.25,289600,0.0,3.61,-1.2,-0.25,0.02
吉利德科学,GILD,1992-02-04,20.75,21.75,21.75,20.75,312000,0.0,4.88,6.1,1.25,0.03
吉利德科学,GILD,1992-02-05,21.75,21.25,21.75,21.25,144000,0.0,2.3,-2.3,-0.5,0.01
吉利德科学,GILD,1992-02-06,21.75,22.0,22.0,21.25,688000,0.0,3.53,3.53,0.75,0.06
吉利德科学,GILD,1992-02-07,21.5,20.75,22.0,20.75,569600,0.0,5.68,-5.68,-1.25,0.05
吉利德科学,GILD,1992-02-10,20.75,19.75,21.5,19.5,1768000,0.0,9.64,-4.82,-1.0,0.14
吉利德科学,GILD,1992-02-11,19.75,18.0,19.75,18.0,1233600,0.0,8.86,-8.86,-1.75,0.1
吉利德科学,GILD,1992-02-12,18.25,18.25,18.25,17.5,492800,0.0,4.17,1.39,0.25,0.04
吉利德科学,GILD,1992-02-13,18.25,17.75,18.25,17.25,404800,0.0,5.48,-2.74,-0.5,0.03
吉利德科学,GILD,1992-02-14,18.0,17.13,18.0,17.0,1718400,0.0,5.63,-3.49,-0.62,0.14
吉利德科学,GILD,1992-02-18,17.5,15.75,17.5,15.25,380800,0.0,13.13,-8.06,-1.38,0.03
吉利德科学,GILD,1992-02-19,15.25,16.25,16.75,15.25,536000,0.0,9.52,3.17,0.5,0.04
吉利德科学,GILD,1992-02-20,18.0,18.25,19.25,17.5,598400,0.0,10.77,12.31,2.0,0.05
吉利德科学,GILD,1992-02-21,18.25,19.0,19.0,17.75,233600,0.0,6.85,4.11,0.75,0.02
吉利德科学,GILD,1992-02-24,19.0,19.25,20.5,18.75,390400,0.0,9.21,1.32,0.25,0.03
吉利德科学,GILD,1992-02-25,19.75,17.5,19.75,17.5,390400,0.0,11.69,-9.09,-1.75,0.03
吉利德科学,GILD,1992-02-26,17.25,17.5,18.0,17.25,208000,0.0,4.29,0.0,0.0,0.02
吉利德科学,GILD,1992-02-27,18.0,17.75,18.0,17.25,25600,0.0,4.29,1.43,0.25,0.0
吉利德科学,GILD,1992-02-28,17.5,17.75,18.0,17.25,28800,0.0,4.23,0.0,0.0,0.0
吉利德科学,GILD,1992-03-02,18.0,16.25,18.0,16.0,646400,0.0,11.27,-8.45,-1.5,0.05
吉利德科学,GILD,1992-03-03,16.5,17.25,17.25,16.0,67200,0.0,7.69,6.15,1.0,0.01
吉利德科学,GILD,1992-03-04,17.25,17.5,18.0,16.5,57600,0.0,8.7,1.45,0.25,0.0
吉利德科学,GILD,1992-03-05,17.25,17.0,18.0,17.0,57600,0.0,5.71,-2.86,-0.5,0.0
吉利德科学,GILD,1992-03-06,16.75,16.5,17.5,16.0,217600,0.0,8.82,-2.94,-0.5,0.02
吉利德科学,GILD,1992-03-09,16.5,17.5,17.75,16.0,134400,0.0,10.61,6.06,1.0,0.01
吉利德科学,GILD,1992-03-10,17.0,18.75,19.5,17.0,192000,0.0,14.29,7.14,1.25,0.02
吉利德科学,GILD,1992-03-11,19.25,17.75,19.25,17.75,128000,0.0,8.0,-5.33,-1.0,0.01
吉利德科学,GILD,1992-03-12,17.38,17.25,17.38,16.5,694400,0.0,4.96,-2.82,-0.5,0.06
吉利德科学,GILD,1992-03-13,16.75,17.0,17.25,16.75,217600,0.0,2.9,-1.45,-0.25,0.02
