股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
谷歌-C,GOOG,2014-04-03,569.85,569.74,587.28,564.13,4959598,0.0,0.0,0.0,0.0,0.08
谷歌-C,GOOG,2014-04-04,574.65,543.14,577.77,543.0,6348310,0.0,6.1,-4.67,-26.6,0.1
谷歌-C,GOOG,2014-04-07,540.74,538.15,548.48,527.15,4361913,0.0,3.93,-0.92,-4.99,0.07
谷歌-C,GOOG,2014-04-08,542.6,554.9,555.0,541.61,3138698,0.0,2.49,3.11,16.75,0.05
谷歌-C,GOOG,2014-04-09,559.62,564.14,565.37,552.95,3314667,0.0,2.24,1.67,9.24,0.05
谷歌-C,GOOG,2014-04-10,565.0,540.95,565.0,539.9,4018339,0.0,4.45,-4.11,-23.19,0.06
谷歌-C,GOOG,2014-04-11,532.55,530.6,540.0,526.53,3910723,0.0,2.49,-1.91,-10.35,0.06
谷歌-C,GOOG,2014-04-14,538.25,532.52,544.1,529.56,2555836,0.0,2.74,0.36,1.92,0.04
谷歌-C,GOOG,2014-04-15,536.82,536.44,538.45,518.46,3835273,0.0,3.75,0.74,3.92,0.06
谷歌-C,GOOG,2014-04-16,543.0,556.54,557.0,540.0,4250338,0.0,3.17,3.75,20.1,1.08
谷歌-C,GOOG,2014-04-17,548.81,536.1,549.5,531.15,6770387,0.0,3.3,-3.67,-20.44,1.72
谷歌-C,GOOG,2014-04-21,536.1,528.62,536.7,525.6,2553007,0.0,2.07,-1.4,-7.48,0.65
谷歌-C,GOOG,2014-04-22,528.64,534.81,537.23,527.51,2351618,0.0,1.84,1.17,6.19,0.6
谷歌-C,GOOG,2014-04-23,533.79,526.94,533.87,526.25,2012651,0.0,1.42,-1.47,-7.87,0.51
谷歌-C,GOOG,2014-04-24,530.07,525.16,531.65,522.12,1871147,0.0,1.81,-0.34,-1.78,0.48
谷歌-C,GOOG,2014-04-25,522.51,516.18,524.7,515.42,2088059,0.0,1.77,-1.71,-8.98,0.53
谷歌-C,GOOG,2014-04-28,517.18,517.15,518.6,502.8,3317684,0.0,3.06,0.19,0.97,0.84
谷歌-C,GOOG,2014-04-29,516.9,527.7,529.46,516.32,2685874,0.0,2.54,2.04,10.55,0.68
谷歌-C,GOOG,2014-04-30,527.6,526.66,528.0,522.52,1729261,0.0,1.04,-0.2,-1.04,0.44
谷歌-C,GOOG,2014-05-01,527.11,531.35,532.93,523.88,1896321,0.0,1.72,0.89,4.69,0.48
谷歌-C,GOOG,2014-05-02,533.76,527.93,534.0,525.61,1680152,0.0,1.58,-0.64,-3.42,0.43
谷歌-C,GOOG,2014-05-05,524.82,527.81,528.9,521.32,1020439,0.0,1.44,-0.02,-0.12,0.26
谷歌-C,GOOG,2014-05-06,525.23,515.14,526.81,515.06,1612592,0.0,2.23,-2.4,-12.67,0.41
谷歌-C,GOOG,2014-05-07,515.79,509.96,516.68,503.3,3207835,0.0,2.6,-1.01,-5.18,0.82
谷歌-C,GOOG,2014-05-08,508.46,511.0,517.23,506.45,2009809,0.0,2.11,0.2,1.04,0.51
谷歌-C,GOOG,2014-05-09,510.75,518.73,519.9,504.2,2426746,0.0,3.07,1.51,7.73,0.62
谷歌-C,GOOG,2014-05-12,523.51,530.17,530.19,519.01,1902605,0.0,2.16,2.21,11.44,0.48
谷歌-C,GOOG,2014-05-13,530.89,533.09,536.07,529.51,1644062,0.0,1.24,0.55,2.92,0.42
谷歌-C,GOOG,2014-05-14,533.0,526.65,533.0,525.29,1185361,0.0,1.45,-1.21,-6.44,0.3
谷歌-C,GOOG,2014-05-15,525.7,519.98,525.87,517.42,1693474,0.0,1.6,-1.27,-6.67,0.43
谷歌-C,GOOG,2014-05-16,521.39,520.63,521.8,515.44,1476752,0.0,1.22,0.13,0.65,0.38
谷歌-C,GOOG,2014-05-19,519.7,528.86,529.78,517.58,1271821,0.0,2.34,1.58,8.23,0.32
谷歌-C,GOOG,2014-05-20,529.74,529.77,536.23,526.3,1773146,0.0,1.88,0.17,0.91,0.45
谷歌-C,GOOG,2014-05-21,532.9,538.94,539.18,531.91,1186245,0.0,1.37,1.73,9.17,0.3
谷歌-C,GOOG,2014-05-22,541.13,545.06,547.6,540.78,1501418,0.0,1.27,1.14,6.12,0.38
谷歌-C,GOOG,2014-05-23,547.26,552.7,553.64,543.7,1923735,0.0,1.82,1.4,7.64,0.49
谷歌-C,GOOG,2014-05-27,556.0,565.94,566.0,554.35,2094782,0.0,2.11,2.4,13.24,0.53
谷歌-C,GOOG,2014-05-28,564.57,561.68,567.84,561.0,1644807,0.0,1.21,-0.75,-4.26,0.42
谷歌-C,GOOG,2014-05-29,563.35,560.08,564.0,558.71,1346577,0.0,0.94,-0.28,-1.6,0.34
谷歌-C,GOOG,2014-05-30,560.8,559.89,561.35,555.91,1699439,0.0,0.97,-0.03,-0.19,0.43
谷歌-C,GOOG,2014-06-02,560.7,553.93,560.9,545.73,1428898,0.0,2.71,-1.06,-5.96,0.36
谷歌-C,GOOG,2014-06-03,550.99,544.94,552.34,542.55,1835985,0.0,1.77,-1.62,-8.99,0.47
谷歌-C,GOOG,2014-06-04,541.5,544.61,548.61,538.75,1811102,0.0,1.81,-0.06,-0.33,0.46
谷歌-C,GOOG,2014-06-05,546.4,553.9,554.95,544.45,1680083,0.0,1.93,1.71,9.29,0.43
谷歌-C,GOOG,2014-06-06,558.06,556.33,558.06,548.93,1716858,0.0,1.65,0.44,2.43,0.44
谷歌-C,GOOG,2014-06-09,557.15,562.12,562.9,556.04,1458607,0.0,1.23,1.04,5.79,0.37
谷歌-C,GOOG,2014-06-10,560.51,560.55,563.6,557.9,1343356,0.0,1.01,-0.28,-1.57,0.34
谷歌-C,GOOG,2014-06-11,558.0,558.84,559.88,555.02,1095316,0.0,0.87,-0.31,-1.71,0.28
谷歌-C,GOOG,2014-06-12,557.3,551.35,557.99,548.46,1453478,0.0,1.71,-1.34,-7.49,0.37
谷歌-C,GOOG,2014-06-13,552.26,551.76,552.3,545.56,1215374,0.0,1.22,0.07,0.41,0.31
谷歌-C,GOOG,2014-06-16,549.26,544.28,549.62,541.52,1695736,0.0,1.47,-1.36,-7.48,0.43
谷歌-C,GOOG,2014-06-17,544.2,543.01,545.32,539.33,1439945,0.0,1.1,-0.23,-1.27,0.37
谷歌-C,GOOG,2014-06-18,544.86,553.37,553.56,544.0,1732762,0.0,1.76,1.91,10.36,0.44
谷歌-C,GOOG,2014-06-19,554.24,554.9,555.0,548.51,2447849,0.0,1.17,0.28,1.53,0.62
谷歌-C,GOOG,2014-06-20,556.85,557.38,557.58,550.39,3713054,0.0,1.3,0.45,2.48,0.95
谷歌-C,GOOG,2014-06-23,555.15,564.95,565.0,554.25,1529624,0.0,1.93,1.36,7.57,0.39
谷歌-C,GOOG,2014-06-24,565.19,564.62,572.64,561.01,2199907,0.0,2.06,-0.06,-0.33,0.56
谷歌-C,GOOG,2014-06-25,565.26,578.65,579.96,565.22,1949806,0.0,2.61,2.48,14.03,0.5
谷歌-C,GOOG,2014-06-26,581.0,576.0,582.45,571.85,1707633,0.0,1.83,-0.46,-2.65,0.43
谷歌-C,GOOG,2014-06-27,577.18,577.24,579.87,573.8,1973285,0.0,1.05,0.22,1.24,0.5
谷歌-C,GOOG,2014-06-30,578.66,575.28,579.57,574.75,1308084,0.0,0.84,-0.34,-1.96,0.33
谷歌-C,GOOG,2014-07-01,578.32,582.56,584.4,576.65,1439166,0.0,1.35,1.27,7.28,0.37
谷歌-C,GOOG,2014-07-02,583.35,582.33,585.44,580.39,1050537,0.0,0.87,-0.04,-0.23,0.27
谷歌-C,GOOG,2014-07-03,583.35,584.73,585.01,580.92,712110,0.0,0.7,0.41,2.4,0.18
谷歌-C,GOOG,2014-07-07,583.76,582.25,586.43,579.59,1049422,0.0,1.17,-0.42,-2.48,0.27
谷歌-C,GOOG,2014-07-08,577.66,571.09,579.52,566.13,1888095,0.0,2.3,-1.92,-11.16,0.48
谷歌-C,GOOG,2014-07-09,571.58,576.08,576.72,569.37,1110933,0.0,1.29,0.87,4.99,0.28
谷歌-C,GOOG,2014-07-10,565.91,571.1,576.59,565.01,1350433,0.0,2.01,-0.86,-4.98,0.34
谷歌-C,GOOG,2014-07-11,571.91,579.18,580.85,571.42,1614773,0.0,1.65,1.41,8.08,0.41
谷歌-C,GOOG,2014-07-14,582.6,584.87,585.21,578.03,1847668,0.0,1.24,0.98,5.69,0.47
谷歌-C,GOOG,2014-07-15,588.0,582.66,588.4,582.2,1386452,0.0,1.06,-0.38,-2.21,0.35
谷歌-C,GOOG,2014-07-17,579.53,573.73,580.99,568.61,2632640,0.0,2.12,-1.53,-8.93,0.67
谷歌-C,GOOG,2014-07-18,593.0,595.08,596.8,582.0,3984198,0.0,2.58,3.72,21.35,1.01
谷歌-C,GOOG,2014-07-21,591.75,589.47,594.4,585.23,2053158,0.0,1.54,-0.94,-5.61,0.52
谷歌-C,GOOG,2014-07-22,590.72,594.74,599.65,590.6,1689500,0.0,1.54,0.89,5.27,0.43
谷歌-C,GOOG,2014-07-23,593.23,595.98,597.85,592.5,1221951,0.0,0.9,0.21,1.24,0.31
谷歌-C,GOOG,2014-07-24,596.45,593.35,599.5,591.77,1029100,0.0,1.3,-0.44,-2.63,0.26
谷歌-C,GOOG,2014-07-25,590.4,589.02,591.86,587.03,925734,0.0,0.81,-0.73,-4.33,0.24
谷歌-C,GOOG,2014-07-28,588.07,590.6,592.5,584.75,979784,0.0,1.32,0.27,1.58,0.25
谷歌-C,GOOG,2014-07-29,588.75,585.61,589.7,583.51,1311831,0.0,1.05,-0.84,-4.99,0.33
谷歌-C,GOOG,2014-07-30,586.55,587.42,589.5,584.0,1010626,0.0,0.94,0.31,1.81,0.26
谷歌-C,GOOG,2014-07-31,580.6,572.1,583.65,570.0,2058894,0.0,2.32,-2.61,-15.32,0.52
谷歌-C,GOOG,2014-08-01,570.4,566.07,575.96,562.85,1932830,0.0,2.29,-1.05,-6.03,0.49
谷歌-C,GOOG,2014-08-04,569.04,573.43,575.35,564.1,1406781,0.0,1.99,1.3,7.36,0.36
谷歌-C,GOOG,2014-08-05,570.05,565.07,571.98,562.61,1546673,0.0,1.63,-1.46,-8.36,0.39
谷歌-C,GOOG,2014-08-06,561.78,566.37,570.7,560.0,1324816,0.0,1.89,0.23,1.3,0.34
谷歌-C,GOOG,2014-08-07,568.0,563.36,569.89,561.1,1099197,0.0,1.55,-0.53,-3.01,0.28
谷歌-C,GOOG,2014-08-08,563.56,568.77,570.25,560.35,1487646,0.0,1.76,0.96,5.41,0.38
谷歌-C,GOOG,2014-08-11,569.99,567.88,570.49,566.0,1207989,0.0,0.79,-0.16,-0.89,0.31
谷歌-C,GOOG,2014-08-12,564.52,562.73,565.9,560.88,1530804,0.0,0.88,-0.91,-5.15,0.39
谷歌-C,GOOG,2014-08-13,567.31,574.78,575.0,565.75,1429887,0.0,1.64,2.14,12.05,0.36
谷歌-C,GOOG,2014-08-14,576.18,574.65,577.9,570.88,980436,0.0,1.22,-0.02,-0.13,0.25
谷歌-C,GOOG,2014-08-15,577.86,573.48,579.38,570.52,1511585,0.0,1.54,-0.2,-1.17,0.38
谷歌-C,GOOG,2014-08-18,576.11,582.16,584.51,576.0,1287079,0.0,1.48,1.51,8.68,0.33
谷歌-C,GOOG,2014-08-19,585.0,586.86,587.34,584.0,942939,0.0,0.57,0.81,4.7,0.24
谷歌-C,GOOG,2014-08-20,585.88,584.49,586.7,582.57,1009594,0.0,0.7,-0.4,-2.37,0.26
谷歌-C,GOOG,2014-08-21,583.82,583.37,584.5,581.14,906053,0.0,0.57,-0.19,-1.12,0.23
谷歌-C,GOOG,2014-08-22,583.59,582.56,585.23,580.64,776734,0.0,0.79,-0.14,-0.81,0.2
谷歌-C,GOOG,2014-08-25,584.72,580.2,585.0,579.0,1354653,0.0,1.03,-0.41,-2.36,0.34
谷歌-C,GOOG,2014-08-26,581.26,577.86,581.8,576.58,1623618,0.0,0.9,-0.4,-2.34,0.41
谷歌-C,GOOG,2014-08-27,577.27,571.0,578.49,570.1,1638825,0.0,1.45,-1.19,-6.86,0.42
谷歌-C,GOOG,2014-08-28,569.56,569.2,573.25,567.1,1287882,0.0,1.08,-0.32,-1.8,0.33
谷歌-C,GOOG,2014-08-29,571.33,571.6,572.04,567.06,1056282,0.0,0.87,0.42,2.4,0.27
谷歌-C,GOOG,2014-09-02,571.85,577.33,577.83,571.19,1568777,0.0,1.16,1.0,5.73,0.4
谷歌-C,GOOG,2014-09-03,580.0,577.94,582.99,575.0,1210090,0.0,1.38,0.11,0.61,0.31
谷歌-C,GOOG,2014-09-04,580.0,581.98,586.0,579.22,1445518,0.0,1.17,0.7,4.04,0.37
谷歌-C,GOOG,2014-09-05,583.98,586.08,586.55,581.95,1587041,0.0,0.79,0.7,4.1,0.4
谷歌-C,GOOG,2014-09-08,586.6,589.72,591.77,586.3,1419906,0.0,0.93,0.62,3.64,0.36
谷歌-C,GOOG,2014-09-09,588.9,581.01,589.0,580.0,1260597,0.0,1.53,-1.48,-8.71,0.32
谷歌-C,GOOG,2014-09-10,581.5,583.1,583.5,576.94,964760,0.0,1.13,0.36,2.09,0.25
谷歌-C,GOOG,2014-09-11,580.36,581.35,581.81,576.26,1205478,0.0,0.95,-0.3,-1.75,0.31
谷歌-C,GOOG,2014-09-12,581.0,575.7,581.64,574.46,1579495,0.0,1.24,-0.97,-5.65,0.4
谷歌-C,GOOG,2014-09-15,572.94,573.1,574.95,568.21,1587282,0.0,1.17,-0.45,-2.6,0.4
谷歌-C,GOOG,2014-09-16,572.76,579.95,581.5,572.66,1465545,0.0,1.54,1.2,6.85,0.37
谷歌-C,GOOG,2014-09-17,580.01,584.77,587.52,578.77,1682865,0.0,1.51,0.83,4.82,0.43
谷歌-C,GOOG,2014-09-18,587.0,589.27,589.54,585.0,1433696,0.0,0.78,0.77,4.5,0.36
谷歌-C,GOOG,2014-09-19,591.5,596.08,596.48,589.5,3536263,0.0,1.18,1.16,6.81,0.9
谷歌-C,GOOG,2014-09-22,593.82,587.37,593.94,583.46,1674100,0.0,1.76,-1.46,-8.71,0.43
谷歌-C,GOOG,2014-09-23,586.85,581.13,586.85,581.0,1455906,0.0,1.0,-1.06,-6.24,0.37
谷歌-C,GOOG,2014-09-24,581.46,587.99,589.63,580.52,1720428,0.0,1.57,1.18,6.86,0.44
谷歌-C,GOOG,2014-09-25,587.55,575.06,587.98,574.18,1914434,0.0,2.35,-2.2,-12.93,0.49
谷歌-C,GOOG,2014-09-26,576.06,576.71,579.25,574.66,1429219,0.0,0.8,0.29,1.65,0.36
谷歌-C,GOOG,2014-09-29,571.75,576.36,578.19,571.17,1259106,0.0,1.22,-0.06,-0.35,0.32
谷歌-C,GOOG,2014-09-30,576.93,577.36,579.85,572.85,1565814,0.0,1.21,0.17,1.0,0.4
谷歌-C,GOOG,2014-10-01,576.01,568.69,577.58,567.01,1424428,0.0,1.83,-1.5,-8.67,0.36
谷歌-C,GOOG,2014-10-02,567.31,570.08,571.91,563.32,1169602,0.0,1.51,0.24,1.39,0.3
谷歌-C,GOOG,2014-10-03,573.05,575.28,577.22,572.5,1132265,0.0,0.83,0.91,5.2,0.29
谷歌-C,GOOG,2014-10-06,578.8,577.35,581.0,574.44,1209315,0.0,1.14,0.36,2.07,0.31
谷歌-C,GOOG,2014-10-07,574.4,563.74,575.27,563.74,1890760,0.0,2.0,-2.36,-13.61,0.48
谷歌-C,GOOG,2014-10-08,565.57,572.5,573.88,557.49,1982314,0.0,2.91,1.55,8.76,0.5
谷歌-C,GOOG,2014-10-09,571.18,560.88,571.49,559.06,2453205,0.0,2.17,-2.03,-11.62,0.62
谷歌-C,GOOG,2014-10-10,557.72,544.49,565.13,544.05,3052228,0.0,3.76,-2.92,-16.39,0.78
谷歌-C,GOOG,2014-10-13,544.99,533.21,549.5,533.1,2412787,0.0,3.01,-2.07,-11.28,0.61
谷歌-C,GOOG,2014-10-14,538.9,537.94,547.19,533.17,2211280,0.0,2.63,0.89,4.73,0.56
谷歌-C,GOOG,2014-10-15,531.01,530.01,532.8,518.3,3693800,0.0,2.7,-1.47,-7.93,0.94
谷歌-C,GOOG,2014-10-16,519.0,524.51,529.43,515.0,3359516,0.0,2.72,-1.04,-5.5,0.85
谷歌-C,GOOG,2014-10-17,527.25,511.17,530.98,508.53,5504957,0.0,4.28,-2.54,-13.34,1.4
谷歌-C,GOOG,2014-10-20,509.45,520.84,521.76,508.1,2590777,0.0,2.67,1.89,9.67,0.66
谷歌-C,GOOG,2014-10-21,525.19,526.54,526.79,519.11,2317501,0.0,1.47,1.09,5.7,0.59
谷歌-C,GOOG,2014-10-22,529.89,532.71,539.8,528.8,2904142,0.0,2.09,1.17,6.17,0.74
谷歌-C,GOOG,2014-10-23,539.32,543.81,547.22,535.85,2294712,0.0,2.13,2.08,11.1,0.58
谷歌-C,GOOG,2014-10-24,544.36,539.78,544.88,535.79,1961800,0.0,1.67,-0.74,-4.03,0.5
谷歌-C,GOOG,2014-10-27,537.03,540.77,544.41,537.03,1180251,0.0,1.37,0.18,0.99,0.3
谷歌-C,GOOG,2014-10-28,543.0,548.9,548.98,541.62,1225860,0.0,1.36,1.5,8.13,0.31
谷歌-C,GOOG,2014-10-29,550.0,549.33,554.19,546.98,1756349,0.0,1.31,0.08,0.43,0.45
谷歌-C,GOOG,2014-10-30,548.95,550.31,552.8,543.51,1449332,0.0,1.69,0.18,0.98,0.37
谷歌-C,GOOG,2014-10-31,559.35,559.08,559.57,554.75,1980441,0.0,0.88,1.59,8.77,0.5
谷歌-C,GOOG,2014-11-03,555.5,555.22,557.9,553.23,1358989,0.0,0.84,-0.69,-3.86,0.35
谷歌-C,GOOG,2014-11-04,553.0,554.11,555.5,549.3,1163586,0.0,1.12,-0.2,-1.11,0.3
谷歌-C,GOOG,2014-11-05,556.8,545.92,556.8,544.05,2019780,0.0,2.3,-1.48,-8.19,0.51
谷歌-C,GOOG,2014-11-06,545.5,542.04,546.88,540.97,1324508,0.0,1.08,-0.71,-3.88,0.34
谷歌-C,GOOG,2014-11-07,546.21,541.01,546.21,538.67,1614808,0.0,1.39,-0.19,-1.03,0.41
谷歌-C,GOOG,2014-11-10,541.46,547.49,549.59,541.02,1125543,0.0,1.58,1.2,6.48,0.29
谷歌-C,GOOG,2014-11-11,548.49,550.29,551.94,546.3,959458,0.0,1.03,0.51,2.8,0.24
谷歌-C,GOOG,2014-11-12,550.39,547.31,550.46,545.17,1122198,0.0,0.96,-0.54,-2.98,0.29
谷歌-C,GOOG,2014-11-13,549.8,545.38,549.8,543.48,1333941,0.0,1.15,-0.35,-1.93,0.34
