股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
IDEXX实验室,IDXX,2001-01-02,11.25,11.12,11.75,10.94,301800,0.0,0.0,0.0,0.0,0.91
IDEXX实验室,IDXX,2001-01-03,11.12,12.31,12.38,10.78,368600,0.0,14.39,10.7,1.19,1.11
IDEXX实验室,IDXX,2001-01-04,12.22,11.12,12.25,10.94,506400,0.0,10.64,-9.67,-1.19,1.52
IDEXX实验室,IDXX,2001-01-05,11.06,10.59,11.19,10.56,618600,0.0,5.67,-4.77,-0.53,1.86
IDEXX实验室,IDXX,2001-01-08,10.59,10.62,10.88,10.53,403000,0.0,3.31,0.28,0.03,1.21
IDEXX实验室,IDXX,2001-01-09,10.69,10.84,11.41,10.69,234200,0.0,6.78,2.07,0.22,0.7
IDEXX实验室,IDXX,2001-01-10,10.81,11.38,11.5,10.8,471000,0.0,6.46,4.98,0.54,1.42
IDEXX实验室,IDXX,2001-01-11,11.25,11.32,11.66,11.19,250800,0.0,4.13,-0.53,-0.06,0.75
IDEXX实验室,IDXX,2001-01-12,11.22,11.5,11.75,11.03,207400,0.0,6.36,1.59,0.18,0.62
IDEXX实验室,IDXX,2001-01-16,11.62,11.91,12.31,11.23,536000,0.0,9.39,3.57,0.41,1.61
IDEXX实验室,IDXX,2001-01-17,11.88,11.53,12.31,11.53,218600,0.0,6.55,-3.19,-0.38,0.66
IDEXX实验室,IDXX,2001-01-18,11.54,11.84,12.03,11.31,128800,0.0,6.24,2.69,0.31,0.39
IDEXX实验室,IDXX,2001-01-19,11.72,12.44,12.75,11.69,731000,0.0,8.95,5.07,0.6,2.2
IDEXX实验室,IDXX,2001-01-22,12.47,12.03,12.75,12.0,260600,0.0,6.03,-3.3,-0.41,0.78
IDEXX实验室,IDXX,2001-01-23,12.0,12.25,12.25,11.84,255800,0.0,3.41,1.83,0.22,0.77
IDEXX实验室,IDXX,2001-01-24,12.12,11.22,12.5,11.16,581000,0.0,10.94,-8.41,-1.03,1.75
IDEXX实验室,IDXX,2001-01-25,11.38,11.38,11.47,11.19,336400,0.0,2.5,1.43,0.16,1.01
IDEXX实验室,IDXX,2001-01-26,11.41,10.59,11.5,10.25,1187600,0.0,10.98,-6.94,-0.79,3.57
IDEXX实验室,IDXX,2001-01-29,10.81,10.88,11.0,10.19,462400,0.0,7.65,2.74,0.29,1.39
IDEXX实验室,IDXX,2001-01-30,10.82,11.19,11.25,10.81,338800,0.0,4.04,2.85,0.31,1.02
IDEXX实验室,IDXX,2001-01-31,11.31,11.09,11.38,10.97,349600,0.0,3.66,-0.89,-0.1,1.05
IDEXX实验室,IDXX,2001-02-01,11.0,11.41,11.5,10.97,358400,0.0,4.78,2.89,0.32,1.08
IDEXX实验室,IDXX,2001-02-02,11.41,11.25,11.5,11.12,451400,0.0,3.33,-1.4,-0.16,1.36
IDEXX实验室,IDXX,2001-02-05,11.25,11.09,11.25,10.88,383200,0.0,3.29,-1.42,-0.16,1.15
IDEXX实验室,IDXX,2001-02-06,11.19,11.03,11.28,10.88,361000,0.0,3.61,-0.54,-0.06,1.09
IDEXX实验室,IDXX,2001-02-07,11.0,11.34,11.38,11.0,720800,0.0,3.45,2.81,0.31,2.17
IDEXX实验室,IDXX,2001-02-08,11.31,11.41,11.47,11.25,472600,0.0,1.94,0.62,0.07,1.42
IDEXX实验室,IDXX,2001-02-09,11.34,11.41,11.44,11.31,874000,0.0,1.14,0.0,0.0,2.63
IDEXX实验室,IDXX,2001-02-12,11.3,11.38,11.56,11.28,279200,0.0,2.45,-0.26,-0.03,0.84
IDEXX实验室,IDXX,2001-02-13,11.56,11.94,12.09,11.38,811400,0.0,6.24,4.92,0.56,2.44
IDEXX实验室,IDXX,2001-02-14,11.97,11.78,11.97,11.66,492400,0.0,2.6,-1.34,-0.16,1.48
IDEXX实验室,IDXX,2001-02-15,11.75,12.0,12.09,11.75,476600,0.0,2.89,1.87,0.22,1.43
IDEXX实验室,IDXX,2001-02-16,11.94,11.84,11.94,11.81,348600,0.0,1.08,-1.33,-0.16,1.05
IDEXX实验室,IDXX,2001-02-20,12.04,12.25,12.28,12.03,410800,0.0,2.11,3.46,0.41,1.24
IDEXX实验室,IDXX,2001-02-21,12.25,11.91,12.25,11.81,509200,0.0,3.59,-2.78,-0.34,1.53
IDEXX实验室,IDXX,2001-02-22,11.84,11.5,11.94,11.5,612000,0.0,3.69,-3.44,-0.41,1.84
IDEXX实验室,IDXX,2001-02-23,11.44,11.62,11.78,11.25,657600,0.0,4.61,1.04,0.12,1.98
IDEXX实验室,IDXX,2001-02-26,11.66,12.03,12.09,11.48,330600,0.0,5.25,3.53,0.41,0.99
IDEXX实验室,IDXX,2001-02-27,12.01,11.91,12.03,11.88,228400,0.0,1.25,-1.0,-0.12,0.69
IDEXX实验室,IDXX,2001-02-28,12.0,11.78,12.0,11.41,253200,0.0,4.95,-1.09,-0.13,0.76
IDEXX实验室,IDXX,2001-03-01,11.62,11.96,12.0,11.03,564800,0.0,8.23,1.53,0.18,1.7
IDEXX实验室,IDXX,2001-03-02,11.62,12.0,12.06,11.56,345000,0.0,4.18,0.33,0.04,1.04
IDEXX实验室,IDXX,2001-03-05,12.0,11.91,12.03,11.81,267000,0.0,1.83,-0.75,-0.09,0.8
IDEXX实验室,IDXX,2001-03-06,11.91,12.03,12.03,11.88,196600,0.0,1.26,1.01,0.12,0.59
IDEXX实验室,IDXX,2001-03-07,12.03,12.03,12.09,11.78,175000,0.0,2.58,0.0,0.0,0.53
IDEXX实验室,IDXX,2001-03-08,11.97,11.5,12.06,11.34,663000,0.0,5.99,-4.41,-0.53,2.0
IDEXX实验室,IDXX,2001-03-09,11.46,11.31,11.62,11.19,85800,0.0,3.74,-1.65,-0.19,0.26
IDEXX实验室,IDXX,2001-03-12,11.38,11.12,11.56,10.84,729400,0.0,6.37,-1.68,-0.19,2.19
IDEXX实验室,IDXX,2001-03-13,11.09,11.12,11.28,11.06,289800,0.0,1.98,0.0,0.0,0.87
IDEXX实验室,IDXX,2001-03-14,11.06,11.0,11.34,10.88,218400,0.0,4.14,-1.08,-0.12,0.66
IDEXX实验室,IDXX,2001-03-15,10.92,10.88,11.44,10.82,441200,0.0,5.64,-1.09,-0.12,1.33
IDEXX实验室,IDXX,2001-03-16,10.84,10.94,11.03,10.81,686400,0.0,2.02,0.55,0.06,2.07
IDEXX实验室,IDXX,2001-03-19,10.88,10.66,11.03,10.34,1123400,0.0,6.31,-2.56,-0.28,3.38
IDEXX实验室,IDXX,2001-03-20,10.56,10.75,10.94,10.5,498200,0.0,4.13,0.84,0.09,1.5
IDEXX实验室,IDXX,2001-03-21,10.56,10.25,10.84,10.19,1070600,0.0,6.05,-4.65,-0.5,3.22
IDEXX实验室,IDXX,2001-03-22,9.88,10.03,10.19,8.56,2357400,0.0,15.9,-2.15,-0.22,7.09
IDEXX实验室,IDXX,2001-03-23,10.26,10.62,10.78,10.26,579800,0.0,5.18,5.88,0.59,1.74
IDEXX实验室,IDXX,2001-03-26,10.67,11.03,11.41,10.66,288000,0.0,7.06,3.86,0.41,0.88
IDEXX实验室,IDXX,2001-03-27,11.0,10.66,11.03,10.41,158600,0.0,5.62,-3.35,-0.37,0.48
IDEXX实验室,IDXX,2001-03-28,10.62,10.0,10.62,9.94,317000,0.0,6.38,-6.19,-0.66,0.97
IDEXX实验室,IDXX,2001-03-29,10.03,10.47,10.88,10.03,223400,0.0,8.5,4.7,0.47,0.68
IDEXX实验室,IDXX,2001-03-30,10.56,10.97,11.12,10.12,357600,0.0,9.55,4.78,0.5,1.09
IDEXX实验室,IDXX,2001-04-02,10.88,9.72,10.91,9.59,571000,0.0,12.03,-11.39,-1.25,1.74
IDEXX实验室,IDXX,2001-04-03,9.68,9.56,9.97,9.56,379800,0.0,4.22,-1.65,-0.16,1.16
IDEXX实验室,IDXX,2001-04-04,9.56,10.09,10.12,9.56,182000,0.0,5.86,5.54,0.53,0.55
IDEXX实验室,IDXX,2001-04-05,10.12,10.78,10.81,10.06,575600,0.0,7.43,6.84,0.69,1.75
IDEXX实验室,IDXX,2001-04-06,10.63,10.5,10.81,10.31,597600,0.0,4.64,-2.6,-0.28,1.82
IDEXX实验室,IDXX,2001-04-09,10.47,10.6,10.65,10.47,182000,0.0,1.71,0.95,0.1,0.55
IDEXX实验室,IDXX,2001-04-10,10.67,10.82,10.96,10.65,381000,0.0,2.92,2.08,0.22,1.16
IDEXX实验室,IDXX,2001-04-11,10.75,10.3,10.8,10.28,334400,0.0,4.81,-4.81,-0.52,1.02
IDEXX实验室,IDXX,2001-04-12,10.42,11.03,11.05,10.42,539800,0.0,6.12,7.09,0.73,1.65
IDEXX实验室,IDXX,2001-04-16,10.78,11.55,11.7,10.64,1007600,0.0,9.61,4.71,0.52,3.07
IDEXX实验室,IDXX,2001-04-17,11.28,12.1,12.1,11.24,1134400,0.0,7.45,4.76,0.55,3.46
IDEXX实验室,IDXX,2001-04-18,12.08,12.77,12.78,12.0,1241400,0.0,6.45,5.54,0.67,3.78
IDEXX实验室,IDXX,2001-04-19,12.74,12.51,12.74,12.4,561400,0.0,2.66,-2.04,-0.26,1.71
IDEXX实验室,IDXX,2001-04-20,12.47,12.5,12.55,12.26,730000,0.0,2.32,-0.08,-0.01,2.23
IDEXX实验室,IDXX,2001-04-23,12.36,12.45,12.45,12.28,167200,0.0,1.36,-0.4,-0.05,0.51
IDEXX实验室,IDXX,2001-04-24,12.38,12.3,12.38,12.2,342200,0.0,1.45,-1.2,-0.15,1.04
IDEXX实验室,IDXX,2001-04-25,12.28,12.9,13.0,12.28,676800,0.0,5.85,4.88,0.6,2.06
IDEXX实验室,IDXX,2001-04-26,12.86,13.28,13.4,12.8,728400,0.0,4.65,2.95,0.38,2.22
IDEXX实验室,IDXX,2001-04-27,13.28,13.43,13.58,13.2,1138000,0.0,2.86,1.13,0.15,3.47
IDEXX实验室,IDXX,2001-04-30,13.49,13.55,13.87,13.49,517000,0.0,2.83,0.89,0.12,1.58
IDEXX实验室,IDXX,2001-05-01,13.5,13.5,13.58,12.82,874800,0.0,5.61,-0.37,-0.05,2.67
