股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
微软,MSFT,1986-03-13,25.5,28.0,29.25,25.5,1031788800,0.0,0.0,0.0,0.0,13.89
微软,MSFT,1986-03-14,28.0,29.0,29.5,28.0,308160000,0.0,5.36,3.57,1.0,4.15
微软,MSFT,1986-03-17,29.0,29.5,29.75,29.0,133171200,0.0,2.59,1.72,0.5,1.79
微软,MSFT,1986-03-18,29.5,28.75,29.75,28.5,67766400,0.0,4.24,-2.54,-0.75,0.91
微软,MSFT,1986-03-19,28.75,28.25,29.0,28.0,47894400,0.0,3.48,-1.74,-0.5,0.64
微软,MSFT,1986-03-20,28.25,27.5,28.25,27.25,58435200,0.0,3.54,-2.65,-0.75,0.79
微软,MSFT,1986-03-21,27.5,26.75,28.0,26.25,59990400,0.0,6.36,-2.73,-0.75,0.81
微软,MSFT,1986-03-24,26.75,26.0,26.75,25.75,65289600,0.0,3.74,-2.8,-0.75,0.88
微软,MSFT,1986-03-25,26.0,26.5,26.5,25.75,32083200,0.0,2.88,1.92,0.5,0.43
微软,MSFT,1986-03-26,26.5,27.25,27.5,26.25,22752000,0.0,4.72,2.83,0.75,0.31
微软,MSFT,1986-03-27,27.25,27.75,27.75,27.25,16848000,0.0,1.83,1.83,0.5,0.23
微软,MSFT,1986-03-31,27.75,27.5,27.75,27.0,12873600,0.0,2.7,-0.9,-0.25,0.17
微软,MSFT,1986-04-01,27.5,27.25,27.5,27.25,11088000,0.0,0.91,-0.91,-0.25,0.15
微软,MSFT,1986-04-02,27.25,27.5,28.0,27.25,27014400,0.0,2.75,0.92,0.25,0.36
微软,MSFT,1986-04-03,27.75,27.75,28.5,27.75,23040000,0.0,2.73,0.91,0.25,0.31
微软,MSFT,1986-04-04,27.75,27.75,28.0,27.75,26582400,0.0,0.9,0.0,0.0,0.36
微软,MSFT,1986-04-07,27.75,27.25,28.0,26.75,16560000,0.0,4.5,-1.8,-0.5,0.22
微软,MSFT,1986-04-08,27.25,27.5,28.0,27.25,10252800,0.0,2.75,0.92,0.25,0.14
微软,MSFT,1986-04-09,27.5,28.0,28.25,27.5,12153600,0.0,2.73,1.82,0.5,0.16
微软,MSFT,1986-04-10,28.0,28.25,28.5,27.5,13881600,0.0,3.57,0.89,0.25,0.19
微软,MSFT,1986-04-11,28.5,28.75,29.25,28.5,17222400,0.0,2.65,1.77,0.5,0.23
微软,MSFT,1986-04-14,28.75,29.0,29.25,28.75,12153600,0.0,1.74,0.87,0.25,0.16
微软,MSFT,1986-04-15,29.0,29.0,29.0,28.0,9302400,0.0,3.45,0.0,0.0,0.13
微软,MSFT,1986-04-16,29.0,30.0,30.25,28.75,31910400,0.0,5.17,3.45,1.0,0.43
微软,MSFT,1986-04-17,30.0,30.25,30.25,30.0,22003200,0.0,0.83,0.83,0.25,0.3
微软,MSFT,1986-04-18,30.25,29.25,30.25,29.0,21628800,0.0,4.13,-3.31,-1.0,0.29
微软,MSFT,1986-04-21,29.25,29.25,29.5,28.5,22924800,0.0,3.42,0.0,0.0,0.31
微软,MSFT,1986-04-22,29.25,28.75,29.25,28.75,15552000,0.0,1.71,-1.71,-0.5,0.21
微软,MSFT,1986-04-23,28.75,28.87,29.0,28.5,15609600,0.0,1.74,0.42,0.12,0.21
微软,MSFT,1986-04-24,28.87,31.75,32.25,28.75,62352000,0.0,12.12,9.98,2.88,0.84
微软,MSFT,1986-04-25,32.0,33.75,35.13,32.0,85795200,0.0,9.86,6.3,2.0,1.15
微软,MSFT,1986-04-28,33.75,34.0,34.25,33.5,28886400,0.0,2.22,0.74,0.25,0.39
微软,MSFT,1986-04-29,34.0,33.0,34.0,32.75,30326400,0.0,3.68,-2.94,-1.0,0.41
微软,MSFT,1986-04-30,33.0,32.25,33.25,31.5,30902400,0.0,5.3,-2.27,-0.75,0.42
微软,MSFT,1986-05-01,32.25,31.75,32.25,31.25,54345600,0.0,3.1,-1.55,-0.5,0.73
微软,MSFT,1986-05-02,31.75,31.75,32.25,31.5,20246400,0.0,2.36,0.0,0.0,0.27
微软,MSFT,1986-05-05,31.75,31.5,31.75,31.5,3254400,0.0,0.79,-0.79,-0.25,0.04
微软,MSFT,1986-05-06,31.75,31.75,32.25,31.75,9734400,0.0,1.59,0.79,0.25,0.13
