股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
英伟达,NVDA,1999-01-22,21.0,19.69,23.44,18.62,67867200,0.0,40.17,64.08,7.69,237.33
英伟达,NVDA,1999-01-25,21.25,21.75,22.0,19.69,12762000,0.0,11.73,10.46,2.06,44.63
英伟达,NVDA,1999-01-26,22.0,20.06,22.44,19.75,8580000,0.0,12.37,-7.77,-1.69,30.0
英伟达,NVDA,1999-01-27,20.12,20.0,20.62,19.0,6109200,0.0,8.08,-0.3,-0.06,21.36
英伟达,NVDA,1999-01-28,20.0,19.94,20.12,19.81,5688000,0.0,1.55,-0.3,-0.06,19.89
英伟达,NVDA,1999-01-29,19.94,19.0,20.0,19.0,6100800,0.0,5.02,-4.71,-0.94,21.33
英伟达,NVDA,1999-02-01,19.0,19.37,19.5,19.0,3867600,0.0,2.63,1.95,0.37,13.46
英伟达,NVDA,1999-02-02,19.0,17.87,19.5,17.31,6602400,0.0,11.31,-7.74,-1.5,22.97
英伟达,NVDA,1999-02-03,17.62,18.25,18.5,17.5,1878000,0.0,5.6,2.13,0.38,6.53
英伟达,NVDA,1999-02-04,18.5,19.25,19.75,18.25,4548000,0.0,8.22,5.48,1.0,15.82
英伟达,NVDA,1999-02-05,19.56,19.81,20.0,19.06,3421200,0.0,4.88,2.91,0.56,11.9
英伟达,NVDA,1999-02-08,19.94,19.12,20.0,19.12,3852000,0.0,4.44,-3.48,-0.69,13.4
英伟达,NVDA,1999-02-09,19.5,18.37,19.62,18.12,2174400,0.0,7.85,-3.92,-0.75,7.56
英伟达,NVDA,1999-02-10,18.37,18.19,18.87,17.87,3705600,0.0,5.44,-0.98,-0.18,12.89
英伟达,NVDA,1999-02-11,18.25,19.75,20.5,18.25,3306000,0.0,12.37,8.58,1.56,11.5
英伟达,NVDA,1999-02-12,20.0,20.87,21.0,20.0,2743200,0.0,5.06,5.67,1.12,9.54
英伟达,NVDA,1999-02-16,21.25,21.0,22.12,18.87,5275200,0.0,15.57,0.62,0.13,18.35
英伟达,NVDA,1999-02-17,20.5,19.87,20.75,19.5,1693200,0.0,5.95,-5.38,-1.13,5.89
英伟达,NVDA,1999-02-18,20.5,20.19,20.75,19.62,1767600,0.0,5.69,1.61,0.32,6.15
英伟达,NVDA,1999-02-19,20.0,20.87,21.25,19.75,1884000,0.0,7.43,3.37,0.68,6.55
英伟达,NVDA,1999-02-22,21.25,21.0,21.5,19.87,5131200,0.0,7.81,0.62,0.13,17.85
英伟达,NVDA,1999-02-23,21.5,22.0,22.44,20.25,3452400,0.0,10.43,4.76,1.0,12.01
英伟达,NVDA,1999-02-24,25.25,23.75,26.25,23.19,15319200,0.0,13.91,7.95,1.75,53.3
英伟达,NVDA,1999-02-25,24.75,23.0,25.5,22.62,3728400,0.0,12.13,-3.16,-0.75,12.97
英伟达,NVDA,1999-02-26,23.25,21.94,24.0,21.75,4315200,0.0,9.78,-4.61,-1.06,15.01
英伟达,NVDA,1999-03-01,22.5,22.06,23.0,21.0,2304000,0.0,9.12,0.55,0.12,8.02
英伟达,NVDA,1999-03-02,22.0,21.87,22.12,21.5,1381200,0.0,2.81,-0.86,-0.19,4.81
