股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
奥莱利,ORLY,1993-04-23,19.5,19.25,19.5,18.75,16484800,0.0,0.0,0.0,0.0,27.92
奥莱利,ORLY,1993-04-26,19.0,18.75,19.25,18.75,3334400,0.0,2.6,-2.6,-0.5,5.65
奥莱利,ORLY,1993-04-27,19.0,18.5,19.0,18.25,2046400,0.0,4.0,-1.33,-0.25,3.47
奥莱利,ORLY,1993-04-28,18.75,18.25,18.75,18.25,897600,0.0,2.7,-1.35,-0.25,1.52
奥莱利,ORLY,1993-04-29,18.25,18.5,18.75,18.25,844800,0.0,2.74,1.37,0.25,1.43
奥莱利,ORLY,1993-04-30,18.75,18.75,19.25,18.5,1180800,0.0,4.05,1.35,0.25,2.0
奥莱利,ORLY,1993-05-03,19.25,18.75,19.25,18.5,623200,0.0,4.0,0.0,0.0,1.06
奥莱利,ORLY,1993-05-04,19.0,19.0,19.25,18.5,555200,0.0,4.0,1.33,0.25,0.94
奥莱利,ORLY,1993-05-05,19.0,19.5,19.5,19.0,900800,0.0,2.63,2.63,0.5,1.53
奥莱利,ORLY,1993-05-06,19.5,19.63,19.75,19.0,635200,0.0,3.85,0.67,0.13,1.08
奥莱利,ORLY,1993-05-07,19.25,19.25,19.75,19.25,170400,0.0,2.55,-1.94,-0.38,0.29
奥莱利,ORLY,1993-05-10,19.75,19.5,20.0,19.25,438400,0.0,3.9,1.3,0.25,0.74
奥莱利,ORLY,1993-05-11,19.5,19.75,20.25,19.5,312800,0.0,3.85,1.28,0.25,0.53
奥莱利,ORLY,1993-05-12,20.0,20.25,20.25,19.5,907200,0.0,3.8,2.53,0.5,1.54
奥莱利,ORLY,1993-05-13,20.25,20.75,20.75,19.75,608000,0.0,4.94,2.47,0.5,1.03
奥莱利,ORLY,1993-05-14,20.75,21.88,22.25,20.25,774400,0.0,9.64,5.45,1.13,1.31
奥莱利,ORLY,1993-05-17,22.25,21.5,22.25,21.0,349600,0.0,5.71,-1.74,-0.38,0.59
奥莱利,ORLY,1993-05-18,21.0,21.25,21.5,20.75,555200,0.0,3.49,-1.16,-0.25,0.94
奥莱利,ORLY,1993-05-19,21.25,20.87,21.25,20.5,408800,0.0,3.53,-1.79,-0.38,0.69
奥莱利,ORLY,1993-05-20,21.0,20.5,21.0,20.5,428000,0.0,2.4,-1.77,-0.37,0.72
奥莱利,ORLY,1993-05-21,20.5,20.75,21.0,20.5,144000,0.0,2.44,1.22,0.25,0.24
奥莱利,ORLY,1993-05-24,21.0,20.5,21.0,20.5,16800,0.0,2.41,-1.2,-0.25,0.03
奥莱利,ORLY,1993-05-25,20.5,20.75,21.0,20.5,62400,0.0,2.44,1.22,0.25,0.11
奥莱利,ORLY,1993-05-26,21.0,20.5,21.0,20.5,206400,0.0,2.41,-1.2,-0.25,0.35
奥莱利,ORLY,1993-05-27,20.75,21.0,21.0,20.5,196800,0.0,2.44,2.44,0.5,0.33
奥莱利,ORLY,1993-05-28,21.0,21.25,21.25,20.5,175200,0.0,3.57,1.19,0.25,0.3
奥莱利,ORLY,1993-06-01,21.25,21.25,22.0,21.25,525600,0.0,3.53,0.0,0.0,0.89
奥莱利,ORLY,1993-06-02,21.75,22.25,22.25,21.25,302400,0.0,4.71,4.71,1.0,0.51
奥莱利,ORLY,1993-06-03,22.5,22.5,22.5,22.0,341600,0.0,2.25,1.12,0.25,0.58
奥莱利,ORLY,1993-06-04,22.5,22.0,22.5,22.0,86400,0.0,2.22,-2.22,-0.5,0.15
奥莱利,ORLY,1993-06-07,22.5,22.5,22.5,22.0,288000,0.0,2.27,2.27,0.5,0.49
奥莱利,ORLY,1993-06-08,22.5,22.5,22.5,22.0,616800,0.0,2.22,0.0,0.0,1.04
奥莱利,ORLY,1993-06-09,22.0,22.5,22.5,22.0,96800,0.0,2.22,0.0,0.0,0.16
奥莱利,ORLY,1993-06-10,22.25,22.75,23.25,22.25,1295200,0.0,4.44,1.11,0.25,2.19
奥莱利,ORLY,1993-06-11,23.0,23.0,23.25,22.75,213600,0.0,2.2,1.1,0.25,0.36
奥莱利,ORLY,1993-06-14,23.25,22.75,23.25,22.75,80800,0.0,2.17,-1.09,-0.25,0.14
奥莱利,ORLY,1993-06-15,23.25,22.5,23.25,22.0,663200,0.0,5.49,-1.1,-0.25,1.12
奥莱利,ORLY,1993-06-16,22.0,22.0,22.5,22.0,353600,0.0,2.22,-2.22,-0.5,0.6
奥莱利,ORLY,1993-06-17,22.0,22.0,22.5,22.0,135200,0.0,2.27,0.0,0.0,0.23
奥莱利,ORLY,1993-06-18,22.5,23.0,23.25,22.0,132800,0.0,5.68,4.55,1.0,0.22
奥莱利,ORLY,1993-06-21,22.75,23.12,23.5,22.75,365600,0.0,3.26,0.52,0.12,0.62
奥莱利,ORLY,1993-06-22,23.5,23.5,23.5,23.0,92000,0.0,2.16,1.64,0.38,0.16
奥莱利,ORLY,1993-06-23,23.5,23.5,23.5,23.0,132000,0.0,2.13,0.0,0.0,0.22
奥莱利,ORLY,1993-06-24,23.5,23.5,23.5,23.0,39200,0.0,2.13,0.0,0.0,0.07
奥莱利,ORLY,1993-06-25,23.5,23.5,23.5,22.75,167200,0.0,3.19,0.0,0.0,0.28
奥莱利,ORLY,1993-06-28,23.5,23.75,23.75,22.75,244800,0.0,4.26,1.06,0.25,0.41
奥莱利,ORLY,1993-06-29,23.25,24.25,25.0,23.25,301600,0.0,7.37,2.11,0.5,0.51
奥莱利,ORLY,1993-06-30,24.75,24.0,24.75,23.5,194400,0.0,5.15,-1.03,-0.25,0.33
奥莱利,ORLY,1993-07-01,24.0,23.25,24.0,23.25,49600,0.0,3.13,-3.13,-0.75,0.08
奥莱利,ORLY,1993-07-02,23.25,23.5,23.75,23.0,37600,0.0,3.23,1.08,0.25,0.06
奥莱利,ORLY,1993-07-06,23.5,23.5,23.5,23.5,18400,0.0,0.0,0.0,0.0,0.03
奥莱利,ORLY,1993-07-07,23.5,23.5,23.5,23.0,44000,0.0,2.13,0.0,0.0,0.07
奥莱利,ORLY,1993-07-08,23.5,23.5,24.0,23.5,62400,0.0,2.13,0.0,0.0,0.11
奥莱利,ORLY,1993-07-09,24.0,24.0,24.0,23.5,6400,0.0,2.13,2.13,0.5,0.01
奥莱利,ORLY,1993-07-12,24.0,24.0,24.0,23.5,53600,0.0,2.08,0.0,0.0,0.09
奥莱利,ORLY,1993-07-13,23.5,23.75,24.0,23.5,44800,0.0,2.08,-1.04,-0.25,0.08
奥莱利,ORLY,1993-07-14,24.0,24.0,24.0,24.0,4000,0.0,0.0,1.05,0.25,0.01
奥莱利,ORLY,1993-07-15,24.0,23.5,24.0,23.5,4800,0.0,2.08,-2.08,-0.5,0.01
奥莱利,ORLY,1993-07-16,24.0,23.5,24.0,23.5,30400,0.0,2.13,0.0,0.0,0.05
奥莱利,ORLY,1993-07-19,23.5,23.25,23.75,23.25,161600,0.0,2.13,-1.06,-0.25,0.27
奥莱利,ORLY,1993-07-20,23.75,23.25,23.75,23.25,148800,0.0,2.15,0.0,0.0,0.25
奥莱利,ORLY,1993-07-21,23.25,24.0,24.0,23.25,13600,0.0,3.23,3.23,0.75,0.02
