股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
帕卡,PCAR,1986-07-09,56.75,56.5,57.25,56.5,318000,0.0,0.0,0.0,0.0,0.06
帕卡,PCAR,1986-07-10,56.5,57.0,57.0,56.5,494100,0.0,0.88,0.88,0.5,0.09
帕卡,PCAR,1986-07-11,56.5,56.5,57.0,56.5,194400,0.0,0.88,-0.88,-0.5,0.04
帕卡,PCAR,1986-07-14,56.5,56.5,56.75,56.25,656100,0.0,0.88,0.0,0.0,0.13
帕卡,PCAR,1986-07-15,56.25,56.75,56.75,56.0,2565600,0.0,1.33,0.44,0.25,0.49
帕卡,PCAR,1986-07-16,56.75,56.25,56.75,56.25,451500,0.0,0.88,-0.88,-0.5,0.09
帕卡,PCAR,1986-07-17,56.25,56.25,56.5,56.25,394800,0.0,0.44,0.0,0.0,0.08
帕卡,PCAR,1986-07-18,56.25,56.5,56.75,56.25,658200,0.0,0.89,0.44,0.25,0.13
帕卡,PCAR,1986-07-21,56.5,56.5,56.75,56.5,208500,0.0,0.44,0.0,0.0,0.04
帕卡,PCAR,1986-07-22,56.5,55.25,56.75,55.25,1350600,0.0,2.65,-2.21,-1.25,0.26
帕卡,PCAR,1986-07-23,55.75,54.25,55.75,54.25,1168500,0.0,2.71,-1.81,-1.0,0.22
帕卡,PCAR,1986-07-24,54.25,51.25,54.38,51.25,2189100,0.0,5.77,-5.53,-3.0,0.42
帕卡,PCAR,1986-07-25,51.25,49.0,51.75,48.75,1247400,0.0,5.85,-4.39,-2.25,0.24
帕卡,PCAR,1986-07-28,49.0,49.0,49.0,48.5,399000,0.0,1.02,0.0,0.0,0.08
帕卡,PCAR,1986-07-29,48.75,48.0,48.75,47.88,1101600,0.0,1.78,-2.04,-1.0,0.21
帕卡,PCAR,1986-07-30,48.0,47.25,48.25,47.0,868800,0.0,2.6,-1.56,-0.75,0.17
帕卡,PCAR,1986-07-31,47.25,47.0,47.25,46.5,411000,0.0,1.59,-0.53,-0.25,0.08
帕卡,PCAR,1986-08-01,46.5,46.5,47.0,46.5,595400,0.0,1.06,-1.06,-0.5,0.11
帕卡,PCAR,1986-08-04,46.5,44.25,46.5,43.75,2300400,0.0,5.91,-4.84,-2.25,0.44
帕卡,PCAR,1986-08-05,43.75,42.5,44.25,42.5,411000,0.0,3.95,-3.95,-1.75,0.08
帕卡,PCAR,1986-08-06,42.5,42.75,42.75,42.5,172200,0.0,0.59,0.59,0.25,0.03
帕卡,PCAR,1986-08-07,42.5,43.0,43.0,42.5,93200,0.0,1.17,0.58,0.25,0.02
帕卡,PCAR,1986-08-08,42.5,42.5,42.5,42.5,137700,0.0,0.0,-1.16,-0.5,0.03
帕卡,PCAR,1986-08-11,42.75,42.5,42.75,42.5,91200,0.0,0.59,0.0,0.0,0.02
帕卡,PCAR,1986-08-12,42.75,43.0,43.0,42.5,180300,0.0,1.18,1.18,0.5,0.03
帕卡,PCAR,1986-08-13,43.0,44.5,44.75,43.0,885000,0.0,4.07,3.49,1.5,0.17
帕卡,PCAR,1986-08-14,44.75,45.75,45.75,44.75,887000,0.0,2.25,2.81,1.25,0.17
帕卡,PCAR,1986-08-15,46.0,46.0,46.0,45.5,153900,0.0,1.09,0.55,0.25,0.03
帕卡,PCAR,1986-08-18,46.0,46.25,46.25,46.0,52600,0.0,0.54,0.54,0.25,0.01
帕卡,PCAR,1986-08-19,45.5,46.13,46.38,45.5,694500,0.0,1.9,-0.26,-0.12,0.13
帕卡,PCAR,1986-08-20,46.0,46.0,46.5,46.0,216600,0.0,1.08,-0.28,-0.13,0.04
帕卡,PCAR,1986-08-21,46.5,46.75,46.75,46.25,78900,0.0,1.09,1.63,0.75,0.02
帕卡,PCAR,1986-08-22,46.75,46.5,47.0,46.25,344200,0.0,1.6,-0.53,-0.25,0.07
帕卡,PCAR,1986-08-25,47.0,46.75,47.0,46.5,239000,0.0,1.08,0.54,0.25,0.05
帕卡,PCAR,1986-08-26,46.75,46.75,46.75,46.5,1859000,0.0,0.53,0.0,0.0,0.35
帕卡,PCAR,1986-08-27,46.5,46.5,46.75,46.5,625800,0.0,0.53,-0.53,-0.25,0.12
帕卡,PCAR,1986-08-28,46.75,46.75,46.75,46.25,162000,0.0,1.08,0.54,0.25,0.03
帕卡,PCAR,1986-08-29,46.25,45.5,46.75,45.5,463800,0.0,2.67,-2.67,-1.25,0.09
帕卡,PCAR,1986-09-02,46.0,43.75,46.0,43.5,986100,0.0,5.49,-3.85,-1.75,0.19
帕卡,PCAR,1986-09-03,43.5,44.0,44.5,43.5,645900,0.0,2.29,0.57,0.25,0.12
帕卡,PCAR,1986-09-04,43.75,44.0,44.25,43.75,921300,0.0,1.14,0.0,0.0,0.18
帕卡,PCAR,1986-09-05,44.0,44.25,44.25,44.0,158000,0.0,0.57,0.57,0.25,0.03
帕卡,PCAR,1986-09-08,44.0,44.5,44.5,44.0,133600,0.0,1.13,0.56,0.25,0.03
帕卡,PCAR,1986-09-09,44.25,44.5,44.75,44.25,212700,0.0,1.12,0.0,0.0,0.04
帕卡,PCAR,1986-09-10,44.75,45.0,45.0,44.5,131700,0.0,1.12,1.12,0.5,0.03
帕卡,PCAR,1986-09-11,45.0,44.25,45.0,44.25,390900,0.0,1.67,-1.67,-0.75,0.07
帕卡,PCAR,1986-09-12,44.75,43.5,44.75,43.5,463800,0.0,2.82,-1.69,-0.75,0.09
帕卡,PCAR,1986-09-15,43.5,42.25,44.0,42.25,670200,0.0,4.02,-2.87,-1.25,0.13
帕卡,PCAR,1986-09-16,42.25,41.5,42.25,41.0,378600,0.0,2.96,-1.78,-0.75,0.07
帕卡,PCAR,1986-09-17,41.25,41.25,41.75,41.25,471900,0.0,1.2,-0.6,-0.25,0.09
帕卡,PCAR,1986-09-18,41.25,41.25,41.75,41.25,135600,0.0,1.21,0.0,0.0,0.03
帕卡,PCAR,1986-09-19,41.25,41.75,41.75,41.0,882900,0.0,1.82,1.21,0.5,0.17
帕卡,PCAR,1986-09-22,41.25,41.75,41.75,41.25,299700,0.0,1.2,0.0,0.0,0.06
帕卡,PCAR,1986-09-23,41.5,41.75,41.75,41.5,186300,0.0,0.6,0.0,0.0,0.04
帕卡,PCAR,1986-09-24,41.75,41.5,41.75,41.5,115500,0.0,0.6,-0.6,-0.25,0.02
帕卡,PCAR,1986-09-25,41.5,41.88,41.88,41.5,336200,0.0,0.92,0.92,0.38,0.06
帕卡,PCAR,1986-09-26,42.0,41.75,42.0,41.75,380700,0.0,0.6,-0.31,-0.13,0.07
帕卡,PCAR,1986-09-29,41.75,41.5,42.0,41.5,1142100,0.0,1.2,-0.6,-0.25,0.22
帕卡,PCAR,1986-09-30,41.5,41.5,42.0,41.5,97200,0.0,1.2,0.0,0.0,0.02
帕卡,PCAR,1986-10-01,42.0,42.25,42.25,41.75,334200,0.0,1.2,1.81,0.75,0.06
帕卡,PCAR,1986-10-02,42.25,41.75,42.25,41.75,176100,0.0,1.18,-1.18,-0.5,0.03
帕卡,PCAR,1986-10-03,42.25,42.0,42.5,41.75,269400,0.0,1.8,0.6,0.25,0.05
帕卡,PCAR,1986-10-06,42.5,42.0,42.5,42.0,186300,0.0,1.19,0.0,0.0,0.04
帕卡,PCAR,1986-10-07,42.0,42.0,42.25,42.0,281400,0.0,0.6,0.0,0.0,0.05
帕卡,PCAR,1986-10-08,42.0,42.25,42.25,42.0,374700,0.0,0.6,0.6,0.25,0.07
帕卡,PCAR,1986-10-09,42.25,42.25,42.75,42.25,285600,0.0,1.18,0.0,0.0,0.05
帕卡,PCAR,1986-10-10,42.25,42.5,42.75,42.25,119400,0.0,1.18,0.59,0.25,0.02
帕卡,PCAR,1986-10-13,43.0,42.5,43.0,42.5,56700,0.0,1.18,0.0,0.0,0.01
帕卡,PCAR,1986-10-14,43.0,43.75,43.75,43.0,528600,0.0,1.76,2.94,1.25,0.1
帕卡,PCAR,1986-10-15,43.25,44.0,44.0,43.25,441400,0.0,1.71,0.57,0.25,0.08
帕卡,PCAR,1986-10-16,43.75,44.25,44.5,43.75,378600,0.0,1.7,0.57,0.25,0.07
帕卡,PCAR,1986-10-17,44.0,44.0,44.25,44.0,1022700,0.0,0.56,-0.56,-0.25,0.2
帕卡,PCAR,1986-10-20,44.0,44.25,44.25,44.0,1857000,0.0,0.57,0.57,0.25,0.35
帕卡,PCAR,1986-10-21,44.25,44.75,44.75,44.0,700600,0.0,1.69,1.13,0.5,0.13
帕卡,PCAR,1986-10-22,44.5,45.0,45.0,44.5,247000,0.0,1.12,0.56,0.25,0.05
帕卡,PCAR,1986-10-23,45.0,45.5,46.0,44.75,453600,0.0,2.78,1.11,0.5,0.09
帕卡,PCAR,1986-10-24,45.5,46.0,46.0,45.5,330000,0.0,1.1,1.1,0.5,0.06
帕卡,PCAR,1986-10-27,46.0,46.5,47.0,45.75,405000,0.0,2.72,1.09,0.5,0.08
帕卡,PCAR,1986-10-28,47.0,47.25,47.5,47.0,437400,0.0,1.08,1.61,0.75,0.08
帕卡,PCAR,1986-10-29,47.0,47.25,47.5,47.0,548700,0.0,1.06,0.0,0.0,0.1
帕卡,PCAR,1986-10-30,47.5,47.75,47.75,47.25,93200,0.0,1.06,1.06,0.5,0.02
帕卡,PCAR,1986-10-31,47.75,47.5,47.75,47.25,2065500,0.0,1.05,-0.52,-0.25,0.39
帕卡,PCAR,1986-11-03,47.5,47.5,47.5,47.25,95100,0.0,0.53,0.0,0.0,0.02
帕卡,PCAR,1986-11-04,47.25,47.5,47.75,47.25,376600,0.0,1.05,0.0,0.0,0.07
帕卡,PCAR,1986-11-05,47.75,48.75,49.25,47.75,1812300,0.0,3.16,2.63,1.25,0.35
帕卡,PCAR,1986-11-06,49.5,49.25,49.5,48.75,101200,0.0,1.54,1.03,0.5,0.02
帕卡,PCAR,1986-11-07,48.75,48.75,49.25,48.75,249000,0.0,1.02,-1.02,-0.5,0.05
帕卡,PCAR,1986-11-10,48.75,49.0,49.0,48.75,366600,0.0,0.51,0.51,0.25,0.07
帕卡,PCAR,1986-11-11,49.0,49.0,49.0,48.75,162000,0.0,0.51,0.0,0.0,0.03
帕卡,PCAR,1986-11-12,48.75,47.75,49.25,47.5,2369200,0.0,3.57,-2.55,-1.25,0.45
帕卡,PCAR,1986-11-13,47.5,47.5,47.88,47.5,1575400,0.0,0.8,-0.52,-0.25,0.3
帕卡,PCAR,1986-11-14,47.5,47.63,47.88,47.5,303800,0.0,0.8,0.27,0.13,0.06
帕卡,PCAR,1986-11-17,47.5,47.88,47.88,47.5,311800,0.0,0.8,0.52,0.25,0.06
帕卡,PCAR,1986-11-18,47.5,47.5,48.0,47.5,862600,0.0,1.04,-0.79,-0.38,0.16
帕卡,PCAR,1986-11-19,48.0,47.38,48.0,47.0,961800,0.0,2.11,-0.25,-0.12,0.18
帕卡,PCAR,1986-11-20,47.5,46.75,47.5,46.63,202500,0.0,1.84,-1.33,-0.63,0.04
帕卡,PCAR,1986-11-21,46.75,47.0,47.25,46.75,427200,0.0,1.07,0.53,0.25,0.08
帕卡,PCAR,1986-11-24,47.25,46.5,47.25,46.25,405000,0.0,2.13,-1.06,-0.5,0.08
帕卡,PCAR,1986-11-25,46.25,47.0,47.0,46.25,480000,0.0,1.61,1.08,0.5,0.09
帕卡,PCAR,1986-11-26,47.25,47.75,48.25,47.25,463800,0.0,2.13,1.6,0.75,0.09
帕卡,PCAR,1986-11-28,48.25,48.63,49.0,47.75,212700,0.0,2.62,1.84,0.88,0.04
帕卡,PCAR,1986-12-01,49.0,49.0,49.0,48.38,166000,0.0,1.27,0.76,0.37,0.03
帕卡,PCAR,1986-12-02,49.0,49.25,49.5,49.0,1111800,0.0,1.02,0.51,0.25,0.21
帕卡,PCAR,1986-12-03,49.0,49.75,49.75,49.0,184200,0.0,1.52,1.02,0.5,0.04
帕卡,PCAR,1986-12-04,49.75,49.75,49.75,49.25,115500,0.0,1.01,0.0,0.0,0.02
帕卡,PCAR,1986-12-05,49.25,49.5,50.0,49.25,378600,0.0,1.51,-0.5,-0.25,0.07
帕卡,PCAR,1986-12-08,49.5,49.5,50.0,49.25,401000,0.0,1.52,0.0,0.0,0.08
帕卡,PCAR,1986-12-09,49.5,49.25,50.0,49.25,239000,0.0,1.52,-0.51,-0.25,0.05
帕卡,PCAR,1986-12-10,49.25,49.75,49.75,49.25,307800,0.0,1.02,1.02,0.5,0.06
帕卡,PCAR,1986-12-11,49.25,49.5,49.75,49.25,216600,0.0,1.01,-0.5,-0.25,0.04
