股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
高通,QCOM,1991-12-16,16.38,17.61,18.58,16.38,143667200,0.0,0.0,0.0,0.0,12.87
高通,QCOM,1991-12-17,18.09,17.36,18.09,17.12,16176000,0.0,5.51,-1.42,-0.25,1.45
高通,QCOM,1991-12-18,17.36,17.85,17.85,17.36,10899200,0.0,2.82,2.82,0.49,0.98
高通,QCOM,1991-12-19,17.85,17.12,17.85,17.12,7299200,0.0,4.09,-4.09,-0.73,0.65
高通,QCOM,1991-12-20,17.12,17.61,17.85,17.12,5235200,0.0,4.26,2.86,0.49,0.47
高通,QCOM,1991-12-23,17.85,17.48,17.85,17.12,7894400,0.0,4.15,-0.74,-0.13,0.71
高通,QCOM,1991-12-24,17.24,18.83,18.83,17.12,7129600,0.0,9.78,7.72,1.35,0.64
高通,QCOM,1991-12-26,18.34,21.52,21.52,18.34,8672000,0.0,16.89,14.29,2.69,0.78
高通,QCOM,1991-12-27,21.76,20.78,21.76,20.29,6396800,0.0,6.83,-3.44,-0.74,0.57
高通,QCOM,1991-12-30,20.78,21.27,21.27,20.29,6627200,0.0,4.72,2.36,0.49,0.59
高通,QCOM,1991-12-31,21.27,24.21,24.45,21.03,12572800,0.0,16.08,13.82,2.94,1.13
高通,QCOM,1992-01-02,24.21,27.02,27.14,23.96,22121600,0.0,13.14,11.61,2.81,1.98
高通,QCOM,1992-01-03,27.14,27.39,27.88,26.41,6092800,0.0,5.44,1.37,0.37,0.55
高通,QCOM,1992-01-06,28.12,25.67,28.12,23.72,15987200,0.0,16.06,-6.28,-1.72,1.43
高通,QCOM,1992-01-07,25.43,24.94,26.16,24.7,4940800,0.0,5.69,-2.84,-0.73,0.44
高通,QCOM,1992-01-08,25.19,22.01,25.19,21.27,36828800,0.0,15.72,-11.75,-2.93,3.3
高通,QCOM,1992-01-09,22.74,24.21,24.21,22.5,20809600,0.0,7.77,10.0,2.2,1.86
高通,QCOM,1992-01-10,24.45,23.47,24.7,22.74,7961600,0.0,8.1,-3.06,-0.74,0.71
高通,QCOM,1992-01-13,23.96,25.43,26.16,23.23,8499200,0.0,12.48,8.35,1.96,0.76
高通,QCOM,1992-01-14,26.16,25.67,26.16,25.19,3628800,0.0,3.81,0.94,0.24,0.33
高通,QCOM,1992-01-15,26.16,25.92,26.65,25.43,5910400,0.0,4.75,0.97,0.25,0.53
高通,QCOM,1992-01-16,26.16,25.19,26.41,24.21,3654400,0.0,8.49,-2.82,-0.73,0.33
高通,QCOM,1992-01-17,24.7,24.7,25.43,24.7,1574400,0.0,2.9,-1.95,-0.49,0.14
高通,QCOM,1992-01-20,24.45,24.45,24.94,23.23,3350400,0.0,6.92,-1.01,-0.25,0.3
高通,QCOM,1992-01-21,24.94,23.47,24.94,22.98,3724800,0.0,8.02,-4.01,-0.98,0.33
高通,QCOM,1992-01-22,23.47,24.45,24.45,22.98,5132800,0.0,6.26,4.18,0.98,0.46
高通,QCOM,1992-01-23,24.94,22.98,24.94,22.98,3248000,0.0,8.02,-6.01,-1.47,0.29
高通,QCOM,1992-01-24,22.98,23.23,23.72,22.98,355200,0.0,3.22,1.09,0.25,0.03
高通,QCOM,1992-01-27,23.72,22.74,23.72,22.25,2675200,0.0,6.33,-2.11,-0.49,0.24
高通,QCOM,1992-01-28,22.74,22.01,22.74,21.52,3673600,0.0,5.36,-3.21,-0.73,0.33
高通,QCOM,1992-01-29,22.25,22.5,22.98,21.52,1702400,0.0,6.63,2.23,0.49,0.15
高通,QCOM,1992-01-30,22.25,23.23,23.96,22.25,2505600,0.0,7.6,3.24,0.73,0.22
高通,QCOM,1992-01-31,23.23,23.47,23.47,22.98,1702400,0.0,2.11,1.03,0.24,0.15
高通,QCOM,1992-02-03,23.47,24.09,25.19,23.23,2611200,0.0,8.35,2.64,0.62,0.23
高通,QCOM,1992-02-04,24.21,24.45,25.19,23.72,4233600,0.0,6.1,1.49,0.36,0.38
高通,QCOM,1992-02-05,24.21,24.21,24.7,24.21,3280000,0.0,2.0,-0.98,-0.24,0.29
高通,QCOM,1992-02-06,24.94,23.72,24.94,23.72,7232000,0.0,5.04,-2.02,-0.49,0.65
高通,QCOM,1992-02-07,24.45,22.98,24.45,21.27,8979200,0.0,13.41,-3.12,-0.74,0.8
高通,QCOM,1992-02-10,22.25,22.01,22.98,21.52,4940800,0.0,6.35,-4.22,-0.97,0.44
高通,QCOM,1992-02-11,22.25,22.25,22.98,21.76,1667200,0.0,5.54,1.09,0.24,0.15
高通,QCOM,1992-02-12,22.25,23.47,24.21,21.76,3603200,0.0,11.01,5.48,1.22,0.32
高通,QCOM,1992-02-13,23.96,22.25,23.96,22.25,1398400,0.0,7.29,-5.2,-1.22,0.13
高通,QCOM,1992-02-14,22.74,22.74,22.74,22.01,2825600,0.0,3.28,2.2,0.49,0.25
高通,QCOM,1992-02-18,22.74,22.25,22.74,21.76,1078400,0.0,4.31,-2.15,-0.49,0.1
高通,QCOM,1992-02-19,21.52,21.52,22.25,21.27,1408000,0.0,4.4,-3.28,-0.73,0.13
高通,QCOM,1992-02-20,21.52,22.74,22.74,21.52,5705600,0.0,5.67,5.67,1.22,0.51
高通,QCOM,1992-02-21,22.01,20.54,22.74,20.54,3836800,0.0,9.67,-9.67,-2.2,0.34
高通,QCOM,1992-02-24,20.54,19.19,21.27,18.09,12384000,0.0,15.48,-6.57,-1.35,1.11
高通,QCOM,1992-02-25,19.81,19.56,20.29,18.83,3513600,0.0,7.61,1.93,0.37,0.31
高通,QCOM,1992-02-26,20.54,20.29,20.54,19.56,3200000,0.0,5.01,3.73,0.73,0.29
高通,QCOM,1992-02-27,20.29,19.81,20.29,19.07,1209600,0.0,6.01,-2.37,-0.48,0.11
高通,QCOM,1992-02-28,20.05,20.05,20.29,19.32,3011200,0.0,4.9,1.21,0.24,0.27
高通,QCOM,1992-03-02,20.05,20.05,20.29,19.32,1257600,0.0,4.84,0.0,0.0,0.11
高通,QCOM,1992-03-03,20.29,19.32,20.78,19.32,4022400,0.0,7.28,-3.64,-0.73,0.36
高通,QCOM,1992-03-04,19.56,19.07,19.56,19.07,5580800,0.0,2.54,-1.29,-0.25,0.5
高通,QCOM,1992-03-05,19.32,18.58,19.32,18.34,1920000,0.0,5.14,-2.57,-0.49,0.17
高通,QCOM,1992-03-06,19.07,18.09,19.07,17.12,6329600,0.0,10.5,-2.64,-0.49,0.57
高通,QCOM,1992-03-09,18.34,18.09,18.34,17.12,2809600,0.0,6.74,0.0,0.0,0.25
高通,QCOM,1992-03-10,18.34,19.32,19.32,18.09,1900800,0.0,6.8,6.8,1.23,0.17
高通,QCOM,1992-03-11,19.32,18.09,19.56,17.85,5577600,0.0,8.85,-6.37,-1.23,0.5
高通,QCOM,1992-03-12,18.34,18.83,19.32,17.85,1644800,0.0,8.13,4.09,0.74,0.15
高通,QCOM,1992-03-13,18.58,18.83,19.56,18.34,4976000,0.0,6.48,0.0,0.0,0.45
高通,QCOM,1992-03-16,18.83,18.09,18.83,18.09,739200,0.0,3.93,-3.93,-0.74,0.07
高通,QCOM,1992-03-17,18.34,18.34,19.07,18.34,1865600,0.0,4.04,1.38,0.25,0.17
高通,QCOM,1992-03-18,19.32,19.93,20.29,19.07,3753600,0.0,6.65,8.67,1.59,0.34
高通,QCOM,1992-03-19,20.05,21.27,21.27,19.56,6108800,0.0,8.58,6.72,1.34,0.55
高通,QCOM,1992-03-20,21.52,21.76,22.74,21.52,5392000,0.0,5.74,2.3,0.49,0.48
高通,QCOM,1992-03-23,22.25,21.03,22.5,20.78,5219200,0.0,7.9,-3.35,-0.73,0.47
高通,QCOM,1992-03-24,21.76,21.03,22.01,20.78,5760000,0.0,5.85,0.0,0.0,0.52
高通,QCOM,1992-03-25,21.52,21.52,21.76,21.03,3718400,0.0,3.47,2.33,0.49,0.33
高通,QCOM,1992-03-26,22.01,21.76,22.01,21.27,2089600,0.0,3.44,1.12,0.24,0.19
高通,QCOM,1992-03-27,21.27,21.03,21.76,21.03,1456000,0.0,3.35,-3.35,-0.73,0.13
高通,QCOM,1992-03-30,21.03,21.03,21.76,20.29,2339200,0.0,6.99,0.0,0.0,0.21
高通,QCOM,1992-03-31,20.29,22.5,22.74,19.32,5353600,0.0,16.26,6.99,1.47,0.48
高通,QCOM,1992-04-01,21.03,21.4,22.5,21.03,3868800,0.0,6.53,-4.89,-1.1,0.35
高通,QCOM,1992-04-02,21.76,20.29,21.76,19.07,2947200,0.0,12.57,-5.19,-1.11,0.26
高通,QCOM,1992-04-03,19.81,20.29,21.52,19.81,3414400,0.0,8.43,0.0,0.0,0.31
高通,QCOM,1992-04-06,20.54,20.66,20.78,19.81,2742400,0.0,4.78,1.82,0.37,0.25
高通,QCOM,1992-04-07,21.27,20.78,21.52,20.54,2579200,0.0,4.74,0.58,0.12,0.23
高通,QCOM,1992-04-08,20.29,20.78,21.52,20.29,3123200,0.0,5.92,0.0,0.0,0.28
高通,QCOM,1992-04-09,20.78,20.54,21.03,20.17,4313600,0.0,4.14,-1.15,-0.24,0.39
高通,QCOM,1992-04-10,21.03,21.03,21.03,20.54,592000,0.0,2.39,2.39,0.49,0.05
高通,QCOM,1992-04-13,21.03,21.52,21.76,20.54,2115200,0.0,5.8,2.33,0.49,0.19
高通,QCOM,1992-04-14,21.76,22.01,22.74,21.52,1955200,0.0,5.67,2.28,0.49,0.18
高通,QCOM,1992-04-15,22.98,22.74,23.23,21.76,6112000,0.0,6.68,3.32,0.73,0.55
高通,QCOM,1992-04-16,23.23,22.37,23.47,22.37,2646400,0.0,4.84,-1.63,-0.37,0.24
高通,QCOM,1992-04-20,22.01,22.5,23.96,22.01,3318400,0.0,8.72,0.58,0.13,0.3
高通,QCOM,1992-04-21,23.47,22.74,23.47,22.5,1952000,0.0,4.31,1.07,0.24,0.17
高通,QCOM,1992-04-22,23.23,23.47,23.47,22.5,2198400,0.0,4.27,3.21,0.73,0.2
高通,QCOM,1992-04-23,22.98,22.74,23.47,22.01,1555200,0.0,6.22,-3.11,-0.73,0.14
高通,QCOM,1992-04-24,22.37,22.25,22.74,22.25,2112000,0.0,2.15,-2.15,-0.49,0.19
高通,QCOM,1992-04-27,22.74,22.01,22.74,22.01,1984000,0.0,3.28,-1.08,-0.24,0.18
高通,QCOM,1992-04-28,22.74,20.78,22.74,20.78,1923200,0.0,8.91,-5.59,-1.23,0.17
高通,QCOM,1992-04-29,21.27,21.27,21.27,20.78,563200,0.0,2.36,2.36,0.49,0.05
高通,QCOM,1992-04-30,21.27,20.54,21.27,20.05,3433600,0.0,5.74,-3.43,-0.73,0.31
高通,QCOM,1992-05-01,20.78,20.78,20.78,20.29,1120000,0.0,2.39,1.17,0.24,0.1
高通,QCOM,1992-05-04,20.78,20.78,21.27,20.29,3014400,0.0,4.72,0.0,0.0,0.27
高通,QCOM,1992-05-05,21.27,21.03,21.52,20.78,300800,0.0,3.56,1.2,0.25,0.03
高通,QCOM,1992-05-06,21.4,21.03,21.52,20.78,1779200,0.0,3.52,0.0,0.0,0.16
高通,QCOM,1992-05-07,21.52,20.78,21.52,20.78,412800,0.0,3.52,-1.19,-0.25,0.04
高通,QCOM,1992-05-08,20.78,20.78,21.52,20.78,179200,0.0,3.56,0.0,0.0,0.02
高通,QCOM,1992-05-11,21.52,20.78,21.52,20.29,1318400,0.0,5.92,0.0,0.0,0.12
高通,QCOM,1992-05-12,20.78,19.56,20.78,19.56,1654400,0.0,5.87,-5.87,-1.22,0.15
高通,QCOM,1992-05-13,20.05,18.83,20.05,18.58,3331200,0.0,7.52,-3.73,-0.73,0.3
高通,QCOM,1992-05-14,19.32,18.83,19.32,18.34,6102400,0.0,5.2,0.0,0.0,0.55
高通,QCOM,1992-05-15,18.58,18.34,18.83,18.09,1612800,0.0,3.93,-2.6,-0.49,0.14
高通,QCOM,1992-05-18,18.83,18.22,18.83,18.09,2275200,0.0,4.03,-0.65,-0.12,0.2
高通,QCOM,1992-05-19,18.58,18.09,18.58,18.09,1500800,0.0,2.69,-0.71,-0.13,0.13
高通,QCOM,1992-05-20,18.58,17.36,18.58,17.12,7673600,0.0,8.07,-4.04,-0.73,0.69
高通,QCOM,1992-05-21,17.61,17.61,18.09,16.87,4457600,0.0,7.03,1.44,0.25,0.4
高通,QCOM,1992-05-22,17.61,17.85,18.09,17.12,1846400,0.0,5.51,1.36,0.24,0.17
高通,QCOM,1992-05-26,18.09,18.46,18.46,17.36,3257600,0.0,6.16,3.42,0.61,0.29
高通,QCOM,1992-05-27,18.58,17.73,18.58,17.61,4080000,0.0,5.25,-3.95,-0.73,0.37
高通,QCOM,1992-05-28,17.61,17.61,18.09,17.61,630400,0.0,2.71,-0.68,-0.12,0.06
高通,QCOM,1992-05-29,18.09,17.97,18.09,17.61,1504000,0.0,2.73,2.04,0.36,0.13
高通,QCOM,1992-06-01,18.09,18.58,18.83,17.85,2649600,0.0,5.45,3.39,0.61,0.24
高通,QCOM,1992-06-02,18.83,18.09,19.32,18.09,2208000,0.0,6.62,-2.64,-0.49,0.2
高通,QCOM,1992-06-03,18.83,19.07,19.07,18.34,3337600,0.0,4.04,5.42,0.98,0.3
高通,QCOM,1992-06-04,19.56,19.81,20.29,18.83,8780800,0.0,7.66,3.88,0.74,0.79
高通,QCOM,1992-06-05,19.81,19.81,20.05,19.32,1609600,0.0,3.69,0.0,0.0,0.14
高通,QCOM,1992-06-08,19.32,18.58,19.81,18.34,2060800,0.0,7.42,-6.21,-1.23,0.18
高通,QCOM,1992-06-09,18.58,17.85,18.58,17.61,2982400,0.0,5.22,-3.93,-0.73,0.27
高通,QCOM,1992-06-10,17.61,17.36,18.58,17.12,5728000,0.0,8.18,-2.75,-0.49,0.51
高通,QCOM,1992-06-11,18.09,18.34,18.58,17.36,11107200,0.0,7.03,5.65,0.98,1.0
高通,QCOM,1992-06-12,18.83,20.05,20.05,18.22,4480000,0.0,9.98,9.32,1.71,0.4
高通,QCOM,1992-06-15,19.32,20.05,20.29,19.19,3379200,0.0,5.49,0.0,0.0,0.3
高通,QCOM,1992-06-16,19.81,19.07,19.81,19.07,857600,0.0,3.69,-4.89,-0.98,0.08
高通,QCOM,1992-06-17,19.07,17.85,19.07,17.36,2147200,0.0,8.97,-6.4,-1.22,0.19
高通,QCOM,1992-06-18,17.85,17.48,18.34,17.36,4064000,0.0,5.49,-2.07,-0.37,0.36
高通,QCOM,1992-06-19,17.85,17.61,18.09,17.36,1315200,0.0,4.18,0.74,0.13,0.12
高通,QCOM,1992-06-22,17.36,17.24,18.09,16.63,2668800,0.0,8.29,-2.1,-0.37,0.24
高通,QCOM,1992-06-23,17.36,17.61,17.61,16.87,2051200,0.0,4.29,2.15,0.37,0.18
高通,QCOM,1992-06-24,17.61,17.36,17.85,17.36,496000,0.0,2.78,-1.42,-0.25,0.04
