股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
天狼星XM,SIRI,2001-01-02,29.25,26.5,29.75,26.06,493300,0.0,0.0,0.0,0.0,1.17
天狼星XM,SIRI,2001-01-03,26.12,31.94,33.0,25.88,1293200,0.0,26.87,20.53,5.44,3.07
天狼星XM,SIRI,2001-01-04,31.0,32.56,33.75,30.88,541200,0.0,8.99,1.94,0.62,1.29
天狼星XM,SIRI,2001-01-05,32.94,30.12,33.0,29.88,1176000,0.0,9.58,-7.49,-2.44,2.79
天狼星XM,SIRI,2001-01-08,30.09,29.56,30.5,28.06,1003200,0.0,8.1,-1.86,-0.56,2.38
天狼星XM,SIRI,2001-01-09,29.5,31.44,32.62,29.38,1348300,0.0,10.96,6.36,1.88,3.2
天狼星XM,SIRI,2001-01-10,31.56,32.5,33.62,31.31,1036900,0.0,7.35,3.37,1.06,2.46
天狼星XM,SIRI,2001-01-11,32.75,34.55,35.31,32.5,1326000,0.0,8.65,6.31,2.05,3.15
天狼星XM,SIRI,2001-01-12,34.5,31.88,34.62,31.06,4012300,0.0,10.3,-7.73,-2.67,9.53
天狼星XM,SIRI,2001-01-16,30.12,31.56,33.38,30.12,2584200,0.0,10.23,-1.0,-0.32,6.14
天狼星XM,SIRI,2001-01-17,32.0,34.88,35.0,31.41,1720700,0.0,11.38,10.52,3.32,4.09
天狼星XM,SIRI,2001-01-18,34.88,34.12,35.19,32.94,497300,0.0,6.45,-2.18,-0.76,1.18
天狼星XM,SIRI,2001-01-19,34.78,35.0,35.5,32.5,431600,0.0,8.79,2.58,0.88,1.02
天狼星XM,SIRI,2001-01-22,35.12,33.88,35.12,32.69,474900,0.0,6.94,-3.2,-1.12,1.13
天狼星XM,SIRI,2001-01-23,34.31,34.5,35.25,34.06,971800,0.0,3.51,1.83,0.62,2.31
天狼星XM,SIRI,2001-01-24,34.75,33.19,35.44,32.62,536800,0.0,8.17,-3.8,-1.31,1.27
天狼星XM,SIRI,2001-01-25,33.75,32.44,34.0,31.69,537000,0.0,6.96,-2.26,-0.75,1.28
天狼星XM,SIRI,2001-01-26,32.31,31.94,32.38,31.0,370300,0.0,4.25,-1.54,-0.5,0.88
天狼星XM,SIRI,2001-01-29,31.31,33.19,33.69,31.25,645900,0.0,7.64,3.91,1.25,1.53
天狼星XM,SIRI,2001-01-30,33.59,32.69,33.62,31.38,399500,0.0,6.75,-1.51,-0.5,0.95
天狼星XM,SIRI,2001-01-31,32.25,31.62,33.25,31.0,235800,0.0,6.88,-3.27,-1.07,0.56
天狼星XM,SIRI,2001-02-01,31.88,31.31,32.25,30.5,332100,0.0,5.53,-0.98,-0.31,0.79
天狼星XM,SIRI,2001-02-02,31.25,30.0,31.25,29.5,758100,0.0,5.59,-4.18,-1.31,1.8
天狼星XM,SIRI,2001-02-05,30.12,30.56,30.62,29.0,1094700,0.0,5.4,1.87,0.56,2.6
天狼星XM,SIRI,2001-02-06,29.0,30.12,30.62,27.25,1112700,0.0,11.03,-1.44,-0.44,2.64
天狼星XM,SIRI,2001-02-07,30.38,29.94,30.75,28.81,699900,0.0,6.44,-0.6,-0.18,1.66
天狼星XM,SIRI,2001-02-08,30.12,29.44,30.38,29.0,714000,0.0,4.61,-1.67,-0.5,1.7
天狼星XM,SIRI,2001-02-09,29.56,29.56,30.25,29.25,549900,0.0,3.4,0.41,0.12,1.31
天狼星XM,SIRI,2001-02-12,29.56,30.06,30.62,29.56,488800,0.0,3.59,1.69,0.5,1.16
天狼星XM,SIRI,2001-02-13,30.19,29.94,31.06,29.88,383900,0.0,3.93,-0.4,-0.12,0.91
天狼星XM,SIRI,2001-02-14,30.5,28.75,30.5,28.06,481600,0.0,8.15,-3.97,-1.19,1.14
天狼星XM,SIRI,2001-02-15,28.81,29.62,29.94,28.75,603200,0.0,4.14,3.03,0.87,1.43
天狼星XM,SIRI,2001-02-16,29.12,29.12,29.5,28.5,416300,0.0,3.38,-1.69,-0.5,0.99
天狼星XM,SIRI,2001-02-20,28.75,28.31,29.56,28.31,460500,0.0,4.29,-2.78,-0.81,1.09
天狼星XM,SIRI,2001-02-21,28.31,26.31,28.94,26.25,487300,0.0,9.5,-7.06,-2.0,1.16
天狼星XM,SIRI,2001-02-22,26.25,25.56,26.31,23.69,1970000,0.0,9.96,-2.85,-0.75,4.68
天狼星XM,SIRI,2001-02-23,21.69,23.81,23.94,21.0,3179900,0.0,11.5,-6.85,-1.75,7.55
天狼星XM,SIRI,2001-02-26,24.81,25.06,25.25,23.5,912700,0.0,7.35,5.25,1.25,2.17
天狼星XM,SIRI,2001-02-27,24.94,23.75,25.25,23.75,1369300,0.0,5.99,-5.23,-1.31,3.25
天狼星XM,SIRI,2001-02-28,23.75,23.5,24.12,22.0,931200,0.0,8.93,-1.05,-0.25,2.21
天狼星XM,SIRI,2001-03-01,23.12,24.38,24.56,22.31,750700,0.0,9.57,3.74,0.88,1.78
天狼星XM,SIRI,2001-03-02,24.38,24.38,24.94,23.62,568200,0.0,5.41,0.0,0.0,1.35
天狼星XM,SIRI,2001-03-05,24.72,24.12,25.5,23.69,278000,0.0,7.42,-1.07,-0.26,0.66
天狼星XM,SIRI,2001-03-06,24.75,24.5,25.19,24.25,262000,0.0,3.9,1.58,0.38,0.62
天狼星XM,SIRI,2001-03-07,24.73,24.75,25.5,24.0,332000,0.0,6.12,1.02,0.25,0.79
天狼星XM,SIRI,2001-03-08,25.38,23.5,26.56,23.5,1030900,0.0,12.36,-5.05,-1.25,2.45
天狼星XM,SIRI,2001-03-09,23.44,22.62,23.88,22.25,1039200,0.0,6.94,-3.74,-0.88,2.47
天狼星XM,SIRI,2001-03-12,21.81,21.75,22.25,21.38,613500,0.0,3.85,-3.85,-0.87,1.46
天狼星XM,SIRI,2001-03-13,21.75,21.0,22.0,20.62,916700,0.0,6.34,-3.45,-0.75,2.18
天狼星XM,SIRI,2001-03-14,20.38,19.44,21.0,19.25,959300,0.0,8.33,-7.43,-1.56,2.28
天狼星XM,SIRI,2001-03-15,20.19,18.5,20.5,17.75,1060000,0.0,14.15,-4.84,-0.94,2.52
天狼星XM,SIRI,2001-03-16,18.53,18.06,19.12,17.94,695700,0.0,6.38,-2.38,-0.44,1.65
天狼星XM,SIRI,2001-03-19,17.56,16.94,17.62,15.75,2120600,0.0,10.35,-6.2,-1.12,5.04
天狼星XM,SIRI,2001-03-20,17.5,16.62,18.5,16.5,539800,0.0,11.81,-1.89,-0.32,1.28
天狼星XM,SIRI,2001-03-21,16.31,14.25,16.5,14.12,1264500,0.0,14.32,-14.26,-2.37,3.0
天狼星XM,SIRI,2001-03-22,14.12,13.44,14.19,12.19,1560100,0.0,14.04,-5.68,-0.81,3.71
天狼星XM,SIRI,2001-03-23,13.52,13.38,14.12,11.94,1248500,0.0,16.22,-0.45,-0.06,2.32
天狼星XM,SIRI,2001-03-26,13.75,13.69,14.0,13.56,497800,0.0,3.29,2.32,0.31,0.93
天狼星XM,SIRI,2001-03-27,13.56,13.75,13.94,13.31,628500,0.0,4.6,0.44,0.06,1.17
天狼星XM,SIRI,2001-03-28,13.72,13.5,13.75,13.38,423900,0.0,2.69,-1.82,-0.25,0.79
天狼星XM,SIRI,2001-03-29,13.38,12.56,13.81,12.44,308900,0.0,10.15,-6.96,-0.94,0.57
天狼星XM,SIRI,2001-03-30,12.88,12.44,12.88,11.56,1060600,0.0,10.51,-0.96,-0.12,1.97
天狼星XM,SIRI,2001-04-02,13.81,11.75,13.88,11.25,705200,0.0,21.14,-5.55,-0.69,1.31
天狼星XM,SIRI,2001-04-03,8.38,7.56,9.0,6.56,4362500,0.0,20.77,-35.66,-4.19,8.12
天狼星XM,SIRI,2001-04-04,7.94,6.91,8.0,6.12,3085100,0.0,24.87,-8.6,-0.65,5.74
天狼星XM,SIRI,2001-04-05,7.12,7.69,7.88,7.06,2272600,0.0,11.87,11.29,0.78,4.23
天狼星XM,SIRI,2001-04-06,7.72,7.75,8.0,7.06,901500,0.0,12.22,0.78,0.06,1.68
天狼星XM,SIRI,2001-04-09,7.93,7.61,7.93,7.21,527500,0.0,9.29,-1.81,-0.14,0.98
天狼星XM,SIRI,2001-04-10,8.01,9.01,9.46,7.91,2130600,0.0,20.37,18.4,1.4,3.97
天狼星XM,SIRI,2001-04-11,9.42,9.77,10.93,9.42,1384800,0.0,16.76,8.44,0.76,2.58
天狼星XM,SIRI,2001-04-12,9.82,10.06,10.28,8.9,1015200,0.0,14.12,2.97,0.29,1.89
天狼星XM,SIRI,2001-04-16,9.76,9.01,9.96,8.57,1474000,0.0,13.82,-10.44,-1.05,2.74
天狼星XM,SIRI,2001-04-17,8.47,8.95,9.28,8.26,776500,0.0,11.32,-0.67,-0.06,1.45
天狼星XM,SIRI,2001-04-18,9.23,9.93,10.2,9.05,1074500,0.0,12.85,10.95,0.98,2.0
天狼星XM,SIRI,2001-04-19,9.86,9.8,9.98,9.62,876800,0.0,3.63,-1.31,-0.13,1.63
天狼星XM,SIRI,2001-04-20,9.97,10.1,10.14,9.79,1244600,0.0,3.57,3.06,0.3,2.32
天狼星XM,SIRI,2001-04-23,10.19,9.93,10.19,9.4,410900,0.0,7.82,-1.68,-0.17,0.76
天狼星XM,SIRI,2001-04-24,9.93,9.5,9.96,9.5,395000,0.0,4.63,-4.33,-0.43,0.74
天狼星XM,SIRI,2001-04-25,9.56,9.77,9.82,9.44,338300,0.0,4.0,2.84,0.27,0.63
天狼星XM,SIRI,2001-04-26,9.81,9.73,10.0,9.62,1179600,0.0,3.89,-0.41,-0.04,2.2
天狼星XM,SIRI,2001-04-27,9.77,9.86,9.99,9.5,202000,0.0,5.04,1.34,0.13,0.38
天狼星XM,SIRI,2001-04-30,9.99,10.31,10.48,9.9,731600,0.0,5.88,4.56,0.45,1.36
天狼星XM,SIRI,2001-05-01,10.37,11.69,11.9,10.36,1107000,0.0,14.94,13.39,1.38,2.06
天狼星XM,SIRI,2001-05-02,12.2,13.24,13.64,12.15,1264200,0.0,12.75,13.26,1.55,2.35
天狼星XM,SIRI,2001-05-03,12.99,12.64,13.1,12.42,628200,0.0,5.14,-4.53,-0.6,1.17
天狼星XM,SIRI,2001-05-04,12.6,12.14,12.6,11.99,584400,0.0,4.83,-3.96,-0.5,1.09
天狼星XM,SIRI,2001-05-07,13.3,12.91,13.45,12.6,932500,0.0,7.0,6.34,0.77,1.74
天狼星XM,SIRI,2001-05-08,13.3,12.89,13.4,12.67,980400,0.0,5.65,-0.15,-0.02,1.82
天狼星XM,SIRI,2001-05-09,12.6,12.98,13.32,12.35,1058600,0.0,7.53,0.7,0.09,1.97
天狼星XM,SIRI,2001-05-10,13.65,12.95,13.95,12.8,1206700,0.0,8.86,-0.23,-0.03,2.25
天狼星XM,SIRI,2001-05-11,13.28,12.67,13.29,12.5,414000,0.0,6.1,-2.16,-0.28,0.77
天狼星XM,SIRI,2001-05-14,13.0,13.1,13.16,12.55,493200,0.0,4.81,3.39,0.43,0.92
天狼星XM,SIRI,2001-05-15,13.09,13.8,14.1,13.08,1110200,0.0,7.79,5.34,0.7,2.07
天狼星XM,SIRI,2001-05-16,13.93,16.47,16.88,13.8,1969100,0.0,22.32,19.35,2.67,3.67
天狼星XM,SIRI,2001-05-17,16.64,18.34,19.15,16.64,2307700,0.0,15.24,11.35,1.87,4.3
天狼星XM,SIRI,2001-05-18,18.18,15.45,18.18,15.21,1958400,0.0,16.19,-15.76,-2.89,3.65
天狼星XM,SIRI,2001-05-21,14.81,15.09,15.18,14.8,1348900,0.0,2.46,-2.33,-0.36,2.51
天狼星XM,SIRI,2001-05-22,14.89,15.2,15.69,14.8,797700,0.0,5.9,0.73,0.11,1.48
天狼星XM,SIRI,2001-05-23,15.0,14.82,15.1,14.5,1002100,0.0,3.95,-2.5,-0.38,1.87
天狼星XM,SIRI,2001-05-24,14.78,14.92,14.99,14.42,816600,0.0,3.85,0.67,0.1,1.52
天狼星XM,SIRI,2001-05-25,14.94,15.27,15.69,14.94,395300,0.0,5.03,2.35,0.35,0.74
天狼星XM,SIRI,2001-05-29,15.28,14.92,15.32,14.73,512700,0.0,3.86,-2.29,-0.35,0.95
天狼星XM,SIRI,2001-05-30,14.76,13.73,14.9,13.65,831300,0.0,8.38,-7.98,-1.19,1.55
天狼星XM,SIRI,2001-05-31,13.78,13.73,13.87,13.27,590500,0.0,4.37,0.0,0.0,1.1
天狼星XM,SIRI,2001-06-01,13.91,13.5,13.91,13.25,320500,0.0,4.81,-1.68,-0.23,0.6
天狼星XM,SIRI,2001-06-04,13.47,13.36,13.49,13.28,205300,0.0,1.56,-1.04,-0.14,0.38
天狼星XM,SIRI,2001-06-05,13.46,13.9,14.4,13.41,460900,0.0,7.41,4.04,0.54,0.86
天狼星XM,SIRI,2001-06-06,14.51,13.52,14.51,13.5,216100,0.0,7.27,-2.73,-0.38,0.4
天狼星XM,SIRI,2001-06-07,13.52,13.85,13.87,13.45,184800,0.0,3.11,2.44,0.33,0.34
天狼星XM,SIRI,2001-06-08,16.79,14.83,16.8,14.56,3206800,0.0,16.17,7.08,0.98,5.97
天狼星XM,SIRI,2001-06-11,14.55,13.44,14.75,13.32,844600,0.0,9.64,-9.37,-1.39,1.57
天狼星XM,SIRI,2001-06-12,13.14,12.27,13.19,11.75,2359800,0.0,10.71,-8.71,-1.17,4.39
天狼星XM,SIRI,2001-06-13,12.55,11.67,12.67,11.65,795500,0.0,8.31,-4.89,-0.6,1.48
天狼星XM,SIRI,2001-06-14,11.68,10.48,11.68,10.0,1267400,0.0,14.4,-10.2,-1.19,2.36
天狼星XM,SIRI,2001-06-15,10.66,10.03,10.74,10.0,982900,0.0,7.06,-4.29,-0.45,1.83
天狼星XM,SIRI,2001-06-18,10.05,8.83,10.75,8.42,1199900,0.0,23.23,-11.96,-1.2,2.23
天狼星XM,SIRI,2001-06-19,10.09,9.52,10.09,9.35,1797900,0.0,8.38,7.81,0.69,3.35
天狼星XM,SIRI,2001-06-20,9.4,9.74,9.92,8.75,1203100,0.0,12.29,2.31,0.22,2.24
天狼星XM,SIRI,2001-06-21,9.95,9.11,9.96,9.0,929300,0.0,9.86,-6.47,-0.63,1.73
天狼星XM,SIRI,2001-06-22,9.3,9.34,9.88,9.16,540300,0.0,7.9,2.52,0.23,1.01
天狼星XM,SIRI,2001-06-25,9.49,10.0,10.05,9.49,482600,0.0,6.0,7.07,0.66,0.9
天狼星XM,SIRI,2001-06-26,9.68,10.19,10.24,9.59,412200,0.0,6.5,1.9,0.19,0.77
天狼星XM,SIRI,2001-06-27,10.45,9.89,10.5,9.8,518900,0.0,6.87,-2.94,-0.3,0.97
天狼星XM,SIRI,2001-06-28,10.3,10.54,10.7,10.17,926600,0.0,5.36,6.57,0.65,1.72
天狼星XM,SIRI,2001-06-29,10.71,12.19,12.19,10.57,797500,0.0,15.37,15.65,1.65,1.48
天狼星XM,SIRI,2001-07-02,10.98,10.81,11.5,10.75,975900,0.0,6.15,-11.32,-1.38,1.82
天狼星XM,SIRI,2001-07-03,10.63,10.52,10.67,10.25,330600,0.0,3.89,-2.68,-0.29,0.62
天狼星XM,SIRI,2001-07-05,10.43,10.02,10.43,9.53,451000,0.0,8.56,-4.75,-0.5,0.84
天狼星XM,SIRI,2001-07-06,9.75,9.54,9.83,9.35,355100,0.0,4.79,-4.79,-0.48,0.66
天狼星XM,SIRI,2001-07-09,9.51,9.2,9.56,9.15,702000,0.0,4.3,-3.56,-0.34,1.31
天狼星XM,SIRI,2001-07-10,9.23,8.51,9.38,8.5,473300,0.0,9.57,-7.5,-0.69,0.88
